TOKEN_ID,TOKEN_NAME,Quak,Beak,Feathers,Wear
32,Quak #32,Purple Quak,Puffin-like,White Feathers,Ethereum
33,Quak #33,Orange Quak,Chicken-like,Green Feathers,Chained
34,Quak #34,Brown Quak,Chicken-like,White Feathers,Pipe
35,Quak #35,Purple Quak,Coot-like,Pink Feathers,Egg-plate
36,Quak #36,Brown Quak,Coot-like,White Feathers,Chain
37,Quak #37,Purple Quak,Chicken-like,White Feathers,Cigarette
38,Quak #38,Purple Quak,Crow-like,White Feathers,Chain
39,Quak #39,Brown Quak,Crow-like,Pink Feathers,Blindfold
40,Quak #40,Purple Quak,Chicken-like,Green Feathers,Sad
41,Quak #41,Brown Quak,Chicken-like,White Feathers,Hair
42,Quak #42,Purple Quak,Chicken-like,White Feathers,Glasses
43,Quak #43,Orange Quak,Crow-like,White Feathers,Mail
44,Quak #44,Brown Quak,Coot-like,White Feathers,Ship
45,Quak #45,Purple Quak,Flamingo-like,Green Feathers,Ethereum
46,Quak #46,Purple Quak,Crow-like,White Feathers,Mail
47,Quak #47,Brown Quak,Chicken-like,Blue Feathers,Nightcap
48,Quak #48,Blue Quak,Flamingo-like,Purple Feathers,Conical-hat
49,Quak #49,Purple Quak,Chicken-like,Green Feathers,Cigarette
50,Quak #50,Purple Quak,Flamingo-like,Pink Feathers,Blindfold
51,Quak #51,Brown Quak,Chicken-like,Pink Feathers,Bubble
52,Quak #52,Purple Quak,Chicken-like,Blue Feathers,Conical-hat
53,Quak #53,Brown Quak,Flamingo-like,Blue Feathers,Mail
54,Quak #54,Blue Quak,Crow-like,Pink Feathers,Egg
55,Quak #55,Brown Quak,Flamingo-like,Purple Feathers,Pipe
56,Quak #56,Green Quak,Flamingo-like,White Feathers,Bubble
57,Quak #57,Green Quak,Chicken-like,Pink Feathers,Sad
58,Quak #58,Orange Quak,Crow-like,Pink Feathers,Horns
59,Quak #59,Brown Quak,Chicken-like,Purple Feathers,Bubble
60,Quak #60,Purple Quak,Toucan-like,White Feathers,Nightcap
61,Quak #61,Brown Quak,Crow-like,White Feathers,Nightcap
62,Quak #62,Purple Quak,Puffin-like,Pink Feathers,Earrings
63,Quak #63,Brown Quak,Crow-like,Purple Feathers,Egg-plate
64,Quak #64,Green Quak,Crow-like,Pink Feathers,Ethereum
65,Quak #65,Brown Quak,Chicken-like,White Feathers,Cigarette
66,Quak #66,Purple Quak,Flamingo-like,Pink Feathers,Nightcap
67,Quak #67,Brown Quak,Coot-like,White Feathers,Bubble
68,Quak #68,Brown Quak,Flamingo-like,Pink Feathers,Cigarette
69,Quak #69,Brown Quak,Flamingo-like,Red Feathers,Flower
70,Quak #70,Purple Quak,Chicken-like,White Feathers,Mail
71,Quak #71,Green Quak,Flamingo-like,Pink Feathers,Nightcap
72,Quak #72,Green Quak,Flamingo-like,White Feathers,Horns
73,Quak #73,Purple Quak,Puffin-like,White Feathers,Bubble
74,Quak #74,Brown Quak,Flamingo-like,White Feathers,Egg-plate
75,Quak #75,Purple Quak,Crow-like,Purple Feathers,Conical-hat
76,Quak #76,Blue Quak,Crow-like,Purple Feathers,Conical-hat
77,Quak #77,Brown Quak,Chicken-like,Purple Feathers,Glasses
78,Quak #78,Brown Quak,Chicken-like,White Feathers,Tilted-hat
79,Quak #79,Blue Quak,Chicken-like,Blue Feathers,Egg-plate
80,Quak #80,Purple Quak,Chicken-like,Red Feathers,Chain
81,Quak #81,Green Quak,Puffin-like,Blue Feathers,Mail
82,Quak #82,Brown Quak,Flamingo-like,Pink Feathers,Nightcap
83,Quak #83,Brown Quak,Coot-like,Pink Feathers,Chained
84,Quak #84,Purple Quak,Chicken-like,Red Feathers,Hat
85,Quak #85,Purple Quak,Crow-like,Pink Feathers,Mail
86,Quak #86,Green Quak,Crow-like,White Feathers,Conical-hat
87,Quak #87,Purple Quak,Crow-like,White Feathers,Blindfold
88,Quak #88,Brown Quak,Coot-like,White Feathers,Earrings
89,Quak #89,Brown Quak,Crow-like,Blue Feathers,Egg
90,Quak #90,Blue Quak,Parrot-like,White Feathers,Hat
91,Quak #91,Blue Quak,Coot-like,Green Feathers,Earrings
92,Quak #92,Brown Quak,Chicken-like,Pink Feathers,Flower
93,Quak #93,Blue Quak,Crow-like,Blue Feathers,Glasses
94,Quak #94,Blue Quak,Flamingo-like,Green Feathers,Egg-plate
95,Quak #95,Brown Quak,Flamingo-like,Pink Feathers,Earrings
96,Quak #96,Green Quak,Chicken-like,Red Feathers,Glasses
97,Quak #97,Blue Quak,Chicken-like,Pink Feathers,Hat
98,Quak #98,Purple Quak,Crow-like,Pink Feathers,Ethereum
99,Quak #99,Green Quak,Crow-like,White Feathers,Pipe
100,Quak #100,Brown Quak,Crow-like,Blue Feathers,Flower
101,Quak #101,Purple Quak,Crow-like,Blue Feathers,Egg-plate
102,Quak #102,Brown Quak,Coot-like,Pink Feathers,Bubble
103,Quak #103,Green Quak,Coot-like,Purple Feathers,Flower
104,Quak #104,Brown Quak,Coot-like,White Feathers,Blindfold
105,Quak #105,Purple Quak,Chicken-like,White Feathers,Horns
106,Quak #106,Blue Quak,Chicken-like,White Feathers,Conical-hat
107,Quak #107,Blue Quak,Crow-like,White Feathers,Horns
108,Quak #108,Purple Quak,Chicken-like,White Feathers,Ship
109,Quak #109,Blue Quak,Chicken-like,Red Feathers,Earrings
110,Quak #110,Brown Quak,Puffin-like,Pink Feathers,Blindfold
111,Quak #111,Purple Quak,Flamingo-like,White Feathers,Earrings
112,Quak #112,Brown Quak,Crow-like,Green Feathers,Happy
113,Quak #113,Purple Quak,Flamingo-like,Green Feathers,Hair
114,Quak #114,Brown Quak,Flamingo-like,Red Feathers,Tilted-hat
115,Quak #115,Brown Quak,Coot-like,Pink Feathers,Chain
116,Quak #116,Blue Quak,Coot-like,White Feathers,Nightcap
117,Quak #117,Green Quak,Flamingo-like,White Feathers,Egg-plate
118,Quak #118,Brown Quak,Chicken-like,Pink Feathers,Horns
119,Quak #119,Colorful Quak,Crow-like,Green Feathers,Ship
120,Quak #120,Purple Quak,Flamingo-like,White Feathers,Ship
121,Quak #121,Brown Quak,Coot-like,Pink Feathers,Ship
122,Quak #122,Purple Quak,Flamingo-like,Red Feathers,Pipe
123,Quak #123,Brown Quak,Crow-like,White Feathers,Cigarette
124,Quak #124,Brown Quak,Flamingo-like,Blue Feathers,Chain
125,Quak #125,Blue Quak,Flamingo-like,Purple Feathers,Flower
126,Quak #126,Brown Quak,Chicken-like,Pink Feathers,Nightcap
127,Quak #127,Blue Quak,Crow-like,Pink Feathers,Sad
128,Quak #128,Orange Quak,Flamingo-like,White Feathers,Chain
129,Quak #129,Blue Quak,Coot-like,Pink Feathers,Glasses
130,Quak #130,Green Quak,Coot-like,White Feathers,Sad
131,Quak #131,Blue Quak,Coot-like,White Feathers,Bubble
132,Quak #132,Blue Quak,Chicken-like,Red Feathers,Egg-plate
133,Quak #133,Purple Quak,Chicken-like,Red Feathers,Blindfold
134,Quak #134,Brown Quak,Coot-like,White Feathers,Happy
135,Quak #135,Orange Quak,Crow-like,Red Feathers,Nightcap
136,Quak #136,Purple Quak,Chicken-like,White Feathers,Bubble
137,Quak #137,Purple Quak,Coot-like,White Feathers,Egg-plate
138,Quak #138,Purple Quak,Crow-like,Pink Feathers,Blindfold
139,Quak #139,Purple Quak,Puffin-like,Purple Feathers,Tilted-hat
140,Quak #140,Brown Quak,Flamingo-like,Red Feathers,Egg-plate
141,Quak #141,Purple Quak,Coot-like,White Feathers,Happy
142,Quak #142,Brown Quak,Parrot-like,White Feathers,Sad
143,Quak #143,Purple Quak,Chicken-like,Pink Feathers,Flower
144,Quak #144,Brown Quak,Crow-like,Green Feathers,Flower
145,Quak #145,Brown Quak,Crow-like,Pink Feathers,Ethereum
146,Quak #146,Green Quak,Crow-like,Teal Feathers,Earrings
147,Quak #147,Brown Quak,Flamingo-like,Pink Feathers,Chain
148,Quak #148,Brown Quak,Crow-like,White Feathers,Mail
149,Quak #149,Brown Quak,Coot-like,White Feathers,Mail
150,Quak #150,Purple Quak,Crow-like,White Feathers,Tilted-hat
151,Quak #151,Brown Quak,Coot-like,Purple Feathers,Egg-plate
152,Quak #152,Blue Quak,Chicken-like,White Feathers,Ethereum
153,Quak #153,Purple Quak,Puffin-like,Blue Feathers,Happy
154,Quak #154,Brown Quak,Crow-like,White Feathers,Horns
155,Quak #155,Brown Quak,Crow-like,White Feathers,Earrings
156,Quak #156,Purple Quak,Coot-like,Pink Feathers,Crown
157,Quak #157,Purple Quak,Crow-like,Pink Feathers,Egg-plate
158,Quak #158,Green Quak,Chicken-like,Pink Feathers,Earrings
159,Quak #159,Purple Quak,Flamingo-like,Green Feathers,Cigarette
160,Quak #160,Orange Quak,Puffin-like,Red Feathers,Flower
161,Quak #161,Purple Quak,Crow-like,White Feathers,Hair
162,Quak #162,Brown Quak,Puffin-like,White Feathers,Flower
163,Quak #163,Brown Quak,Chicken-like,Purple Feathers,Mail
164,Quak #164,Green Quak,Chicken-like,White Feathers,Chain
165,Quak #165,Purple Quak,Puffin-like,Pink Feathers,Flower
166,Quak #166,Purple Quak,Coot-like,Blue Feathers,Conical-hat
167,Quak #167,Green Quak,Crow-like,Green Feathers,Flower
168,Quak #168,Blue Quak,Crow-like,Pink Feathers,Egg-plate
169,Quak #169,Purple Quak,Chicken-like,Green Feathers,Nightcap
170,Quak #170,Purple Quak,Chicken-like,Red Feathers,Egg-plate
171,Quak #171,Green Quak,Crow-like,White Feathers,Tilted-hat
172,Quak #172,Green Quak,Coot-like,Blue Feathers,Ship
173,Quak #173,Purple Quak,Crow-like,Blue Feathers,Glasses
174,Quak #174,Brown Quak,Puffin-like,Red Feathers,Flower
175,Quak #175,Purple Quak,Crow-like,White Feathers,Flower
176,Quak #176,Brown Quak,Flamingo-like,Red Feathers,Chained
177,Quak #177,Green Quak,Crow-like,Red Feathers,Tilted-hat
178,Quak #178,Brown Quak,Flamingo-like,White Feathers,Bubble
179,Quak #179,Blue Quak,Crow-like,Green Feathers,Flower
180,Quak #180,Brown Quak,Chicken-like,White Feathers,Hat
181,Quak #181,Brown Quak,Flamingo-like,Blue Feathers,Nightcap
182,Quak #182,Brown Quak,Flamingo-like,White Feathers,Horns
183,Quak #183,Purple Quak,Coot-like,Pink Feathers,Cigarette
184,Quak #184,Brown Quak,Coot-like,Red Feathers,Mail
185,Quak #185,Purple Quak,Crow-like,Pink Feathers,Flower
186,Quak #186,Purple Quak,Flamingo-like,White Feathers,Horns
187,Quak #187,Purple Quak,Crow-like,Pink Feathers,Ship
188,Quak #188,Brown Quak,Crow-like,Purple Feathers,Bubble
189,Quak #189,Purple Quak,Chicken-like,Pink Feathers,Glasses
190,Quak #190,Purple Quak,Flamingo-like,Blue Feathers,Bubble
191,Quak #191,Purple Quak,Coot-like,Green Feathers,Chained
192,Quak #192,Green Quak,Puffin-like,Blue Feathers,Happy
193,Quak #193,Blue Quak,Coot-like,Purple Feathers,Tilted-hat
194,Quak #194,Purple Quak,Crow-like,Red Feathers,Nightcap
195,Quak #195,Orange Quak,Chicken-like,White Feathers,Mail
196,Quak #196,Purple Quak,Crow-like,Blue Feathers,Earrings
197,Quak #197,Green Quak,Chicken-like,Purple Feathers,Mail
198,Quak #198,Brown Quak,Chicken-like,Teal Feathers,Tilted-hat
199,Quak #199,Brown Quak,Chicken-like,Pink Feathers,Pipe
200,Quak #200,Brown Quak,Crow-like,Pink Feathers,Pipe
201,Quak #201,Purple Quak,Crow-like,Green Feathers,Happy
202,Quak #202,Brown Quak,Crow-like,Purple Feathers,Chain
203,Quak #203,Orange Quak,Coot-like,Pink Feathers,Earrings
204,Quak #204,Green Quak,Chicken-like,Pink Feathers,Glasses
205,Quak #205,Brown Quak,Chicken-like,Green Feathers,Hat
206,Quak #206,Brown Quak,Coot-like,White Feathers,Cigarette
207,Quak #207,Green Quak,Puffin-like,White Feathers,Sad
208,Quak #208,Brown Quak,Crow-like,Blue Feathers,Ship
209,Quak #209,Purple Quak,Crow-like,Pink Feathers,Pipe
210,Quak #210,Purple Quak,Flamingo-like,Purple Feathers,Conical-hat
211,Quak #211,Brown Quak,Chicken-like,Pink Feathers,Ship
212,Quak #212,Purple Quak,Puffin-like,Red Feathers,Nightcap
213,Quak #213,Purple Quak,Coot-like,Purple Feathers,Chain
214,Quak #214,Yellow Quak,Flamingo-like,Red Feathers,Nightcap
215,Quak #215,Brown Quak,Puffin-like,Green Feathers,Nightcap
216,Quak #216,Purple Quak,Coot-like,Pink Feathers,Bubble
217,Quak #217,Purple Quak,Coot-like,White Feathers,Blindfold
218,Quak #218,Brown Quak,Coot-like,Pink Feathers,Egg-plate
219,Quak #219,Brown Quak,Crow-like,White Feathers,Hair
220,Quak #220,Brown Quak,Chicken-like,Blue Feathers,Earrings
221,Quak #221,Green Quak,Chicken-like,Red Feathers,Blindfold
222,Quak #222,Brown Quak,Crow-like,Green Feathers,Horns
223,Quak #223,Brown Quak,Crow-like,White Feathers,Ship
224,Quak #224,Brown Quak,Chicken-like,Green Feathers,Happy
225,Quak #225,Brown Quak,Coot-like,White Feathers,Nightcap
226,Quak #226,Blue Quak,Crow-like,Pink Feathers,Tilted-hat
227,Quak #227,Blue Quak,Crow-like,Pink Feathers,Hat
228,Quak #228,Brown Quak,Chicken-like,Gold Feathers,Cigarette
229,Quak #229,Purple Quak,Coot-like,Purple Feathers,Tilted-hat
230,Quak #230,Green Quak,Flamingo-like,Purple Feathers,Egg-plate
231,Quak #231,Purple Quak,Flamingo-like,Pink Feathers,Mail
232,Quak #232,Blue Quak,Crow-like,White Feathers,Chain
233,Quak #233,Purple Quak,Puffin-like,Blue Feathers,Ship
234,Quak #234,Brown Quak,Crow-like,Green Feathers,Conical-hat
235,Quak #235,Blue Quak,Coot-like,Red Feathers,Egg-plate
236,Quak #236,Brown Quak,Crow-like,Blue Feathers,Chain
237,Quak #237,Orange Quak,Chicken-like,Green Feathers,Chain
238,Quak #238,Brown Quak,Crow-like,Purple Feathers,Sad
239,Quak #239,Brown Quak,Chicken-like,Red Feathers,Blindfold
240,Quak #240,Purple Quak,Chicken-like,Purple Feathers,Chained
241,Quak #241,Orange Quak,Flamingo-like,White Feathers,Glasses
242,Quak #242,Blue Quak,Puffin-like,Teal Feathers,Egg
243,Quak #243,Blue Quak,Chicken-like,White Feathers,Cigarette
244,Quak #244,Orange Quak,Puffin-like,Pink Feathers,Happy
245,Quak #245,Blue Quak,Coot-like,Blue Feathers,Cigarette
246,Quak #246,Brown Quak,Crow-like,Blue Feathers,Horns
247,Quak #247,Purple Quak,Chicken-like,Blue Feathers,Happy
248,Quak #248,Blue Quak,Crow-like,White Feathers,Earrings
249,Quak #249,Brown Quak,Chicken-like,Pink Feathers,Earrings
250,Quak #250,Purple Quak,Coot-like,Pink Feathers,Pipe
251,Quak #251,Brown Quak,Crow-like,White Feathers,Flower
252,Quak #252,Purple Quak,Crow-like,Purple Feathers,Cigarette
253,Quak #253,Brown Quak,Chicken-like,Blue Feathers,Happy
254,Quak #254,Purple Quak,Crow-like,White Feathers,Happy
255,Quak #255,Blue Quak,Chicken-like,Pink Feathers,Chained
256,Quak #256,Blue Quak,Flamingo-like,Green Feathers,Mail
257,Quak #257,Brown Quak,Puffin-like,White Feathers,Chain
258,Quak #258,Blue Quak,Coot-like,Pink Feathers,Earrings
259,Quak #259,Purple Quak,Crow-like,Red Feathers,Cigarette
260,Quak #260,Blue Quak,Crow-like,Red Feathers,Chain
261,Quak #261,Brown Quak,Crow-like,Red Feathers,Egg-plate
262,Quak #262,Blue Quak,Chicken-like,Purple Feathers,Flower
263,Quak #263,Blue Quak,Puffin-like,White Feathers,Horns
264,Quak #264,Green Quak,Chicken-like,Pink Feathers,Bubble
265,Quak #265,Green Quak,Chicken-like,Green Feathers,Cigarette
266,Quak #266,Purple Quak,Flamingo-like,Purple Feathers,Glasses
267,Quak #267,Brown Quak,Coot-like,Purple Feathers,Blindfold
268,Quak #268,Blue Quak,Coot-like,Blue Feathers,Conical-hat
269,Quak #269,Orange Quak,Crow-like,White Feathers,Earrings
270,Quak #270,Brown Quak,Chicken-like,Red Feathers,Chain
271,Quak #271,Brown Quak,Coot-like,Green Feathers,Flower
272,Quak #272,Green Quak,Crow-like,White Feathers,Hair
273,Quak #273,Purple Quak,Flamingo-like,Red Feathers,Bubble
274,Quak #274,Blue Quak,Chicken-like,Blue Feathers,Chain
275,Quak #275,Purple Quak,Crow-like,White Feathers,Earrings
276,Quak #276,Orange Quak,Crow-like,White Feathers,Hat
277,Quak #277,Blue Quak,Crow-like,Red Feathers,Sad
278,Quak #278,Blue Quak,Toucan-like,White Feathers,Mail
279,Quak #279,Brown Quak,Crow-like,Pink Feathers,Conical-hat
280,Quak #280,Blue Quak,Chicken-like,White Feathers,Happy
281,Quak #281,Brown Quak,Chicken-like,Red Feathers,Ethereum
282,Quak #282,Green Quak,Coot-like,White Feathers,Tilted-hat
283,Quak #283,Green Quak,Crow-like,Blue Feathers,Conical-hat
284,Quak #284,Brown Quak,Chicken-like,White Feathers,Happy
285,Quak #285,Brown Quak,Toucan-like,Gold Feathers,Bubble
286,Quak #286,Brown Quak,Flamingo-like,White Feathers,Ship
287,Quak #287,Brown Quak,Crow-like,Red Feathers,Hair
288,Quak #288,Purple Quak,Flamingo-like,Purple Feathers,Earrings
289,Quak #289,Orange Quak,Puffin-like,Purple Feathers,Chained
290,Quak #290,Brown Quak,Crow-like,Green Feathers,Bubble
291,Quak #291,Blue Quak,Crow-like,Pink Feathers,Chained
292,Quak #292,Brown Quak,Coot-like,Green Feathers,Cigarette
293,Quak #293,Blue Quak,Chicken-like,Pink Feathers,Mail
294,Quak #294,Brown Quak,Chicken-like,Pink Feathers,Conical-hat
295,Quak #295,Green Quak,Chicken-like,White Feathers,Hair
296,Quak #296,Brown Quak,Chicken-like,Green Feathers,Blindfold
297,Quak #297,Brown Quak,Flamingo-like,Red Feathers,Chain
298,Quak #298,Purple Quak,Crow-like,Red Feathers,Ethereum
299,Quak #299,Purple Quak,Puffin-like,White Feathers,Horns
300,Quak #300,Brown Quak,Chicken-like,Pink Feathers,Mail
301,Quak #301,Purple Quak,Coot-like,White Feathers,Cigarette
302,Quak #302,Brown Quak,Crow-like,Green Feathers,Sad
303,Quak #303,Green Quak,Puffin-like,White Feathers,Flower
304,Quak #304,Brown Quak,Flamingo-like,Pink Feathers,Tilted-hat
305,Quak #305,Purple Quak,Chicken-like,Pink Feathers,Egg-plate
306,Quak #306,Brown Quak,Crow-like,Blue Feathers,Hair
307,Quak #307,Orange Quak,Coot-like,Green Feathers,Ethereum
308,Quak #308,Brown Quak,Puffin-like,Red Feathers,Mail
309,Quak #309,Orange Quak,Flamingo-like,White Feathers,Cigarette
310,Quak #310,Green Quak,Puffin-like,White Feathers,Hat
311,Quak #311,Blue Quak,Crow-like,Red Feathers,Blindfold
312,Quak #312,Blue Quak,Flamingo-like,Blue Feathers,Nightcap
313,Quak #313,Brown Quak,Crow-like,Gold Feathers,Flower
314,Quak #314,Purple Quak,Chicken-like,Blue Feathers,Glasses
315,Quak #315,Brown Quak,Coot-like,Purple Feathers,Chained
316,Quak #316,Green Quak,Coot-like,White Feathers,Chained
317,Quak #317,Brown Quak,Crow-like,Pink Feathers,Nightcap
318,Quak #318,Green Quak,Flamingo-like,Green Feathers,Crown
319,Quak #319,Purple Quak,Coot-like,Teal Feathers,Pipe
320,Quak #320,Blue Quak,Chicken-like,Pink Feathers,Blindfold
321,Quak #321,Blue Quak,Coot-like,White Feathers,Blindfold
322,Quak #322,Purple Quak,Crow-like,White Feathers,Nightcap
323,Quak #323,Blue Quak,Crow-like,Pink Feathers,Pipe
324,Quak #324,Green Quak,Flamingo-like,Purple Feathers,Mail
325,Quak #325,Purple Quak,Chicken-like,Pink Feathers,Hair
326,Quak #326,Brown Quak,Crow-like,Pink Feathers,Earrings
327,Quak #327,Green Quak,Chicken-like,White Feathers,Hat
328,Quak #328,Green Quak,Crow-like,Pink Feathers,Mail
329,Quak #329,Brown Quak,Puffin-like,Purple Feathers,Happy
330,Quak #330,Brown Quak,Crow-like,White Feathers,Happy
331,Quak #331,Brown Quak,Coot-like,Green Feathers,Ethereum
332,Quak #332,Green Quak,Crow-like,Pink Feathers,Happy
333,Quak #333,Brown Quak,Puffin-like,White Feathers,Happy
334,Quak #334,Orange Quak,Coot-like,White Feathers,Egg
335,Quak #335,Brown Quak,Flamingo-like,Green Feathers,Sad
336,Quak #336,Blue Quak,Flamingo-like,Red Feathers,Cigarette
337,Quak #337,Brown Quak,Chicken-like,Red Feathers,Ship
338,Quak #338,Purple Quak,Crow-like,Pink Feathers,Horns
339,Quak #339,Purple Quak,Toucan-like,Purple Feathers,Nightcap
340,Quak #340,Purple Quak,Chicken-like,Red Feathers,Nightcap
341,Quak #341,Green Quak,Puffin-like,Blue Feathers,Horns
342,Quak #342,Blue Quak,Chicken-like,Pink Feathers,Egg-plate
343,Quak #343,Purple Quak,Flamingo-like,White Feathers,Flower
344,Quak #344,Purple Quak,Chicken-like,Blue Feathers,Chain
345,Quak #345,Purple Quak,Coot-like,White Feathers,Hat
346,Quak #346,Purple Quak,Crow-like,Purple Feathers,Bubble
347,Quak #347,Blue Quak,Crow-like,White Feathers,Hair
348,Quak #348,Brown Quak,Crow-like,Purple Feathers,Flower
349,Quak #349,Brown Quak,Chicken-like,Red Feathers,Nightcap
350,Quak #350,Purple Quak,Flamingo-like,White Feathers,Egg
351,Quak #351,Blue Quak,Crow-like,White Feathers,Chained
352,Quak #352,Purple Quak,Flamingo-like,Pink Feathers,Sad
353,Quak #353,Green Quak,Chicken-like,Red Feathers,Happy
354,Quak #354,Brown Quak,Chicken-like,White Feathers,Earrings
355,Quak #355,Brown Quak,Coot-like,Blue Feathers,Egg-plate
356,Quak #356,Brown Quak,Coot-like,White Feathers,Flower
357,Quak #357,Brown Quak,Flamingo-like,Red Feathers,Sad
358,Quak #358,Blue Quak,Coot-like,Blue Feathers,Blindfold
359,Quak #359,Brown Quak,Coot-like,Pink Feathers,Horns
360,Quak #360,Orange Quak,Chicken-like,Red Feathers,Bubble
361,Quak #361,Brown Quak,Crow-like,Purple Feathers,Horns
362,Quak #362,Blue Quak,Flamingo-like,Red Feathers,Horns
363,Quak #363,Purple Quak,Puffin-like,Pink Feathers,Ethereum
364,Quak #364,Blue Quak,Flamingo-like,White Feathers,Ship
365,Quak #365,Brown Quak,Flamingo-like,Pink Feathers,Hat
366,Quak #366,Blue Quak,Chicken-like,Pink Feathers,Conical-hat
367,Quak #367,Orange Quak,Coot-like,Pink Feathers,Conical-hat
368,Quak #368,Blue Quak,Flamingo-like,Red Feathers,Conical-hat
369,Quak #369,Purple Quak,Crow-like,White Feathers,Egg-plate
370,Quak #370,Orange Quak,Chicken-like,Blue Feathers,Ship
371,Quak #371,Brown Quak,Crow-like,Purple Feathers,Glasses
372,Quak #372,Green Quak,Flamingo-like,Pink Feathers,Glasses
373,Quak #373,Green Quak,Crow-like,Purple Feathers,Chain
374,Quak #374,Brown Quak,Chicken-like,White Feathers,Egg-plate
375,Quak #375,Blue Quak,Flamingo-like,Blue Feathers,Chain
376,Quak #376,Brown Quak,Chicken-like,Pink Feathers,Blindfold
377,Quak #377,Brown Quak,Puffin-like,Red Feathers,Hat
378,Quak #378,Green Quak,Chicken-like,Purple Feathers,Happy
379,Quak #379,Brown Quak,Crow-like,Red Feathers,Mail
380,Quak #380,Brown Quak,Coot-like,Pink Feathers,Blindfold
381,Quak #381,Purple Quak,Chicken-like,Blue Feathers,Blindfold
382,Quak #382,Purple Quak,Chicken-like,Pink Feathers,Tilted-hat
383,Quak #383,Blue Quak,Chicken-like,Purple Feathers,Ship
384,Quak #384,Purple Quak,Flamingo-like,Blue Feathers,Blindfold
385,Quak #385,Orange Quak,Flamingo-like,White Feathers,Happy
386,Quak #386,Purple Quak,Chicken-like,Red Feathers,Cigarette
387,Quak #387,Green Quak,Chicken-like,White Feathers,Glasses
388,Quak #388,Purple Quak,Flamingo-like,White Feathers,Ethereum
389,Quak #389,Purple Quak,Coot-like,White Feathers,Hair
390,Quak #390,Green Quak,Crow-like,Red Feathers,Blindfold
391,Quak #391,Brown Quak,Crow-like,Pink Feathers,Hair
392,Quak #392,Purple Quak,Chicken-like,Pink Feathers,Mail
393,Quak #393,Orange Quak,Coot-like,Purple Feathers,Happy
394,Quak #394,Green Quak,Puffin-like,Purple Feathers,Tilted-hat
395,Quak #395,Purple Quak,Coot-like,Green Feathers,Hair
396,Quak #396,Brown Quak,Flamingo-like,White Feathers,Nightcap
397,Quak #397,Green Quak,Chicken-like,White Feathers,Horns
398,Quak #398,Purple Quak,Chicken-like,White Feathers,Pipe
399,Quak #399,Brown Quak,Puffin-like,Blue Feathers,Happy
400,Quak #400,Blue Quak,Crow-like,Purple Feathers,Mail
401,Quak #401,Blue Quak,Crow-like,Blue Feathers,Chain
402,Quak #402,Brown Quak,Flamingo-like,Green Feathers,Glasses
403,Quak #403,Brown Quak,Chicken-like,White Feathers,Flower
404,Quak #404,Purple Quak,Crow-like,White Feathers,Ship
405,Quak #405,Purple Quak,Crow-like,White Feathers,Pipe
406,Quak #406,Brown Quak,Crow-like,Pink Feathers,Happy
407,Quak #407,Brown Quak,Crow-like,Blue Feathers,Conical-hat
408,Quak #408,Brown Quak,Crow-like,Blue Feathers,Blindfold
409,Quak #409,Brown Quak,Chicken-like,Blue Feathers,Flower
410,Quak #410,Purple Quak,Crow-like,Purple Feathers,Nightcap
411,Quak #411,Brown Quak,Flamingo-like,Purple Feathers,Flower
