TOKEN_ID,TOKEN_NAME,Background,Skin,Skin Pattern,Tail Spikes,Bling Level,Eyewear,Face,Clothing,Headwear,Face Detail,Vest,Special
78,Tezzardz #78,Purple,Red,Freckles,Bone,$$$,Tech Scope,Green Tongue Wavy Sassy,Silk Shirt Dark,Hunting Hat,,,
79,Tezzardz #79,Green,Yellow,Freckles,Gold,$$$,Hearts Shades,Split Tongue Feisty,Rainbow Onesie,Hunting Hat,,,
80,Tezzardz #80,Purple,White,Bolt,,$,,Green Tongue Wavy Sassy,Silk Shirt Dark,Rainbow Spikes,,,
81,Tezzardz #81,Blue,Orange,Heavy Bolt,,,Gold Leaf Eye Patch,Straight Tongue Sad,Silk Shirt Blue,Plain Black Spikes,,,
82,Tezzardz #82,Yellow,Green,Heavy Freckles,,$$,Gold Leaf Eye Patch,Bent Tongue Feisty,,Green Spikes,,Pink,
83,Tezzardz #83,Purple,Orange,Heavy Bolt,Bone,$$,Cool Shades,Green Tongue Feisty,Space Onesie,Backwards Cap,,,
84,Tezzardz #84,Blue,Purple,Heavy,,$$$,,Straight Tongue Sad,Permanent Vacation Tee,Fancy Hat,,,
85,Tezzardz #85,Blue,Orange,Heavy,,$$,,Straight Tongue Sad,Patterned Tee,Yellow Spikes,,,
86,Tezzardz #86,Purple,Red,Heavy,Bone,,Gold Leaf Eye Patch,Straight Tongue Sad,Permanent Vacation Tee,Purple Spikes,,,
87,Tezzardz #87,Purple,Yellow,Freckles,,,,Tiny Face,Ghost Tee,Yellow Spikes,,,
88,Tezzardz #88,Peach,Green,Heavy Bolt,Rainbow,$,Gold Leaf Eye Patch,Straight Tongue Feisty,Pool Shirt,Sad Boi Cap,,,
89,Tezzardz #89,Yellow,Green,Heavy,Rainbow,$$,Tech Scope,Dumb Tongue,Tassle Jacket,Red Spikes,,Pink,
90,Tezzardz #90,Purple,Purple,Heavy,Rainbow,$,Disguise Glasses,Straight Tongue Feisty,Ghost Tee,Plain Black Spikes,,,
91,Tezzardz #91,Peach,Red,Heavy Bolt,Gold,,,Green Tongue Feisty,Patterned Sweater,Limited Spikes,,Pink,
92,Tezzardz #92,Green,Purple,Heavy,,$$$$,Tech Scope,Straight Tongue Sad,Video Games Tee,Plain Black Spikes,,,
93,Tezzardz #93,Purple,Green,Heavy Freckles,Bone,$,,Green Tongue Feisty,Patterned Sweater,Green Spikes,,Pink,
94,Tezzardz #94,Green,Purple,Heavy Freckles,,$,Hearts Shades,Split Tongue Pink Feisty,Space Onesie,Green Spikes,,,
95,Tezzardz #95,Green,Yellow,Heavy,Bone,$,Gold Leaf Eye Patch,Green Tongue Wavy Sassy,,,,,
96,Tezzardz #96,Peach,Orange,Freckles,,$$,,Straight Tongue Sad,Pool Shirt,Plain Black Spikes,Scar,,
97,Tezzardz #97,Green,Red,Freckles,Bone,$$$,Dopey Swimming Goggles,Green Tongue Wavy Sassy,Tech Armour,Rare Frog Hat,,,
98,Tezzardz #98,Purple,Red,Heavy Freckles,,$$,Gold Leaf Eye Patch,Straight Tongue Sad,Ghost Tee,Backwards Cap Jungle,,,
99,Tezzardz #99,Pink,Purple,Freckles,,$$,,Straight Tongue Sad,Patterned Sweater,,,,
100,Tezzardz #100,Green,Purple,Bolt,,$$$$,Cool Shades,Split Tongue Angry,Fk Yeh Sweater,Rainbow Spikes,,,
101,Tezzardz #101,Peach,Yellow,Bolt,,$$$,,Straight Tongue Feisty,Tassle Jacket,Backwards Cap Jungle,,,
102,Tezzardz #102,Green,Yellow,Heavy,Bone,$,Gold Leaf Eye Patch,Straight Tongue Feisty,Rainbow Onesie,Hunting Hat,,,
103,Tezzardz #103,Yellow,Yellow,Heavy Freckles,Gold,$$$$,,Split Tongue Angry,Tassle Jacket,Yellow Spikes,Scar,,
104,Tezzardz #104,Blue,Red,Bolt,,,Dopey Swimming Goggles,Split Tongue Angry,Patterned Sweater,Jester Crown,Scar,,
105,Tezzardz #105,Blue,Yellow,Heavy Freckles,,$,Monocle,Bent Tongue Feisty,Tassle Jacket,Yellow Spikes,,,
106,Tezzardz #106,Blue,Orange,Bolt,,$$$,,Split Tongue Feisty,Patterned Sweater,Plain Black Spikes,,Pink,
107,Tezzardz #107,Pink,Green,Heavy,,$$,Flame Shades,Dumb Tongue,Silk Shirt Dark,,,Pink,
108,Tezzardz #108,Pink,White,Purple,Bone,$$$,Bad Eyesight Reybannes,Green Tongue Feisty,Ghost Tee,,,,
109,Tezzardz #109,Green,Yellow,Heavy,Rainbow,$$,Dopey Swimming Goggles,Straight Tongue Sad,Space Onesie,,,,
110,Tezzardz #110,Yellow,Green,Heavy,,$,Dopey Swimming Goggles,Straight Tongue Sad,Tassle Jacket,Sad Boi Cap,,,
111,Tezzardz #111,Yellow,Purple,Freckles,,$,Flame Shades,Split Tongue Feisty,Space Onesie,Green Spikes,,,
112,Tezzardz #112,Blue,Purple,Freckles,Bone,$$,Disguise Glasses,Split Tongue Feisty,Silk Shirt Dark,Yellow Spikes,,Green,
113,Tezzardz #113,Purple,Orange,Bolt,Rainbow,$$,,Straight Tongue Sad,Patterned Tee,Party Pal Hat,,,
114,Tezzardz #114,Peach,Yellow,Heavy,,$$$,Gold Leaf Eye Patch,Straight Tongue Sad,Pink Biker,Rainbow Spikes,,Green,
115,Tezzardz #115,Purple,Red,Heavy,,,Dopey Swimming Goggles,Green Tongue Wavy Sassy,Patterned Sweater,Plain Black Spikes,,,
116,Tezzardz #116,Peach,Red,Freckles,Gold,$,,Straight Tongue Sad,Patterned Sweater,Jester Crown,,,
117,Tezzardz #117,Peach,Purple,Bolt,,$$,Disguise Glasses,Split Tongue Feisty,Tassle Jacket,Backwards Cap Jungle,,,
118,Tezzardz #118,Purple,Purple,Heavy Freckles,,$$,Cool Shades,Straight Tongue Feisty,Pink Biker,Plain Black Spikes,,,
119,Tezzardz #119,Pink,Purple,Bolt,Rainbow,$$,Gold Leaf Eye Patch,Straight Tongue Feisty,Pink Biker,,,Red,
120,Tezzardz #120,Blue,Purple,Freckles,Gold,$,Flame Shades,Split Tongue Angry,Fk Yeh Sweater,,,,
121,Tezzardz #121,Yellow,Orange,Freckles,Bone,,,Split Tongue Feisty,Video Games Tee,Fancy Hat,,,
122,Tezzardz #122,Green,Purple,Orange,Bone,$,Cool Shades,Straight Tongue Feisty,Ghost Tee,Purple Spikes,,,
123,Tezzardz #123,Green,Yellow,Bolt,Bone,$$,,Green Tongue Feisty,Ghost Tee,Sad Boi Cap,,,
124,Tezzardz #124,Green,Red,Heavy,Bone,$$,Cool Shades,Bent Tongue Feisty,Video Games Tee,Plain Black Spikes,,,
125,Tezzardz #125,Blue,Green,Heavy,Bone,$$,Cool Shades,Straight Tongue Feisty,,Backwards Cap Flames,,Pink,
126,Tezzardz #126,Purple,Yellow,Heavy,Gold,$,,Green Tongue Feisty,Video Games Tee,Green Spikes,,,
127,Tezzardz #127,Yellow,Red,Bolt,,$$$,Cool Shades,Blue Tongue Wavy Not Amused,Tassle Jacket,Rare Frog Hat,,,
128,Tezzardz #128,Peach,Green,Freckles,Bone,$,Gold Leaf Eye Patch,Green Tongue Wavy Sassy,Ghost Tee,Yellow Spikes,,,
129,Tezzardz #129,Pink,Yellow,Heavy,,$,Tech Scope,Split Tongue Feisty,Rainbow Onesie,Green Spikes,,,
130,Tezzardz #130,Pink,Orange,Heavy Freckles,Rainbow,$,,Blue Tongue Wavy Not Amused,Gardening Utility Belt,Yellow Spikes,,,
131,Tezzardz #131,Pink,Orange,Heavy,Bone,$$$$,Gold Leaf Eye Patch,Bent Tongue Feisty,Patterned Sweater,,,Pink,
132,Tezzardz #132,Peach,Green,Purple,,,Gold Leaf Eye Patch,Green Tongue Wavy Sassy,Firework Utility Belt,Yellow Spikes,,,
133,Tezzardz #133,Blue,Red,Heavy Freckles,Bone,,Monocle,Straight Tongue Sad,Rainbow Onesie,Purple Spikes,Scar,,
134,Tezzardz #134,Pink,Green,Heavy Bolt,,$,Bad Eyesight Reybannes,Straight Tongue Sad,Tech Armour,Backwards Cap Jungle,,,
135,Tezzardz #135,Blue,Yellow,Heavy Bolt,,$$,,Bent Tongue Feisty,Patterned Sweater,Yellow Spikes,,,
136,Tezzardz #136,Yellow,Orange,Heavy,,$$,Flame Shades,Straight Tongue Sad,Patterned Sweater,Purple Spikes,,Green,
137,Tezzardz #137,Yellow,Green,Bolt,,$$$,Hearts Shades,Straight Tongue Sad,Meditation Tee,Limited Spikes,,,
138,Tezzardz #138,Purple,Purple,Heavy Freckles,Rainbow,$$,Gold Leaf Eye Patch,Green Tongue Feisty,Ghost Tee,Red Spikes,Scar,,
139,Tezzardz #139,Pink,Yellow,Heavy,Bone,$,,Green Tongue Feisty,Patterned Sweater,Purple Spikes,,,
140,Tezzardz #140,Yellow,Yellow,Freckles,Bone,,,Straight Tongue Sad,Patterned Sweater,Fancy Hat,,,
141,Tezzardz #141,Pink,Yellow,Freckles,,,Hearts Shades,Split Tongue Feisty,Rainbow Onesie,Yellow Spikes,,,
142,Tezzardz #142,Blue,Yellow,Bolt,,$$$,Cool Shades,Green Tongue Wavy Sassy,Silk Shirt Dark,Plain Black Spikes,,Green,
143,Tezzardz #143,Yellow,Purple,Freckles,Bone,$$$$,Joke Eyes Glasses,Split Tongue Pink Feisty,Patterned Sweater,Sad Boi Cap,,,
144,Tezzardz #144,Yellow,Red,Heavy Bolt,,$,Cool Shades,Split Tongue Angry,Silk Shirt Blue,Sad Boi Cap,,Pink,
145,Tezzardz #145,Pink,Red,Heavy,Bone,$,Bad Eyesight Reybannes,Straight Tongue Sad,,Party Pal Hat,,,
146,Tezzardz #146,Purple,Orange,Heavy Freckles,,$,,Split Tongue Angry,Patterned Sweater,Limited Spikes,,,
147,Tezzardz #147,Blue,Green,Heavy Freckles,Bone,,Cool Shades,Green Tongue Wavy Sassy,,,,Red,
148,Tezzardz #148,Yellow,Green,Heavy Freckles,Bone,,Flame Shades,Green Tongue Wavy Sassy,Patterned Sweater,Sad Boi Cap,,,
149,Tezzardz #149,Purple,Red,Heavy Freckles,,$$,,Straight Tongue Feisty,Meditation Tee,Sad Boi Cap,,,
150,Tezzardz #150,Green,Yellow,Freckles,,$,Plain Specs,Straight Tongue Feisty,Firework Utility Belt,Purple Spikes,,,
151,Tezzardz #151,Pink,Red,Heavy,Rainbow,$$$$,Plain Specs,Straight Tongue Feisty,Permanent Vacation Tee,Party Pal Hat,,,
152,Tezzardz #152,Purple,Green,Bolt,,$$,Monocle,Split Tongue Angry,Tassle Jacket,Limited Spikes,,,
153,Tezzardz #153,Yellow,Red,Freckles,Rainbow,$,Cool Shades,Straight Tongue Sad,Shrine Onesie,Yellow Spikes,,,
154,Tezzardz #154,Peach,Green,Bolt,Bone,$$,Plain Specs,Straight Tongue Sad,Rainbow Onesie,Purple Spikes,,,
155,Tezzardz #155,Green,Orange,Freckles,Bone,,,Green Tongue Feisty,Permanent Vacation Tee,,Scar,,
156,Tezzardz #156,Purple,Orange,Bolt,Rainbow,$$$$,Dopey Swimming Goggles,Straight Tongue Feisty,Video Games Tee,Backwards Cap Jungle,,,
157,Tezzardz #157,Blue,Red,Freckles,,$$,Disguise Glasses,Green Tongue Wavy Sassy,Silk Shirt Blue,Plain Black Spikes,,,
158,Tezzardz #158,Green,Green,Freckles,,$$,Monocle,Straight Tongue Sad,Fk Yeh Sweater,Hunting Hat,,,
159,Tezzardz #159,Yellow,Orange,Heavy,,$$$,Tech Scope,Green Tongue Feisty,Patterned Sweater,Rainbow Spikes,,,
160,Tezzardz #160,Purple,Red,Heavy Freckles,Rainbow,$$$,Gold Leaf Eye Patch,Green Tongue Wavy Sassy,Fk Yeh Sweater,Backwards Cap Jungle,,,
161,Tezzardz #161,Blue,Green,Red,,$,Bad Eyesight Reybannes,Split Tongue Feisty,Silk Shirt Dark,Yellow Spikes,,,
162,Tezzardz #162,Purple,Red,Bolt,,$$$$,Dopey Swimming Goggles,Split Tongue Pink Feisty,Pool Shirt,Green Spikes,,,
163,Tezzardz #163,Green,Purple,Heavy Freckles,Bone,$$$,Cool Shades,Straight Tongue Feisty,,,,,
164,Tezzardz #164,Purple,Yellow,Red,,$$$$$,Gold Leaf Eye Patch,Bent Tongue Feisty,Pink Biker,Rainbow Spikes,,,
165,Tezzardz #165,Blue,Red,Heavy,,$$,Cool Shades,Straight Tongue Feisty,Skulls Shell Suit,Green Spikes,,,
166,Tezzardz #166,Pink,Purple,Freckles,,,Monocle,Split Tongue Feisty,Tassle Jacket,Sad Boi Cap,,,
167,Tezzardz #167,Green,Purple,Heavy Bolt,,,,Split Tongue Feisty,Space Onesie,Fancy Hat,Scar,,
168,Tezzardz #168,Blue,Orange,Heavy,,$,Cool Shades,Split Tongue Feisty,Space Onesie,,,,
169,Tezzardz #169,Yellow,Purple,Heavy Freckles,,$$,,Bent Tongue Feisty,Patterned Sweater,Rare Frog Hat,,Pink,
170,Tezzardz #170,Pink,Purple,Heavy Bolt,,,Bad Eyesight Reybannes,Green Tongue Feisty,,,,,
171,Tezzardz #171,Peach,Purple,Heavy,,$$$$,,Straight Tongue Sad,Pink Biker,Green Spikes,,,
172,Tezzardz #172,Blue,Green,Freckles,,$,,Dumb Tongue,Tassle Jacket,Party Pal Hat,,Red,
173,Tezzardz #173,Green,Orange,Heavy Bolt,,$$,,Green Tongue Feisty,Ghost Tee,Purple Spikes,,,
174,Tezzardz #174,Peach,Purple,Heavy Bolt,,$$$,,Split Tongue Pink Feisty,Ghost Tee,Green Spikes,,,
175,Tezzardz #175,Peach,Orange,Heavy Bolt,,$,Disguise Glasses,Bent Tongue Feisty,Meditation Tee,,,,
176,Tezzardz #176,Pink,Green,Bolt,Bone,$,Cool Shades,Straight Tongue Feisty,Fk Yeh Sweater,Plain Black Spikes,,,
177,Tezzardz #177,Green,Green,Freckles,,,Bad Eyesight Reybannes,Split Tongue Pink Feisty,Rainbow Onesie,,,,
178,Tezzardz #178,Yellow,White,Heavy Bolt,,,Monocle,Straight Tongue Feisty,Silk Shirt Blue,Sad Boi Cap,,,
179,Tezzardz #179,Green,Red,Freckles,Rainbow,$,,Split Tongue Feisty,Silk Shirt Dark,Purple Spikes,Scar,Red,
180,Tezzardz #180,Peach,Green,Heavy Bolt,,$$$,Flame Shades,Green Tongue Feisty,Space Onesie,Limited Spikes,,,
181,Tezzardz #181,Purple,Green,Bolt,,$$$,,Split Tongue Angry,Silk Shirt Dark,Backwards Cap,,Red,
182,Tezzardz #182,Purple,Orange,Freckles,,$$$,Cool Shades,Straight Tongue Sad,,Red Spikes,,,
183,Tezzardz #183,Green,Purple,Bolt,Bone,,Monocle,Straight Tongue Sad,Patterned Tee,Green Spikes,,,
184,Tezzardz #184,Blue,Purple,Heavy Freckles,,$,,Bent Tongue Feisty,Patterned Tee,,,,
185,Tezzardz #185,Green,Yellow,Bolt,,$$$,Plain Specs,Split Tongue Angry,Space Onesie,Yellow Spikes,,,
186,Tezzardz #186,Green,Orange,Heavy,,$$$$,Hearts Shades,Blue Tongue Wavy Not Amused,Ghost Tee,Yellow Spikes,,,
187,Tezzardz #187,Peach,Red,Heavy Freckles,,$$$,Cool Shades,Straight Tongue Feisty,Meditation Tee,Red Spikes,,,
188,Tezzardz #188,Pink,Orange,Heavy Freckles,Bone,$,Tech Scope,Straight Tongue Feisty,Pink Biker,Limited Spikes,Scar,,
189,Tezzardz #189,Peach,Green,Bolt,,$$,Bad Eyesight Reybannes,Straight Tongue Feisty,Rainbow Onesie,Limited Spikes,,,
190,Tezzardz #190,Purple,Orange,Freckles,,$$$,Cool Shades,Straight Tongue Feisty,Space Onesie,Limited Spikes,,,
191,Tezzardz #191,Pink,Purple,Heavy,Rainbow,$$$$,Gold Leaf Eye Patch,Split Tongue Angry,Ghost Tee,Green Spikes,,,
192,Tezzardz #192,Pink,Yellow,Bolt,,$$$,Flame Shades,Green Tongue Wavy Sassy,Pink Biker,Rare Frog Hat,,,
193,Tezzardz #193,Purple,Green,Heavy Bolt,Gold,$$,Cool Shades,Split Tongue Angry,Tassle Jacket,Backwards Cap Jungle,,,
194,Tezzardz #194,Green,Red,Orange,Bone,$,Cool Shades,Green Tongue Feisty,Ghost Tee,Fancy Hat,Scar,,
195,Tezzardz #195,Green,Purple,Orange,Bone,$,Hearts Shades,Bent Tongue Feisty,Tech Armour,Rare Frog Hat,,,
196,Tezzardz #196,Blue,Orange,Heavy Bolt,,$,,Split Tongue Feisty,Pool Shirt,Limited Spikes,,,
197,Tezzardz #197,Blue,Yellow,Heavy Bolt,Gold,,Cool Shades,Bent Tongue Feisty,Space Onesie,,,,
198,Tezzardz #198,Green,Orange,Heavy Bolt,,$,Flame Shades,Split Tongue Feisty,Patterned Sweater,Green Spikes,,,
199,Tezzardz #199,Yellow,Green,Freckles,Gold,,Bad Eyesight Reybannes,Bent Tongue Feisty,Silk Shirt Dark,Hunting Hat,Scar,,
200,Tezzardz #200,Purple,Purple,Green,Bone,$,,Bent Tongue Feisty,Ghost Tee,Yellow Spikes,,,
