TOKEN_ID,TOKEN_NAME,Type,Hat,Eyes,Nose,Clothes,Skin,Pattern,Background,Mouth,Tattoo,Skeleton,Goldchain
72,Cryptomories #72,Skeleton,Vietnam Era Helmet,Strider Glasses,Normal,Samurai Blue,Blue,Flower Pattern,Light Orange,Cigarette,,,
73,Cryptomories #73,Skeleton,Headband Red,Dead Eyes,Normal,Hoodie Pink CM,Blue,Flower Pattern,Aquamarine,,,Painted Skeleton,
74,Cryptomories #74,Zombie,Laurel Wreath,Dead Eyes,Normal,Leather Jacket,,Flower Pattern,Beige,,Small Tattoos,,
75,Cryptomories #75,Skeleton,Bowler Hat,Happy Eyes,Normal,Freedy Tank Top,Aquamarine,Aztec Patterns,Blue,,,,
76,Cryptomories #76,Skeleton,Sushi Chef Headband,Retro Cartoon Eyes,Normal,T Pink B&B,Red,Aztec Patterns,Light Orange,,,Painted Skeleton,
77,Cryptomories #77,Skeleton,Biker Helmet Black Spikes POM,Dead Eyes,Normal,Hoodie Black POM,Yellow,Flower Pattern,Purple,,Big Tattoos,,
78,Cryptomories #78,Skeleton,Musician Hat,Cool Shades,Normal,Clown Outfit,Yellow,,Light Red,,Small Tattoos,,
79,Cryptomories #79,Skeleton,Knitted Beanie Red,Bloodshot,Normal,Dress Blue,Black,,Green,,,,
80,Cryptomories #80,Skeleton,Headband Red,Retro Cartoon Eyes,Normal,T Grey POM,,,Green,,Small Tattoos,,
81,Cryptomories #81,Skeleton,Laurel Wreath,Happy Eyes,Normal,Bathrobe Pink,Red,,Grey,,Small Tattoos,,
82,Cryptomories #82,Skeleton,Flower Blue,Laser Eyes,Normal,Bandana Red,Black,,Beige,,Small Tattoos,,
83,Cryptomories #83,Skeleton,Ninja Balaclava,Cool Shades,Normal,Bandana Blue,Blue,,Beige,,Big Tattoos,,
84,Cryptomories #84,Skeleton,Clown Hair Blue,Retro Cartoon Eyes,Normal,Rick Outfit,Yellow,,Light Orange,,,,
85,Cryptomories #85,Zombie,Halo,Heart Eyes,Normal,Dress Pink,,,Green,,,,
86,Cryptomories #86,Zombie,Mummy,Angry Eyes,Normal,Bandana Red,,Flower Pattern,Light Red,,,,
87,Cryptomories #87,Skeleton,Manga Hair  Dark,Pirate Patch Peaceful,Normal,Fake Shaolin Outfit,,Flower Pattern,Aquamarine,,,Painted Skeleton,
88,Cryptomories #88,Skeleton,Knitted Beanie Orange,Sad Eyes,Normal,Hoodie Grey CM,Red,,Blue,,,,
89,Cryptomories #89,Skeleton,Clown Hair Blue,Cute Eyes,Normal,Tank Top Pink CM,Rainbow,Aztec Patterns,Light Orange,,,,
90,Cryptomories #90,Zombie,Cap B&B Purple,Exasperated Eyes,Normal,Bandana Red,,,Aquamarine,,Small Tattoos,,
91,Cryptomories #91,Skeleton,Metal Spikes Mohawk,Cute Spider Eyes,Normal,Sweater Pink CM,,Aztec Patterns,Blue,,Big Tattoos,Painted Skeleton,
92,Cryptomories #92,Skeleton,Bucket Hat CM+B&B,Square Shades,Normal,Admirals Coat Red,Blue,,Beige,,,Painted Skeleton,
93,Cryptomories #93,OpenSkull,Cocktail ,Pirate Patch Exasperated,Normal,Pharaoh Neckless,Aquamarine,Flower Pattern,Purple,,Small Tattoos,Painted Skeleton,
94,Cryptomories #94,Devil,Top Hat,Retro Cartoon Eyes,Normal,Hoodie Blue B&B,,,Beige,,,Painted Skeleton,
95,Cryptomories #95,Skeleton,Headband Red,Happy Eyes,Normal,T Pink B&B,Yellow,,Grey,,,,
96,Cryptomories #96,Skeleton,Manga Hair  Blue,Pirate Patch Evil Morty,Normal,Hoodie Red CM,Yellow,,Aquamarine,,,,
97,Cryptomories #97,Skeleton,Knitted Beanie Red,Cyclop Eye,Normal,Rick Outfit,Blue,,Light Red,,Small Tattoos,,Gold Chain Skull
98,Cryptomories #98,Skeleton,Bandana Dark,Cute Eyes,Normal,Work Outfit Blue,Yellow,Aztec Patterns,Light Red,Cigarette,Small Tattoos,,
99,Cryptomories #99,Skeleton,Dread Long Dark,Bored Eyes,Normal,Sweater Pink CM,Blue,Flower Pattern,Blue,,Small Tattoos,,
100,Cryptomories #100,Skeleton,Clown Hair Blue,Retro Cartoon Eyes,Normal,Dress Blue,Blue,Aztec Patterns,Purple,,Big Tattoos,,
101,Cryptomories #101,Zombie,Flower Crown Blue,Dia De Los Muertos Eyes,Normal,Dress Blue,,,Light Orange,,,,
102,Cryptomories #102,Skeleton,Beret Green,Happy Eyes,Normal,Sweater Pink CM,Red,Flower Pattern,Green,,,,
103,Cryptomories #103,Zombie,Mummy,Pirate Patch Bloodshot,Normal,Butler Outfit,,,Purple,,,,
104,Cryptomories #104,Devil,Metal Spikes,Spider Eyes,Normal,Astro Orange,,Aztec Patterns,Grey,,Big Tattoos,,
105,Cryptomories #105,Skeleton,Workers Hard Hat,Angry Eyes,Normal,Hoodie Pink CM,,,Aquamarine,Cigarette,,,
106,Cryptomories #106,Skeleton,Deer Horns,Cute Eyes,Normal,Work Outfit Blue,,,Blue,,,,
107,Cryptomories #107,Skeleton,Feather,Bloodshot,Normal,Fake Shaolin Outfit,Aquamarine,,Grey,Tongue,Big Tattoos,,
108,Cryptomories #108,Skeleton,Devil Horns,Retro Cartoon Eyes 2,Normal,Dress Pink,Blue,,Beige,Tongue,,,Gold Chain GM
109,Cryptomories #109,Skeleton,Metal Spikes,Strider Glasses,Normal,Sweater Pink CM,Blue,,Purple,,Big Tattoos,,
110,Cryptomories #110,Zombie,Clown Hair Red,Heart Eyes,Normal,Bandana Red,,Aztec Patterns,Green,,,,
111,Cryptomories #111,Skeleton,Dread Short Blond,Bloodshot,Normal,,Yellow,,Blue,,,Painted Skeleton,
112,Cryptomories #112,Skeleton,Party Hat,Happy Eyes,Normal,Hoodie Green B&B,,Aztec Patterns,Grey,,Big Tattoos,,
113,Cryptomories #113,Skeleton,,Cyclop Eye,Normal,DBZ Outfit,Rainbow,,Grey,,Big Tattoos,,
114,Cryptomories #114,Skeleton,Kitty Red Bow,Rick Eyes,Normal,T Grey POM,Aquamarine,,Light Red,,,,
115,Cryptomories #115,Skeleton,Dread Long Red,Cute Spider Eyes,Normal,,Yellow,,Aquamarine,,,Painted Skeleton,
116,Cryptomories #116,Skeleton,Roman Helmet,Thug Life Glasses,Normal,Tank Top Grey POM,Aquamarine,Flower Pattern,Light Orange,,,,
117,Cryptomories #117,Skeleton,,Exasperated Eyes,Normal,Hoodie Black POM,Blue,,Grey,,,Painted Skeleton,
118,Cryptomories #118,Zombie,Bucket Hat Flower,Heart Eyes,Normal,Pharaoh Neckless,,Aztec Patterns,Purple,,,,
119,Cryptomories #119,Zombie,,Pirate Patch Exasperated,Normal,T Pink B&B,,Aztec Patterns,Grey,,,,
120,Cryptomories #120,Skeleton,Party Hat,Heart Eyes,Normal,Sheriff Outfit,Black,Flower Pattern,Aquamarine,Special Cigarette,Big Tattoos,Painted Skeleton,
121,Cryptomories #121,Skeleton,Basquat Crown,Happy Eyes,Normal,Tank Top Blue B&B,Yellow,Flower Pattern,Grey,,,,
122,Cryptomories #122,Skeleton,Party Hat,Pirate Patch Bloodshot,Normal,Fake Shaolin Outfit,Blue,Flower Pattern,Light Orange,Cigarette,,,
123,Cryptomories #123,Skeleton,Savage Hair Dark,Happy Eyes,Normal,Badass Leather Jacket,Red,,Light Orange,,Big Tattoos,Painted Skeleton,
124,Cryptomories #124,Zombie,Knitted Beanie Orange,Heart Glasses,Normal,Fake Shaolin Outfit,,Aztec Patterns,Green,,,,
125,Cryptomories #125,Skeleton,Arrow,Happy Eyes,Normal,Bandana Blue,Aquamarine,,Beige,,,Painted Skeleton,Gold Chain GM
126,Cryptomories #126,Zombie,Bandana Blue,Visor Cute Eyes,Normal,Bandana Red,,Aztec Patterns,Aquamarine,Cigarette,,,
127,Cryptomories #127,Devil,Dread Short Brown,Cyclop's Glasses,Normal,Tank Top Pink CM,,Aztec Patterns,Green,,,,
128,Cryptomories #128,Skeleton,Dread Short Dark,Aviator Glasses,Clown,T Pink B&B,Aquamarine,Flower Pattern,Grey,,Small Tattoos,,
129,Cryptomories #129,Skeleton,Manga Hair  Purple,Cute Spider Eyes,Normal,Galactical Emperor Suit,Aquamarine,,Light Orange,,,,
130,Cryptomories #130,Skeleton,Sushi Chef Headband,Cute Eyes,Normal,Hoodie Green B&B,,,Blue,,,Painted Skeleton,
131,Cryptomories #131,Devil,Party Hat,Exasperated Eyes,Normal,Tank Top Blue B&B,,Aztec Patterns,Light Red,,,Painted Skeleton,
132,Cryptomories #132,Skeleton,Sport Headband,Exasperated Eyes,Normal,Armor Blue,Red,Flower Pattern,Grey,Tongue,Big Tattoos,,
133,Cryptomories #133,Zombie,Headband Red,Happy Eyes,Normal,,,Aztec Patterns,Aquamarine,,,,
134,Cryptomories #134,Devil,Arrow,Pirate Patch Peaceful,Normal,Tank Top Grey POM,,,Purple,Tongue,Small Tattoos,,
135,Cryptomories #135,Skeleton,Cap B&B Purple,Sad Eyes,Normal,Fake Shaolin Outfit,Red,Flower Pattern,Blue,,,,
136,Cryptomories #136,Skeleton,Dread Long Dark,Happy Eyes,Normal,Fake Shaolin Outfit,Black,Flower Pattern,Light Red,,,,
137,Cryptomories #137,Skeleton,Flower Crown Pink,Square Shades,Normal,Sweater Pink CM,,Aztec Patterns,Purple,,,Painted Skeleton,
138,Cryptomories #138,Skeleton,Arrow,Retro Cartoon Eyes,Normal,Sweater Pink CM,Yellow,Aztec Patterns,Purple,,Small Tattoos,,Gold Chain Skull
139,Cryptomories #139,Skeleton,Basquat Crown,Retro Cartoon Eyes,Normal,T Pink B&B,,,Aquamarine,,,Painted Skeleton,
140,Cryptomories #140,Skeleton,,Crazy Eyes,Normal,Tank Top Blue B&B,,,Beige,,,Painted Skeleton,
141,Cryptomories #141,Skeleton,Dread Short Brown,Rick Eyes,Normal,Samurai Blue,Yellow,,Blue,Cigarette,Small Tattoos,Painted Skeleton,
142,Cryptomories #142,Skeleton,Flower Blue,Sad Eyes,Normal,Dress Blue,,Flower Pattern,Blue,,,Painted Skeleton,Gold Chain Skull
143,Cryptomories #143,Skeleton,,Heart Eyes,Normal,Badass Leather Jacket,Yellow,,Blue,,Big Tattoos,,
144,Cryptomories #144,Robot,Dread Short Blond,Bloodshot,Normal,T Grey POM,,,Beige,,,,
145,Cryptomories #145,Skeleton,Shell Red,Hero Mask,Normal,T Pink B&B,,Aztec Patterns,Light Orange,,,Painted Skeleton,
146,Cryptomories #146,Skeleton,Sushi Chef Headband,Crazy Eyes,Normal,,Yellow,Aztec Patterns,Aquamarine,,,,
147,Cryptomories #147,Zombie,,Square Shades,Normal,Bandana Blue,,Aztec Patterns,Green,,Small Tattoos,,
148,Cryptomories #148,Skeleton,Arrow,Angry Eyes,Normal,Bathrobe Blue,Blue,Aztec Patterns,Grey,,,,Gold Chain Skull
149,Cryptomories #149,Skeleton,Pyramid Hat,Sad Eyes,Normal,Bathrobe White,Black,,Purple,,,,
150,Cryptomories #150,Skeleton,Flower Blue,Happy Eyes,Normal,Sweater Pink CM,Red,Aztec Patterns,Grey,Special Cigarette,Small Tattoos,,
151,Cryptomories #151,Skeleton,Flower Blue,Crazy Eyes,Clown,T Pink B&B,Yellow,Flower Pattern,Grey,,,,
152,Cryptomories #152,Skeleton,Party Hat,Mask and Tuba Angry,Normal,Suit Blue,Aquamarine,,Blue,,Big Tattoos,Painted Skeleton,
153,Cryptomories #153,Skeleton,Knitted Beanie Orange,Pirate Patch Peaceful,Normal,Clown Outfit,,Aztec Patterns,Beige,,,Painted Skeleton,
154,Cryptomories #154,Zombie,Feather,Dead Eyes,Normal,Hoodie Black POM,,,Light Orange,,,,
155,Cryptomories #155,Skeleton,Roman Helmet,Happy Eyes,Normal,Sweater Pink CM,,,Grey,,Big Tattoos,,
156,Cryptomories #156,Skeleton,Bucket Hat Flower,Visor Cute Eyes,Normal,Bathrobe Pink,,Flower Pattern,Light Red,Cigarette,,Painted Skeleton,
157,Cryptomories #157,Devil,Flower Crown Blue,Square Shades,Normal,,,,Purple,,,,
158,Cryptomories #158,Skeleton,Beret French,Sad Eyes,Normal,T Pink B&B,,Aztec Patterns,Aquamarine,,,,
159,Cryptomories #159,Skeleton,Dread Long Dark,Angry Eyes,Normal,Synthetic Cool Cat Fur Coat,,,Aquamarine,,,,
160,Cryptomories #160,Skeleton,Sport Headband,Pirate Patch Bloodshot,Normal,Rick Outfit,Black,Aztec Patterns,Blue,,Small Tattoos,,
161,Cryptomories #161,Skeleton,,Exasperated Eyes,Normal,Bandana Blue,Red,,Grey,,,Painted Skeleton,
162,Cryptomories #162,Skeleton,,Heart Eyes,Normal,Work Outfit Red,Blue,Flower Pattern,Light Red,,Big Tattoos,Painted Skeleton,
163,Cryptomories #163,Skeleton,Ninja Balaclava,Happy Eyes,Normal,Work Outfit Red,Yellow,,Beige,Cigarette,Big Tattoos,,Gold Chain GM
164,Cryptomories #164,Skeleton,Devil Horns,Bored Eyes,Normal,Bandana Blue,,Flower Pattern,Beige,,,,
165,Cryptomories #165,Skeleton,Laurel Wreath,Pirate Patch Evil Morty,Normal,Samurai Blue,Blue,Flower Pattern,Grey,,,Painted Skeleton,
166,Cryptomories #166,Devil,Flower Hat,Retro Cartoon Eyes 2,Normal,Armor Blue,,Flower Pattern,Green,,Big Tattoos,,
167,Cryptomories #167,Skeleton,Chef's Hat,Dia De Los Muertos Eyes,Normal,Work Outfit Red,Yellow,Aztec Patterns,Light Orange,,,Painted Skeleton,
168,Cryptomories #168,Skeleton,Bucket Hat Flower,Exasperated Eyes,Normal,Hoodie Blue B&B,Yellow,Aztec Patterns,Beige,Special Cigarette,Big Tattoos,Painted Skeleton,
169,Cryptomories #169,Skeleton,,Bored Eyes,Normal,Hoodie Red CM,Yellow,Flower Pattern,Light Orange,,,Painted Skeleton,
170,Cryptomories #170,Skeleton,Astro Orange,Hero Mask,Normal,Tank Top Blue B&B,Rainbow,Flower Pattern,Light Red,,Big Tattoos,,
171,Cryptomories #171,Skeleton,Rat Ears,Exasperated Eyes,Normal,Sweater Green CM,Blue,,Aquamarine,Tongue,Small Tattoos,,
172,Cryptomories #172,Devil,Bucket Hat CM+B&B,Angry Eyes,Normal,,,Aztec Patterns,Green,,,Painted Skeleton,
173,Cryptomories #173,Skeleton,Party Hat,Pirate Patch Bloodshot,Normal,Samurai Black,Aquamarine,Aztec Patterns,Light Orange,,,Painted Skeleton,
174,Cryptomories #174,Skeleton,Roman Helmet,Spider Eyes,Normal,Rick Outfit,Yellow,Aztec Patterns,Beige,,,Painted Skeleton,
175,Cryptomories #175,Robot,Flower Crown Pink,Crazy Eyes,Clown,Suit Blue,,,Grey,,,,
176,Cryptomories #176,Skeleton,Dread Short Blond,Pirate Patch Exasperated,Normal,Admirals Coat Red,Yellow,,Light Red,,,,
177,Cryptomories #177,Skeleton,Cool Cat Costume,Hero Mask,Normal,Hoodie Pink CM,Blue,,Green,,Small Tattoos,,
178,Cryptomories #178,Skeleton,Bucket Hat Flower,Pirate Patch Bloodshot,Normal,T Pink B&B,,,Green,,,,Gold Chain Skull
179,Cryptomories #179,Skeleton,Savage Hair Dark,Happy Eyes,Normal,Pharaoh Neckless,Red,,Purple,,,,Gold Chain Skull
180,Cryptomories #180,Skeleton,,Dia De Los Muertos Eyes,Normal,Hoodie Grey CM,Blue,,Green,Cigarette,Big Tattoos,Painted Skeleton,
181,Cryptomories #181,Skeleton,Roman Helmet,Aviator Glasses,Normal,Sweater Pink CM,Aquamarine,Aztec Patterns,Light Red,,,,
182,Cryptomories #182,Skeleton,Biker Helmet Blue Spikes CM,Retro Cartoon Eyes,Normal,Galactical Emperor Suit,Red,Aztec Patterns,Beige,,Small Tattoos,,
183,Cryptomories #183,Robot,Workers Hard Hat,Happy Eyes,Normal,T Pink B&B,,,Beige,Cigarette,,,
184,Cryptomories #184,Skeleton,Party Hat,Aviator Glasses,Normal,Shaolin Outfit,Red,Aztec Patterns,Grey,,,Painted Skeleton,
185,Cryptomories #185,Skeleton,Knitted Beanie Red,Exasperated Eyes,Normal,Bathrobe Pink,Aquamarine,Flower Pattern,Beige,,,,
186,Cryptomories #186,Skeleton,Savage Hair Red,Retro Cartoon Eyes,Normal,Dress Pink,Yellow,,Green,,,,
187,Cryptomories #187,Robot,,Exasperated Eyes,Normal,Sweater Pink CM,,,Beige,,Big Tattoos,,Gold Chain Skull
188,Cryptomories #188,Skeleton,Pharaoh,Heart Eyes,Normal,Galactical Emperor Suit,Blue,,Light Red,Tongue,Small Tattoos,,
189,Cryptomories #189,Skeleton,Knitted Beanie Orange,Pirate Patch Evil Morty,Normal,Bathrobe Pink,Yellow,,Blue,,,,
190,Cryptomories #190,Skeleton,Sport Headband,Regular Glasses,Normal,T Pink B&B,Yellow,Flower Pattern,Light Orange,,Big Tattoos,,
191,Cryptomories #191,Skeleton,,Happy Eyes,Normal,Tank Top Grey POM,Black,,Light Orange,,,,
192,Cryptomories #192,Devil,Dread Short Dark,Hero Mask,Normal,DBZ Outfit,,Aztec Patterns,Light Orange,,,Painted Skeleton,
193,Cryptomories #193,Zombie,Papal Tiara,Bored Eyes,Normal,Sweater Pink CM,,Flower Pattern,Light Orange,,Small Tattoos,,
194,Cryptomories #194,Skeleton,,Bloodshot,Normal,Bathrobe Pink,Red,Flower Pattern,Grey,,,,
195,Cryptomories #195,Zombie,Savage Hair Dark,Cyclop Eye,Normal,Suit Blue,,Flower Pattern,Purple,,Small Tattoos,,
196,Cryptomories #196,Skeleton,Knitted Beanie Red,Heart Eyes,Normal,Hoodie Grey CM,Blue,Flower Pattern,Light Orange,,,,
