TOKEN_ID,TOKEN_NAME,BOSS,Background,Fur,Mask,Mouth,Eyes,Clothes,Hat,Tail
39,Raccoon Mafia #39,,Blue,Gray,Dark Gray,Open,Disgruntled,White Rose Shirt,Beret,Thorns
40,Raccoon Mafia #40,,Purple,Camel,Black,Cigarette,Thin Sunglasses,,Derby,
41,Raccoon Mafia #41,,Green,Camel,Dark Gray,Smile,Bored,,Headband,Barbwire
42,Raccoon Mafia #42,,Purple,Brown,Gold,Dagger,Eye Implant,Robber,Beanie,
43,Raccoon Mafia #43,,Red,Dark Gray,Ginger,Cigarette,Calm,Short Sleeve Shirt,Trilby,
44,Raccoon Mafia #44,,Red,Brown,Dark Brown,Grin,Angry,Leather Jacket,Fedora,
45,Raccoon Mafia #45,,Orange,Gray,Burgundy,Open,Red,,Cowboy,Barbwire
46,Raccoon Mafia #46,,Blue,Gray,Ginger,Grin,Squint,Torn T-shirt,,
47,Raccoon Mafia #47,,Red,Camel,Dark Brown,Chain,Calm,White Rose Shirt,Western,
48,Raccoon Mafia #48,,Blue,Wounded,Ginger,Grin,Calm,Leather Jacket,Red Bandana,
49,Raccoon Mafia #49,,Red,Dark Gray,Dark Gray,Smile,Calm,,,
50,Raccoon Mafia #50,,Green,Brown,Gray,Grin,Steampunk Glasses,,,Vine
51,Raccoon Mafia #51,,Blue,Brown,Dark Brown,Cigarette,Calm,,Flat Black,
52,Raccoon Mafia #52,,Green,Dark Gray,Black,Calm,Calm,,,Barbwire
53,Raccoon Mafia #53,,Purple,Dark Gray,Burgundy,Spaghetti,Angry,,Flat Gray,Thorns
54,Raccoon Mafia #54,,Purple,Dark Gray,Dark Brown,Calm,Angry,Bulletproof Vest,,Barbwire
55,Raccoon Mafia #55,,Yellow,Silver,Dark Brown,Smile,Square Sunglasses,Plaid Shirt,Cowboy,
56,Raccoon Mafia #56,,Red,Black,Black,Poison,Squint,,Beanie,
57,Raccoon Mafia #57,,Orange,Black,Gray,Grin,Square Glasses,Snakeskin Jacket,Military Cap,
58,Raccoon Mafia #58,,Purple,Dark Gray,Black,Calm,Calm,Platinum Suit,Broad Brim,Thorns
59,Raccoon Mafia #59,,Blue,Black,Black,Spaghetti,Square Glasses,,Beret,
60,Raccoon Mafia #60,,Purple,Camel,Burgundy,Smile,Calm,Platinum Suit,,
61,Raccoon Mafia #61,,Blue,Brown,Dark Brown,Dagger,Suspicious,Polo,Broad Brim,Chains
62,Raccoon Mafia #62,,Orange,Black,Dark Gray,Calm,Bored,Red Suspenders,Skull Bandana,
63,Raccoon Mafia #63,,Green,Dark Gray,Burgundy,Spaghetti,Angry,Plaid Shirt,Fedora,Chains
64,Raccoon Mafia #64,,Yellow,Gray,Gray,Poison,Scar,Polo,Gold Flower,
65,Raccoon Mafia #65,,Blue,Dark Gray,Dark Gray,Smile,Thin Sunglasses,Hawaiian,Dealer,Casino
66,Raccoon Mafia #66,,Orange,Brown,Gray,Open,Bloodshot,,Robber,
67,Raccoon Mafia #67,,Yellow,Gray,Gray,Open,Disgruntled,Leather Jacket,Arsonist,
68,Raccoon Mafia #68,,Red,Black,Dark Gray,Bitcoin,Bored,Gentleman,Western,Casino
69,Raccoon Mafia #69,,Blue,Dark Gray,Gray,Match,Eyeband,White Rose Shirt,Straw Hat,Chains
70,Raccoon Mafia #70,,Orange,Dark Gray,Gray,Match,Calm,Dollar Jacket,Beanie,Dynamite
71,Raccoon Mafia #71,,Green,Dark Gray,Dark Brown,Cigarette,Super Angry,,Headband,Chains
72,Raccoon Mafia #72,,Green,White,Burgundy,Calm,Square Sunglasses,,Fedora,
73,Raccoon Mafia #73,,Orange,Wounded,Gray,Bitcoin,Eyeband,,,
74,Raccoon Mafia #74,,Yellow,Brown,Ginger,Chain,Red,Black Shirt,,
75,Raccoon Mafia #75,,Orange,Black,Silver,Calm,Squint,Jersey,Straw Hat,
76,Raccoon Mafia #76,,Orange,Black,Black,Bitcoin,Thin Sunglasses,Necklace,Beanie,Chains
77,Raccoon Mafia #77,,Orange,Brown,Black,Open,Red,Detective,Headband,
78,Raccoon Mafia #78,,Orange,Dark Gray,Dark Brown,Bitcoin,Suspicious,,,Chains
79,Raccoon Mafia #79,,Red,Brown,Gray,Smile,Squint,,Panama,
80,Raccoon Mafia #80,,Red,Wounded,Ginger,Poison,Round Glasses,Green Vest,Bandage,Chains
81,Raccoon Mafia #81,,Orange,White,Dark Gray,Grin,Angry,Necklace,,
82,Raccoon Mafia #82,,Blue,Camel,Gray,Calm,Angry,Undershirt,Derby,
83,Raccoon Mafia #83,,Red,Wounded,Dark Brown,Cigar,Suspicious,Short Sleeve Shirt,Beanie,
84,Raccoon Mafia #84,,Orange,Gold,Black,Grin,Innocent,Bulletproof Vest,Straw Hat,Thorns
85,Raccoon Mafia #85,,Orange,Dark Gray,Dark Brown,Match,Red,Diamond Tie,,
86,Raccoon Mafia #86,,Orange,Brown,Gray,Cigar,Calm,,Cowboy,
87,Raccoon Mafia #87,,Green,Black,Dark Brown,Smile,Angry,Tuxedo,Headband,Barbwire
88,Raccoon Mafia #88,,Orange,Dark Gray,Gray,Rose,Mad,Bitcoin Chain,White Hat,
89,Raccoon Mafia #89,,Green,Black,Black,Cigarette,Suspicious,White Rose Shirt,Fedora,
90,Raccoon Mafia #90,,Red,Black,Dark Gray,Open,Disgruntled,Detective,Western,
91,Raccoon Mafia #91,,Yellow,Black,Gray,Cigarette,Bored,Tuxedo,Homburg,Chains
92,Raccoon Mafia #92,,Blue,White,Dark Brown,Bullet,Scar,White Rose Shirt,Pilot Hat,
93,Raccoon Mafia #93,,Yellow,Brown,Dark Brown,Grin,Calm,,,
94,Raccoon Mafia #94,,Purple,Gray,Ginger,Chain,Suspicious,Black Shirt,Homburg,Thorns
95,Raccoon Mafia #95,,Purple,Dark Gray,Dark Gray,Poison,Squint,Gentleman,Officer,
96,Raccoon Mafia #96,,Purple,Black Tattoo,Gray,Chain,Round Glasses,Red Suspenders,Cowboy,
97,Raccoon Mafia #97,,Orange,White,Ginger,Bitcoin,Thin Sunglasses,Chains,Press Hat,Thorns
98,Raccoon Mafia #98,,Red,Dark Gray,Burgundy,Dollar,Suspicious,Ammunition,,Chains
99,Raccoon Mafia #99,,Red,Black,Gold,Calm,Suspicious,Black Shirt,Western,
100,Raccoon Mafia #100,,Green,Dark Gray,Dark Brown,Grin,Calm,White Rose Shirt,,Chains
101,Raccoon Mafia #101,,Purple,Dark Gray,Gray,Cigar,Disgruntled,,White With Blood,
102,Raccoon Mafia #102,,Orange,Black,Burgundy,Calm,Grumpy,Khaki Shirt,,Cards
103,Raccoon Mafia #103,,Purple,Brown,Dark Gray,Cigar,Round Glasses,Leather Jacket,Dealer,Fire
104,Raccoon Mafia #104,,Red,Brown,Black,Chilli,Bored,White Rose Shirt,Boss Hat,Thorns
105,Raccoon Mafia #105,,Orange,Brown,Burgundy,Smile,Super Angry,Short Sleeve Shirt,Broad Brim,Casino
106,Raccoon Mafia #106,,Purple,Brown,Dark Brown,Grin,Red,White With Blood,Red Bandana,
107,Raccoon Mafia #107,,Yellow,Black,Burgundy,Calm,Bored,Silver Scarf Coat,Homburg,
108,Raccoon Mafia #108,,Yellow,Black,Ginger,Cigarette,Scar,,Panama,
109,Raccoon Mafia #109,,Purple,Dark Gray,Gray,Cigarette,Red,Priest,Derby,Chains
110,Raccoon Mafia #110,,Green,Black,Gray,Grin,Angry,Lizard,Beanie,
111,Raccoon Mafia #111,,Green,Dark Gray,Black,Diamond,Super Angry,Undershirt,Derby,
112,Raccoon Mafia #112,,Purple,Black,Dark Gray,Chilli,Square Glasses,Leather Jacket,,Barbwire
113,Raccoon Mafia #113,,Green,Brown,Dark Gray,Grillz,Angry,,,Chains
114,Raccoon Mafia #114,,Orange,Brown,Dark Gray,Calm,Bored,,,Refined
115,Raccoon Mafia #115,,Purple,Black,Black,Grin,Eyeband,Hawaiian,Panama,
116,Raccoon Mafia #116,,Yellow,Brown,Gray,Chain,Calm,Roses Shirt,Flat Gray,Chains
117,Raccoon Mafia #117,,Red,Dark Gray,Dark Gray,Open,Scar,Prison Uniform,Homburg,
118,Raccoon Mafia #118,,Yellow,White,Dark Gray,Grin,Red,Red Suspenders,Flat Gray,
119,Raccoon Mafia #119,,Red,Gray,Dark Brown,Cigarette,Bloodshot,Velvet Vest,Spiderweb,Thorns
120,Raccoon Mafia #120,,Blue,Camel,Gray,Calm,Disgruntled,Green Vest,Homburg,
121,Raccoon Mafia #121,,Red,Camel,Dark Brown,Grin,Calm,Hawaiian,Straw Hat,
122,Raccoon Mafia #122,,Yellow,Dark Gray,Dark Brown,Open,Eye Implant,Short Sleeve Shirt,Western,
123,Raccoon Mafia #123,,Red,Black Tattoo,Silver,Chilli,Square Sunglasses,Green Vest,,Cards
124,Raccoon Mafia #124,,Purple,Gold,Gray,Dollar,Angry,Green Vest,,Thorns
125,Raccoon Mafia #125,,Orange,Dark Gray,Black,Smile,Round Glasses,Chains,Red Bandana,
126,Raccoon Mafia #126,,Orange,White,Dark Brown,Grin,Monocle,Officer,Dealer,
127,Raccoon Mafia #127,,Yellow,Dark Gray,Dark Gray,Poison,Monocle,Poncho,Homburg,Chains
128,Raccoon Mafia #128,,Orange,Dark Gray,Dark Brown,Bullet,Disgruntled,,,Vine
129,Raccoon Mafia #129,,Red,White,Ginger,Grin,Square Glasses,Dealer,Flat Gray,Casino
130,Raccoon Mafia #130,,Red,Black,Dark Gray,Open,Square Sunglasses,Ammunition,Flat Gray,
131,Raccoon Mafia #131,,Green,Gray,Gray,Cigarette,Monocle,Short Sleeve Shirt,Straw Hat,
132,Raccoon Mafia #132,,Red,Camel,Black,Calm,Calm,,Gold Embroidery,
133,Raccoon Mafia #133,,Blue,White,Black,Match,Angry,Dealer,Trilby,Fire
134,Raccoon Mafia #134,,Yellow,Dark Gray,Black,Calm,Square Glasses,,Derby,
135,Raccoon Mafia #135,,Purple,Brown,Dark Brown,Diamond,Squint,Black Shirt,,Dynamite
136,Raccoon Mafia #136,,Blue,Brown,Dark Gray,Spaghetti,Square Glasses,,Fedora,Thorns
137,Raccoon Mafia #137,,Green,Brown,Dark Gray,Open,Heterochromia,Tuxedo,Gold Flower,Chains
138,Raccoon Mafia #138,,Green,Camel,Gray,Cigarette,Innocent,,,Cards
139,Raccoon Mafia #139,,Green,Gray,Black,Diamond,Angry,,Military Cap,
140,Raccoon Mafia #140,,Orange,Brown,Black,Match,Disgruntled,,Officer,
141,Raccoon Mafia #141,,Red,Dark Gray,Black,Bullet,Grumpy,Hawaiian,Gold Embroidery,Thorns
142,Raccoon Mafia #142,,Yellow,Brown,Dark Gray,Calm,Disgruntled,Gold Embroidery Jacket,Homburg,Casino
143,Raccoon Mafia #143,,Blue,Dark Gray,Ginger,Dagger,Disgruntled,,Pilot Hat,Casino
144,Raccoon Mafia #144,,Green,Wounded,Black,Smile,Calm,,Homburg,Thorns
145,Raccoon Mafia #145,,Green,Dark Gray,Dark Brown,Chilli,Disgruntled,Bulletproof Vest,Flat Gray,
146,Raccoon Mafia #146,,Green,Gray,Dark Gray,Bitcoin,Bored,Polo,,Cards
147,Raccoon Mafia #147,,Yellow,Camel,Gray,Diamond,Calm,Hawaiian,Cowboy,Chains
148,Raccoon Mafia #148,,Red,Dark Gray,Gray,Smile,Eyeband,Torn T-shirt,Straw Hat,Chains
149,Raccoon Mafia #149,,Yellow,Brown,Black,Cigarette,Suspicious,Rose Gold Bow Tie,Arsonist,Thorns
150,Raccoon Mafia #150,,Red,Wounded,Black,Dagger,Round Glasses,Black Coat,Broad Brim,Thorns
151,Raccoon Mafia #151,,Yellow,Wounded,Gray,Dagger,Disgruntled,,,
152,Raccoon Mafia #152,,Yellow,Gray,Ginger,Smile,Bored,Snakeskin Jacket,Flat Gray,Thorns
153,Raccoon Mafia #153,,Red,Gray,Gray,Chilli,Squint,Plaid Shirt,Beanie,
154,Raccoon Mafia #154,,Orange,Camel,Silver,Chain,Grumpy,Priest,Homburg,Cards
155,Raccoon Mafia #155,,Yellow,Gray,Burgundy,Calm,Bored,Striped Suit,,
156,Raccoon Mafia #156,,Yellow,Gray,Burgundy,Grin,Super Angry,White Rose Shirt,Beret,
157,Raccoon Mafia #157,,Red,Camel,Dark Brown,Cigar,Super Angry,Striped Suit,Trilby,
158,Raccoon Mafia #158,,Red,Black,Ginger,Cigarette,Super Angry,Bandage,Trilby,Cards
159,Raccoon Mafia #159,,Blue,White,Black,Dagger,Disgruntled,Black Coat,,Thorns
160,Raccoon Mafia #160,,Red,Camel,Gray,Bullet,Thin Sunglasses,Tuxedo,,
161,Raccoon Mafia #161,,Green,Gray,Black,Dagger,Thin Sunglasses,Priest,Panama,Thorns
162,Raccoon Mafia #162,,Red,Black,Gray,Bitcoin,Scar,Gentleman,Derby,
163,Raccoon Mafia #163,,Green,Gray,Black,Cigar,Grumpy,Roses Shirt,Trilby,
164,Raccoon Mafia #164,,Orange,Camel,Gray,Calm,Grumpy,,Straw Hat,Barbwire
165,Raccoon Mafia #165,,Red,Gray,Black,Grin,Thin Sunglasses,Short Sleeve Shirt,,
166,Raccoon Mafia #166,,Purple,Black,Dark Gray,Smile,Super Angry,,Fedora,
167,Raccoon Mafia #167,,Blue,Black,Dark Gray,Calm,Calm,Detective,Fedora,
168,Raccoon Mafia #168,,Green,White,Burgundy,Grillz,Calm,Leather Jacket,Derby,
169,Raccoon Mafia #169,,Green,Dark Gray,Dark Gray,Calm,Red,Undershirt,Homburg,
170,Raccoon Mafia #170,,Red,Brown,Burgundy,Grin,Disgruntled,Diamond Tie,White Hat,
171,Raccoon Mafia #171,,Green,Dark Gray,Black,Open,Bored,Necklace,White Hat,Casino
172,Raccoon Mafia #172,,Green,Brown,Dark Brown,Open,Disgruntled,Green Vest,Arsonist,
173,Raccoon Mafia #173,,Blue,Black,Dark Brown,Diamond,Calm,Leather Jacket,White Hat,Casino
174,Raccoon Mafia #174,,Green,Black,Gray,Calm,Super Angry,Khaki Shirt,Headband,Vine
175,Raccoon Mafia #175,,Yellow,Black,Dark Gray,Chilli,Bloodshot,,Red Bandana,Cards
176,Raccoon Mafia #176,,Orange,Wounded,Black,Cigar,Steampunk Glasses,Bulletproof Vest,Trilby,Barbwire
177,Raccoon Mafia #177,,Blue,Gray,Ginger,Calm,Thin Sunglasses,Dollar Jacket,,
178,Raccoon Mafia #178,,Orange,Brown,Gray,Bullet,Innocent,Gentleman,Flat Gray,
179,Raccoon Mafia #179,,Orange,Wounded,Gray,Cigar,Eyeband,Poncho,Officer,
180,Raccoon Mafia #180,,Blue,Black,Dark Brown,Bullet,Calm,,Press Hat,
181,Raccoon Mafia #181,,Yellow,Brown,Dark Gray,Open,Grumpy,,Military Cap,
182,Raccoon Mafia #182,,Green,White,Ginger,Bullet,Bloodshot,,Dealer,
183,Raccoon Mafia #183,,Orange,Gray,Dark Gray,Cigar,Bored,Ammunition,Derby,
184,Raccoon Mafia #184,,Orange,Dark Gray,Ginger,Cigarette,Eyeband,Bitcoin Chain,Flat Black,
185,Raccoon Mafia #185,,Purple,Black,Dark Brown,Smile,Heterochromia,,Derby,Barbwire
186,Raccoon Mafia #186,,Purple,Dark Gray,Black,Calm,Bored,Black Shirt,Skull Bandana,Chains
187,Raccoon Mafia #187,,Red,Camel,Gray,Grin,Disgruntled,,Derby,
188,Raccoon Mafia #188,,Orange,Wounded,Gray,Smile,Thin Sunglasses,Bathrobe,Borsalino,Barbwire
189,Raccoon Mafia #189,,Red,Gray,Ginger,Calm,Angry,White Rose Shirt,Headband,
190,Raccoon Mafia #190,,Green,Gray,Black,Dagger,Angry,Robber,Derby,
191,Raccoon Mafia #191,,Yellow,Black,Gray,Cigarette,Bored,Dealer,Flat Gray,
192,Raccoon Mafia #192,,Blue,Brown,Burgundy,Calm,Scar,Black Coat,,Thorns
193,Raccoon Mafia #193,,Green,Black,Burgundy,Calm,Disgruntled,Priest,,
194,Raccoon Mafia #194,,Orange,Black,Black,Dagger,Square Glasses,Jersey,Flat Black,
195,Raccoon Mafia #195,,Blue,Dark Gray,Burgundy,Dollar,Squint,Jersey,Dealer,Barbwire
196,Raccoon Mafia #196,,Red,Black,Dark Gray,Smile,Disgruntled,Polo,,
197,Raccoon Mafia #197,,Yellow,Brown,Dark Brown,Grin,Coins,,,Dynamite
198,Raccoon Mafia #198,,Orange,White,Burgundy,Grin,Suspicious,Robber,Flat Gray,Casino
199,Raccoon Mafia #199,,Yellow,Dark Gray,Black,Cigarette,Square Glasses,,Headband,
200,Raccoon Mafia #200,,Blue,Black,Ginger,Calm,Grumpy,Black Coat,Broad Brim,Chains
201,Raccoon Mafia #201,,Purple,Brown,Gray,Cigarette,Square Glasses,Priest,White Hat,
202,Raccoon Mafia #202,,Red,Brown,Dark Gray,Dagger,Calm,,,Chains
203,Raccoon Mafia #203,,Yellow,Gray,Black,Bullet,Grumpy,Plaid Shirt,Trilby,
204,Raccoon Mafia #204,,Purple,Gray,Black,Grin,Red,Golden Shirt,Military Cap,Cards
205,Raccoon Mafia #205,,Yellow,Gray,Black,Cigarette,Super Angry,Platinum Suit,Borsalino,Diamond
206,Raccoon Mafia #206,,Blue,Camel,Gray,Grin,Bored,Black Shirt,,
207,Raccoon Mafia #207,,Purple,Gray,Burgundy,Grin,Thin Sunglasses,Silver Scarf Coat,Derby,Cards
208,Raccoon Mafia #208,,Yellow,Dark Gray,Black,Cigar,Round Glasses,Gentleman,,Casino
209,Raccoon Mafia #209,,Green,Black,Gray,Cigarette,Calm,Golden Shirt,Panama,Casino
210,Raccoon Mafia #210,,Red,Dark Gray,Ginger,Spaghetti,Grumpy,Prison Uniform,,Chains
211,Raccoon Mafia #211,,Red,White,Ginger,Card,Calm,Khaki Shirt,White With Blood,Chains
212,Raccoon Mafia #212,,Red,Gray,Ginger,Cigar,Bored,White Rose Shirt,Flat Gray,Thorns
213,Raccoon Mafia #213,,Red,Camel,Burgundy,Rose,Calm,Roses Shirt,Fedora,
214,Raccoon Mafia #214,,Purple,Dark Gray,Gray,Calm,Super Angry,Bulletproof Vest,Bandage,
215,Raccoon Mafia #215,,Orange,Dark Gray,Dark Gray,Smile,Disgruntled,Black Coat,Press Hat,
216,Raccoon Mafia #216,,Purple,Dark Gray,Dark Gray,Grin,Scar,Robber,Derby,
217,Raccoon Mafia #217,,Yellow,White,Black,Grin,Bored,,Derby,Thorns
218,Raccoon Mafia #218,,Blue,Wounded,Black,Cigarette,Calm,,Officer,Diamond
219,Raccoon Mafia #219,,Blue,Brown,Dark Brown,Calm,Bored,Leather Jacket,,Barbwire
220,Raccoon Mafia #220,,Yellow,Black,Ginger,Chilli,Thin Sunglasses,Black Coat,Press Hat,
221,Raccoon Mafia #221,,Yellow,Gray,Ginger,Match,Disgruntled,Bathrobe,Western,Chains
222,Raccoon Mafia #222,,Green,Dark Gray,Black,Diamond,Grumpy,,Robber,
223,Raccoon Mafia #223,,Blue,Black,Ginger,Calm,Steampunk Glasses,Hawaiian,,Cards
224,Raccoon Mafia #224,,Purple,Dark Gray,Gray,Dagger,Suspicious,Roses Shirt,,
225,Raccoon Mafia #225,,Purple,White,Dark Gray,Smile,Square Glasses,Polo,,
226,Raccoon Mafia #226,,Purple,Camel,Ginger,Cigarette,Red,Khaki Shirt,,
227,Raccoon Mafia #227,,Red,Brown,Gray,Cigarette,Red,Plaid Shirt,Trilby,
228,Raccoon Mafia #228,,Red,Black,Ginger,Smile,Angry,White With Blood,Homburg,
229,Raccoon Mafia #229,,Red,Black,Gray,Poison,Disgruntled,Dealer,Broad Brim,
230,Raccoon Mafia #230,,Orange,Brown,Dark Gray,Bullet,Calm,White With Blood,Beanie,Casino
231,Raccoon Mafia #231,,Blue,Black,Black,Dagger,Super Angry,,Dealer,Casino
232,Raccoon Mafia #232,,Red,Gray,Ginger,Grillz,Calm,Torn T-shirt,Gold Embroidery,
233,Raccoon Mafia #233,,Green,White,Gray,Smile,Super Angry,,Western,
234,Raccoon Mafia #234,,Red,Muertos,Muertos,Grin,Bored,,Beret,
235,Raccoon Mafia #235,,Blue,Dark Gray,Burgundy,Grenade,Calm,Prison Uniform,,Thorns
236,Raccoon Mafia #236,,Purple,Gray,Dark Brown,Grenade,Square Sunglasses,Red Suspenders,Borsalino,
237,Raccoon Mafia #237,,Purple,Camel,Gray,Smile,Bloodshot,,Flat Gray,
238,Raccoon Mafia #238,,Red,White,Dark Gray,Dagger,Square Sunglasses,Bulletproof Vest,Bandage,Barbwire
239,Raccoon Mafia #239,,Green,Wounded,Dark Brown,Smile,Grumpy,Leather Jacket,Broad Brim,Cards
240,Raccoon Mafia #240,,Orange,Black,Gray,Calm,Grumpy,White Rose Shirt,,Barbwire
241,Raccoon Mafia #241,,Orange,Black,Dark Gray,Open,Mad,Jersey,Bandage,
242,Raccoon Mafia #242,,Green,Gray,Dark Gray,Cigarette,Casino,Silver Scarf Coat,Trilby,Thorns
243,Raccoon Mafia #243,,Orange,Brown,Gray,Cigarette,Bored,Short Sleeve Shirt,Borsalino,
244,Raccoon Mafia #244,,Blue,Gray,Gold,Cigar,Calm,Golden Shirt,,
245,Raccoon Mafia #245,,Purple,Black,Silver,Chain,Calm,,Western,Vine
246,Raccoon Mafia #246,,Blue,Gray,Gray,Open,Bloodshot,Killer,Dealer,
247,Raccoon Mafia #247,,Green,Brown,Black,Grillz,Squint,,Homburg,
248,Raccoon Mafia #248,,Blue,White,Black,Bitcoin,Suspicious,Ammunition,Borsalino,Casino
249,Raccoon Mafia #249,,Orange,Gray,Ginger,Grin,Disgruntled,Gentleman,Homburg,Cards
250,Raccoon Mafia #250,,Yellow,Black,Ginger,Cigarette,Round Glasses,Red Suspenders,Cowboy,
251,Raccoon Mafia #251,,Yellow,Brown,Gold,Chain,Heterochromia,Officer,,Cards
252,Raccoon Mafia #252,,Yellow,Brown,Dark Brown,Calm,Suspicious,Poncho,,
253,Raccoon Mafia #253,,Green,Black,Gray,Calm,Angry,,White Hat,
254,Raccoon Mafia #254,,Green,Brown,Dark Brown,Grin,Disgruntled,Black Shirt,Arsonist,Cards
255,Raccoon Mafia #255,,Green,Black,Burgundy,Spaghetti,Grumpy,Hawaiian,Broad Brim,
256,Raccoon Mafia #256,,Purple,Gray,Dark Gray,Smile,Calm,Poncho,Derby,
257,Raccoon Mafia #257,,Orange,White,Dark Brown,Spaghetti,Angry,Velvet Vest,,Thorns
258,Raccoon Mafia #258,,Purple,Black,Burgundy,Calm,Angry,,Flat Gray,
259,Raccoon Mafia #259,,Yellow,Brown,Black,Smile,Grumpy,Diamond Tie,,Barbwire
260,Raccoon Mafia #260,,Orange,Gray,Black,Calm,Bored,,,Thorns
261,Raccoon Mafia #261,,Green,Brown,Dark Brown,Calm,Grumpy,Striped Suit,Dealer,
262,Raccoon Mafia #262,,Orange,White,Gray,Calm,Scar,Dealer,Straw Hat,
263,Raccoon Mafia #263,,Orange,Wounded,Dark Gray,Chain,Calm,,,
264,Raccoon Mafia #264,,Orange,Camel,Dark Gray,Calm,Monocle,Ammunition,Press Hat,Casino
265,Raccoon Mafia #265,,Yellow,Wounded,Dark Brown,Grenade,Bored,Ammunition,,
266,Raccoon Mafia #266,,Green,Black,Gray,Match,Golden Glasses,Jersey,,
267,Raccoon Mafia #267,,Yellow,Dark Gray,Dark Brown,Grin,Calm,Black Coat,Homburg,
268,Raccoon Mafia #268,,Green,Black,Gray,Open,Squint,Torn T-shirt,,Thorns
269,Raccoon Mafia #269,,Purple,Brown,Burgundy,Calm,Calm,,,
270,Raccoon Mafia #270,,Yellow,Wounded,Dark Brown,Poison,Bloodshot,Velvet Vest,Beanie,
271,Raccoon Mafia #271,,Red,Gray,Gray,Bitcoin,Red,,Flat Gray,
272,Raccoon Mafia #272,,Red,Wounded,Dark Brown,Grin,Bloodshot,,Gold Flower,
