TOKEN_ID,TOKEN_NAME,TOKEN_ADDRESS,Background,Base Model,Desk,Monitor 1,Monitor 2,Monitor 3,Mouth,Hoodie,Favorite Programming Language
5622,Shadowy Super Coder #5622,4B5wLW7aSUkm1jdTn2PFnWKjAp4Y6nzeFz78XGGuGgbB,Green,Natural,Red Metal,Matrix,Glitch One,Defi Land Welcome,Purple Smirk,Punk Hacker,Python
3623,Shadowy Super Coder #3623,685HAr27ZFmkMKmvuA6wD2VUFU2QYBm11Jz5Y8XBLHhd,Pink,Tan,Purple Metal,Linux,Linux,Glitch One,Pink Smile,Captain America Hacker,Java
8920,Shadowy Super Coder #8920,CZBKrGvXrUVGnh6pU2h55nejDcNsr5k5mCtAqHcjXt1U,Gold,Natural,Red Metal,Dialect,Trading Dark,Investin,Pink Smirk,Monke Hacker,JavaScript
3877,Shadowy Super Coder #3877,HHHmAfkTYAgD19wZwSuKdSFP4zeuo8Sxi1xndNEmsoYw,Green,Tan,Silver Metal,Glitch One,Glitch One,Hacked,Purple Smile,Shark Hacker,C#
8302,Shadowy Super Coder #8302,CyY4bRkxthaNrbnRBzfJdZ1tzXPADx9QaWsE47Gy4CRC,Dark-Red,Tan,Silver Metal,Hacked,Solrise,Investin,Purple Smirk,Cat-Ear Hacker,R
3697,Shadowy Super Coder #3697,71DRJ1a72LsYzeqGcuMWHx9EbPd81xRqeVMbnRjAnNXP,Magenta,Pale,Purple Metal,Access Granted,Access Granted,Frank,Pink Smile,Shadowy Hacker,Swift
8269,Shadowy Super Coder #8269,HnXQ3EbpiGYhZApD6bQZXHU9YZj2N6HE7yq3iQUkYP1K,Light-Yellow,Pale,Bronze Metal,Linux,Matrix,Glitch Two,Red Smile,Dragon Hacker,C
2529,Shadowy Super Coder #2529,EuD8jncNiBhpxEmtda5zw6iDnDdEL5Fk9apnwP7oEpnT,Light-Yellow,Natural,Purple Metal,Marginfi,Access Granted,Access Granted,Purple Smile,Dragon Hacker,JavaScript
135,Shadowy Super Coder #135,GxQtR1LBXwLyLg7ZoptSyCA1sj3HM9Xvx86h2k4N3qJh,Pink,Tan,Silver Metal,Glitch One,Access Granted,Linux,Red Smirk,Shadowy Hacker,C++
3878,Shadowy Super Coder #3878,3m4QRYgSYNMirXCDigBsvcBTbrAhrw18HpFXxZRwTUvx,Light-Yellow,Chestnut,Bronze Metal,Surveillance Blue,Glitch Two,Solsnek,Pink Smile,Cat-Ear Hacker,Swift
6075,Shadowy Super Coder #6075,BJJCWkFVtYSwdKvMRhk8WNwDwh9cmehAj3UNp7U3ntCm,Light-Blue,Chestnut,Silver Metal,Access Granted,Glitch One,Glitch One,Red Smile,Unmasked Squid Game Hacker,Fortran
3459,Shadowy Super Coder #3459,9848bitsTmbcauWPoqgigyEGzUz3a4aKF3La8fR6DbYZ,Light-Orange,Tan,Red Metal,Access Granted,Matrix,Linux,Purple Smile,Shark Hacker,R
176,Shadowy Super Coder #176,AHHXbKpYDTaszsFrZaRkL8nZTEk3ShrSDSLnHr6xpAST,Magenta,Pale,Red Metal,Hacked,Glitch Two,Defi Land Sign In,Purple Smile,Monke Hacker,C
9193,Shadowy Super Coder #9193,C2nMHfNyjKYXyCQH4ZcFanKyfXNeJoXb62yQhv4Yuf5N,Green,Tan,Bronze Metal,Solsea,Linux,SGF United,Purple Smile,Captain America Hacker,C#
5970,Shadowy Super Coder #5970,3VFWBex3H28dBhb5h5TNUNZ3v1FDY6D5KnZ9LU7WjQGp,Magenta,Tan,Silver Metal,Matrix,Trading Dark,Red Panda Squad,Red Smile,Shadowy Hacker,C
7542,Shadowy Super Coder #7542,DjBTZXz9HYdBjiy2sp19N2M6yFBPJS3AqmUsYJbBVWsf,Violet,Natural,Silver Metal,Glitch Two,Glitch One,Linux,Purple Smirk,Punk Hacker,Solidity
6688,Shadowy Super Coder #6688,7eoXKomMzemB8HexRSxCx8dMmumbnEpyHVsrrmjrGraC,Light-Yellow,Tan,Purple Metal,Glitch Two,Access Granted,Glitch Two,Purple Smirk,Captain America Hacker,Go
5104,Shadowy Super Coder #5104,GQE2SnYfLKLvhEuPZaj1d6GhJZiwd2GUwiPiY93Bcuxn,Light-Blue,Pale,Purple Metal,Fabricpunk Alt,Matrix,WAIFU DAO,Purple Smirk,Dragon Hacker,Solidity
578,Shadowy Super Coder #578,EZNdnp3heRZhdaGLQ86BtApfXr33SA4eRgeR29JxdExf,Light-Orange,Natural,Bronze Metal,Hacked,Hacked,Trading Dark,Red Smirk,Cat-Ear Hacker,Python
2701,Shadowy Super Coder #2701,8tBH8X7XgXfSmuUbvDvz1CVc2g5wVHDBtqte5pDvFXYx,Light-Yellow,Natural,Silver Metal,Hacked,Access Granted,Linux,Pink Smile,Shadowy Hacker,C
7546,Shadowy Super Coder #7546,CS2zrnQxiQiK5yDE91dUvDbecD9HWC8sgvS3iY9me4oz,Pink,Tan,Bronze Metal,Glitch One,Glitch One,Matrix,Red Smile,Cat-Ear Hacker,Java
8145,Shadowy Super Coder #8145,4civfruKiWNh62KzPS7sopDRkUty3bWTiwBoRz5ZUziT,Light-Yellow,Natural,Silver Metal,Trading White,Socean,Glitch One,Red Smile,Neon Solana Hacker,Solidity
4055,Shadowy Super Coder #4055,H8uQis5zWjRj3EMq1NTJz7Rk1v9HiaJeVNfKR51KjvrQ,Light-Yellow,Chestnut,Bronze Metal,Matrix,Hacked,Access Granted,Pink Smirk,Neon Solana Hacker,C#
8476,Shadowy Super Coder #8476,jyfWNtexdd4otBjrbX9b1mQ51fgpgaphixq6n9pKbba,Light-Yellow,Tan,Bronze Metal,Linux,Access Granted,Access Granted,Red Smirk,Shark Hacker,C
1472,Shadowy Super Coder #1472,CUKAqs8S6PagxUy28FDVALX1YLj7DVszRnZAoLfrTSBP,Violet,Pale,Bronze Metal,Trading Dark,Hacked,Linux,Pink Smile,Monke Hacker,Java
83,Shadowy Super Coder #83,5xtqJDLLW1PMzyb6CsNxzkjc7ccWRFpABvuCotdvuFTw,Green,Pale,Red Metal,Glitch Two,Alpha Art Exchange,Access Granted,Red Smirk,Monke Hacker,Swift
1720,Shadowy Super Coder #1720,FP2CTnFyi8jgPLKaDYy67a2KnjHR19c1JNcTCiXZU3qf,Red,Chestnut,Purple Metal,Glitch One,Glitch One,Glitch One,Pink Smirk,Punk Hacker,R
6921,Shadowy Super Coder #6921,6bveo1gkDXmvysEhwMhxTfcwd2ZPzWXKcKRVCaG5xuQy,Noire,Tan,Purple Metal,Glitch Two,Linux,Glitch One,Purple Smirk,Monke Hacker,Java
1880,Shadowy Super Coder #1880,Hkj3oTSmUaZePyjiRPN1xJzEiNAKRLBM3LAxH4VTDGph,Dark-Red,Natural,Silver Metal,Glitch Two,Digitaleyes,Glitch Two,Pink Smirk,Tron Hacker,Java
8229,Shadowy Super Coder #8229,4mpymofrN2BY1JUC6ftfbb11muwKuGQVSLzPreN6NdzQ,Pink,Natural,Purple Metal,Surveillance Blue,Linux,Sillylittledao,Purple Smirk,Shark Hacker,C
3113,Shadowy Super Coder #3113,9U5sVWzXgxHtCrsUk7GGyJMLv9PWh8WbqcxYLVLAm7B3,Light-Orange,Natural,Red Metal,Solsnek,Access Granted,Hacked,Red Smile,Sci-Fi Hacker,C
4328,Shadowy Super Coder #4328,ChowSuV7eBaCZhceENwEi6botrAPWD5B7BQPsisSbn4y,Noire,Chestnut,Red Metal,Hacked,Glitch One,Raydium,Pink Smirk,Tech Hacker,Fortran
5561,Shadowy Super Coder #5561,6Z4QkkDitcntD8YySj9mQeK8rz9KUZ1VvQfviDrfV3WJ,Gold,Tan,Purple Metal,Trading White,Matrix,Socean,Pink Smile,Punk Hacker,R
2326,Shadowy Super Coder #2326,4ELQnV95Fcng766MwXRprzmx4UcVSXmJKt65BX1KezAe,Red,Pale,Red Metal,Surveillance Blue,Kaiju,Psyoptions,Red Smirk,Cat-Ear Hacker,Python
7306,Shadowy Super Coder #7306,5jb6Nfaad4gKmoLiuc1xyrD5rLNSAaCwQfvmzFcbrMqp,Gold,Pale,Bronze Metal,Access Granted,Linux,Pengulice,Red Smile,Neon Solana Hacker,Swift
2725,Shadowy Super Coder #2725,7D2uXAHfwcwno37CPNR96C9vrB1RD4DCERYrMKvBCRo,Light-Yellow,Natural,Red Metal,Glitch Two,Aurory Logo,Fabricpunk Alt,Red Smile,Punk Hacker,Python
5092,Shadowy Super Coder #5092,AhPfbY98sWaY5ZiZHHJEhicG5fVezV6T6GZW81BBCUGk,Magenta,Natural,Purple Metal,Matrix,Geckos,Samo,Pink Smile,Captain America Hacker,Java
6851,Shadowy Super Coder #6851,C6Mosk7aSt1eywS1kVTE7GkmoFhdVy26dzPybtjSoKgD,Light-Blue,Pale,Bronze Metal,Hacked,Socean,Cropper,Purple Smile,Tech Hacker,C
4869,Shadowy Super Coder #4869,7HRgy1SGkK4jUb5iorYezcJS9hjdCKZWEGTXY8oisiP8,Light-Blue,Natural,Silver Metal,Trading Dark,Hacked,Access Granted,Pink Smile,Squid Game Hacker,Solidity
7295,Shadowy Super Coder #7295,5tU26LMrVGjTd28tzsrGrYWUcNewVzPexBySe6c7ostw,Light-Yellow,Chestnut,Purple Metal,Matrix,Linux,Trading Dark,Red Smirk,Shadowy Hacker,Fortran
5738,Shadowy Super Coder #5738,6FhLJ6qJys1VmY7Cw7NSPEXD7R2UGzWFZNV6dFbZqnQD,Green,Pale,Purple Metal,Access Granted,Cryptonary,Access Granted,Pink Smirk,Captain America Hacker,Python
3117,Shadowy Super Coder #3117,5xxnn5s7Gdquzpxmf7FnCFgyaEnXmAvezzUPLTKQ5bAM,Light-Orange,Chestnut,Purple Metal,Access Granted,Linux,Access Granted,Red Smirk,Shadowy Hacker,Go
5058,Shadowy Super Coder #5058,EEBzj1DHGY6GEvoFi51uERFXE6YH538DpUimyQuzJyNr,Magenta,Tan,Purple Metal,Glitch One,Trading Dark,Unicris,Purple Smile,Shadowy Hacker,Swift
9581,Shadowy Super Coder #9581,FGVdyjo9iLYu8DXgvoAVoNgQTogHv5dNBucjtz9SyJH7,Gold,Pale,Red Metal,Hacked,Samo,Glitch Two,Purple Smile,Tech Hacker,Objective-C
1357,Shadowy Super Coder #1357,HyEt3Efh4TSXbhyTYsDaiJHZcis3ezoUmM91jNasFoEf,Light-Yellow,Natural,Bronze Metal,Trading White,Fabricpunk Alt,Glitch Two,Red Smirk,Tech Hacker,Swift
3069,Shadowy Super Coder #3069,3DAzGPWu139Abd66bZ45GTmDY6QtAHjmXdvCVqdzkieB,Dark-Red,Pale,Purple Metal,Trading Dark,Mango Markets,Glitch One,Pink Smile,Captain America Hacker,Go
5425,Shadowy Super Coder #5425,7gLQ6jSgT6jMMpgUFtgnC5jJoGFwgV7vwJ4N6VWVNSDh,Light-Yellow,Pale,Purple Metal,Jet Protocol,Aurory,Aurory Logo,Red Smirk,Shark Hacker,Java
6418,Shadowy Super Coder #6418,BE86nzVS1Rv86UV7sQCofjJiirV7T9WUkfqGgTJA9Nxt,Red,Natural,Red Metal,Matrix,Solonauts,Investin,Purple Smirk,Shadowy Hacker,Rust
5393,Shadowy Super Coder #5393,3LzL36mANKrHrE6p7cR8KbpbikgF23MDTpbHKhH8y9MS,Noire,Pale,Bronze Metal,Trading Dark,Hacked,Unicris,Purple Smile,Shadowy Hacker,Rust
4463,Shadowy Super Coder #4463,jyfAEEY6f2eKuHGYt3NY97cEHbqo3X3ZF42ryYGzpPs,Dark-Red,Chestnut,Red Metal,Trading White,Hacked,Trading Dark,Red Smile,Shark Hacker,Swift
2314,Shadowy Super Coder #2314,Gw5zUc5ZYHpX2bbautmYt19cLqmTi5yD8SYWJfrXCPCF,Dark-Red,Chestnut,Silver Metal,Trading Dark,Trading Dark,Star Atlas,Red Smirk,Squid Game Hacker,Swift
5799,Shadowy Super Coder #5799,59Lz57n1TexCrSSfEaYa8W5huVAjkVd9jRLB2kvCUSjR,Light-Orange,Natural,Silver Metal,Glitch One,Glitch Two,Solana Valley,Pink Smirk,Shadowy Hacker,C++
9917,Shadowy Super Coder #9917,ER8hmb2iTcw9FoNbEKaBWJ8eT56KDtDhEV1PpsXT2wwu,Magenta,Tan,Silver Metal,Surveillance Blue,Hacked,Access Granted,Pink Smirk,Shark Hacker,JavaScript
7614,Shadowy Super Coder #7614,51mmXHvXDjHQXqN8nLffuNb383rdNEhFZAi3CbW79syR,Magenta,Natural,Bronze Metal,Trading White,Jet Protocol,Glitch One,Red Smile,Cat-Ear Hacker,C
4005,Shadowy Super Coder #4005,FJpBJAb4AF5KLNPGZwjN4myRFapF82aQaSuhnduZt5Do,Gold,Tan,Red Metal,Trading White,Glitch One,Access Granted,Red Smirk,Tron Hacker,C++
7050,Shadowy Super Coder #7050,FZhhKMiiDK3yTXyK5MkYqxoGWKzfAGXHy4WMKRMag4ru,Green,Tan,Purple Metal,Solrise,Rogue Sharks,Trading Dark,Red Smirk,Tron Hacker,C++
4464,Shadowy Super Coder #4464,2ii5d5X3bkLEJSMS2Zijnbgom8po5uo5ftRMFYFZ6oNW,Gold,Chestnut,Silver Metal,Surveillance Blue,Glitch One,Access Granted,Purple Smirk,Tech Hacker,Python
860,Shadowy Super Coder #860,8Gv8A5ui3XYCn92ucPZRVTSrnoY9H8B2qeEdX7ezfudA,Magenta,Chestnut,Purple Metal,Surveillance Blue,Solfarm,Hacked,Red Smile,Sci-Fi Hacker,Go
2925,Shadowy Super Coder #2925,3J5LfyshcewrzWr8qwoZTGyTJP1MJyg6bGgrjAcQ1yie,Gold,Tan,Silver Metal,Glitch Two,Trading Dark,Glitch Two,Pink Smirk,Squid Game Hacker,Solidity
8753,Shadowy Super Coder #8753,Bvnfd6XazbYfKT3DHScF2T1SvVbbf5yToQJJ7chVSZx7,Violet,Natural,Silver Metal,Glitch Two,Glitch Two,Matrix,Pink Smile,Tron Hacker,Go
4424,Shadowy Super Coder #4424,2tY5rEWLtV5EnEAn1ZM5gkSC1NryC5HR8UYmSq8JYv9x,Light-Yellow,Natural,Silver Metal,Trading White,Trading Dark,Matrix,Red Smirk,Tron Hacker,Python
4606,Shadowy Super Coder #4606,AgPfcJLU6WPtwbRN9wDf39BW2RVCJMDZfwnCrNxyU56m,Magenta,Natural,Purple Metal,Dialect,Matrix,Steven,Pink Smirk,Shadowy Hacker,JavaScript
2813,Shadowy Super Coder #2813,GGEgtrpVHjwoBSCpAHCgwyL9rQN1sXymwGege5DooSBR,Red,Tan,Red Metal,Trading Dark,Access Granted,Glitch One,Pink Smile,Neon Solana Hacker,Go
6687,Shadowy Super Coder #6687,DKvRNoY13UGAzb1a1wjekLkPz42N4qFBvRJLZuxTriyr,Pink,Chestnut,Red Metal,Glitch One,Ninja,Glitch One,Pink Smile,Captain America Hacker,Java
842,Shadowy Super Coder #842,BvQs6GsHWHarxd1pxum2z9bCmVVRa5jktFXq499MsYkG,Light-Orange,Chestnut,Red Metal,Linux,Trading Dark,Matrix,Pink Smirk,Shadowy Hacker,Go
8383,Shadowy Super Coder #8383,HojDq3nokAM4DJnS3PaW5PTD8BNaW55gFBGKyGP1idPi,Red,Natural,Purple Metal,Trading White,Linux,Red Panda Squad,Pink Smirk,Monke Hacker,C++
6819,Shadowy Super Coder #6819,NJy192zGwgWoue9KzUDDB3Khe3FxYFiUJrvwk3swcpy,Gold,Natural,Silver Metal,Glitch One,Steven,Fabricpunk,Pink Smile,Sci-Fi Hacker,Go
7261,Shadowy Super Coder #7261,64yvGZbVkYx4dviDzguvMp1PYKE63WkGfgzoZbu7j79D,Violet,Tan,Silver Metal,Glitch Two,Glitch One,Matrix,Purple Smirk,Shark Hacker,R
7317,Shadowy Super Coder #7317,3zf5nx6YxRJT8m6EHKXFL4LbR5tu4X8XjPsUNVj2Nc2c,Red,Pale,Silver Metal,Apricot,Trading Dark,Linux,Purple Smirk,Tech Hacker,Fortran
3588,Shadowy Super Coder #3588,DyA33Rka61GqU7D8WXyUtPQmNzL4m1qAW99G5RVy5gwM,Green,Pale,Bronze Metal,Access Granted,Glitch One,Glitch One,Red Smirk,Captain America Hacker,C#
9531,Shadowy Super Coder #9531,9Np97wwfqNigHt8zkRZenxkSsg2f1AFv9p5sA3ii8GSE,Red,Natural,Red Metal,Linux,Hacked,Matrix,Purple Smile,Shadowy Hacker,Solidity
2618,Shadowy Super Coder #2618,4T3CQ3jvebSBUVrsxLB7Uvuwv23KQar2LDLjmgysrd8L,Light-Blue,Natural,Bronze Metal,Access Granted,Edgar,Glitch One,Purple Smirk,Shark Hacker,Objective-C
2911,Shadowy Super Coder #2911,28EmTG4jKk71GhfmGkSLgP9huD1sAvXbEcRwVyXkXGay,Light-Orange,Tan,Red Metal,Surveillance Blue,Red Panda Squad,Phantom,Pink Smirk,Captain America Hacker,Python
7162,Shadowy Super Coder #7162,AB9Sor5bKcNG86awNMv9L76aZCv7ZQWRi1Fuzw3Lbde5,Dark-Red,Pale,Silver Metal,Linux,Pengulice,Defi Land Sign In,Purple Smile,Captain America Hacker,Python
468,Shadowy Super Coder #468,BQJ9CkhbwsapX9fo9kdWtbNVAo87QjufRsqr3VnMxcut,Dark-Red,Natural,Bronze Metal,Linux,Goo,SGF United,Pink Smile,Squid Game Hacker,Go
8606,Shadowy Super Coder #8606,2hDnkU3NeGAjWpj63tkDResHfGwFCHkSGx8aUWXarjcz,Magenta,Natural,Silver Metal,Trading White,Linux,Glitch Two,Red Smile,Captain America Hacker,Solidity
9607,Shadowy Super Coder #9607,7hW4eRCLQ2cNC7wERZH5UoeqCSSKSzAHu1cpLiu1vGZm,Red,Pale,Red Metal,Surveillance Blue,Star Atlas,Hacked,Purple Smile,Monke Hacker,Objective-C
5947,Shadowy Super Coder #5947,FxChhvcJZSsubQuJNWaDwmW2MygqvnKaBzbZDBekDCKu,Magenta,Tan,Silver Metal,Surveillance Blue,Solfarm,Rogue Sharks,Red Smirk,Tech Hacker,C++
6996,Shadowy Super Coder #6996,AzDRkxkoXo2DoJMXmo3gXP2T2jG4nhPfrXRUWY6C9kFT,Green,Tan,Silver Metal,Linux,Matrix,Linux,Red Smirk,Tech Hacker,Rust
2011,Shadowy Super Coder #2011,HzsWxYz6trpJJ5ibJnF7FSVz2XsAaduJaXe4fYoppaoM,Green,Tan,Silver Metal,Hacked,Trading Dark,Access Granted,Purple Smile,Unmasked Squid Game Hacker,C#
1814,Shadowy Super Coder #1814,FnvY42XotfAWSaFj3Fi4eubk7qdWCeFK6tVTaHPPZ9pA,Light-Orange,Pale,Red Metal,Solfarm,Matrix,Glitch One,Pink Smirk,Sci-Fi Hacker,C++
9394,Shadowy Super Coder #9394,CpU2pGw14bd9rHyTsapA4QYwswr6sBKtUDhkDZaqbqEi,Pink,Tan,Silver Metal,Trading White,Linux,GenesysGo,Pink Smirk,Punk Hacker,JavaScript
4065,Shadowy Super Coder #4065,9Kzov1KajuG6rN87Vmhj7PxMdomiybtkaD7zFuf6Eidc,Violet,Natural,Bronze Metal,Trading Dark,Access Granted,Glitch One,Purple Smirk,Captain America Hacker,C
4682,Shadowy Super Coder #4682,DGkFYwtTeo9EqeXMZVTwJTs5kc8QKKVqXNst1x46xuia,Gold,Pale,Purple Metal,Defi Land InGame,Hacked,Glitch Two,Pink Smile,Tech Hacker,Java
3860,Shadowy Super Coder #3860,9oFdRi8k5dF3gJfXUTpp8KqMDBf3q8KwD4Z8CwyjSCQy,Red,Chestnut,Silver Metal,Trading Dark,Matrix,Linux,Pink Smirk,Squid Game Hacker,R
3746,Shadowy Super Coder #3746,9QD93poQFrs2WHqwoKtsb321cTh8xmcSmsP4tA1yYQnT,Noire,Chestnut,Red Metal,Trading Dark,Linux,Glitch Two,Purple Smile,Dragon Hacker,C#
1607,Shadowy Super Coder #1607,9xFdHNFAu3A3FeZ4ziB9yMYZuppWUhuk4AiSmJ8tPTzN,Red,Pale,Bronze Metal,Surveillance Blue,Solana Valley,Hacked,Red Smirk,Unmasked Squid Game Hacker,C++
7668,Shadowy Super Coder #7668,3TZy6zAS19f5gNZ9eNJfE94xSVe6z6KFq72DhgKqkyzg,Noire,Chestnut,Purple Metal,Glitch One,Matrix,Access Granted,Pink Smirk,Shark Hacker,Java
9180,Shadowy Super Coder #9180,8UDDwUZpFanbw5Cgg7FTWiNs4qAAR1FcKviYKxDRjk5u,Gold,Pale,Red Metal,Matrix,Glitch Two,Hacked,Pink Smile,Squid Game Hacker,Rust
834,Shadowy Super Coder #834,9T3XLrDiKFwzt7ijBd3uFGjRdLVToJoKRE7MSbRBKJhG,Light-Yellow,Pale,Purple Metal,Access Granted,Access Granted,Linux,Red Smile,Dragon Hacker,Swift
3390,Shadowy Super Coder #3390,DNYTx68EgoBj2esPK5x6gopgCJsLHfDGiQjbEPSvUVpK,Green,Chestnut,Red Metal,Surveillance Blue,Trading Dark,Hacked,Purple Smirk,Dragon Hacker,C++
5615,Shadowy Super Coder #5615,8YFiH1myanRbuug5kCccBEibcZMHsrje7B5W63VxqHtp,Noire,Tan,Purple Metal,Kaiju,Linux,Cryptonary,Red Smile,Unmasked Squid Game Hacker,Go
2997,Shadowy Super Coder #2997,6ww9ioZrActzd85y7Uc1rML8Z2BA3MLoeZ9FG9uXEb1q,Noire,Pale,Purple Metal,Surveillance Blue,Access Granted,Access Granted,Pink Smirk,Neon Solana Hacker,C
3156,Shadowy Super Coder #3156,AyDy33zJwwPxM7i36cDdpECSG2DRbrnh7MBW2PChQkur,Magenta,Tan,Red Metal,Trading White,Matrix,Trading Dark,Red Smile,Cat-Ear Hacker,C#
851,Shadowy Super Coder #851,5WyjP8asyD5kVPrd6N6pZECapnP7tveq71GSQhgP2wQG,Noire,Chestnut,Red Metal,Hacked,SGF,Hacked,Pink Smirk,Sci-Fi Hacker,Swift
7290,Shadowy Super Coder #7290,8LbhN42knaEQpRRXqR6gyDHmrwbiSkHJEAQLXiZV5863,Light-Orange,Pale,Bronze Metal,Glitch Two,Linux,Matrix,Purple Smile,Shadowy Hacker,Solidity
7369,Shadowy Super Coder #7369,hWsxzf9EXXQPjCKoDbQvkEkVwqxLkUvBKLoNHC7qmWL,Pink,Chestnut,Silver Metal,Linux,Glitch Two,Glitch Two,Red Smirk,Punk Hacker,Objective-C
4454,Shadowy Super Coder #4454,62drnVVMGZqnCvhAr6Ay6PEZcr3MrAE27Y4goD6T9TUN,Magenta,Tan,Red Metal,Samo,Digitaleyes,Glitch One,Pink Smile,Squid Game Hacker,Solidity
7061,Shadowy Super Coder #7061,Ky9UnjdaN2iuNQX2SSLeGnDoqBddrdHtoZ1faoCqjgp,Noire,Natural,Purple Metal,Glitch One,Trading Dark,Linux,Pink Smile,Cat-Ear Hacker,Fortran
5997,Shadowy Super Coder #5997,EM8RuQVd1Vq4NkKReAQLkszvb1cnenF2YkrW9N4Sev2s,Violet,Natural,Red Metal,Glitch Two,Hacked,Defi Land Welcome,Red Smile,Unmasked Squid Game Hacker,JavaScript
3179,Shadowy Super Coder #3179,Ap7ago2uafqP1tDXiBUjJvHTpREUQpz2f3icMZGJGHyn,Green,Tan,Red Metal,Access Granted,Glitch One,Glitch One,Red Smirk,Neon Solana Hacker,Python
5775,Shadowy Super Coder #5775,S2veCtDC6gsoNRNL1aQxtugLnnegd99AzxwcMQaBLy5,Dark-Red,Tan,Purple Metal,Glitch One,Linux,Hacked,Red Smirk,Tron Hacker,R
7887,Shadowy Super Coder #7887,STkwKwihhkxqLXah1DmJCsScLe7Qys3bMUP7a2AzQkw,Magenta,Natural,Bronze Metal,Hacked,Linux,Glitch Two,Pink Smile,Shark Hacker,C++
5514,Shadowy Super Coder #5514,7WTesuE1KfnQmhMRFp2aAJa7GmrtrB6Zo2y281DpFQKX,Dark-Red,Tan,Bronze Metal,Glitch Two,Glitch One,Glitch One,Pink Smile,Captain America Hacker,JavaScript
