TOKEN_ID,TOKEN_NAME,Background,Body,Shirt,Eyes,Mouth,Hats,Attack,Defense,Special
27,Baby Ape Mutant Club #27,Dark Blue,Pink and Green,Sailor,Bloody,Funnel,Sailor,4,10,8
28,Baby Ape Mutant Club #28,Aqua,Zombie,Tongue,Red,Hungry,none,7,10,3
29,Baby Ape Mutant Club #29,Purple,Zombie,none,Strained,stone,Fuzzy,6,4,6
30,Baby Ape Mutant Club #30,Grey,Red Leopard,none,X ,Knife,Brain,6,7,7
31,Baby Ape Mutant Club #31,Purple,Green Tiger,none,Stone,stone,Devil,7,6,2
32,Baby Ape Mutant Club #32,Grey,Zombie,Senator,3d,Knife,Krakken,6,6,7
33,Baby Ape Mutant Club #33,Yellow,Green Tiger,Leopard,Fish,Stubble,Cowboy,10,7,7
34,Baby Ape Mutant Club #34,Dark Blue,Red Leopard,Burning,Red,Stubble,Brain Party,10,5,9
35,Baby Ape Mutant Club #35,Orange,Red Leopard,Robe,Fish,Soda,none,6,3,3
36,Baby Ape Mutant Club #36,Grey,Lava,Space,Red,Soda,Ninja,6,3,7
37,Baby Ape Mutant Club #37,Purple,Green Tiger,none,Fish,stone,none,6,6,9
38,Baby Ape Mutant Club #38,Blue,Skeleton,Senator,Fish,Soda,Flying,7,6,2
39,Baby Ape Mutant Club #39,Dark Blue,Skeleton,Senator,Stone,Killer,Dino,8,4,3
40,Baby Ape Mutant Club #40,Grey,Red Leopard,none,X ,stone,Brain Party,9,4,3
41,Baby Ape Mutant Club #41,Aqua,Skeleton,Sailor,Stone,Grin,Rainbow,6,7,6
42,Baby Ape Mutant Club #42,Blue,Red Leopard,Robe,Wide ,Stoopid,Sailor,5,4,3
43,Baby Ape Mutant Club #43,Orange,Skeleton,none,X ,Funnel,none,3,4,8
44,Baby Ape Mutant Club #44,Dark Blue,Green Tiger,Sailor Boy,Bloody,Funnel,Trippy,7,6,8
45,Baby Ape Mutant Club #45,Yellow,Zombie,none,Fish,stone,Brain Party,2,6,5
46,Baby Ape Mutant Club #46,Grey,Zombie,Cosmo,Strained,stone,none,9,4,10
47,Baby Ape Mutant Club #47,Dark Blue,Red Leopard,none,Wide ,Soda,Devil,4,5,9
48,Baby Ape Mutant Club #48,Grey,Green Tiger,none,Red,Dumb,Brain,7,6,9
49,Baby Ape Mutant Club #49,Orange,Pink and Green,none,Eye Patch,Grin,Krakken,8,2,3
50,Baby Ape Mutant Club #50,Blue,Green Tiger,Robe,Red,Snarl,Captain,4,3,2
51,Baby Ape Mutant Club #51,Yellow,Green Tiger,none,Red,Soda,Rainbow,4,10,4
52,Baby Ape Mutant Club #52,Blue,Green Tiger,Robe,Crying,Dumb,Captain,6,8,5
53,Baby Ape Mutant Club #53,Dark Blue,Zombie,Robe,Strained,Snarl,Rainbow,6,8,5
54,Baby Ape Mutant Club #54,Aqua,Green Tiger,Burning,Crying,Worm,none,5,6,9
55,Baby Ape Mutant Club #55,Yellow,Pink and Green,none,Bloody,Stubble,Ninja,5,7,3
56,Baby Ape Mutant Club #56,Purple,Zombie,Trippy suit,Bloody,Stubble,Alien,9,6,6
57,Baby Ape Mutant Club #57,Purple,Red Leopard,Dr,Strained,Gem,Sailor,4,7,7
58,Baby Ape Mutant Club #58,Yellow,Zombie,Robe,Crying,Grin,Alien,6,1,7
59,Baby Ape Mutant Club #59,Purple,Red Leopard,Robe,Bloody,Killer,Rainbow,10,7,4
60,Baby Ape Mutant Club #60,Grey,Lava,none,Red,Hungry,Alien,5,7,6
61,Baby Ape Mutant Club #61,Aqua,Blue Leopard ,none,X ,Funnel,Dino,6,3,8
62,Baby Ape Mutant Club #62,Aqua,Red Leopard,none,Wide ,Hungry,none,4,3,9
63,Baby Ape Mutant Club #63,Grey,Blue Leopard ,Dr,X ,Stoopid,Krakken,10,7,10
64,Baby Ape Mutant Club #64,Yellow,Pink and Green,Cosmo,Crying,Soda,Alien,6,3,7
65,Baby Ape Mutant Club #65,Yellow,Zombie,Burning,Wide ,Soda,Brain Party,1,7,8
66,Baby Ape Mutant Club #66,Grey,Lava,Trippy friend,Eye Patch,Hungry,Cowboy,5,1,10
67,Baby Ape Mutant Club #67,Purple,Red Leopard,Dr,X ,stone,none,7,6,6
68,Baby Ape Mutant Club #68,Blue,Pink and Green,Space,Crying,Knife,Flying,10,7,5
69,Baby Ape Mutant Club #69,Dark Blue,Blue Leopard ,Sailor,Red,Grit,Bunny,6,2,8
70,Baby Ape Mutant Club #70,Yellow,Blue Leopard ,Sailor,Crying,stone,Rainbow,8,7,3
71,Baby Ape Mutant Club #71,Purple,Pink and Green,Space,Strained,Grin,Brain Party,9,8,4
72,Baby Ape Mutant Club #72,Blue,Zombie,Senator,Fish,Gem,Brain Party,7,6,7
73,Baby Ape Mutant Club #73,Orange,Lava,none,Bloody,Funnel,Alien,3,10,6
74,Baby Ape Mutant Club #74,Dark Blue,Red Leopard,Space,Crying,Grit,none,10,5,4
75,Baby Ape Mutant Club #75,Blue,Blue Leopard ,Dr,Eye Patch,stone,Devil,7,2,2
76,Baby Ape Mutant Club #76,Grey,Blue Leopard ,none,Goggle,stone,Cowboy,6,4,7
77,Baby Ape Mutant Club #77,Grey,Pink and Green,Cosmo,Wide ,Rage,Squid,8,4,6
78,Baby Ape Mutant Club #78,Orange,Red Leopard,Leopard,Wide ,Grin,Krakken,7,8,5
79,Baby Ape Mutant Club #79,Purple,Pink and Green,none,Fish,Cheesy,Sailor,7,5,2
80,Baby Ape Mutant Club #80,Orange,Skeleton,Sailor,Crying,Grin,Brain,10,1,4
81,Baby Ape Mutant Club #81,Yellow,Blue Leopard ,Dr,Bloody,Worm,Rainbow,9,6,7
82,Baby Ape Mutant Club #82,Blue,Zombie,none,Eye Patch,Stoopid,Ninja,5,8,7
83,Baby Ape Mutant Club #83,Blue,Green Tiger,Burning,Fish,Soda,none,1,4,6
84,Baby Ape Mutant Club #84,Aqua,Blue Leopard ,Cosmo,Red,Knife,Dino,6,3,7
85,Baby Ape Mutant Club #85,Aqua,Lava,Robe,Wide ,Soda,Bunny,5,7,6
86,Baby Ape Mutant Club #86,Dark Blue,Blue Leopard ,Robe,Wide ,Snarl,Krakken,5,8,3
87,Baby Ape Mutant Club #87,Grey,Zombie,Cosmo,Wide ,stone,Bunny,8,2,7
88,Baby Ape Mutant Club #88,Purple,Zombie,Tongue,Red,Soda,Dino,9,5,10
89,Baby Ape Mutant Club #89,Purple,Zombie,Tongue,Red,stone,Chain,8,4,6
90,Baby Ape Mutant Club #90,Orange,Green Tiger,none,Strained,Dumb,Chain,9,6,3
91,Baby Ape Mutant Club #91,Orange,Pink and Green,none,Stone,Knife,Rainbow,6,4,2
92,Baby Ape Mutant Club #92,Dark Blue,Zebra,Robe,Bloody,Grit,Rainbow,6,4,4
93,Baby Ape Mutant Club #93,Dark Blue,Zombie,none,Eye Patch,Dumb,Fuzzy,10,8,7
94,Baby Ape Mutant Club #94,Purple,Lava,none,Bloody,Dumb,none,8,5,3
95,Baby Ape Mutant Club #95,Blue,Pink and Green,Tongue,X ,stone,Ninja,6,3,1
96,Baby Ape Mutant Club #96,Orange,Blue Leopard ,Sailor Boy,Red,Cheesy,Chain,9,4,8
97,Baby Ape Mutant Club #97,Grey,Blue Leopard ,Senator,Bloody,Dumb,Rainbow,3,8,3
98,Baby Ape Mutant Club #98,Purple,Green Tiger,Burning,Strained,Worm,Bunny,6,7,5
99,Baby Ape Mutant Club #99,Blue,Lava,none,Crying,Grin,Captain,4,1,4
100,Baby Ape Mutant Club #100,Yellow,Red Leopard,none,3d,Grit,Dino,4,1,7
101,Baby Ape Mutant Club #101,Dark Blue,Zombie,Tongue,Red,Hungry,Rainbow,8,2,4
102,Baby Ape Mutant Club #102,Blue,Zombie,Robe,Red,Rage,Devil,3,4,3
103,Baby Ape Mutant Club #103,Yellow,Lava,Sailor,Wide ,Rage,Chain,3,3,4
104,Baby Ape Mutant Club #104,Yellow,Blue Leopard ,Yellow jail,Red,Dumb,Krakken,6,3,4
105,Baby Ape Mutant Club #105,Dark Blue,Pink and Green,Sailor,Wide ,Gem,Cowboy,9,2,4
106,Baby Ape Mutant Club #106,Aqua,Red Leopard,Sailor,Eye Patch,Snarl,none,7,7,1
107,Baby Ape Mutant Club #107,Dark Blue,Lava,Leopard,Crying,Cheesy,Brain Party,5,5,8
108,Baby Ape Mutant Club #108,Aqua,Skeleton,Dr,Strained,Rage,Sailor,4,6,4
109,Baby Ape Mutant Club #109,Blue,Zombie,none,Stone,Gem,Bunny,4,6,1
110,Baby Ape Mutant Club #110,Blue,Red Leopard,none,Wide ,stone,Krakken,5,6,6
111,Baby Ape Mutant Club #111,Dark Blue,Blue Leopard ,Burning,Wide ,Hungry,none,3,10,6
112,Baby Ape Mutant Club #112,Yellow,Skeleton,Sailor,Wide ,Stubble,Rainbow,6,5,6
113,Baby Ape Mutant Club #113,Blue,Zombie,Robe,Red,Gem,none,4,8,1
114,Baby Ape Mutant Club #114,Blue,Zombie,none,Bug,Dumb,Fuzzy,5,5,7
115,Baby Ape Mutant Club #115,Blue,Green Tiger,Tongue,Stone,Grit,none,6,1,4
116,Baby Ape Mutant Club #116,Purple,Pink and Green,Yellow jail,Stone,Grin,Card,8,4,7
117,Baby Ape Mutant Club #117,Purple,Zombie,Space,Red,Cheesy,Krakken,6,7,3
118,Baby Ape Mutant Club #118,Dark Blue,Zebra,Dr,Bloody,Grin,Brain,6,5,2
119,Baby Ape Mutant Club #119,Yellow,Green Tiger,Sailor Boy,Stone,Soda,Krakken,1,7,7
120,Baby Ape Mutant Club #120,Orange,Red Leopard,none,Fish,Rage,Rainbow,10,7,7
121,Baby Ape Mutant Club #121,Dark Blue,Red Leopard,Tongue,Wide ,stone,Card,8,5,8
122,Baby Ape Mutant Club #122,Aqua,Lava,Robe,Wide ,Funnel,Chain,3,1,7
123,Baby Ape Mutant Club #123,Blue,Red Leopard,Burning,Eye Patch,Cheesy,Cowboy,4,3,6
124,Baby Ape Mutant Club #124,Grey,Green Tiger,Cosmo,Red,Dumb,Bunny,3,6,3
125,Baby Ape Mutant Club #125,Dark Blue,Static,Tongue,Wide ,Rage,Fuzzy,8,6,3
126,Baby Ape Mutant Club #126,Orange,Skeleton,Sailor,Eye Patch,Knife,Rainbow,3,4,8
127,Baby Ape Mutant Club #127,Orange,Lava,Trippy suit,Strained,Killer,Chain,6,7,10
128,Baby Ape Mutant Club #128,Dark Blue,Green Tiger,Burning,Fish,Grit,Sailor,8,5,4
129,Baby Ape Mutant Club #129,Purple,Green Tiger,Cosmo,Eye Patch,Grit,Card,3,5,7
130,Baby Ape Mutant Club #130,Grey,Pink and Green,Sailor Boy,Eye Patch,Grin,Brain Party,7,5,5
131,Baby Ape Mutant Club #131,Aqua,Green Tiger,Robe,Bloody,Hungry,Brain Party,6,7,3
132,Baby Ape Mutant Club #132,Blue,Lava,none,Crying,Dumb,Chain,4,6,7
133,Baby Ape Mutant Club #133,Grey,Blue Leopard ,Cosmo,Stone,Rage,Krakken,3,4,7
134,Baby Ape Mutant Club #134,Blue,Blue Leopard ,none,Red,stone,none,4,8,6
135,Baby Ape Mutant Club #135,Grey,Zebra,Tongue,Eye Patch,Cheesy,none,1,7,4
136,Baby Ape Mutant Club #136,Purple,Pink and Green,none,Bloody,Cheesy,none,6,9,6
137,Baby Ape Mutant Club #137,Dark Blue,Zombie,none,Strained,Snarl,none,2,3,1
138,Baby Ape Mutant Club #138,Yellow,Zombie,none,Bloody,Worm,Ninja,9,7,4
139,Baby Ape Mutant Club #139,Yellow,Blue Leopard ,none,Stone,Worm,none,4,8,3
140,Baby Ape Mutant Club #140,Dark Blue,Skeleton,Yellow jail,Bloody,Knife,Card,7,7,6
141,Baby Ape Mutant Club #141,Yellow,Zombie,none,Goggle,Killer,none,2,2,4
142,Baby Ape Mutant Club #142,Grey,Lava,Cosmo,Eye Patch,Gem,Brain,7,5,3
143,Baby Ape Mutant Club #143,Aqua,Zombie,Burning,Fish,Grit,Devil,4,9,7
144,Baby Ape Mutant Club #144,Blue,Red Leopard,Cosmo,Red,Hungry,none,8,10,6
145,Baby Ape Mutant Club #145,Orange,Zombie,Sailor Boy,Eye Patch,Grin,none,5,6,8
146,Baby Ape Mutant Club #146,Purple,Zombie,none,3d,Funnel,Sailor,9,6,8
147,Baby Ape Mutant Club #147,Dark Blue,Red Leopard,Sailor,Red,Knife,Squid,3,5,2
148,Baby Ape Mutant Club #148,Grey,Blue Leopard ,Space,Fish,Grin,Alien,4,3,3
149,Baby Ape Mutant Club #149,Yellow,Zombie,Tongue,Wide ,Dumb,Fuzzy,5,3,4
150,Baby Ape Mutant Club #150,Dark Blue,Zombie,none,X ,Worm,Fuzzy,1,7,5
151,Baby Ape Mutant Club #151,Orange,Zombie,Yellow jail,3d,Soda,Cowboy,4,8,3
152,Baby Ape Mutant Club #152,Dark Blue,Zombie,none,Eye Patch,Hungry,Sailor,8,6,7
153,Baby Ape Mutant Club #153,Orange,Green Tiger,Leopard,Bloody,stone,Captain,6,3,6
154,Baby Ape Mutant Club #154,Blue,Zebra,none,Goggle,Funnel,Chain,8,4,10
155,Baby Ape Mutant Club #155,Blue,Pink and Green,Yellow jail,Red,Soda,Daredevil,10,6,8
156,Baby Ape Mutant Club #156,Purple,Pink and Green,Trippy suit,Crying,Stubble,Krakken,7,2,6
157,Baby Ape Mutant Club #157,Orange,Red Leopard,Sailor,Eye Patch,Dumb,Fuzzy,10,7,4
158,Baby Ape Mutant Club #158,Dark Blue,Blue Leopard ,Robe,3d,Grin,none,1,4,6
159,Baby Ape Mutant Club #159,Aqua,Skeleton,none,Fish,Stubble,Rainbow,8,6,6
160,Baby Ape Mutant Club #160,Purple,Zombie,Sailor Boy,Bloody,Grin,Squid,10,4,5
161,Baby Ape Mutant Club #161,Purple,Blue Leopard ,Space,Crying,Worm,Devil,6,4,9
162,Baby Ape Mutant Club #162,Dark Blue,Pink and Green,Dr,X ,Killer,Devil,7,3,7
163,Baby Ape Mutant Club #163,Yellow,Skeleton,Space,Strained,Stoopid,Krakken,5,8,3
164,Baby Ape Mutant Club #164,Dark Blue,Blue Leopard ,Robe,Eye Patch,stone,none,10,4,8
165,Baby Ape Mutant Club #165,Aqua,Pink and Green,none,Stone,Funnel,Trippy,10,3,8
166,Baby Ape Mutant Club #166,Grey,Lava,none,Red,Grin,Chain,7,6,6
167,Baby Ape Mutant Club #167,Aqua,Lava,Space,Goggle,Killer,Card,6,6,8
168,Baby Ape Mutant Club #168,Orange,Skeleton,Yellow jail,Bloody,Grin,Bunny,6,10,4
169,Baby Ape Mutant Club #169,Orange,Blue Leopard ,Yellow jail,X ,Cheesy,Alien,2,10,7
170,Baby Ape Mutant Club #170,Orange,Red Leopard,Tongue,X ,Cheesy,Rainbow,6,1,1
171,Baby Ape Mutant Club #171,Blue,Blue Leopard ,Robe,Red,Stubble,none,6,4,3
172,Baby Ape Mutant Club #172,Blue,Green Tiger,Robe,X ,Grin,none,8,2,7
173,Baby Ape Mutant Club #173,Blue,Pink and Green,Sailor Boy,Eye Patch,Stubble,none,3,5,3
174,Baby Ape Mutant Club #174,Purple,Pink and Green,none,Red,Stoopid,Brain Party,7,5,7
175,Baby Ape Mutant Club #175,Orange,Pink and Green,Burning,Bloody,Soda,Ninja,8,5,8
176,Baby Ape Mutant Club #176,Blue,Zebra,Burning,X ,Snarl,Sailor,9,10,6
177,Baby Ape Mutant Club #177,Blue,Static,Yellow jail,Bloody,Stoopid,Flying,8,6,7
178,Baby Ape Mutant Club #178,Yellow,Red Leopard,Tongue,3d,Stoopid,Krakken,2,6,7
179,Baby Ape Mutant Club #179,Blue,Red Leopard,Sailor,Strained,stone,Brain,10,10,7
180,Baby Ape Mutant Club #180,Aqua,Zebra,Space,Bloody,Snarl,Sailor,6,7,3
181,Baby Ape Mutant Club #181,Grey,Pink and Green,none,Strained,Rage,Brain Party,8,6,10
182,Baby Ape Mutant Club #182,Dark Blue,Gold,Burning,Eye Patch,Stubble,none,6,9,6
183,Baby Ape Mutant Club #183,Grey,Pink and Green,Dr,Bloody,Killer,Sailor,3,8,5
184,Baby Ape Mutant Club #184,Yellow,Red Leopard,none,Strained,Knife,Devil,3,6,8
185,Baby Ape Mutant Club #185,Dark Blue,Blue Leopard ,Sailor,Crying,stone,Brain Party,4,8,10
186,Baby Ape Mutant Club #186,Aqua,Lava,none,Red,Cheesy,none,1,4,3
187,Baby Ape Mutant Club #187,Grey,Lava,Sailor,Stone,Grin,Rainbow,4,9,7
188,Baby Ape Mutant Club #188,Blue,Blue Leopard ,Leopard,Stone,Gold,Bunny,3,7,6
189,Baby Ape Mutant Club #189,Dark Blue,Red Leopard,Burning,Red,Stubble,Chain,4,6,7
190,Baby Ape Mutant Club #190,Aqua,Pink and Green,Tongue,Strained,Grin,Chain,6,6,4
191,Baby Ape Mutant Club #191,Blue,Zombie,Sailor Boy,Red,Cheesy,Brain Party,5,6,5
192,Baby Ape Mutant Club #192,Dark Blue,Zombie,none,Stone,Hungry,Krakken,8,6,10
193,Baby Ape Mutant Club #193,Purple,Green Tiger,none,3d,Stoopid,Dino,6,2,8
194,Baby Ape Mutant Club #194,Orange,Red Leopard,none,Bloody,Stoopid,Dino,6,4,5
195,Baby Ape Mutant Club #195,Yellow,Zebra,none,Wide ,Gem,Brain,8,4,5
196,Baby Ape Mutant Club #196,Aqua,Zombie,none,Wide ,Gold,Dino,1,6,8
197,Baby Ape Mutant Club #197,Blue,Skeleton,Robe,Strained,Hungry,Fuzzy,6,1,9
198,Baby Ape Mutant Club #198,Orange,Zombie,none,Strained,stone,Devil,4,5,6
199,Baby Ape Mutant Club #199,Grey,Zombie,Dr,Red,Soda,Bunny,8,2,6
200,Baby Ape Mutant Club #200,Grey,Blue Leopard ,Space,X ,Snarl,Chain,7,3,4
201,Baby Ape Mutant Club #201,Aqua,Lava,Sailor Boy,Bloody,Funnel,Sailor,7,9,4
202,Baby Ape Mutant Club #202,Blue,Blue Leopard ,Sailor Boy,Red,Hungry,Sailor,3,8,9
203,Baby Ape Mutant Club #203,Orange,Pink and Green,none,Eye Patch,Rage,Dino,7,2,10
204,Baby Ape Mutant Club #204,Purple,Blue Leopard ,Tongue,Red,Hungry,Fuzzy,4,9,5
205,Baby Ape Mutant Club #205,Grey,Pink and Green,none,Stone,Rage,Chain,2,8,7
206,Baby Ape Mutant Club #206,Orange,Zombie,none,Eye Patch,Hungry,Dino,1,5,9
207,Baby Ape Mutant Club #207,Orange,Red Leopard,Cosmo,Eye Patch,Rage,Cowboy,3,6,9
208,Baby Ape Mutant Club #208,Purple,Green Tiger,Sailor,Wide ,Grit,Cowboy,8,10,4
209,Baby Ape Mutant Club #209,Blue,Blue Leopard ,Yellow jail,Bloody,Grin,Cowboy,6,2,7
210,Baby Ape Mutant Club #210,Dark Blue,Skeleton,Yellow jail,Bug,Knife,none,1,8,2
211,Baby Ape Mutant Club #211,Purple,Lava,Yellow jail,Red,Knife,Captain,7,6,8
212,Baby Ape Mutant Club #212,Purple,Green Tiger,Trippy suit,Red,Knife,none,7,1,4
213,Baby Ape Mutant Club #213,Yellow,Pink and Green,Senator,Goggle,Grin,Sailor,4,7,6
214,Baby Ape Mutant Club #214,Grey,Green Tiger,Tongue,Red,Stubble,Devil,5,6,6
215,Baby Ape Mutant Club #215,Aqua,Pink and Green,Space,Wide ,Grit,none,9,2,4
216,Baby Ape Mutant Club #216,Purple,Lava,Dr,Eye Patch,Cheesy,Chain,6,8,2
217,Baby Ape Mutant Club #217,Orange,Green Tiger,Cosmo,X ,stone,Devil,7,8,10
218,Baby Ape Mutant Club #218,Purple,Gold,Yellow jail,X ,Grit,Ninja,1,2,2
219,Baby Ape Mutant Club #219,Yellow,Red Leopard,Senator,Red,Funnel,Devil,3,3,6
220,Baby Ape Mutant Club #220,Grey,Zombie,Space,Goggle,Rage,Krakken,4,3,7
221,Baby Ape Mutant Club #221,Dark Blue,Zombie,Sailor,Eye Patch,Funnel,Sailor,6,2,7
222,Baby Ape Mutant Club #222,Orange,Red Leopard,none,3d,Worm,Card,3,8,4
223,Baby Ape Mutant Club #223,Orange,Zombie,none,Bloody,Grit,Bunny,4,5,3
224,Baby Ape Mutant Club #224,Purple,Red Leopard,Robe,Goggle,Funnel,Sailor,3,3,8
225,Baby Ape Mutant Club #225,Orange,Zombie,Cosmo,Red,Soda,Brain,4,2,3
226,Baby Ape Mutant Club #226,Aqua,Zombie,Burning,Eye Patch,Grit,Krakken,2,7,6
227,Baby Ape Mutant Club #227,Purple,Red Leopard,none,Red,Stubble,none,6,5,7
228,Baby Ape Mutant Club #228,Orange,Zombie,none,Bloody,Soda,Flying,6,4,6
229,Baby Ape Mutant Club #229,Blue,Red Leopard,Dr,Bloody,stone,Krakken,6,2,7
230,Baby Ape Mutant Club #230,Orange,Green Tiger,none,X ,Knife,Brain,6,6,6
231,Baby Ape Mutant Club #231,Grey,Zombie,Yellow jail,Fish,Stubble,Alien,9,7,1
232,Baby Ape Mutant Club #232,Aqua,Pink and Green,Space,X ,stone,Captain,7,7,5
233,Baby Ape Mutant Club #233,Grey,Skeleton,Dr,Stone,Gem,Ninja,3,4,6
234,Baby Ape Mutant Club #234,Grey,Red Leopard,Burning,Strained,Soda,none,7,6,8
235,Baby Ape Mutant Club #235,Purple,Pink and Green,Dr,Wide ,Stoopid,Krakken,7,8,8
236,Baby Ape Mutant Club #236,Orange,Red Leopard,Sailor,Strained,stone,Flying,1,3,3
237,Baby Ape Mutant Club #237,Purple,Zombie,Robe,Crying,Funnel,Bunny,4,2,10
238,Baby Ape Mutant Club #238,Grey,Zombie,Trippy friend,Eye Patch,Stubble,Captain,6,7,3
239,Baby Ape Mutant Club #239,Purple,Skeleton,Sailor Boy,Wide ,Gold,Captain,8,7,5
240,Baby Ape Mutant Club #240,Purple,Pink and Green,none,Crying,Cheesy,Krakken,1,6,6
241,Baby Ape Mutant Club #241,Yellow,Blue Leopard ,Space,Red,Snarl,Alien,3,2,2
242,Baby Ape Mutant Club #242,Yellow,Lava,none,Crying,Gold,Alien,6,1,9
243,Baby Ape Mutant Club #243,Yellow,Blue Leopard ,none,Eye Patch,Stubble,Ninja,4,6,5
244,Baby Ape Mutant Club #244,Aqua,Red Leopard,Tongue,Eye Patch,Grit,none,9,7,9
245,Baby Ape Mutant Club #245,Purple,Lava,Dr,Bloody,Gem,Devil,4,4,4
246,Baby Ape Mutant Club #246,Orange,Green Tiger,Trippy suit,X ,Dumb,Alien,7,5,1
247,Baby Ape Mutant Club #247,Purple,Zombie,Leopard,Eye Patch,stone,Squid,6,8,6
248,Baby Ape Mutant Club #248,Orange,Lava,Burning,X ,Dumb,Brain,2,1,1
249,Baby Ape Mutant Club #249,Aqua,Lava,Yellow jail,Fish,Funnel,none,8,3,6
250,Baby Ape Mutant Club #250,Blue,Blue Leopard ,none,Bloody,Dumb,Fuzzy,6,10,7
251,Baby Ape Mutant Club #251,Blue,Green Tiger,none,Eye Patch,Knife,Alien,3,6,5
252,Baby Ape Mutant Club #252,Blue,Zombie,Sailor,X ,Snarl,Trippy,6,7,4
253,Baby Ape Mutant Club #253,Blue,Pink and Green,Cosmo,Red,Cheesy,Brain,5,6,6
254,Baby Ape Mutant Club #254,Yellow,Green Tiger,Dr,Bloody,Grit,none,6,10,9
255,Baby Ape Mutant Club #255,Grey,Zombie,Tongue,Strained,Stoopid,Brain Party,3,6,8
256,Baby Ape Mutant Club #256,Yellow,Zombie,Dr,Strained,Grin,Captain,3,4,6
257,Baby Ape Mutant Club #257,Dark Blue,Red Leopard,Senator,Fish,Grin,Devil,5,8,10
258,Baby Ape Mutant Club #258,Grey,Zombie,Cosmo,Strained,Stubble,none,7,1,3
259,Baby Ape Mutant Club #259,Grey,Zombie,Senator,Bloody,Worm,Sailor,7,3,3
260,Baby Ape Mutant Club #260,Aqua,Zombie,none,Stone,Hungry,Chain,3,9,8
261,Baby Ape Mutant Club #261,Dark Blue,Red Leopard,Burning,Wide ,Killer,Squid,7,10,7
262,Baby Ape Mutant Club #262,Dark Blue,Green Tiger,none,Bug,Funnel,Rainbow,3,2,4
263,Baby Ape Mutant Club #263,Grey,Blue Leopard ,Tongue,Wide ,stone,none,7,8,5
264,Baby Ape Mutant Club #264,Dark Blue,Zombie,Yellow jail,Crying,Grit,Dino,8,8,3
265,Baby Ape Mutant Club #265,Purple,Static,Yellow jail,Crying,Stubble,none,6,9,1
266,Baby Ape Mutant Club #266,Yellow,Zombie,Yellow jail,Red,Grit,Alien,6,7,1
267,Baby Ape Mutant Club #267,Blue,Red Leopard,Cosmo,Goggle,Stubble,none,7,7,1
268,Baby Ape Mutant Club #268,Dark Blue,Pink and Green,Space,Eye Patch,Stoopid,Cowboy,7,3,5
269,Baby Ape Mutant Club #269,Dark Blue,Skeleton,Tongue,Strained,Grit,Sailor,7,7,6
270,Baby Ape Mutant Club #270,Yellow,Lava,Leopard,Wide ,Hungry,Card,6,8,8
