TOKEN_ID,TOKEN_NAME,Factory Model,Collection,Current Class,Factory Class,Car Rating,Experience Points,Current Color,Stock Color,Win Percentage,Engine Level,Tires Level,NOS System,Supercharger,Dual Exhaust,Drive Train Upgrade,Performance Chip,Connection
66,RR Car #66 Graceful,Graceful,Genesis,Aero,Aero,5400,700,CW-066,CW-066,0,2,2,0,0,0,0,0,CryptoWhips
67,RR Car #67 Peachy Keen,Peachy Keen,Genesis,Aero,Aero,2040,600,CW-067,CW-067,0,1,2,0,0,0,0,0,CryptoWhips
68,RR Car #68 Papa Smurf,Papa Smurf,Genesis,Aero,Aero,2040,600,CW-068,CW-068,0,1,2,0,0,0,0,0,CryptoWhips
69,RR Car #69 Grape Soda,Grape Soda,Genesis,Aero,Aero,2040,600,CW-069,CW-069,0,1,2,0,0,0,0,0,CryptoWhips
70,RR Car #70 Chili Pepper,Chili Pepper,Genesis,Aero,Aero,2040,600,CW-070,CW-070,0,1,2,0,0,0,0,0,CryptoWhips
71,RR Car #71 Well Positioned,Well Positioned,Genesis,Aero,Aero,2040,600,CW-071,CW-071,0,1,2,0,0,0,0,0,CryptoWhips
72,RR Car #72 AntiGravity,AntiGravity,Genesis,Aero,Aero,2040,600,CW-072,CW-072,0,1,2,0,0,0,0,0,CryptoWhips
73,RR Car #73 Red Fury,Red Fury,Genesis,Aero,Aero,5400,700,CW-073,CW-073,0,2,2,0,0,0,0,0,CryptoWhips
74,RR Car #74 ₿ Gold Digger ₿,Gold Digger,Genesis,Aero,Aero,2040,600,CW-074,CW-074,0,1,2,0,0,0,0,0,CryptoWhips
75,RR Car #75 Green Goddess,Green Goddess,Genesis,Aero,Aero,2040,600,CW-075,CW-075,0,1,2,0,0,0,0,0,CryptoWhips
76,RR Car #76 Charcoal Hammer,Charcoal Hammer,Genesis,Aero,Aero,5400,700,CW-076,CW-076,0,2,2,0,0,0,0,0,CryptoWhips
77,RR Car #77 Doubles,Doubles,Genesis,Aero,Aero,2040,600,CW-077,CW-077,0,1,2,0,0,0,0,0,CryptoWhips
78,RR Car #78 Red Stone,Red Stone,Genesis,Aero,Aero,2040,600,CW-078,CW-078,0,1,2,0,0,0,0,0,CryptoWhips
79,RR Car #79 Courage,Courage,Genesis,Aero,Aero,2040,600,CW-079,CW-079,0,1,2,0,0,0,0,0,CryptoWhips
80,RR Car #80 Valor,Valor,Genesis,Aero,Aero,2040,600,CW-080,CW-080,0,1,2,0,0,0,0,0,CryptoWhips
81,RR Car #81 X AE A-Xii,X AE A-Xii,Genesis,Aero,Aero,5400,700,CW-081,CW-081,0,2,2,0,0,0,0,0,CryptoWhips
82,RR Car #82 The Boring Truck,The Boring Truck,Genesis,Aero,Aero,2040,600,CW-082,CW-082,0,1,2,0,0,0,0,0,CryptoWhips
83,RR Car #83 Musk You Ask,Musk You Ask,Genesis,Aero,Aero,2040,600,CW-083,CW-083,0,1,2,0,0,0,0,0,CryptoWhips
84,RR Car #84 Golden Opportunity,Golden Opportunity,Genesis,Aero,Aero,2040,600,CW-084,CW-084,0,1,2,0,0,0,0,0,CryptoWhips
85,RR Car #85 Mars Rover,Mars Rover,Genesis,Aero,Aero,2040,600,CW-085,CW-085,0,1,2,0,0,0,0,0,CryptoWhips
86,RR Car #86 Crypto Hedge,Crypto Hedge,Genesis,Aero,Aero,2040,600,CW-086,CW-086,0,1,2,0,0,0,0,0,CryptoWhips
87,RR Car #87 All American,All American,Genesis,Aero,Aero,2040,600,CW-087,CW-087,0,1,2,0,0,0,0,0,CryptoWhips
88,RR Car #88 Bull Run,Bull Run,Genesis,Aero,Aero,2040,600,CW-088,CW-088,0,1,2,0,0,0,0,0,CryptoWhips
89,RR Car #89 Clean Freak,Clean Freak,Genesis,Aero,Aero,5400,700,CW-089,CW-089,0,2,2,0,0,0,0,0,CryptoWhips
90,RR Car #90 Big Money,Big Money,Genesis,Aero,Aero,2040,600,CW-090,CW-090,0,1,2,0,0,0,0,0,CryptoWhips
91,RR Car #91 Granny Smith,Granny Smith,Genesis,Aero,Aero,2040,600,CW-091,CW-091,0,1,2,0,0,0,0,0,CryptoWhips
92,RR Car #92 Big Red,Big Red,Genesis,Aero,Aero,2040,600,CW-092,CW-092,0,1,2,0,0,0,0,0,CryptoWhips
93,RR Car #93 Pucker Up Buttercup,Pucker Up Buttercup,Genesis,Aero,Aero,2040,600,CW-093,CW-093,0,1,2,0,0,0,0,0,CryptoWhips
94,RR Car #94 Ginger Snap,Ginger Snap,Genesis,Aero,Aero,5400,700,CW-094,CW-094,0,2,2,0,0,0,0,0,CryptoWhips
95,RR Car #95 Old Blue,Old Blue,Genesis,Aero,Aero,2040,600,CW-095,CW-095,0,1,2,0,0,0,0,0,CryptoWhips
96,RR Car #96 Flux Capacitor,Flux Capacitor,Genesis,Legendary,Legendary,7800,1000,CW-096,CW-096,0,3,2,0,0,0,0,0,CryptoWhips
97,RR Car #97 Holy NFT Batman,Holy NFT Batman,Genesis,Legendary,Legendary,7800,1000,CW-097,CW-097,0,3,2,0,0,0,0,0,CryptoWhips
98,RR Car #98 Zoinks,Zoinks,Genesis,Legendary,Legendary,7800,1000,CW-098,CW-098,0,3,2,0,0,0,0,0,CryptoWhips
99,RR Car #99 Skulduggery,Skulduggery,Genesis,Legendary,Legendary,7800,1000,CW-099,CW-099,0,3,2,0,0,0,0,0,CryptoWhips
100,RR Car #100 Who You Gonna Call,Who You Gonna Call,Genesis,Legendary,Legendary,7800,1000,CW-100,CW-100,0,3,2,0,0,0,0,0,CryptoWhips
101,RR Car #101 Graffiti Kings,Graffiti Kings,Genesis,Aero,Aero,5400,700,CW-101,CW-101,0,2,2,0,0,0,0,0,CryptoWhips
102,RR Car #102 The OG (First Car Minted by RR)✅,Ferocious,Genesis,Legendary,Legendary,100,1000,SC-045,SC-045,0,0,0,0,0,0,0,0,
103,RR Car #103 Ferocious,Ferocious,Genesis,Legendary,Legendary,100,1000,SC-045,SC-045,0,0,0,0,0,0,0,0,
104,RR Car #104 Ferocious,Ferocious,Genesis,Legendary,Legendary,100,1000,SC-045,SC-045,0,0,0,0,0,0,0,0,
105,RR Car #105 ✭Black Widow✭,Ferocious,Genesis,Legendary,Legendary,100,1000,SC-045,SC-045,0,0,0,0,0,0,0,0,
106,RR Car #106 Ferocious,Ferocious,Genesis,Legendary,Legendary,100,1000,SC-045,SC-045,0,0,0,0,0,0,0,0,
107,RR Car #107 Ferocious,Ferocious,Genesis,Legendary,Legendary,100,1000,SC-045,SC-045,0,0,0,0,0,0,0,0,
108,RR Car #108 Max Verstappen,Ferocious,Genesis,Pro,Pro,100,800,SC-091,SC-091,0,0,0,0,0,0,0,0,
109,RR Car #109 Ferocious,Ferocious,Genesis,Pro,Pro,100,800,SC-091,SC-091,0,0,0,0,0,0,0,0,
110,RR Car #110 Wen Pro Lambo✅,Ferocious,Genesis,Pro,Pro,100,800,SC-091,SC-091,0,0,0,0,0,0,0,0,
111,RR Car #111 Ferocious,Ferocious,Genesis,Pro,Pro,100,800,SC-091,SC-091,0,0,0,0,0,0,0,0,
112,RR Car #112 Ferocious,Ferocious,Genesis,Pro,Pro,100,800,SC-091,SC-091,0,0,0,0,0,0,0,0,
113,RR Car #113 Ferocious,Ferocious,Genesis,Pro,Pro,100,800,SC-091,SC-091,0,0,0,0,0,0,0,0,
114,RR Car #114 1st Aero Lambo Minted by RR✅,Ferocious,Genesis,Aero,Aero,100,600,SC-080,SC-080,0,0,0,0,0,0,0,0,
115,RR Car #115 Ferocious,Ferocious,Genesis,Aero,Aero,100,600,SC-080,SC-080,0,0,0,0,0,0,0,0,
116,RR Car #116 Maximum Oversteer,Ferocious,Genesis,Aero,Aero,100,600,SC-080,SC-080,0,0,0,0,0,0,0,0,
117,RR Car #117 Ocean Grown,Ferocious,Genesis,Aero,Aero,100,600,SC-080,SC-080,0,0,0,0,0,0,0,0,
118,RR Car #118 Daniel Ricciardo,Ferocious,Genesis,Aero,Aero,100,600,SC-080,SC-080,0,0,0,0,0,0,0,0,
119,RR Car #119 Ferocious,Ferocious,Genesis,Aero,Aero,100,600,SC-080,SC-080,0,0,0,0,0,0,0,0,
120,RR Car #120 Ferocious,Ferocious,Genesis,Aero,Aero,100,600,SC-080,SC-080,0,0,0,0,0,0,0,0,
121,RR Car #121 Ferocious,Ferocious,Genesis,Aero,Aero,100,600,SC-080,SC-080,0,0,0,0,0,0,0,0,
122,RR Car #122 Ferocious,Ferocious,Genesis,Aero,Aero,100,600,SC-080,SC-080,0,0,0,0,0,0,0,0,
123,RR Car #123 Moonshot,Moonshot,Genesis,Tracker,Tracker,100,400,SC-061,SC-061,0,0,0,0,0,0,0,0,
124,RR Car #124 Old Glory,Moonshot,Genesis,Tracker,Tracker,100,400,SC-061,SC-061,0,0,0,0,0,0,0,0,
125,RR Car #125 Moonshot,Moonshot,Genesis,Tracker,Tracker,100,400,SC-061,SC-061,0,0,0,0,0,0,0,0,
126,RR Car #126 DMX,Moonshot,Genesis,Tracker,Tracker,100,400,SC-061,SC-061,0,0,0,0,0,0,0,0,
127,RR Car #127 Moonshot Bandit,Moonshot,Genesis,Tracker,Tracker,100,400,SC-061,SC-061,0,0,0,0,0,0,0,0,
128,RR Car #128 BULL,Moonshot,Genesis,Tracker,Tracker,100,400,SC-061,SC-061,0,0,0,0,0,0,0,0,
129,RR Car #129 Moonshot,Moonshot,Genesis,Tracker,Tracker,100,400,SC-061,SC-061,0,0,0,0,0,0,0,0,
130,RR Car #130 Moonshot,Moonshot,Genesis,Tracker,Tracker,100,400,SC-061,SC-061,0,0,0,0,0,0,0,0,
131,RR Car #131 Moonshot Impossible✅,Moonshot,Genesis,Tracker,Tracker,100,400,SC-061,SC-061,0,0,0,0,0,0,0,0,
132,RR Car #132 Moonshot,Moonshot,Genesis,Tracker,Tracker,100,400,SC-061,SC-061,0,0,0,0,0,0,0,0,
133,RR Car #133 Moonshot,Moonshot,Genesis,Tracker,Tracker,100,400,SC-061,SC-061,0,0,0,0,0,0,0,0,
134,RR Car #134 Al Capone,Moonshot,Genesis,Tracker,Tracker,100,400,SC-061,SC-061,0,0,0,0,0,0,0,0,
135,RR Car #135 1st Moonshot Driver Minted by RR✅,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
136,RR Car #136 Moonshot,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
137,RR Car #137 Moonshot,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
138,RR Car #138 Moonshot,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
139,RR Car #139 Moonshot,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
140,RR Car #140 The Eliminator,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
141,RR Car #141 Moonshot,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
142,RR Car #142 Poseidon,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
143,RR Car #143 Moonshot,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
144,RR Car #144 Moonshot,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
145,RR Car #145 Metro,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
146,RR Car #146 Moonshot,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
147,RR Car #147 Chevy,Moonshot,Genesis,Driver,Driver,100,200,SC-043,SC-043,0,0,0,0,0,0,0,0,
148,RR Car #148 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
149,RR Car #149 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
150,RR Car #150 Vagabond By New Model Army✅,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
151,RR Car #151 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
152,RR Car #152 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
153,RR Car #153 Heavy Metal,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
154,RR Car #154 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
155,RR Car #155 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
156,RR Car #156 Bootlegger,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
157,RR Car #157 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
158,RR Car #158 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
159,RR Car #159 Ethereum,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
160,RR Car #160 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
161,RR Car #161 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
162,RR Car #162 Tank,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
163,RR Car #163 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
164,RR Car #164 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
165,RR Car #165 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
166,RR Car #166 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
167,RR Car #167 Vagabond,Vagabond,Genesis,Rally,Rally,100,100,SC-021,SC-021,0,0,0,0,0,0,0,0,
168,RR Car #168 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
169,RR Car #169 Riot,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
170,RR Car #170 Original Gangster,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
171,RR Car #171 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
172,RR Car #172 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
173,RR Car #173 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
174,RR Car #174 dale earnhardt jr,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
175,RR Car #175 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
176,RR Car #176 ,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
177,RR Car #177 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
178,RR Car #178 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
179,RR Car #179 link,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
180,RR Car #180 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
181,RR Car #181 Johnny Rocket,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
182,RR Car #182 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
183,RR Car #183 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
184,RR Car #184 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
185,RR Car #185 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
186,RR Car #186 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
187,RR Car #187 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
188,RR Car #188 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
189,RR Car #189 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
190,RR Car #190 OG,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
191,RR Car #191 Dude Where's My Car,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
192,RR Car #192 Constellation,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
193,RR Car #193 The Contender,Constellation,Genesis,Rookie,Rookie,100,0,SC-019,SC-019,0,0,0,0,0,0,0,0,
