TOKEN_ID,TOKEN_NAME,Background,Body,Mouth,Eyes,Hat,Chain,Earrings,Legendary,Shoes
49,CryptoBat #49,Mantis,Dark Brown,Smiley,Blue Clown,Yeehaw!,,,,
50,CryptoBat #50,Ash,Ghostly White,Peach Toad Smile,Eye Patch,Bowler Hat,Garlic Garland,,,
51,CryptoBat #51,Ash,Dark Brown,Bored,Unimpressed,What The Duck,,,,
52,CryptoBat #52,Bone,Ghostly White,Green Goo,Closed,Club Hat,,,,
53,CryptoBat #53,Lavender,Gothic Black,Doogle Bug,Purple Noun Glasses,,,Diamond Stud,,
54,CryptoBat #54,Sky Blue,Dark Brown,Puff,Blue,,Ruby Cross,,,
55,CryptoBat #55,Savvy Teal,Mouse Grey,Puff,Side Eye,Jack O'Lantern,,,,
56,CryptoBat #56,Violet,Slimeee,Doogle Bug,Evil,Red Ozzy Hair,,,,
57,CryptoBat #57,Lavender,Batenza,Blood Thirsty,Side Eye,White Captain Hat,,,,
58,CryptoBat #58,Asphalt,Gothic Black,Fangy,Unimpressed,Robinhood Hat,,,,
59,CryptoBat #59,Cosmic,Brainzzz,Bored,Blue,Horns,,,,
60,CryptoBat #60,Batenza,Ghostly White,Fangy,Aye Eye Captain,Big Brain,,,,
61,CryptoBat #61,Savvy Teal,Royal Blue,Chill,Cute,Black Mohawk,Gold,,,
62,CryptoBat #62,Savvy Teal,Mouse Grey,Fangy,Red Lasers,Banananananana,,Silver Hoop,,
63,CryptoBat #63,Mantis,Blonde Bombshell,Blood Thirsty,Pie Eyed,Robinhood Hat,,,,
64,DeadBat - By PSYCH,,,,,,,,DeadBat - By PSYCH,
65,CryptoBat #65,Wedgewood,Light Brown,Chill,Cute Green,Banananananana,,,,
66,CryptoBat #66,Indigo,Blood,Keep Safe!,Tear Dropz,Bowler Hat,Garlic Garland,,,
67,CryptoBat #67,Blush,Mouse Grey,Smirk,Sassy,Big Brain,,,,
68,CryptoBat #68,Binary Cascade,Batenza,Smirk,Cute,,,,,
69,CryptoBat #69,Slate,Ginger Puss,Fruit Bat,Blue Clown,Blue Bandana,,,,
70,CryptoBat #70,Slate,Deep Purple,Green Goo,High,Blonde Mohawk,,,,
71,CryptoBat #71,Vermillion,Ghostly White,E-Puff,Purple Clown,Green RS Phat,,,,
72,CryptoBat #72,Charcoal,Deep Purple,Chill,Evil,Yeehaw!,,,,
73,CryptoBat #73,Mantis,Gothic Black,Peach Toad Smile,Side Eye,Blue RS Phat,Gold,,,
74,CryptoBat #74,Wedgewood,Emerald Green,White Fangz,Cute Brown,Stray Hairs,,,,
75,CryptoBat #75,Savvy Teal,Light Brown,Doogle Bug,Pie Eyed,Bunny Ears,,,,
76,CryptoBat #76,Bone,Brainzzz,E-Puff,Spectacles,Horns,,,,
77,CryptoBat #77,Batenza,Ghostly White,Smirk,Sassy,TopHat,,,,
78,CryptoBat #78,Blush,Royal Blue,Chill,Eye Patch,Banananananana,,,,
79,CryptoBat #79,Slate,Gothic Black,Clown Smile,Eye Patch,,Gold,,,
80,CryptoBat #80,Violet,Ghostly White,Doogle Bug,Blue Clown,Blonde Ozzy Hair,,,,
81,CryptoBat #81,Savvy Teal,Ghostly White,White Fangz,Cute,Trippy CH,,,,
82,CryptoBat #82,Periwinkle,Emerald Green,Skull Teeth,Blue,Blonde Mohawk,,,,
83,CryptoBat #83,Periwinkle,Mouse Grey,Trippy Goo,Tear Dropz,Blonde Ozzy Hair,,,,
84,CryptoBat #84,Lavender,Zebra,Skull Teeth,Cute,Stray Hairs,,Gold Hoop,,
85,CryptoBat #85,Periwinkle,Dark Brown,Doogle Bug,Pie Eyed,Crown,Silver,,,
86,CryptoBat #86,Charcoal,Blonde Bombshell,Bored,Dead,Blonde Ozzy Hair,,Silver Hoop,,
87,CryptoBat #87,Bone,Gothic Black,Bored,Brown,,,Silver Hoop,,
88,CryptoBat #88,Vermillion,Swamp Lumps,Keep Safe!,Green,Red Ozzy Hair,,,,
89,CryptoBat #89,Periwinkle,Blonde Bombshell,Pizza,Cute Blue,Blonde Mohawk,,,,
90,CryptoBat #90,Wedgewood,Gothic Black,Insect Tongue,High,Jack O'Lantern,Gold,,,
91,CryptoBat #91,Lavender,Light Brown,White Fangz,Side Eye,Stray Hairs,,,,
92,CryptoBat #92,Mantis,Dark Brown,Blood Goo,Cute Brown,Club Hat,,,,
93,CryptoBat #93,Asphalt,Light Brown,Smiley,High,Fez,,,,
94,CryptoBat #94,Wedgewood,Royal Blue,Doogle Bug,Evil,Horns,,,,
95,CryptoBat #95,Vermillion,Mouse Grey,Peach Toad Smile,Cute Brown,White Captain Hat,,,,
96,CryptoBat #96,Blush,Mouse Grey,Keep Safe!,Sassy,TopHat,,,,
97,CryptoBat #97,Slate,Dark Brown,Pipe,Purple Clown,,,Silver Hoop,,
98,CryptoBat #98,Bone,Deep Purple,Pipe,Purple Noun Glasses,Blonde Mohawk,,Silver Hoop,,
99,CryptoBat #99,Asphalt,Light Brown,Pipe,Closed,Black Ozzy Hair,,,,
100,CryptoBat #100,Mantis,Blonde Bombshell,Insect Tongue,Purple Clown,Alfalfa,,,,
101,CryptoBat #101,Lavender,Light Brown,Clown Smile,Sassy,White Captain Hat,,,,
102,CryptoBat #102,Asphalt,Emerald Green,Bored,Cute,Stray Hairs,Silver,,,
103,CryptoBat #103,Batenza,Ginger Puss,Bored,Cute Blue,Black Mohawk,,,,
104,CryptoBat #104,Cosmic,Plasma Red,Doogle Bug,Blue Clown,Blonde Ozzy Hair,,,,
105,CryptoBat #105,Indigo,Dark Brown,Smirk,Brown,Black Ozzy Hair,,Gold Hoop,,
106,CryptoBat #106,Wedgewood,Mouse Grey,Smirk,Tear Dropz,Club Hat,,,,
107,CryptoBat #107,Vermillion,Deep Purple,Keep Safe!,Evil,Robinhood Hat,,,,
108,CryptoBat #108,Charcoal,Blonde Bombshell,Bored,Unimpressed,E-Mouse Ears,,,,
109,CryptoBat #109,Mantis,Mouse Grey,Blue Toad Smile,Side Eye,Alfalfa,,,,
110,CryptoBat #110,Asphalt,Blood,Fangy,Sassy,TopHat,,,,
111,CryptoBat #111,Slate,Dark Brown,Chill,Tear Dropz,,Garlic Garland,,,
112,CryptoBat #112,Ash,Royal Blue,Bored,Blue,E-Mouse Ears,,,,
113,CryptoBat #113,Lavender,Blonde Bombshell,Doogle Bug,Cute Green,Blonde Ozzy Hair,,,,
114,CryptoBat #114,Noize,Patchwork,Peach Toad Smile,Cute,Alfalfa,,Gold Hoop,,
115,CryptoBat #115,Savvy Teal,Mouse Grey,E-Puff,Cute Green,Stray Hairs,,Silver Hoop,,
116,CryptoBat #116,Wedgewood,Deep Purple,Pipe,Green Clown,Blue Bandana,,,,
117,CryptoBat #117,Charcoal,Deep Purple,Smiley,Cute Brown,Blue Bandana,,,,
118,CryptoBat #118,Violet,Ginger Puss,Chill,Green Clown,E-Mouse Ears,,,,
119,CryptoBat #119,Periwinkle,Cotton Candy,Skull Teeth,3D Glasses,Alfalfa,,,,
120,CryptoBat #120,Blush,Ghostly White,Peach Toad Smile,Side Eye,Green Mohawk,,,,
121,CryptoBat #121,Asphalt,Light Brown,Green Goo,Blue Noun Glasses,TopHat,,,,
122,CryptoBat #122,Lavender,Gothic Black,Trippy Goo,Evil,Joker Hair,Silver,,,
123,CryptoBat #123,Periwinkle,Patchwork,Clown Smile,Blue Clown,Blonde Mohawk,,,,
124,CryptoBat #124,Periwinkle,Ghostly White,Bored,Green,Fez,Garlic Garland,,,
125,CryptoBat #125,Ash,Blood,Peach Toad Smile,Brown,,Gold,,,
126,CryptoBat #126,Asphalt,Emerald Green,Chill,Black Glasses,Joker Hair,,,,
127,CryptoBat #127,Noize,Brainzzz,Peach Toad Smile,Pie Eyed,Black Mohawk,,,,
128,CryptoBat #128,Asphalt,Light Brown,Clown Smile,Blue Clown,Big Brain,,,,
129,CryptoBat #129,Ash,Ghostly White,Smirk,Side Eye,TopHat,,,,
130,CryptoBat #130,Bone,Mouse Grey,Smirk,Bandage,Joker Hair,,,,
131,CryptoBat #131,Periwinkle,Cotton Candy,Chill,Unimpressed,Robinhood Hat,,,,
132,CryptoBat #132,Indigo,Cotton Candy,Skull Teeth,Bandage,Yeehaw!,,,,
133,CryptoBat #133,Violet,Ghostly White,Blood Goo,Unimpressed,Banananananana,,,,
134,CryptoBat #134,Violet,Patchwork,Clown Smile,Black Glasses,,,,,
135,CryptoBat #135,Cosmic,Gothic Black,Pipe,Closed,Bowler Hat,,,,
136,CryptoBat #136,Periwinkle,Mouse Grey,Pipe,Cool Shades,Blonde Ozzy Hair,,,,
137,CryptoBat #137,Asphalt,Blonde Bombshell,Fangy,Evil,Blonde Ozzy Hair,,,,
138,CryptoBat #138,Charcoal,Skeleton,Pipe,Green,,,Silver Hoop,,
139,CryptoBat #139,Bone,Gothic Black,Bored,Black Glasses,Banananananana,,,,
140,CryptoBat #140,Noize,Swamp Lumps,Pipe,Red Noun Glasses,Black Mohawk,,,,
141,CryptoBat #141,Sky Blue,Light Brown,Puff,Dead,Club Hat,,,,
142,CryptoBat #142,Slate,Gothic Black,Blood Thirsty,Blue Clown,Fez,,,,
143,CryptoBat #143,Lavender,Gothic Black,Rose,Purple Noun Glasses,Big Brain,,,,
144,CryptoBat #144,Wedgewood,Dark Brown,Insect Tongue,Cute Green,Fez,,,,
145,CryptoBat #145,Batenza,Batenza,Bored,Ozzy Shades,Big Brain,,,,
146,CryptoBat #146,Blush,Zebra,Blood Goo,Evil,Yeehaw!,,Gold Hoop,,
147,CryptoBat #147,Slate,Dark Brown,Bored,Cute Blue,Yeehaw!,,Ruby Stud,,
148,CryptoBat #148,Wedgewood,Blonde Bombshell,Fangy,Pie Eyed,Party Hat,,,,
149,CryptoBat #149,Indigo,Ghostly White,Doogle Bug,Blue Clown,Club Hat,,,,
150,CryptoBat #150,Vermillion,Gothic Black,Green Goo,Tear Dropz,Bowler Hat,,,,
151,CryptoBat #151,Asphalt,Ginger Puss,Puff,Green,Banananananana,Gold Cross,,,
152,CryptoBat #152,Sky Blue,Light Brown,Doogle Bug,Side Eye,Robinhood Hat,,,,
153,CryptoBat #153,Ash,Slimeee,Puff,Brown,Black Mohawk,Gold,Silver Hoop,,
154,CryptoBat #154,Periwinkle,Plasma Red,Pipe,Cute,Party Hat,,,,
155,CryptoBat #155,Indigo,Light Brown,Green Goo,Eye Patch,Big Brain,,,,
156,CryptoBat #156,Indigo,Ghostly White,Smiley,Dead,Black Ozzy Hair,,,,
157,CryptoBat #157,Slate,Deep Purple,Keep Safe!,Blue,Blue RS Phat,Gold,,,
158,CryptoBat #158,Charcoal,Deep Purple,Puff,Side Eye,Banananananana,,,,
159,CryptoBat #159,Mantis,Mouse Grey,Keep Safe!,Tear Dropz,Banananananana,,,,
160,CryptoBat #160,Vermillion,Skeleton,Chill,Pie Eyed,Green Mohawk,,,,
161,CryptoBat #161,Slate,Emerald Green,Clown Smile,Green Clown,Big Brain,Silver,,,
162,CryptoBat #162,Violet,Mouse Grey,Trippy Goo,Eye Patch,Fez,,,,
163,CryptoBat #163,Binary Cascade,Light Brown,Blue Toad Smile,Cute,Stray Hairs,,,,
164,CryptoBat #164,Asphalt,Ghostly White,Doogle Bug,Green Clown,Horns,Gold,,,
165,CryptoBat #165,Blush,Blood,Blood Goo,Unimpressed,E-Mouse Ears,,,,
166,CryptoBat #166,Periwinkle,Gothic Black,Blue Toad Smile,High,Bowler Hat,Silver,Diamond Stud,,
167,CryptoBat #167,Violet,Patchwork,Smirk,Side Eye,Stray Hairs,,,,
168,CryptoBat #168,Noize,Cotton Candy,Keep Safe!,Black Glasses,Red RS Phat,,,,
169,CryptoBat #169,Wedgewood,Gothic Black,Doogle Bug,Glasses,Joker Hair,,,,
170,CryptoBat #170,Lavender,Plasma Red,Blood Thirsty,Unimpressed,Black Mohawk,,,,
171,CryptoBat #171,Vermillion,Ghostly White,Fangy,Evil,Red Ozzy Hair,,,,
172,CryptoBat #172,Sky Blue,Gothic Black,Chill,Cute Green,Yeehaw!,Gold Cross,,,
173,CryptoBat #173,Ash,Gothic Black,Peach Toad Smile,Purple Rayz,Fez,Silver,,,
174,CryptoBat #174,Sky Blue,Zebra,E-Puff,Blue Clown,Horns,,Ruby Stud,,
175,CryptoBat #175,Wedgewood,Dark Brown,Puff,Side Eye,,Silver,,,
176,CryptoBat #176,Wedgewood,Gothic Black,Blood Thirsty,Blue,Bowler Hat,,,,
177,CryptoBat #177,Periwinkle,Light Brown,Smirk,Side Eye,Crown,,,,
178,CryptoBat #178,Savvy Teal,Royal Blue,Clown Smile,Black Glasses,Bunny Ears,,,,
179,CryptoBat #179,Blush,Ghostly White,Blue Toad Smile,Side Eye,Blue Bandana,,,,
180,CryptoBat #180,Violet,Plasma Red,Peach Toad Smile,Blue Clown,,Silver,,,
181,CryptoBat #181,Blush,Gothic Black,Peach Toad Smile,Blue,Club Hat,,Gold Hoop,,
182,CryptoBat #182,Wedgewood,Blonde Bombshell,Fangy,Spectacles,Joker Hair,,,,
183,CryptoBat #183,Lavender,Plasma Red,Chill,Blue,Blonde Mohawk,,,,
184,CryptoBat #184,Sky Blue,Emerald Green,Smirk,Blue Clown,Big Brain,,,,
185,CryptoBat #185,Sky Blue,Royal Blue,Smirk,Brown,Horns,,,,
186,CryptoBat #186,Bone,Gothic Black,Fangy,Trippy Rayz,Green Mohawk,,,,
187,CryptoBat #187,Periwinkle,Light Brown,E-Puff,Side Eye,Black Mohawk,,Diamond Stud,,
188,CryptoBat #188,Lavender,Ghostly White,Silver Fangz,Spectacles,Big Brain,,Gold Hoop,,
189,CryptoBat #189,Savvy Teal,Light Brown,Keep Safe!,Pie Eyed,Black Mohawk,,,,
190,CryptoBat #190,Wedgewood,Mouse Grey,Doogle Bug,Green,Fez,,,,
191,CryptoBat #191,Periwinkle,Gothic Black,Party Horn,Red Noun Glasses,Stray Hairs,,Silver Hoop,,
192,CryptoBat #192,Blush,Deep Purple,Trippy Goo,Green Clown,Horns,,,,
193,CryptoBat #193,Sky Blue,Light Brown,Pipe,Red Noun Glasses,Party Hat,,,,
194,CryptoBat #194,Asphalt,Ghostly White,Skull Teeth,Blue Clown,Alfalfa,,,,
195,CryptoBat #195,Wedgewood,Light Brown,Skull Teeth,Side Eye,Blonde Ozzy Hair,,,,
196,CryptoBat #196,Lavender,Mouse Grey,Peach Toad Smile,Brown,Alfalfa,,Gold Hoop,,
197,CryptoBat #197,Bone,Mouse Grey,Party Horn,Rainbow Shades,What The Duck,,,,
198,CryptoBat #198,Mantis,Emerald Green,Party Horn,Unimpressed,Stray Hairs,Silver,,,
199,CryptoBat #199,Noize,Emerald Green,Fangy,Evil,Blonde Mohawk,,,,
200,CryptoBat #200,Slate,Blonde Bombshell,Pipe,Evil,Yeehaw!,,Diamond Stud,,
201,CryptoBat #201,Savvy Teal,Ghostly White,Peach Toad Smile,Dead,Yeehaw!,,,,
202,CryptoBat #202,Wedgewood,Gothic Black,Blue Toad Smile,Closed,,Silver,,,
203,CryptoBat #203,Slate,Gothic Black,Bored,Tear Dropz,Green Mohawk,,Gold Hoop,,
204,CryptoBat #204,Ash,Blonde Bombshell,Peach Toad Smile,Blue,Halo,Garlic Garland,,,
205,CryptoBat #205,Vermillion,Blonde Bombshell,Pipe,Sassy,Blonde Ozzy Hair,,,,
206,CryptoBat #206,Blush,Swamp Lumps,Clown Smile,Dead,Stray Hairs,,,,
207,CryptoBat #207,Wedgewood,Deep Purple,Clown Smile,Spectacles,Blonde Ozzy Hair,,,,
208,CryptoBat #208,Bone,Royal Blue,Skull Teeth,Cute Green,White Captain Hat,,,,
209,CryptoBat #209,Slate,Batenza,Chill,Cute,Alfalfa,,,,Sutter Systems Hazmat Boots
210,CryptoBat #210,Lavender,Slimeee,E-Puff,Evil,Big Brain,,,,
211,CryptoBat #211,Vermillion,Ghostly White,Doogle Bug,Side Eye,Blue Bandana,,,,
212,CryptoBat #212,Lavender,Blonde Bombshell,Party Horn,Closed,Blonde Mohawk,,,,
213,CryptoBat #213,Periwinkle,Light Brown,Fangy,Unimpressed,TopHat,,,,
214,CryptoBat #214,Periwinkle,Deep Purple,Blue Toad Smile,Closed,Green Mohawk,,,,
215,CryptoBat #215,Periwinkle,Gothic Black,Clown Smile,Cute Blue,Black Mohawk,Silver Cross,,,
216,CryptoBat #216,Charcoal,Mouse Grey,Puff,Glasses,,Silver Cross,Silver Hoop,,
217,CryptoBat #217,Slate,Emerald Green,Fangy,Cute,Joker Hair,Silver,,,
218,CryptoBat #218,Ash,Mouse Grey,Party Horn,Purple Shades,Banananananana,,,,
219,CryptoBat #219,Batenza,Batenza,Chill,Sassy,Joker Hair,,Diamond Stud,,
220,CryptoBat #220,Vermillion,Gothic Black,Green Goo,Cute,TopHat,,,,
221,CryptoBat #221,Vermillion,Blonde Bombshell,Doogle Bug,Tear Dropz,Fez,,,,
222,CryptoBat #222,Charcoal,Gothic Black,Smirk,Tear Dropz,Party Hat,,,,
223,CryptoBat #223,Wedgewood,Cotton Candy,Smirk,Blue,Alfalfa,,Silver Hoop,,
224,CryptoBat #224,Sky Blue,Mouse Grey,Bored,Cute Blue,Alfalfa,,Diamond Stud,,
225,CryptoBat #225,Ash,Batenza,Bored,Brown,Thorn Crown,,,,
226,CryptoBat #226,Ash,Blonde Bombshell,Pipe,Pie Eyed,Banananananana,Gold,,,
227,CryptoBat #227,Vermillion,Swamp Lumps,Green Goo,Side Eye,Stray Hairs,Silver,,,
228,CryptoBat #228,Bone,Ghostly White,Peach Toad Smile,Green,,Silver,,,
229,CryptoBat #229,Sky Blue,Cotton Candy,Smiley,Tear Dropz,Black Ozzy Hair,,,,
230,CryptoBat #230,Sky Blue,Cotton Candy,Pipe,Brown,Crown,,,,
231,CryptoBat #231,Wedgewood,Deep Purple,Smirk,Eye Patch,,Gold Cross,,,
232,CryptoBat #232,Charcoal,Cotton Candy,Blood Goo,Brown,Club Hat,,,,
233,CryptoBat #233,Slate,Dark Brown,Smiley,Side Eye,Blonde Ozzy Hair,,,,
234,CryptoBat #234,Asphalt,Brainzzz,Blue Toad Smile,Unimpressed,,,Silver Hoop,,
235,CryptoBat #235,Bone,Gothic Black,Fangy,Rainbow Shades,Big Brain,,Silver Hoop,,
236,CryptoBat #236,Ash,Dark Brown,Puff,3D Glasses,Red Ozzy Hair,,,,
237,CryptoBat #237,Asphalt,Mouse Grey,Silver Fangz,Cute,Horns,,,,
238,CryptoBat #238,Charcoal,Dark Brown,Blue Toad Smile,Black Glasses,Club Hat,,,,
239,CryptoBat #239,Periwinkle,Skeleton,Peach Toad Smile,Closed,Stray Hairs,Gold Cross,,,
240,CryptoBat #240,Sky Blue,Gothic Black,Chill,Side Eye,TopHat,,Silver Hoop,,
241,CryptoBat #241,Wedgewood,Dark Brown,Green Goo,Cute Green,Black Ozzy Hair,Silver,,,
242,CryptoBat #242,Batenza,Light Brown,Peach Toad Smile,Side Eye,Fez,,,,
243,CryptoBat #243,Asphalt,Gothic Black,Blue Toad Smile,Cute Blue,Yeehaw!,,Gold Hoop,,
244,CryptoBat #244,Blush,Patchwork,Fangy,Green,Trippy CH,,,,
245,CryptoBat #245,Vermillion,Cotton Candy,E-Puff,Glasses,Alfalfa,,,,
246,CryptoBat #246,Lavender,Deep Purple,Keep Safe!,Dead,Club Hat,,,,
247,CryptoBat #247,Bone,Patchwork,Silver Fangz,Cute Green,Red Ozzy Hair,,,,
248,CryptoBat #248,Asphalt,Cotton Candy,Bored,Cute Green,Joker Hair,,,,
249,CryptoBat #249,Lavender,Light Brown,Pizza,Evil,Yeehaw!,,,,
250,CryptoBat #250,Wedgewood,Gothic Black,Bored,Ozzy Shades,Club Hat,,,,
251,CryptoBat #251,Noize,Deep Purple,Bored,3D Glasses,Bowler Hat,,Gold Hoop,,
252,CryptoBat #252,Asphalt,Blood,Doogle Bug,Cute,Yeehaw!,,,,
253,CryptoBat #253,Wedgewood,Aped In,Blue Toad Smile,Cute Green,White Captain Hat,Silver,,,
254,CryptoBat #254,Savvy Teal,Emerald Green,Green Goo,Blue,Joker Hair,,,,
255,CryptoBat #255,Bone,Batenza,Blood Fangz,Unimpressed,Jack O'Lantern,Gold,,,
256,CryptoBat #256,Periwinkle,Light Brown,E-Puff,Side Eye,Halo,,,,
257,CryptoBat #257,Charcoal,Blonde Bombshell,Party Horn,Black Glasses,Thorn Crown,,,,
258,CryptoBat #258,Mantis,Blonde Bombshell,Blue Toad Smile,Blue,Blue Bandana,Silver Cross,,,
259,CryptoBat #259,Blush,Light Brown,Puff,Cute,Green Mohawk,,,,
260,CryptoBat #260,Vermillion,Swamp Lumps,Pizza,Closed,Banananananana,,,,
261,CryptoBat #261,Wedgewood,Cotton Candy,Bored,Spectacles,Blue Bandana,Silver,,,
262,CryptoBat #262,Savvy Teal,Royal Blue,E-Puff,Cute Blue,Blonde Ozzy Hair,,,,
263,CryptoBat #263,Charcoal,Light Brown,Trippy Goo,Blue Noun Glasses,Bowler Hat,,,,
264,CryptoBat #264,Savvy Teal,Batenza,Blue Toad Smile,3D Glasses,Alfalfa,,Gold Hoop,,
265,CryptoBat #265,Bone,Gothic Black,Peach Toad Smile,Rainbow Shades,Club Hat,,,,
266,CryptoBat #266,Cosmic,Deep Purple,Skull Teeth,Closed,Blonde Ozzy Hair,,,,
267,CryptoBat #267,Bone,Mouse Grey,Keep Safe!,Pie Eyed,Black Mohawk,,,,
268,CryptoBat #268,Sky Blue,Gothic Black,Green Goo,Green,Black Ozzy Hair,,,,
269,CryptoBat #269,Indigo,Slimeee,Skull Teeth,Red Lasers,Club Hat,,,,
270,CryptoBat #270,Mantis,Dark Brown,Puff,3D Glasses,TopHat,,,,
271,CryptoBat #271,Mantis,Deep Purple,Rose,Cute,TopHat,,,,
272,CryptoBat #272,Mantis,Blonde Bombshell,Insect Tongue,Green Clown,Blue RS Phat,,,,
273,CryptoBat #273,Charcoal,Gothic Black,Bored,Side Eye,Blue Bandana,,Silver Hoop,,
274,CryptoBat #274,Noize,Plasma Red,White Fangz,Closed,Bowler Hat,,,,
275,CryptoBat #275,Vermillion,Cotton Candy,Bored,Cute Blue,Jack O'Lantern,,,,
276,CryptoBat #276,Lavender,Cotton Candy,Green Goo,Side Eye,Big Brain,,,,
277,CryptoBat #277,Lavender,Light Brown,Goldfanger,Bandage,Joker Hair,,,,
278,CryptoBat #278,Cosmic,Gothic Black,Blue Toad Smile,Brown,Blue Bandana,,,,
279,CryptoBat #279,Lavender,Slimeee,Blood Thirsty,Sassy,,,Gold Hoop,,
280,CryptoBat #280,Ash,Gothic Black,Blue Toad Smile,Cool Shades,,Silver,Silver Hoop,,
281,CryptoBat #281,Asphalt,Light Brown,Blood Goo,Green Clown,,Silver Cross,,,
282,CryptoBat #282,Vermillion,Swamp Lumps,E-Puff,Green,Big Brain,,,,
283,CryptoBat #283,Noize,Light Brown,Party Horn,Cute Blue,Halo,,,,
284,CryptoBat #284,Vermillion,Mouse Grey,Party Horn,Evil,Robinhood Hat,,,,
285,CryptoBat #285,Slate,Emerald Green,Blood Goo,Side Eye,Yeehaw!,,,,
