TOKEN_ID,TOKEN_NAME,HYPE TYPE,BASTARDNESS,SONG WORD COUNT,SPEEDOMETER,NUM OF FRAMES,HEAD TURNS,FLOATY HEAD,BACKGROUND GLITCH LEVEL,BACKGROUND MOOD,TYPE,BACKGROUND,FACING DIRECTION,BAD HABIT(S),FACE,NECK,MOUTH,EYES,NOSE,EAR,HEAD,GLITCH PATTERN
17,BASTARD GAN PUNK V2 #17,HYPED AF (ANIMATED),SNOOB BASTARD,25,SHREDDING (20 FPS),192,4,NAH,4 - FLASHIE AF,TRANSIENT COLORS,,,,,,,,,,,,
18,BASTARD GAN PUNK V2 #18,HYPED AF (ANIMATED),W4NK3R BASTARD,13,SWEEP PICKING (16.66 FPS),188,1,NAH,1 - UNPLUGGED,FIXED COLOR,,,,,,,,,,,,
19,BASTARD GAN PUNK V2 #19,HYPED AF (ANIMATED),LOW POLY BASTARD,26,STRUMMING (12.5 FPS),188,2,NAH,5 - GOES TO 11,TRANSIENT COLORS,,,,,,,,,,,,
20,BASTARD GAN PUNK V2 #20,HYPED AF (ANIMATED),HORNY BASTARD,37,SWEEP PICKING (16.66 FPS),188,0,NAH,1 - UNPLUGGED,TRANSIENT COLORS,,,,,,,,,,,,
21,BASTARD GAN PUNK V2 #21,CALM AF (STILL),PEACH BASTARD,23,,,,,,,PETITE,GLITCHY AF,RIGHT,PIPE,NUTTIN',NUTTIN',BUCK TEETH,3D GLASSES,NUTTIN',GOLD EARRING,X HEAD,EGG CARTON
22,BASTARD GAN PUNK V2 #22,CALM AF (STILL),CHAD BASTARD,4,,,,,,,ALIEN HUMAN HYBRID,SOLID AF,RIGHT,EDIBLES???,NORMAL BEARD,NUTTIN',LIPSTICK,HEART GLASSES,NUTTIN',GOLD EARRING,DO-RAG,
23,BASTARD GAN PUNK V2 #23,HYPED AF (ANIMATED),DOOMER BASTARD,19,SWEEP PICKING (16.66 FPS),188,2,NAH,2 - DISTORTED,TRANSIENT COLORS,,,,,,,,,,,,
24,BASTARD GAN PUNK V2 #24,HYPED AF (ANIMATED),DUMPSTER BASTARD,24,SWEEP PICKING (16.66 FPS),188,2,NAH,1 - UNPLUGGED,TRANSIENT COLORS,,,,,,,,,,,,
25,BASTARD GAN PUNK V2 #25,HYPED AF (ANIMATED),DOOMER BASTARD,15,SWEEP PICKING (16.66 FPS),188,2,NAH,2 - DISTORTED,TRANSIENT COLORS,,,,,,,,,,,,
26,BASTARD GAN PUNK V2 #26,CALM AF (STILL),CONFORMIST BASTARD,26,,,,,,,APE HUMAN HYBRID,SOLID AF,LEFT,PIPE,NUTTIN',GOLD CHAIN,DROOL,CLOWN EYES,NUTTIN',NUTTIN',WILD HAIR,
27,BASTARD GAN PUNK V2 #27,HYPED AF (ANIMATED),SMOL BASTARD,6,SWEEP PICKING (16.66 FPS),188,0,NAH,1 - UNPLUGGED,TRANSIENT COLORS,,,,,,,,,,,,
28,BASTARD GAN PUNK V2 #28,HYPED AF (ANIMATED),CONFORMIST BASTARD,29,STRUMMING (12.5 FPS),192,4,NAH,4 - FLASHIE AF,TRANSIENT COLORS,,,,,,,,,,,,
29,BASTARD GAN PUNK V2 #29,CALM AF (STILL),PUMPER BASTARD,34,,,,,,,LARGE,GLITCHY AF,LEFT,BIG SMOKE 'n PIPE,CHINSTRAP,NUTTIN',LIPSTICK,SMALL SHADES,NUTTIN',NUTTIN',WILD HAIR,ABSTRACT LIGHT
30,BASTARD GAN PUNK V2 #30,CALM AF (STILL),THETA BASTARD,34,,,,,,,LARGE,GLITCHY AF,LEFT,BIG SMOKE,ROSY CHEEKS,NUTTIN',LIPSTICK,X EYES,NUTTIN',GOLD EARRING,X HEAD,ABSTRACT AF
31,BASTARD GAN PUNK V2 #31,CALM AF (STILL),GENTLE BASTARD,4,,,,,,,ALIEN HUMAN HYBRID,SOLID AF,RIGHT,CIGGIE,GOAT,NUTTIN',SMILE,CLOWN EYES,NUTTIN',NUTTIN',BALD,
32,BASTARD GAN PUNK V2 #32,CALM AF (STILL),PIMP BASTARD,12,,,,,,,LARGE,SOLID AF,LEFT,EDIBLES???,NUTTIN',NUTTIN',MEDICAL MASK,HORNED RIM GLASSES,NUTTIN',GOLD EARRING,HEADBAND,
33,BASTARD GAN PUNK V2 #33,CALM AF (STILL),ROMANTIQUE BASTARD,32,,,,,,,APE,SOLID AF,RIGHT,EDIBLES???,LUXURIOUS BEARD,NUTTIN',LIPSTICK,CLOWN EYES,NUTTIN',GOLD EARRING,BALD,
34,BASTARD GAN PUNK V2 #34,CALM AF (STILL),OMEGA BASTARD,21,,,,,,,ALIEN,SOLID AF,LEFT,PIPE,NORMAL BEARD,CHOKER,LIPSTICK,HEART GLASSES,NUTTIN',NUTTIN',BANDANA,
35,BASTARD GAN PUNK V2 #35,CALM AF (STILL),ALPHA BASTARD,27,,,,,,,LARGE,SOLID AF,RIGHT,EDIBLES???,LUXURIOUS BEARD,NUTTIN',LIPSTICK,VR,NUTTIN',NUTTIN',CRAZY HAIR,
36,BASTARD GAN PUNK V2 #36,CALM AF (STILL),PERSONA NON GRATA BASTARD,18,,,,,,,LARGE,SOLID AF,RIGHT,EDIBLES???,MUSTACHE,GOLD CHAIN,DROOL,NERD GLASSES,NUTTIN',NUTTIN',PIGTAILS,
37,BASTARD GAN PUNK V2 #37,CALM AF (STILL),DIABOLIQUE BASTARD,35,,,,,,,PETITE,SOLID AF,LEFT,EDIBLES???,SHADOW BEARD,NUTTIN',LIPSTICK,SMALL REGULARS,NUTTIN',NUTTIN',MOHAWK,
38,BASTARD GAN PUNK V2 #38,HYPED AF (ANIMATED),THETA BASTARD,30,SWEEP PICKING (16.66 FPS),188,4,NAH,2 - DISTORTED,TRANSIENT COLORS,,,,,,,,,,,,
39,BASTARD GAN PUNK V2 #39,CALM AF (STILL),DUMBA$$ BASTARD,9,,,,,,,PETITE,SOLID AF,LEFT,VAPE,SHADOW BEARD,NUTTIN',REGULAR,CLOWN EYES,NUTTIN',NUTTIN',STRAGGLY HAIR,
40,BASTARD GAN PUNK V2 #40,CALM AF (STILL),PUMPER BASTARD,20,,,,,,,ALIEN,SOLID AF,LEFT,EDIBLES???,NORMAL BEARD,GOLD CHAIN,MEDICAL MASK,HORNED RIM GLASSES,NUTTIN',NUTTIN',PIGTAILS,
41,BASTARD GAN PUNK V2 #41,CALM AF (STILL),5HEAD BASTARD,14,,,,,,,LARGE,GLITCHY AF,RIGHT,VAPE,NUTTIN',CHOKER,X MOUTH,X EYES,NUTTIN',NUTTIN',MESSY HAIR,CHECKERS
42,BASTARD GAN PUNK V2 #42,CALM AF (STILL),WEEB BASTARD,27,,,,,,,LARGE,SOLID AF,RIGHT,CIGGIE,NORMAL BEARD,NUTTIN',LIPSTICK,HEART GLASSES,NUTTIN',GOLD EARRING,PIGTAILS,
43,BASTARD GAN PUNK V2 #43,CALM AF (STILL),FAKE BASTARD,27,,,,,,,ALIEN,SOLID AF,RIGHT,EDIBLES???,NUTTIN',NUTTIN',SMILE,BIG SHADES,NUTTIN',GOLD EARRING,STRINGY HAIR,
44,BASTARD GAN PUNK V2 #44,CALM AF (STILL),DOUCHE BASTARD,32,,,,,,,LARGE,GLITCHY AF,LEFT,VAPE,NUTTIN',NUTTIN',BUCK TEETH,NUTTIN',NUTTIN',NUTTIN',KNITTED CAP,GRADIENT
45,BASTARD GAN PUNK V2 #45,CALM AF (STILL),DOOMER BASTARD,30,,,,,,,LARGE,SOLID AF,LEFT,PIPE,NUTTIN',CHOKER,DROOL,BIG SHADES,NUTTIN',NUTTIN',MOHAWK,
46,BASTARD GAN PUNK V2 #46,CALM AF (STILL),DΞGΞN BASTARD,30,,,,,,,PETITE,SOLID AF,RIGHT,VAPE,GOAT,SILVER CHAIN,BUCK TEETH,CLASSIC SHADES,CLOWN NOSE,NUTTIN',KNITTED CAP,
47,BASTARD GAN PUNK V2 #47,CALM AF (STILL),DEALER BASTARD,43,,,,,,,LARGE,SOLID AF,LEFT,CIGGIE,NUTTIN',GOLD CHAIN,DROOL,CLOWN EYES,NUTTIN',NUTTIN',CAP FORWARD,
48,BASTARD GAN PUNK V2 #48,CALM AF (STILL),POOR BASTARD,27,,,,,,,PETITE,SOLID AF,RIGHT,PIPE,BIG BEARD,NUTTIN',BUCK TEETH,HORNED RIM GLASSES,NUTTIN',NUTTIN',MESSY HAIR,
49,BASTARD GAN PUNK V2 #49,CALM AF (STILL),SORCERER BASTARD,28,,,,,,,PETITE,SOLID AF,RIGHT,EDIBLES???,GOAT,NUTTIN',MEDICAL MASK,HEART GLASSES,NUTTIN',NUTTIN',BALD,
50,BASTARD GAN PUNK V2 #50,CALM AF (STILL),ANGEL BASTARD,15,,,,,,,APE,SOLID AF,RIGHT,EDIBLES???,NORMAL BEARD,NUTTIN',LIPSTICK,REGULAR SHADES,NUTTIN',GOLD EARRING,BEANIE,
51,BASTARD GAN PUNK V2 #51,CALM AF (STILL),UGLY BASTARD,31,,,,,,,LARGE,SOLID AF,RIGHT,PIPE,CHINSTRAP,NUTTIN',LIPSTICK,NERD GLASSES,CLOWN NOSE,NUTTIN',BALD,
52,BASTARD GAN PUNK V2 #52,CALM AF (STILL),DANK BASTARD,17,,,,,,,LARGE,SOLID AF,RIGHT,CIGGIE,GOAT,CHOKER,LIPSTICK,REGULAR SHADES,NUTTIN',NUTTIN',FEDORA,
53,BASTARD GAN PUNK V2 #53,CALM AF (STILL),REKT BASTARD,28,,,,,,,LARGE,SOLID AF,LEFT,PIPE,CHINSTRAP,CHOKER,OPEN BUCKS,EYE SHADOW,CLOWN NOSE,NUTTIN',TOP HAT,
54,BASTARD GAN PUNK V2 #54,CALM AF (STILL),DUMMKOPF BASTARD,21,,,,,,,APE,GLITCHY AF,LEFT,BIG SMOKE,CHINSTRAP,CHOKER,OPEN BUCKS,EYE PATCH,NUTTIN',NUTTIN',CAP FORWARD,GRID W/ DIAGONAL
55,BASTARD GAN PUNK V2 #55,HYPED AF (ANIMATED),BLUPIL BASTARD,19,STRUMMING (12.5 FPS),188,2,NAH,5 - GOES TO 11,TRANSIENT COLORS,,,,,,,,,,,,
56,BASTARD GAN PUNK V2 #56,CALM AF (STILL),REKT BASTARD,31,,,,,,,LARGE,SOLID AF,LEFT,VAPE,MUSTACHE,NUTTIN',DROOL,BIG SHADES,NUTTIN',GOLD EARRING,MOHAWK THIN,
57,BASTARD GAN PUNK V2 #57,CALM AF (STILL),SNOOB BASTARD,37,,,,,,,APE,SOLID AF,RIGHT,EDIBLES???,NUTTIN',NUTTIN',OPEN BUCKS,SMALL SHADES,NUTTIN',GOLD EARRING,COWBOY HAT,
58,BASTARD GAN PUNK V2 #58,CALM AF (STILL),WAIFU BASTARD,14,,,,,,,LARGE,SOLID AF,LEFT,VAPE,LUXURIOUS BEARD,NUTTIN',LIPSTICK,EYE SHADOW,NUTTIN',NUTTIN',COWBOY HAT,
59,BASTARD GAN PUNK V2 #59,CALM AF (STILL),NYANCAT BASTARD,26,,,,,,,LARGE,SOLID AF,RIGHT,EDIBLES???,GOAT,NUTTIN',LIPSTICK,VR,NUTTIN',GOLD EARRING,POLICE CAP,
60,BASTARD GAN PUNK V2 #60,CALM AF (STILL),DUMPSTER BASTARD,25,,,,,,,LARGE,SOLID AF,RIGHT,VAPE,HANDLEBARS,NUTTIN',BUCK TEETH,3D GLASSES,NUTTIN',NUTTIN',BALD,
61,BASTARD GAN PUNK V2 #61,CALM AF (STILL),MOONBOI BASTARD,9,,,,,,,LARGE,SOLID AF,RIGHT,PIPE,NUTTIN',GOLD CHAIN,SMILE,HEART GLASSES,NUTTIN',NUTTIN',CAP,
62,BASTARD GAN PUNK V2 #62,CALM AF (STILL),STINKY BASTARD,26,,,,,,,LARGE,SOLID AF,LEFT,BIG SMOKE,NORMAL BEARD,NUTTIN',LIPSTICK,VR,NUTTIN',NUTTIN',VAMPIRE HAIR,
63,BASTARD GAN PUNK V2 #63,CALM AF (STILL),HIPPIE BASTARD,20,,,,,,,APE,SOLID AF,RIGHT,PIPE,LUXURIOUS BEARD,GOLD CHAIN,LIPSTICK,EYE MASK,NUTTIN',NUTTIN',STRINGY HAIR,
64,BASTARD GAN PUNK V2 #64,CALM AF (STILL),PRANKER BASTARD,41,,,,,,,LARGE,SOLID AF,RIGHT,EDIBLES???,CHINSTRAP,GOLD CHAIN,SMIRK,CLASSIC SHADES,NUTTIN',NUTTIN',COWBOY HAT,
65,BASTARD GAN PUNK V2 #65,CALM AF (STILL),GAMER BASTARD,25,,,,,,,APE,SOLID AF,LEFT,BIG SMOKE,MUTTONCHOPS,NUTTIN',GRILL,REGULAR SHADES,NUTTIN',NUTTIN',PIGTAILS,
66,BASTARD GAN PUNK V2 #66,CALM AF (STILL),STONER BASTARD,12,,,,,,,LARGE,SOLID AF,LEFT,EDIBLES???,NORMAL BEARD,NUTTIN',LIPSTICK,HORNED RIM GLASSES,NUTTIN',GOLD EARRING,CAP FORWARD,
67,BASTARD GAN PUNK V2 #67,CALM AF (STILL),DOUCHE BASTARD,28,,,,,,,LARGE,SOLID AF,RIGHT,VAPE,NORMAL BEARD,NUTTIN',LIPSTICK,CLASSIC SHADES,NUTTIN',NUTTIN',PEAK SPIKE,
68,BASTARD GAN PUNK V2 #68,CALM AF (STILL),PERSONA NON GRATA BASTARD,14,,,,,,,APE,SOLID AF,RIGHT,PIPE,UNIBROW,CHOKER,OPEN BUCKS,HORNED RIM GLASSES,NUTTIN',NUTTIN',BALD,
69,BASTARD GAN PUNK V2 #69,CALM AF (STILL),PARASITE BASTARD,24,,,,,,,PETITE,GLITCHY AF,LEFT,VAPE,LUXURIOUS BEARD,SILVER CHAIN,LIPSTICK,BIG SHADES,NUTTIN',NUTTIN',FEDORA,STAIRS
70,BASTARD GAN PUNK V2 #70,CALM AF (STILL),HODLER BASTARD,18,,,,,,,LARGE,SOLID AF,LEFT,BIG SMOKE,GOAT,GOLD CHAIN,LIPSTICK,3D GLASSES,NUTTIN',NUTTIN',COWBOY HAT,
71,BASTARD GAN PUNK V2 #71,CALM AF (STILL),DOUCHE BASTARD,10,,,,,,,LARGE,GLITCHY AF,LEFT,EDIBLES???,GOAT,NUTTIN',MEDICAL MASK,X EYES,NUTTIN',NUTTIN',KNITTED CAP,GEOMETRIC
72,BASTARD GAN PUNK V2 #72,CALM AF (STILL),WEEB BASTARD,33,,,,,,,PETITE,SOLID AF,RIGHT,VAPE,BIG BEARD 'N GOAT,NUTTIN',BUCK TEETH,REGULAR SHADES,CLOWN NOSE,NUTTIN',DO-RAG,
73,BASTARD GAN PUNK V2 #73,CALM AF (STILL),SEMI BASTARD,26,,,,,,,LARGE,SOLID AF,LEFT,EDIBLES???,MUTTONCHOPS,NUTTIN',MEDICAL MASK,3D GLASSES,CLOWN NOSE,GOLD EARRING,FEDORA,
74,BASTARD GAN PUNK V2 #74,CALM AF (STILL),ROMANTIQUE BASTARD,31,,,,,,,PETITE,SOLID AF,RIGHT,EDIBLES???,MUSTACHE,NUTTIN',REGULAR,EYE BAGS,NUTTIN',GOLD EARRING,CAP FORWARD,
75,BASTARD GAN PUNK V2 #75,CALM AF (STILL),SEXMACHINA BASTARD,21,,,,,,,PETITE,GLITCHY AF,RIGHT,PIPE,GOAT,NUTTIN',LIPSTICK,EYE PATCH,NUTTIN',GOLD EARRING,MOHAWK THIN,EGG CARTON
76,BASTARD GAN PUNK V2 #76,CALM AF (STILL),PEPEGA BASTARD,31,,,,,,,ALIEN,SOLID AF,LEFT,VAPE,VAMPIRE SIDEBURNS,GOLD CHAIN,GRILL,HORNED RIM GLASSES,NUTTIN',NUTTIN',X HEAD,
77,BASTARD GAN PUNK V2 #77,CALM AF (STILL),BOMBSHELL BASTARD,25,,,,,,,LARGE,SOLID AF,RIGHT,CIGGIE,NORMAL BEARD,NUTTIN',LIPSTICK,HORNED RIM GLASSES,NUTTIN',GOLD EARRING,MESSY HAIR,
78,BASTARD GAN PUNK V2 #78,CALM AF (STILL),SAFU BASTARD,18,,,,,,,LARGE,SOLID AF,RIGHT,CIGGIE,HANDLEBARS,NUTTIN',BUCK TEETH,EYE MASK,NUTTIN',NUTTIN',KNITTED CAP,
79,BASTARD GAN PUNK V2 #79,CALM AF (STILL),0HEAD BASTARD,24,,,,,,,LARGE,GLITCHY AF,RIGHT,BIG SMOKE,NUTTIN',NUTTIN',LIPSTICK,SMALL REGULARS,CLOWN NOSE,NUTTIN',STRINGY HAIR,CHECKERS
80,BASTARD GAN PUNK V2 #80,CALM AF (STILL),PARASITE BASTARD,22,,,,,,,X BASTARD,SOLID AF,FRONT,PIPE,NUTTIN',THICC NECK,LIPSTICK,HORNED RIM GLASSES,NUTTIN',NUTTIN',FEDORA,
81,BASTARD GAN PUNK V2 #81,CALM AF (STILL),EVANGELIST BASTARD,34,,,,,,,PETITE,SOLID AF,LEFT,BIG SMOKE,NORMAL BEARD,NUTTIN',LIPSTICK,CLASSIC SHADES,NUTTIN',NUTTIN',KNITTED CAP,
82,BASTARD GAN PUNK V2 #82,CALM AF (STILL),SMOL BASTARD,38,,,,,,,ALIEN,GLITCHY AF,LEFT,EDIBLES???,NUTTIN',GOLD CHAIN,MEDICAL MASK,NERD GLASSES,NUTTIN',NUTTIN',CAP FORWARD,GEOMETRIC
83,BASTARD GAN PUNK V2 #83,CALM AF (STILL),STINKY BASTARD,26,,,,,,,LARGE,SOLID AF,LEFT,CIGGIE,NORMAL BEARD,CHOKER,LIPSTICK,X EYES,NUTTIN',NUTTIN',X HEAD,
84,BASTARD GAN PUNK V2 #84,CALM AF (STILL),BIG TIDDY GOTH BASTARD,25,,,,,,,LARGE,SOLID AF,RIGHT,CIGGIE,CHINSTRAP,GOLD CHAIN,DROOL,EYE MASK,NUTTIN',NUTTIN',TOP HAT,
85,BASTARD GAN PUNK V2 #85,CALM AF (STILL),SEMI BASTARD,27,,,,,,,APE,SOLID AF,LEFT,CIGGIE,MUTTONCHOPS,NUTTIN',GRILL,BIG SHADES,NUTTIN',NUTTIN',HEADBAND,
86,BASTARD GAN PUNK V2 #86,CALM AF (STILL),SMOL BASTARD,29,,,,,,,LARGE,SOLID AF,FRONT,BIG SMOKE 'n CIGGIE,NORMAL BEARD,THICC NECK,LIPSTICK,EYE MASK CLASSICS,NUTTIN',NUTTIN',WILD HAIR,
87,BASTARD GAN PUNK V2 #87,CALM AF (STILL),PIMP BASTARD,26,,,,,,,ALIEN,SOLID AF,LEFT,CIGGIE,LUXURIOUS BEARD,NUTTIN',LIPSTICK,SMALL SHADES,NUTTIN',NUTTIN',VAMPIRE HAIR,
88,BASTARD GAN PUNK V2 #88,CALM AF (STILL),THETA BASTARD,33,,,,,,,LARGE,SOLID AF,LEFT,CIGGIE,MUSTACHE,NUTTIN',SMIRK,3D GLASSES,NUTTIN',NUTTIN',KNITTED CAP,
89,BASTARD GAN PUNK V2 #89,CALM AF (STILL),WHALE WANNABE BASTARD,27,,,,,,,ALIEN HUMAN HYBRID,GLITCHY AF,RIGHT,VAPE,MUSTACHE,NUTTIN',BUCK TEETH,HORNED RIM GLASSES,NUTTIN',NUTTIN',MOHAWK,HORIZONTALS
90,BASTARD GAN PUNK V2 #90,CALM AF (STILL),SMOL BASTARD,23,,,,,,,LARGE,SOLID AF,RIGHT,EDIBLES???,MUTTONCHOPS,GOLD CHAIN,MEDICAL MASK,BIG VR,NUTTIN',NUTTIN',BEANIE,
91,BASTARD GAN PUNK V2 #91,CALM AF (STILL),SEMI BASTARD,33,,,,,,,ALIEN,SOLID AF,RIGHT,CIGGIE,MUSTACHE,NUTTIN',OPEN BUCKS,REGULAR SHADES,NUTTIN',NUTTIN',MOHAWK,
92,BASTARD GAN PUNK V2 #92,CALM AF (STILL),L4M3R BASTARD,24,,,,,,,PETITE,GLITCHY AF,RIGHT,CIGGIE,NUTTIN',SILVER CHAIN,LIPSTICK,X EYES,NUTTIN',NUTTIN',X HEAD,GRID
93,BASTARD GAN PUNK V2 #93,CALM AF (STILL),PRANKER BASTARD,21,,,,,,,LARGE,GLITCHY AF,RIGHT,BIG SMOKE,NUTTIN',NUTTIN',LIPSTICK,BIG HEARTS,CLOWN NOSE,NUTTIN',PEAK SPIKE,GRID W/ DIAGONAL
94,BASTARD GAN PUNK V2 #94,CALM AF (STILL),LOW POLY BASTARD,27,,,,,,,LARGE,SOLID AF,LEFT,EDIBLES???,NUTTIN',NUTTIN',SMIRK,HORNED RIM GLASSES,NUTTIN',NUTTIN',COWBOY HAT,
95,BASTARD GAN PUNK V2 #95,CALM AF (STILL),FUTURIST BASTARD,27,,,,,,,LARGE,GLITCHY AF,RIGHT,PIPE,LUXURIOUS BEARD,NUTTIN',LIPSTICK,HORNED RIM GLASSES,NUTTIN',GOLD EARRING,X HEAD,HORIZONTALS
96,BASTARD GAN PUNK V2 #96,CALM AF (STILL),SEMI BASTARD,33,,,,,,,LARGE,SOLID AF,RIGHT,EDIBLES???,ROSY CHEEKS,NUTTIN',BUCK TEETH,VR,CLOWN NOSE,GOLD EARRING,NEWSBOY CAP,
97,BASTARD GAN PUNK V2 #97,HYPED AF (ANIMATED),RADPIL BASTARD,31,STRUMMING (12.5 FPS),144,2,NAH,4 - FLASHIE AF,TRANSIENT COLORS,,,,,,,,,,,,
98,BASTARD GAN PUNK V2 #98,CALM AF (STILL),ALPHA BASTARD,27,,,,,,,LARGE,SOLID AF,LEFT,VAPE,GOAT,GOLD CHAIN,LIPSTICK,3D GLASSES,NUTTIN',NUTTIN',BALD,
99,BASTARD GAN PUNK V2 #99,CALM AF (STILL),JOKER BASTARD,27,,,,,,,LARGE,GLITCHY AF,RIGHT,EDIBLES???,NUTTIN',NUTTIN',MEDICAL MASK,VR,NUTTIN',NUTTIN',BALD,EYES W/ DIAGONAL
100,BASTARD GAN PUNK V2 #100,CALM AF (STILL),VEGAN BASTARD,26,,,,,,,ALIEN ZOMBIE HYBRID,SOLID AF,LEFT,VAPE,HANDLEBARS,NUTTIN',BUCK TEETH,CLASSIC SHADES,NUTTIN',NUTTIN',CRAZY HAIR,
101,BASTARD GAN PUNK V2 #101,CALM AF (STILL),BLUPIL BASTARD,40,,,,,,,PETITE,SOLID AF,RIGHT,VAPE,MUSTACHE,CHOKER,LIPSTICK,HORNED RIM GLASSES,NUTTIN',NUTTIN',MOHAWK REVERSED,
102,BASTARD GAN PUNK V2 #102,CALM AF (STILL),REKT BASTARD,22,,,,,,,ALIEN,SOLID AF,RIGHT,PIPE,MUSTACHE,GOLD CHAIN,OPEN MOUTH,3D EYE MASK,NUTTIN',NUTTIN',CLOWN HAIR,
103,BASTARD GAN PUNK V2 #103,HYPED AF (ANIMATED),WEEB BASTARD,28,SHREDDING (20 FPS),192,3,NAH,4 - FLASHIE AF,TRANSIENT COLORS,,,,,,,,,,,,
104,BASTARD GAN PUNK V2 #104,CALM AF (STILL),2HEAD BASTARD,32,,,,,,,LARGE,SOLID AF,RIGHT,CIGGIE,SHADOW BEARD,NUTTIN',SMIRK,EYE MASK,NUTTIN',GOLD EARRING,BEANIE,
