TOKEN_ID,TOKEN_NAME,Background,Eye,Fur,Eyewear,Tail,Object,Shirt,Hands,Hat,Expression,1-of-1,Special
42,Hungry Wolves 42,Blue Concrete,No Pupils,Rainbow,None,Bear Trap,Bricks,Biker Vest,Ruby Nails,Mohawk,Calm,,
43,Hungry Wolves 43,Blood Spattered,No Pupils,Camo,None,Muddy,Hay,Headphones,Party Nail,Flipped Brim,Calm,,
44,Hungry Wolves 44,Grey Concrete,Yellow,Clay,None,Muddy,New Whip,None,Gold Bracelet,Devil Horns,Excited,,
45,Hungry Wolves 45,24K,No Pupils,Rainbow,None,Muddy,Ice,Overalls,Gold Nails,Devil Horns,Evil,,
46,Hungry Wolves 46,Blood Spattered,Cat Eyes,Bronze,None,Paper Crown,Barbed Wire Fence,None,Gold Bracelet,Captain's Hat,Silly,,
47,Hungry Wolves 47,Pink Concrete,No Pupils,Brown,None,None,Trash Can,Banana T-Shirt,Rainbow Nails,Pirate Hat,Calm,,
48,Hungry Wolves 48,Pink Concrete,Blue,Rainbow,None,Gold Piercing,Pile of Gems,None,Biker Gloves,Pirate Hat,Hungry,,
49,Hungry Wolves 49,Green Concrete,Cyborg,Blue,None,None,Barbed Wire Fence,Bowtie,Onyx Nails,Gold Earring,Calm,,
50,Hungry Wolves 50,Underwater,Blue,Brown,None,Wood,Ice,Biker Vest,Handcuffs,None,Calm,,
51,Hungry Wolves 51,Pink Concrete,Yellow,Bronze,None,None,Trash Can,Bowtie,Biker Gloves,Top Hat,Angry,,
52,Hungry Wolves 52,Pink Concrete,Yellow,Night,None,Wood,Bricks,Blue Soccer Jersey,Party Nail,None,Excited,,
53,Hungry Wolves 53,Wolf Den,Blue,Blue,None,Muddy,Trash Can,Yellow Basketball Jersey,Onyx Nails,Pirate Hat,Hungry,,
54,Hungry Wolves 54,Blood Spattered,Yellow,Brown,None,Muddy,Trash Can,Headphones,Handcuffs,Devil Horns,Excited,,
55,Hungry Wolves 55,Blue Concrete,Blue,Clay,None,None,Trash Can,Banana T-Shirt,Bloody Nails,Devil Horns,Angry,,
56,Hungry Wolves 56,Blood Spattered,Gold,Rainbow,Monocle,Hay,Trash Can,Headphones,Bloody Nails,Devil Horns,Sad,,
57,Hungry Wolves 57,Ice,Yellow,Clay,None,Paper Crown,Old Stereos,Bowtie,Glowing Nails,Top Hat,Calm,,
58,Hungry Wolves 58,Green Concrete,Blue,Glowing,None,None,Trash Can,Pack Chain,Bloody Nails,None,Calm,,
59,Hungry Wolves 59,24K,Blue,Blue,None,None,Guitar Amp,Bowtie,Bloody Nails,Red Bandana,Hungry,,
60,Hungry Wolves 60,Grey Concrete,Yellow,Brown,None,None,Trash Can,Hawaiian,Mechanical Hand,Halo,Angry,,
61,Hungry Wolves 61,Grey Concrete,Cat Eyes,Bronze,None,None,Barbed Wire Fence,Banana T-Shirt,Gold Bracelet,Devil Horns,Silly,,
62,Hungry Wolves 62,Blue Concrete,Blue,Hay,None,Muddy,Ice,Wool Sweater,Bloody Nails,None,Angry,,
63,Hungry Wolves 63,Grey Concrete,Cyborg,Zombie,None,Muddy,Trash Can,Biker Vest,Bloody Nails,Party Hat,Calm,,
64,Hungry Wolves 64,Blue Concrete,No Pupils,Zombie,None,Muddy,Trash Can,None,Brass Knuckles,Straw Hat,Calm,,
65,Hungry Wolves 65,Underwater,No Pupils,Red,None,Wood,Pile of Money,Bowtie,Ruby Nails,Beanie,Silly,,
66,Hungry Wolves 66,Blue Concrete,No Pupils,Arctic,None,Bear Trap,Ice,Banana T-Shirt,Muddy Paws,Pirate Hat,Sad,,
67,Hungry Wolves 67,Blood Spattered,Blue,Brown,None,Snow Covered,Ice,Pack Chain,Onyx Nails,Halo,Calm,,
68,Hungry Wolves 68,Blue Concrete,Blue,Blue,None,Muddy,New Whip,Hawaiian,Party Nail,Halo,Angry,,
69,Hungry Wolves 69,Wolf Den,Cyborg,Clay,None,None,Trash Can,Headphones,Mechanical Hand,Top Hat,Angry,,
70,Hungry Wolves 70,Forest,Gold,Zombie,None,Muddy,Trash Can,Pack Chain,Party Nail,Captain's Hat,Angry,,
71,Hungry Wolves 71,Grey Concrete,Blue,Bronze,None,None,Boulder,Black T-Shirt,Handcuffs,Straw Hat,Excited,,
72,Hungry Wolves 72,Magma,Blue,Night,None,None,Ice,Yellow Basketball Jersey,Glowing Nails,Pirate Hat,Calm,,
73,Hungry Wolves 73,Wolf Den,Yellow,Glowing,None,Snow Covered,Boulder,Bowtie,Muddy Paws,Paper Crown,Calm,,
74,Hungry Wolves 74,Pink Concrete,Cyborg,Brown,None,None,Old Stereos,Banana T-Shirt,Brass Knuckles,Beanie,Excited,,
75,Hungry Wolves 75,Rainbow Shine,Gold,Zombie,None,None,Barbed Wire Fence,Yellow Basketball Jersey,Gold Bracelet,Gold Earring,Sad,,
76,Hungry Wolves 76,Underwater,Cat Eyes,Hay,None,Muddy,Ice,Yellow Basketball Jersey,Onyx Nails,Cowboy,Silly,,
77,Hungry Wolves 77,Blue Concrete,Blue,Hay,None,Bear Trap,Bricks,Green Basketball Jersey,Party Nail,Devil Horns,Excited,,
78,Hungry Wolves 78,Rainbow Shine,Blue,Brown,None,None,Pile of Gems,Banana T-Shirt,Onyx Nails,None,Calm,,
79,Hungry Wolves 79,Pink Concrete,No Pupils,Grey,None,None,Bricks,Overalls,Muddy Paws,Cowboy,Silly,,
80,Hungry Wolves 80,Rainbow Shine,Bloodshot,Grey,None,Frozen,Pile of Gems,Headphones,Brass Knuckles,None,Hungry,,
81,Hungry Wolves 81,Blood Spattered,Yellow,Camo,None,Wood,Boulder,Pack Chain,Mechanical Hand,Party Hat,Calm,,
82,Hungry Wolves 82,Grey Concrete,Bloodshot,Camo,None,Muddy,Barbed Wire Fence,Ripped White T-Shirt,Onyx Nails,Devil Horns,Silly,,
83,Hungry Wolves 83,Pink Concrete,Yellow,Arctic,None,Snow Covered,Boulder,Ripped White T-Shirt,Onyx Nails,Beanie,Sad,,
84,Hungry Wolves 84,Green Concrete,Yellow,Night,None,Frozen,Barbed Wire Fence,Banana T-Shirt,Mechanical Hand,Cowboy,Excited,,
85,Hungry Wolves 85,Grey Concrete,Yellow,Camo,None,None,Trash Can,Biker Vest,Bloody Nails,Captain's Hat,Excited,,
86,Hungry Wolves 86,Graffiti,Bloodshot,Bronze,None,Wood,Bricks,Ripped White T-Shirt,Gold Nails,Halo,Sad,,
87,Hungry Wolves 87,Pink Concrete,Yellow,Brown,None,Muddy,Trash Can,Bowtie,Muddy Paws,Mohawk,Angry,,
88,Hungry Wolves 88,Blood Spattered,Blue,Clay,None,Muddy,Trash Can,Black T-Shirt,Ruby Nails,Straw Hat,Angry,,
89,Hungry Wolves 89,24K,Blue,Rainbow,None,Snow Covered,Boulder,Bowtie,Gold Bracelet,Straw Hat,Sad,,
90,Hungry Wolves 90,Pink Concrete,Cyborg,Night,None,Muddy,Trash Can,Robot Armor,Gold Bracelet,Gold Earring,Calm,,
91,Hungry Wolves 91,Grey Concrete,Yellow,Blue,None,None,Hay,Hawaiian,Handcuffs,Cowboy,Angry,,
92,Hungry Wolves 92,Grey Concrete,Cat Eyes,Arctic,None,Muddy,Trash Can,Black T-Shirt,Ruby Nails,Pirate Hat,Sad,,
93,Hungry Wolves 93,Grey Concrete,Cat Eyes,Rainbow,None,Muddy,Throne,Ripped White T-Shirt,Gold Nails,Beanie,Excited,,
94,Hungry Wolves 94,Blue Concrete,Yellow,Golden,None,Snow Covered,Boulder,Yellow Basketball Jersey,Biker Gloves,Beanie,Sad,,
95,Hungry Wolves 95,Pink Concrete,Gold,Hay,None,Muddy,Boulder,Black T-Shirt,Onyx Nails,Halo,Calm,,
96,Hungry Wolves 96,Green Concrete,Blue,Night,None,None,Bricks,None,Mechanical Hand,Gold Earring,Sad,,
97,Hungry Wolves 97,Graffiti,No Pupils,Glowing,None,None,Trash Can,Headphones,Gold Bracelet,Cowboy,Calm,,
98,Hungry Wolves 98,Blood Spattered,Cat Eyes,Arctic,None,Snow Covered,Old Stereos,Biker Vest,Onyx Nails,Devil Horns,Hungry,,
99,Hungry Wolves 99,Grey Concrete,Cyborg,Glowing,None,None,Barbed Wire Fence,None,Mechanical Hand,Party Hat,Hungry,,
100,Hungry Wolves 100,Grey Concrete,Blue,Arctic,None,None,Bricks,Bowtie,Biker Gloves,Pirate Hat,Silly,,
101,Hungry Wolves 101,Pink Concrete,Cat Eyes,Hay,None,Muddy,Bricks,Banana T-Shirt,Handcuffs,Beanie,Angry,,
102,Hungry Wolves 102,Pink Concrete,No Pupils,Arctic,None,Muddy,Barbed Wire Fence,None,Gold Bracelet,Devil Horns,Excited,,
103,Hungry Wolves 103,Pink Concrete,No Pupils,Bronze,None,Muddy,New Whip,Banana T-Shirt,Mechanical Hand,Top Hat,Angry,,
104,Hungry Wolves 104,Rainbow Shine,Blue,Brown,None,Muddy,Boulder,Headphones,Gold Nails,Captain's Hat,Silly,,
105,Hungry Wolves 105,Ice,Cyborg,Red,None,None,Trash Can,Green Basketball Jersey,Party Nail,Captain's Hat,Angry,,
106,Hungry Wolves 106,Rainbow Shine,Cat Eyes,Rainbow,None,None,Barbed Wire Fence,Pack Chain,Brass Knuckles,Red Bandana,Calm,,
107,Hungry Wolves 107,Green Concrete,Gold,Brown,None,None,Trash Can,Pack Chain,Bloody Nails,Beanie,Angry,,
108,Hungry Wolves 108,Graffiti,Blue,Brown,None,Muddy,Barbed Wire Fence,Ripped White T-Shirt,Ruby Nails,None,Calm,,
109,Hungry Wolves 109,Wolf Den,No Pupils,Zombie,None,None,Boulder,Headphones,Ruby Nails,Cowboy,Calm,,
110,Hungry Wolves 110,Ice,Blue,Bronze,None,None,Barbed Wire Fence,Headphones,Biker Gloves,Devil Horns,Excited,,
111,Hungry Wolves 111,Forest,Blue,Blue,None,Gold Piercing,Ice,None,None,Cowboy,Sad,,
112,Hungry Wolves 112,Green Concrete,Cat Eyes,Camo,None,None,New Whip,Hawaiian,Rainbow Nails,Halo,Evil,,
113,Hungry Wolves 113,Blue Concrete,Blue,Clay,None,None,Barbed Wire Fence,Banana T-Shirt,Party Nail,Wizard Hat,Excited,,
114,Hungry Wolves 114,Wolf Den,Bloodshot,Grey,None,None,Pile of Bones,Biker Vest,Handcuffs,Devil Horns,Calm,,
115,Hungry Wolves 115,Blood Spattered,Yellow,Arctic,None,Muddy,Pile of Money,Banana T-Shirt,Bloody Nails,Santa Hat,Angry,,
116,Hungry Wolves 116,Grey Concrete,Gold,Zombie,None,None,Ice,Blue Soccer Jersey,Ruby Nails,Santa Hat,Angry,,
117,Hungry Wolves 117,Forest,Gold,Arctic,Lasers,Muddy,Hay,Blue Soccer Jersey,Mechanical Hand,Party Hat,Evil,,
118,Hungry Wolves 118,Graffiti,Blue,Red,None,None,Old Stereos,Overalls,None,Halo,Sad,,
119,Hungry Wolves 119,Rainbow Shine,No Pupils,Brown,None,Snow Covered,Pile of Gems,Pack Chain,Ruby Nails,Party Hat,Calm,,
120,Hungry Wolves 120,Grey Concrete,Blue,Brown,None,Frozen,Boulder,Red Soccer Jersey,Rainbow Nails,Beanie,Evil,,
121,Hungry Wolves 121,Rainbow Shine,Cyborg,Blue,None,None,Pile of Money,Ripped White T-Shirt,Rainbow Nails,Beanie,Evil,,
122,Hungry Wolves 122,Rainbow Shine,No Pupils,Zombie,None,Hay,Ice,None,Handcuffs,Gold Earring,Excited,,
123,Hungry Wolves 123,Grey Concrete,Gold,Clay,None,None,Pile of Gems,Pack Chain,Bloody Nails,Captain's Hat,Angry,,
124,Hungry Wolves 124,Blood Spattered,Gold,Clay,None,Frozen,Ice,Ripped White T-Shirt,Muddy Paws,Cowboy,Sad,,
125,Hungry Wolves 125,Green Concrete,Blue,Grey,None,Bear Trap,New Whip,Banana T-Shirt,Mechanical Hand,Wizard Hat,Excited,,
126,Hungry Wolves 126,Blood Spattered,Gold,Golden,None,None,Throne,Black T-Shirt,Brass Knuckles,Top Hat,Hungry,,
127,Hungry Wolves 127,Blood Spattered,Blue,Zombie,Monocle,None,Barbed Wire Fence,Banana T-Shirt,Glowing Nails,Halo,Sad,,
128,Hungry Wolves 128,Grey Concrete,Blue,Hay,None,None,New Whip,Overalls,Brass Knuckles,Paper Crown,Calm,,
129,Hungry Wolves 129,Grey Concrete,Cat Eyes,Clay,None,Muddy,Guitar Amp,Biker Vest,Gold Bracelet,None,Calm,,
130,Hungry Wolves 130,Rave,Blue,Clay,None,None,Boulder,Banana T-Shirt,Rainbow Nails,Paper Crown,Calm,,
131,Hungry Wolves 131,Rainbow Shine,Yellow,Rainbow,None,Snow Covered,Guitar Amp,Green Basketball Jersey,Ruby Nails,Halo,Calm,,
132,Hungry Wolves 132,24K,Blue,Night,None,None,Barbed Wire Fence,Headphones,Ruby Nails,Party Hat,Angry,,
133,Hungry Wolves 133,Graffiti,Cyborg,Camo,None,None,Trash Can,Green Basketball Jersey,Gold Bracelet,None,Angry,,
134,Hungry Wolves 134,Ice,Blue,Camo,None,Snow Covered,Bricks,None,Bloody Nails,Beanie,Calm,,
135,Hungry Wolves 135,24K,Blue,Blue,None,Bear Trap,Hay,Yellow Basketball Jersey,Muddy Paws,None,Sad,,
136,Hungry Wolves 136,Ice,Blue,Red,None,Muddy,Guitar Amp,Ripped White T-Shirt,Brass Knuckles,Beanie,Calm,,
137,Hungry Wolves 137,24K,Yellow,Brown,None,Bear Trap,Pile of Gems,Ripped White T-Shirt,Gold Bracelet,Devil Horns,Hungry,,
138,Hungry Wolves 138,Pink Concrete,Gold,Zombie,None,None,Boulder,Ripped White T-Shirt,Brass Knuckles,Cowboy,Calm,,
139,Hungry Wolves 139,Green Concrete,Gold,Night,None,Frozen,Ice,Biker Vest,Handcuffs,Gold Earring,Calm,,
140,Hungry Wolves 140,24K,Bloodshot,Glowing,None,None,Trash Can,Ripped White T-Shirt,Muddy Paws,None,Calm,,
141,Hungry Wolves 141,Forest,Bloodshot,Camo,None,Wood,New Whip,Bowtie,Handcuffs,Top Hat,Sad,,
142,Hungry Wolves 142,Grey Concrete,Yellow,Night,None,None,New Whip,Headphones,Mechanical Hand,Crown,Excited,,
143,Hungry Wolves 143,Grey Concrete,Cat Eyes,Golden,None,Snow Covered,Hay,None,Ruby Nails,Beanie,Sad,,
144,Hungry Wolves 144,Green Concrete,Cat Eyes,Hay,None,None,Pile of Bananas,None,Muddy Paws,Halo,Evil,,
145,Hungry Wolves 145,Grey Concrete,Blue,Camo,None,Muddy,Guitar Amp,Ripped White T-Shirt,Brass Knuckles,Straw Hat,Sad,,
146,Hungry Wolves 146,Underwater,Blue,Blue,None,Frozen,Bricks,None,Bloody Nails,Gold Earring,Hungry,,
147,Hungry Wolves 147,Wolf Den,Yellow,Camo,None,Frozen,Bricks,Tie-Dye Shirt,Rainbow Nails,Top Hat,Excited,,
148,Hungry Wolves 148,Magma,Yellow,Brown,None,Muddy,New Whip,None,Ruby Nails,Crown,Calm,,
149,Hungry Wolves 149,Wolf Den,Bloodshot,Blue,None,None,Trash Can,Wool Sweater,Muddy Paws,Beanie,Angry,,
150,Hungry Wolves 150,Ice,Gold,Brown,None,Snow Covered,Trash Can,Bowtie,Onyx Nails,Top Hat,Excited,,
151,Hungry Wolves 151,Blue Concrete,Blue,Hay,None,Paper Crown,Ice,Ripped White T-Shirt,Glowing Nails,Pirate Hat,Silly,,
152,Hungry Wolves 152,Blue Concrete,No Pupils,Bronze,None,None,Trash Can,Pack Chain,Biker Gloves,None,Hungry,,
153,Hungry Wolves 153,Green Concrete,Yellow,Bronze,None,None,Trash Can,Black T-Shirt,Bloody Nails,Beanie,Angry,,
154,Hungry Wolves 154,Green Concrete,Gold,Glowing,None,Snow Covered,Pile of Money,Headphones,Rainbow Nails,Pirate Hat,Hungry,,
155,Hungry Wolves 155,Rainbow Shine,Cat Eyes,Rainbow,None,Glowing,Hay,Headphones,Gold Nails,Paper Crown,Sad,,
156,Hungry Wolves 156,Graffiti,Cyborg,Bronze,None,Glowing,Trash Can,Black T-Shirt,None,Straw Hat,Sad,,
157,Hungry Wolves 157,Ice,Blue,Clay,None,Muddy,Pile of Bananas,Bowtie,Mechanical Hand,Wizard Hat,Silly,,
158,Hungry Wolves 158,Graffiti,No Pupils,Bronze,None,Snow Covered,Trash Can,Pack Chain,Biker Gloves,Cowboy,Angry,,
159,Hungry Wolves 159,Graffiti,Bloodshot,Golden,None,Muddy,Trash Can,Ripped White T-Shirt,Muddy Paws,Top Hat,Calm,,
160,Hungry Wolves 160,Graffiti,No Pupils,Bronze,None,None,Trash Can,Blue Soccer Jersey,Onyx Nails,None,Evil,,
161,Hungry Wolves 161,Wolf Den,Yellow,Glowing,None,Muddy,Ice,Pack Chain,Onyx Nails,None,Excited,,
162,Hungry Wolves 162,Graffiti,Cyborg,Arctic,None,Bear Trap,Trash Can,None,Onyx Nails,Halo,Sad,,
163,Hungry Wolves 163,Pink Concrete,Yellow,Glowing,None,None,Trash Can,Hoodie,Rainbow Nails,None,Calm,,
164,Hungry Wolves 164,Wolf Den,Yellow,Night,None,None,Barbed Wire Fence,Hawaiian,Handcuffs,None,Calm,,
165,Hungry Wolves 165,Blue Concrete,Yellow,Night,None,None,Throne,Headphones,Bloody Nails,Gold Earring,Angry,,
166,Hungry Wolves 166,Pink Concrete,Yellow,Bronze,None,Bear Trap,Guitar Amp,Yellow Basketball Jersey,Gold Bracelet,None,Calm,,
167,Hungry Wolves 167,Grey Concrete,Blue,Arctic,None,Gold Piercing,Bricks,Red Soccer Jersey,Gold Nails,Halo,Silly,,
168,Hungry Wolves 168,Rave,Gold,Red,None,None,Trash Can,Green Basketball Jersey,Handcuffs,Top Hat,Silly,,
169,Hungry Wolves 169,Blue Concrete,Cyborg,Brown,None,None,Hay,Bowtie,Handcuffs,Paper Crown,Calm,,
170,Hungry Wolves 170,Grey Concrete,No Pupils,Rainbow,None,None,Ice,Headphones,Party Nail,Captain's Hat,Silly,,
171,Hungry Wolves 171,Blood Spattered,Gold,Grey,None,Muddy,Trash Can,Pack Chain,Ruby Nails,Cowboy,Angry,,
172,Hungry Wolves 172,Ice,Cat Eyes,Clay,None,Snow Covered,Pile of Bananas,Robot Armor,Ruby Nails,Paper Crown,Hungry,,
173,Hungry Wolves 173,Pink Concrete,Blue,Brown,None,Wood,Trash Can,Wool Sweater,Gold Nails,None,Hungry,,
174,Hungry Wolves 174,Rainbow Shine,Yellow,Rainbow,None,Glowing,Trash Can,Biker Vest,Bloody Nails,Gold Earring,Calm,,
175,Hungry Wolves 175,Rainbow Shine,Cat Eyes,Bronze,None,Snow Covered,New Whip,Ripped White T-Shirt,Gold Nails,Cowboy,Sad,,
176,Hungry Wolves 176,Rainbow Shine,Blue,Arctic,None,Muddy,Bricks,Black T-Shirt,Gold Bracelet,Paper Crown,Evil,,
177,Hungry Wolves 177,Blue Concrete,Yellow,Bronze,None,Muddy,Barbed Wire Fence,Robot Armor,Mechanical Hand,Devil Horns,Excited,,
178,Hungry Wolves 178,Blue Concrete,Bloodshot,Rainbow,None,Muddy,New Whip,Ripped White T-Shirt,Brass Knuckles,Gold Earring,Silly,,
179,Hungry Wolves 179,24K,Bloodshot,Arctic,None,Muddy,Trash Can,Bowtie,Diamond Nails,Straw Hat,Evil,,
180,Hungry Wolves 180,Graffiti,Blue,Red,None,Snow Covered,Trash Can,Banana T-Shirt,Ruby Nails,Straw Hat,Calm,,
181,Hungry Wolves 181,Grey Concrete,Blue,Glowing,None,Bear Trap,Barbed Wire Fence,Bowtie,Ruby Nails,Gold Earring,Sad,,
182,Hungry Wolves 182,Blue Concrete,Blue,Arctic,None,Paper Crown,Trash Can,Banana T-Shirt,Glowing Nails,Pirate Hat,Hungry,,
183,Hungry Wolves 183,Blood Spattered,No Pupils,Camo,None,Snow Covered,Ice,Red Soccer Jersey,Rainbow Nails,Red Bandana,Calm,,
184,Hungry Wolves 184,Magma,No Pupils,Glowing,None,Bear Trap,Trash Can,None,Bloody Nails,Captain's Hat,Angry,,
185,Hungry Wolves 185,Green Concrete,Yellow,Camo,None,None,Boulder,Banana T-Shirt,Handcuffs,Wizard Hat,Calm,,
186,Hungry Wolves 186,Grey Concrete,Gold,Brown,None,Bear Trap,Pile of Bananas,Ripped White T-Shirt,Handcuffs,Pirate Hat,Excited,,
187,Hungry Wolves 187,Blue Concrete,Yellow,Zombie,None,None,Barbed Wire Fence,Banana T-Shirt,Muddy Paws,Halo,Hungry,,
188,Hungry Wolves 188,Rainbow Shine,Blue,Grey,None,Muddy,Bricks,Biker Vest,Muddy Paws,Beanie,Hungry,,
189,Hungry Wolves 189,Green Concrete,Bloodshot,Bronze,None,Gold Piercing,Throne,Banana T-Shirt,Gold Nails,Captain's Hat,Sad,,
190,Hungry Wolves 190,Grey Concrete,Cyborg,Blue,None,Muddy,Throne,Black T-Shirt,Bloody Nails,Halo,Hungry,,
191,Hungry Wolves 191,Green Concrete,Bloodshot,Rainbow,None,Muddy,Pile of Bananas,Headphones,Rainbow Nails,Beanie,Sad,,
192,Hungry Wolves 192,Blood Spattered,Blue,Zombie,Monocle,None,Pile of Gems,Bowtie,Gold Bracelet,Black Bandana,Excited,,
193,Hungry Wolves 193,Pink Concrete,Blue,Bronze,None,Muddy,Boulder,Yellow Basketball Jersey,Gold Bracelet,None,Calm,,
194,Hungry Wolves 194,Green Concrete,Blue,Golden,None,Snow Covered,Trash Can,Ripped White T-Shirt,Rainbow Nails,Black Bandana,Excited,,
195,Hungry Wolves 195,Grey Concrete,Gold,Hay,None,Muddy,New Whip,None,Biker Gloves,Gold Earring,Excited,,
196,Hungry Wolves 196,24K,Cyborg,Bronze,None,None,Trash Can,None,Ruby Nails,Top Hat,Excited,,
197,Hungry Wolves 197,Blood Spattered,Bloodshot,Brown,None,Gold Piercing,Pile of Bananas,Ripped White T-Shirt,Bloody Nails,Mohawk,Excited,,
