TOKEN_ID,TOKEN_NAME,Type,Mouth,Eyewear,Headwear,Accessory
85,Larva Lad #85,Normal,Normal,Regular Shades,Cap Forward,None
86,Larva Lad #86,Normal,Normal,Eye Patch,Bandana,None
87,Larva Lad #87,Normal,Normal,None,Cap Forward,Earring
88,Larva Lad #88,Normal,Normal,None,Fedora,None
89,Larva Lad #89,Normal,Handlebars,None,Knitted Cap,None
90,Larva Lad #90,Normal,Handlebars,VR,None,None
91,Larva Lad #91,Normal,Normal,None,None,None
92,Larva Lad #92,Normal,Handlebars,Regular Shades,Cap Forward,Vape
93,Larva Lad #93,Normal,Normal,3D Glasses,None,None
94,Larva Lad #94,Normal,Normal,Eye Patch,None,None
95,Larva Lad #95,Normal,Handlebars,Small Shades,Beanie,None
96,Larva Lad #96,Normal,Normal,None,Top Hat,None
97,Larva Lad #97,Normal,Smile,VR,Bandana,None
98,Larva Lad #98,Zombie,Zombie,None,Do-rag,None
99,Larva Lad #99,Normal,Normal,Eye Patch,None,Pipe
100,Larva Lad #100,Normal,Normal,None,Bandana,None
101,Larva Lad #101,Normal,Smile,None,None,None
102,Larva Lad #102,Normal,Frown,None,None,None
103,Larva Lad #103,Normal,Normal,None,Top Hat,Earring
104,Larva Lad #104,Normal,Normal,None,Bandana,None
105,Larva Lad #105,Normal,Normal,Regular Shades,Beanie,None
106,Larva Lad #106,Normal,Normal,VR,None,Cigarette
107,Larva Lad #107,Zombie,Zombie,None,Fedora,None
108,Larva Lad #108,Normal,Normal,None,Messy Hair,None
109,Larva Lad #109,Normal,Smile,Eye Patch,Beanie,None
110,Larva Lad #110,Zombie,Zombie,3D Glasses,Fedora,None
111,Larva Lad #111,Normal,Smile,Regular Shades,Top Hat,None
112,Larva Lad #112,Normal,Normal,None,None,Cigarette
113,Larva Lad #113,Normal,Handlebars,Eye Patch,Knitted Cap,None
114,Larva Lad #114,Normal,Handlebars,Small Shades,None,Vape
115,Larva Lad #115,Normal,Normal,None,Beanie,Vape
116,Larva Lad #116,Normal,Normal,Regular Shades,Cowboy Hat,None
117,Larva Lad #117,Zombie,Zombie,3D Glasses,Beanie,None
118,Larva Lad #118,Normal,Smile,None,None,None
119,Larva Lad #119,Normal,Smile,None,Top Hat,Pipe
120,Larva Lad #120,Zombie,Zombie,None,None,None
121,Larva Lad #121,Normal,Normal,None,Police Cap,Pipe
122,Larva Lad #122,Normal,Normal,None,None,Vape
123,Larva Lad #123,Normal,Normal,None,None,None
124,Larva Lad #124,Zombie,Zombie,None,None,None
125,Larva Lad #125,Normal,Smile,None,None,Vape
126,Larva Lad #126,Normal,Normal,Eye Patch,Fedora,Vape
127,Larva Lad #127,Normal,Normal,None,None,Cigarette
128,Larva Lad #128,Normal,Smile,None,Cowboy Hat,None
129,Larva Lad #129,Normal,Frown,3D Glasses,Do-rag,Earring
130,Larva Lad #130,Normal,Normal,VR,Knitted Cap,Cigarette
131,Larva Lad #131,Normal,Frown,3D Glasses,Knitted Cap,None
132,Larva Lad #132,Normal,Smile,VR,Cap,None
133,Larva Lad #133,Normal,Normal,Regular Shades,Wild Hair,Cigarette
134,Larva Lad #134,Normal,Normal,Eye Patch,Cowboy Hat,Cigarette
135,Larva Lad #135,Normal,Smile,VR,Bandana,Earring
136,Larva Lad #136,Normal,Handlebars,VR,Cap,None
137,Larva Lad #137,Normal,Smile,Small Shades,None,None
138,Larva Lad #138,Normal,Frown,VR,None,None
139,Larva Lad #139,Normal,Normal,Eye Patch,None,None
140,Larva Lad #140,Normal,Frown,None,Messy Hair,None
141,Larva Lad #141,Normal,Normal,VR,Do-rag,None
142,Larva Lad #142,Normal,Smile,None,Police Cap,None
143,Larva Lad #143,Normal,Smile,None,None,None
144,Larva Lad #144,Normal,Normal,None,Cowboy Hat,None
145,Larva Lad #145,Zombie,Zombie,3D Glasses,Cowboy Hat,None
146,Larva Lad #146,Normal,Smile,None,Peak Spike,Vape
147,Larva Lad #147,Normal,Frown,None,None,None
148,Larva Lad #148,Normal,Handlebars,None,None,Pipe
149,Larva Lad #149,Normal,Normal,None,Cowboy Hat,None
150,Larva Lad #150,Normal,Smile,None,Top Hat,Vape
151,Larva Lad #151,Normal,Normal,Regular Shades,Bandana,Earring
152,Larva Lad #152,Normal,Smile,None,Peak Spike,None
153,Larva Lad #153,Normal,Smile,None,None,None
154,Larva Lad #154,Normal,Handlebars,None,None,None
155,Larva Lad #155,Normal,Smile,VR,Wild Hair,None
156,Larva Lad #156,Normal,Frown,Horned Rim Glasses,Cowboy Hat,None
157,Larva Lad #157,Normal,Smile,None,Bandana,None
158,Larva Lad #158,Normal,Smile,Small Shades,None,None
159,Larva Lad #159,Normal,Normal,None,Police Cap,None
160,Larva Lad #160,Normal,Handlebars,Classic Shades,None,None
161,Larva Lad #161,Normal,Handlebars,Regular Shades,Cap,None
162,Larva Lad #162,Normal,Smile,3D Glasses,Cap,None
163,Larva Lad #163,Normal,Frown,None,None,None
164,Larva Lad #164,Normal,Normal,Classic Shades,None,None
165,Larva Lad #165,Normal,Normal,None,None,Cigarette
166,Larva Lad #166,Normal,Frown,Eye Patch,Cap,Vape
167,Larva Lad #167,Normal,Normal,Small Shades,Fedora,None
168,Larva Lad #168,Normal,Normal,None,None,Earring
169,Larva Lad #169,Normal,Frown,None,None,Cigarette
170,Larva Lad #170,Normal,Smile,None,None,None
171,Larva Lad #171,Normal,Smile,None,None,Pipe
172,Larva Lad #172,Normal,Normal,Regular Shades,Bandana,None
173,Larva Lad #173,Normal,Normal,Eye Patch,Messy Hair,None
174,Larva Lad #174,Normal,Normal,VR,None,Cigarette
175,Larva Lad #175,Normal,Frown,None,Cap,None
176,Larva Lad #176,Normal,Frown,None,None,None
177,Larva Lad #177,Normal,Smile,None,Beanie,None
178,Larva Lad #178,Normal,Normal,Small Shades,Cap Forward,Cigarette
179,Larva Lad #179,Normal,Normal,None,None,None
180,Larva Lad #180,Normal,Normal,None,None,None
181,Larva Lad #181,Normal,Frown,Regular Shades,None,None
182,Larva Lad #182,Normal,Normal,None,None,Earring
183,Larva Lad #183,Normal,Normal,3D Glasses,None,None
184,Larva Lad #184,Normal,Smile,Regular Shades,Wild Hair,None
185,Larva Lad #185,Normal,Normal,VR,None,None
186,Larva Lad #186,Normal,Smile,Regular Shades,None,None
187,Larva Lad #187,Normal,Normal,Classic Shades,None,Cigarette
188,Larva Lad #188,Normal,Smile,Eye Patch,None,None
189,Larva Lad #189,Normal,Normal,3D Glasses,None,None
190,Larva Lad #190,Ape,Ape,Small Shades,Peak Spike,Earring
191,Larva Lad #191,Normal,Normal,Regular Shades,None,Earring
192,Larva Lad #192,Normal,Smile,None,Messy Hair,Earring
193,Larva Lad #193,Normal,Smile,None,Wild Hair,Earring
194,Larva Lad #194,Normal,Handlebars,Regular Shades,Messy Hair,None
195,Larva Lad #195,Normal,Normal,VR,None,None
196,Larva Lad #196,Normal,Frown,None,Beanie,None
197,Larva Lad #197,Normal,Normal,Classic Shades,None,None
198,Larva Lad #198,Normal,Normal,Regular Shades,None,None
199,Larva Lad #199,Zombie,Zombie,Eye Patch,None,Vape
200,Larva Lad #200,Zombie,Zombie,Regular Shades,Cap,None
201,Larva Lad #201,Normal,Frown,3D Glasses,Knitted Cap,None
202,Larva Lad #202,Normal,Frown,VR,Cowboy Hat,None
203,Larva Lad #203,Normal,Handlebars,Regular Shades,Top Hat,None
204,Larva Lad #204,Normal,Normal,None,None,None
205,Larva Lad #205,Normal,Normal,None,Bandana,Cigarette
206,Larva Lad #206,Normal,Normal,Regular Shades,None,Vape
207,Larva Lad #207,Normal,Normal,Eye Patch,Do-rag,None
208,Larva Lad #208,Normal,Normal,None,Fedora,Cigarette
209,Larva Lad #209,Normal,Normal,None,None,None
210,Larva Lad #210,Normal,Smile,None,None,None
211,Larva Lad #211,Normal,Frown,Regular Shades,None,None
212,Larva Lad #212,Normal,Frown,None,None,None
213,Larva Lad #213,Normal,Frown,Small Shades,None,None
214,Larva Lad #214,Normal,Normal,None,Cap,None
215,Larva Lad #215,Normal,Smile,Horned Rim Glasses,Beanie,None
216,Larva Lad #216,Normal,Handlebars,Regular Shades,None,None
217,Larva Lad #217,Normal,Smile,None,None,Vape
218,Larva Lad #218,Normal,Normal,None,None,Cigarette
219,Larva Lad #219,Normal,Frown,Eye Patch,None,None
220,Larva Lad #220,Normal,Smile,Classic Shades,Top Hat,None
221,Larva Lad #221,Normal,Normal,3D Glasses,Knitted Cap,Cigarette
222,Larva Lad #222,Normal,Normal,Horned Rim Glasses,Peak Spike,Pipe
223,Larva Lad #223,Normal,Normal,Small Shades,None,None
224,Larva Lad #224,Normal,Smile,Classic Shades,Fedora,Cigarette
225,Larva Lad #225,Normal,Normal,Classic Shades,None,None
226,Larva Lad #226,Normal,Normal,Small Shades,Cap Forward,None
227,Larva Lad #227,Normal,Smile,3D Glasses,Cowboy Hat,None
228,Larva Lad #228,Normal,Normal,None,Cap Forward,None
229,Larva Lad #229,Normal,Smile,Small Shades,None,None
230,Larva Lad #230,Normal,Handlebars,Classic Shades,None,None
231,Larva Lad #231,Zombie,Zombie,Regular Shades,Cap Forward,None
232,Larva Lad #232,Alien,Alien,Horned Rim Glasses,Cap,None
233,Larva Lad #233,Normal,Normal,Small Shades,Beanie,None
234,Larva Lad #234,Normal,Normal,Classic Shades,None,Pipe
235,Larva Lad #235,Normal,Frown,None,Top Hat,None
236,Larva Lad #236,Normal,Normal,None,None,None
237,Larva Lad #237,Normal,Frown,Classic Shades,None,None
238,Larva Lad #238,Normal,Smile,Horned Rim Glasses,Beanie,Vape
239,Larva Lad #239,Normal,Normal,Regular Shades,None,None
240,Larva Lad #240,Normal,Normal,None,None,None
241,Larva Lad #241,Normal,Normal,Horned Rim Glasses,Do-rag,None
242,Larva Lad #242,Normal,Frown,None,Cowboy Hat,None
243,Larva Lad #243,Normal,Normal,None,Bandana,None
244,Larva Lad #244,Normal,Frown,Classic Shades,None,Cigarette
245,Larva Lad #245,Normal,Normal,None,None,None
246,Larva Lad #246,Normal,Smile,None,Fedora,None
247,Larva Lad #247,Normal,Normal,Regular Shades,None,None
248,Larva Lad #248,Normal,Normal,None,None,None
249,Larva Lad #249,Normal,Smile,None,Knitted Cap,Cigarette
250,Larva Lad #250,Normal,Smile,None,Cap Forward,None
251,Larva Lad #251,Normal,Smile,VR,Cap Forward,Vape
252,Larva Lad #252,Normal,Smile,None,Cap Forward,None
253,Larva Lad #253,Normal,Smile,None,None,None
254,Larva Lad #254,Normal,Normal,Eye Patch,Police Cap,Pipe
255,Larva Lad #255,Normal,Normal,Small Shades,None,Vape
256,Larva Lad #256,Normal,Smile,None,None,Earring
257,Larva Lad #257,Normal,Normal,Eye Patch,Knitted Cap,Cigarette
258,Larva Lad #258,Normal,Normal,Classic Shades,Do-rag,Earring
259,Larva Lad #259,Normal,Frown,3D Glasses,None,None
260,Larva Lad #260,Zombie,Zombie,None,None,None
261,Larva Lad #261,Normal,Normal,3D Glasses,Fedora,None
262,Larva Lad #262,Normal,Smile,None,None,None
263,Larva Lad #263,Normal,Frown,None,None,None
264,Larva Lad #264,Normal,Smile,Classic Shades,Messy Hair,Vape
265,Larva Lad #265,Normal,Smile,Small Shades,Peak Spike,None
266,Larva Lad #266,Normal,Frown,Classic Shades,None,None
267,Larva Lad #267,Normal,Normal,None,Beanie,Vape
268,Larva Lad #268,Normal,Frown,Small Shades,Cap,None
269,Larva Lad #269,Normal,Smile,None,Top Hat,None
270,Larva Lad #270,Normal,Normal,Regular Shades,None,None
271,Larva Lad #271,Normal,Normal,3D Glasses,Fedora,None
272,Larva Lad #272,Normal,Smile,Regular Shades,Messy Hair,None
273,Larva Lad #273,Normal,Smile,VR,Do-rag,Cigarette
274,Larva Lad #274,Normal,Smile,None,None,Earring
275,Larva Lad #275,Normal,Handlebars,3D Glasses,Top Hat,Cigarette
276,Larva Lad #276,Normal,Normal,None,Cap Forward,None
277,Larva Lad #277,Normal,Normal,None,Bandana,None
278,Larva Lad #278,Normal,Smile,None,Wild Hair,Pipe
279,Larva Lad #279,Normal,Smile,None,Bandana,None
280,Larva Lad #280,Normal,Normal,VR,Police Cap,None
281,Larva Lad #281,Normal,Normal,3D Glasses,Messy Hair,Vape
282,Larva Lad #282,Normal,Smile,VR,None,Cigarette
283,Larva Lad #283,Normal,Smile,Classic Shades,Top Hat,None
284,Larva Lad #284,Normal,Normal,3D Glasses,None,None
285,Larva Lad #285,Normal,Smile,Classic Shades,Knitted Cap,Pipe
286,Larva Lad #286,Normal,Normal,VR,None,Cigarette
287,Larva Lad #287,Normal,Smile,None,Police Cap,None
288,Larva Lad #288,Normal,Normal,Classic Shades,None,Cigarette
289,Larva Lad #289,Normal,Normal,3D Glasses,None,None
290,Larva Lad #290,Normal,Normal,VR,None,None
291,Larva Lad #291,Normal,Handlebars,Regular Shades,None,None
292,Larva Lad #292,Zombie,Zombie,VR,Peak Spike,None
293,Larva Lad #293,Normal,Smile,Eye Patch,Cowboy Hat,None
294,Larva Lad #294,Ape,Ape,Classic Shades,Bandana,Cigarette
295,Larva Lad #295,Ape,Ape,None,None,None
296,Larva Lad #296,Normal,Normal,None,Messy Hair,None
297,Larva Lad #297,Normal,Handlebars,None,None,Earring
298,Larva Lad #298,Normal,Smile,None,Cap,Earring
299,Larva Lad #299,Normal,Normal,None,Cowboy Hat,Earring
300,Larva Lad #300,Normal,Normal,Classic Shades,Wild Hair,Pipe
301,Larva Lad #301,Normal,Normal,None,None,None
302,Larva Lad #302,Normal,Smile,Regular Shades,None,Pipe
303,Larva Lad #303,Normal,Normal,None,None,None
304,Larva Lad #304,Normal,Normal,None,None,None
305,Larva Lad #305,Normal,Handlebars,None,Top Hat,None
306,Larva Lad #306,Normal,Smile,None,Cap,None
307,Larva Lad #307,Normal,Smile,Eye Patch,None,None
308,Larva Lad #308,Normal,Normal,None,Cap Forward,None
309,Larva Lad #309,Normal,Normal,Horned Rim Glasses,None,Pipe
310,Larva Lad #310,Normal,Normal,Classic Shades,Fedora,Earring
311,Larva Lad #311,Normal,Normal,3D Glasses,Bandana,None
312,Larva Lad #312,Normal,Normal,None,None,Earring
313,Larva Lad #313,Normal,Smile,None,Knitted Cap,None
314,Larva Lad #314,Normal,Normal,None,Top Hat,None
315,Larva Lad #315,Normal,Smile,None,Knitted Cap,None
316,Larva Lad #316,Normal,Handlebars,3D Glasses,Police Cap,None
317,Larva Lad #317,Normal,Handlebars,None,None,None
318,Larva Lad #318,Normal,Normal,None,Beanie,Vape
319,Larva Lad #319,Normal,Normal,Small Shades,Police Cap,None
320,Larva Lad #320,Normal,Smile,None,None,None
321,Larva Lad #321,Normal,Frown,None,Fedora,Pipe
322,Larva Lad #322,Normal,Smile,None,Bandana,Cigarette
323,Larva Lad #323,Normal,Normal,Small Shades,None,None
324,Larva Lad #324,Normal,Normal,None,None,Earring
325,Larva Lad #325,Normal,Normal,VR,Messy Hair,None
326,Larva Lad #326,Normal,Normal,None,None,Vape
327,Larva Lad #327,Normal,Smile,Small Shades,Police Cap,Cigarette
328,Larva Lad #328,Normal,Frown,Small Shades,Knitted Cap,None
329,Larva Lad #329,Normal,Smile,Small Shades,None,Vape
330,Larva Lad #330,Normal,Normal,Classic Shades,Beanie,Cigarette
331,Larva Lad #331,Normal,Normal,Eye Patch,Do-rag,None
332,Larva Lad #332,Normal,Normal,None,Cap,Vape
333,Larva Lad #333,Normal,Normal,3D Glasses,None,None
334,Larva Lad #334,Normal,Smile,Eye Patch,None,None
335,Larva Lad #335,Normal,Normal,VR,None,None
336,Larva Lad #336,Normal,Smile,Horned Rim Glasses,Cap Forward,None
337,Larva Lad #337,Normal,Normal,None,None,None
338,Larva Lad #338,Normal,Normal,Classic Shades,None,Earring
339,Larva Lad #339,Normal,Normal,None,None,None
340,Larva Lad #340,Normal,Smile,3D Glasses,None,None
341,Larva Lad #341,Normal,Smile,VR,None,None
342,Larva Lad #342,Normal,Smile,3D Glasses,Messy Hair,None
343,Larva Lad #343,Normal,Frown,Classic Shades,None,None
344,Larva Lad #344,Normal,Normal,Eye Patch,Top Hat,Vape
345,Larva Lad #345,Normal,Normal,Eye Patch,None,None
346,Larva Lad #346,Normal,Smile,None,Bandana,None
347,Larva Lad #347,Normal,Frown,Classic Shades,Police Cap,None
348,Larva Lad #348,Normal,Normal,Classic Shades,Cap Forward,None
349,Larva Lad #349,Normal,Normal,VR,Bandana,None
350,Larva Lad #350,Normal,Handlebars,Small Shades,Peak Spike,Cigarette
351,Larva Lad #351,Normal,Frown,VR,Bandana,None
352,Larva Lad #352,Normal,Normal,Small Shades,None,None
353,Larva Lad #353,Normal,Smile,None,Messy Hair,None
354,Larva Lad #354,Normal,Normal,Regular Shades,Cap,None
355,Larva Lad #355,Normal,Normal,None,Beanie,None
356,Larva Lad #356,Normal,Normal,Regular Shades,None,None
357,Larva Lad #357,Normal,Normal,Eye Patch,None,None
358,Larva Lad #358,Normal,Normal,None,None,None
359,Larva Lad #359,Normal,Normal,None,Messy Hair,None
360,Larva Lad #360,Normal,Frown,None,Cap Forward,None
361,Larva Lad #361,Normal,Smile,3D Glasses,Police Cap,Pipe
362,Larva Lad #362,Zombie,Zombie,3D Glasses,None,Vape
363,Larva Lad #363,Normal,Normal,None,Cap Forward,Earring
364,Larva Lad #364,Normal,Normal,Eye Patch,Beanie,None
365,Larva Lad #365,Normal,Frown,Classic Shades,Cap,Cigarette
366,Larva Lad #366,Normal,Normal,None,Wild Hair,None
367,Larva Lad #367,Normal,Handlebars,None,Bandana,None
368,Larva Lad #368,Normal,Smile,Regular Shades,None,Cigarette
369,Larva Lad #369,Normal,Smile,None,None,Pipe
370,Larva Lad #370,Normal,Normal,None,Beanie,None
371,Larva Lad #371,Normal,Frown,Horned Rim Glasses,None,None
372,Larva Lad #372,Normal,Normal,None,None,None
373,Larva Lad #373,Normal,Normal,Small Shades,Wild Hair,None
374,Larva Lad #374,Normal,Frown,None,Bandana,None
375,Larva Lad #375,Normal,Normal,Small Shades,None,None
376,Larva Lad #376,Normal,Normal,None,None,None
377,Larva Lad #377,Normal,Normal,None,Top Hat,None
378,Larva Lad #378,Normal,Normal,Classic Shades,Cap,None
379,Larva Lad #379,Zombie,Zombie,VR,Knitted Cap,None
380,Larva Lad #380,Alien,Alien,Small Shades,Knitted Cap,Vape
381,Larva Lad #381,Normal,Frown,None,Top Hat,None
382,Larva Lad #382,Zombie,Zombie,None,Fedora,None
383,Larva Lad #383,Normal,Frown,Horned Rim Glasses,None,None
384,Larva Lad #384,Normal,Smile,None,None,None
385,Larva Lad #385,Normal,Smile,Regular Shades,Beanie,None
386,Larva Lad #386,Normal,Normal,3D Glasses,Cap,None
387,Larva Lad #387,Normal,Smile,None,None,None
388,Larva Lad #388,Normal,Normal,Eye Patch,Do-rag,None
389,Larva Lad #389,Normal,Smile,VR,None,Vape
390,Larva Lad #390,Normal,Normal,None,Peak Spike,Pipe
391,Larva Lad #391,Normal,Smile,None,Messy Hair,Cigarette
392,Larva Lad #392,Normal,Normal,3D Glasses,Cowboy Hat,Vape
393,Larva Lad #393,Normal,Smile,Small Shades,Knitted Cap,Vape
394,Larva Lad #394,Normal,Normal,Regular Shades,None,None
395,Larva Lad #395,Normal,Normal,VR,None,None
396,Larva Lad #396,Normal,Normal,Classic Shades,Peak Spike,None
397,Larva Lad #397,Normal,Normal,Regular Shades,None,None
398,Larva Lad #398,Normal,Normal,None,Wild Hair,None
399,Larva Lad #399,Normal,Smile,None,None,Cigarette
400,Larva Lad #400,Normal,Normal,Horned Rim Glasses,None,None
401,Larva Lad #401,Normal,Smile,None,Knitted Cap,None
402,Larva Lad #402,Normal,Normal,Small Shades,Wild Hair,Cigarette
403,Larva Lad #403,Normal,Smile,None,None,None
404,Larva Lad #404,Normal,Smile,Regular Shades,Peak Spike,Vape
405,Larva Lad #405,Normal,Smile,Regular Shades,Fedora,None
406,Larva Lad #406,Normal,Normal,None,None,None
407,Larva Lad #407,Normal,Normal,Eye Patch,None,Cigarette
408,Larva Lad #408,Zombie,Zombie,3D Glasses,Knitted Cap,None
409,Larva Lad #409,Normal,Normal,None,None,Cigarette
410,Larva Lad #410,Normal,Handlebars,None,None,Cigarette
411,Larva Lad #411,Normal,Smile,Eye Patch,None,None
412,Larva Lad #412,Zombie,Zombie,None,Police Cap,None
413,Larva Lad #413,Normal,Normal,None,Cowboy Hat,None
414,Larva Lad #414,Normal,Normal,None,Top Hat,Cigarette
415,Larva Lad #415,Normal,Smile,VR,Knitted Cap,None
416,Larva Lad #416,Normal,Normal,Regular Shades,None,None
417,Larva Lad #417,Normal,Smile,Eye Patch,Do-rag,Vape
418,Larva Lad #418,Normal,Frown,Small Shades,None,None
419,Larva Lad #419,Normal,Normal,None,None,None
420,Larva Lad #420,Ape,Ape,VR,Top Hat,Earring
421,Larva Lad #421,Normal,Smile,Small Shades,Beanie,None
422,Larva Lad #422,Normal,Smile,None,None,Cigarette
423,Larva Lad #423,Normal,Normal,None,None,Earring
424,Larva Lad #424,Normal,Normal,VR,None,None
425,Larva Lad #425,Normal,Normal,None,Cowboy Hat,Pipe
426,Larva Lad #426,Normal,Normal,None,None,None
427,Larva Lad #427,Normal,Normal,None,Messy Hair,None
428,Larva Lad #428,Normal,Normal,None,None,Pipe
429,Larva Lad #429,Normal,Normal,None,None,None
430,Larva Lad #430,Normal,Handlebars,Eye Patch,None,Cigarette
431,Larva Lad #431,Normal,Handlebars,None,None,None
432,Larva Lad #432,Normal,Normal,None,Cap,None
433,Larva Lad #433,Normal,Normal,Regular Shades,None,Earring
434,Larva Lad #434,Normal,Frown,None,Beanie,None
435,Larva Lad #435,Normal,Normal,None,Police Cap,Cigarette
436,Larva Lad #436,Normal,Normal,3D Glasses,None,Vape
437,Larva Lad #437,Normal,Frown,3D Glasses,Peak Spike,None
438,Larva Lad #438,Normal,Smile,None,Do-rag,None
439,Larva Lad #439,Normal,Frown,Small Shades,Top Hat,None
440,Larva Lad #440,Normal,Normal,Regular Shades,None,Vape
441,Larva Lad #441,Normal,Normal,VR,Fedora,None
442,Larva Lad #442,Normal,Normal,Small Shades,Peak Spike,None
443,Larva Lad #443,Normal,Frown,Small Shades,Cowboy Hat,None
444,Larva Lad #444,Normal,Smile,Regular Shades,Cap Forward,Cigarette
445,Larva Lad #445,Normal,Normal,Regular Shades,None,None
