TOKEN_ID,TOKEN_NAME,Special Edition,Trait Count,Color,Power Unit,Quantum Core,Right Sensor,Face,Apex,Sense Emulator,AUX,Torso,BG,Left Sensor,Hands,Matching Sets
1830,vogu #1830,,9,Grape,Core,Core,,Centurion,Patrician,Sticker,,Kouwei,Black Graphic,Rabbit,,1.5273704789833826
1835,vogu #1835,,11,Navy,Ongo,Core,Core,VRT,Strobe,Kouwei,Bypass,Kimono,Purple Gradient,APS,,1.5273704789833826
1840,vogu #1840,,10,Wrath,Core,Runtime Meter,Ongo,VRT,Garsi,,Faction,Puff Jacket,Orange Gradient,Core,,1.5273704789833826
1853,vogu #1853,,9,Titan,Kouwei,Core,Core,VRT,Centurion,Inhaler,,Tactical,Purple Gradient,,,1.5273704789833826
1857,vogu #1857,,11,Nova Blue,Centurion,Ongo,Core,Kouwei,Patrician,Inhaler,Bypass,Tracksuit,Black Graphic,Core,,1.5273704789833826
1869,vogu #1869,,9,Titan,Core,Ongo,Cat,EMO-LED,,Inhaler,,Kouwei,Orange Gradient,Core,,1.5273704789833826
1875,vogu #1875,,8,Titan,Core,Centurion,,Courier,,Kouwei,,Monk,Black Graphic,Core,,1.5273704789833826
1881,vogu #1881,,10,Navy,Kouwei,Core,Core,Recon,Strobe,Inhaler,,Graphic Tee,Black Graphic,Cat,,1.5273704789833826
1888,vogu #1888,,11,Grape,Core,Kouwei,Acoustic Array,Field Agent,Emoji,Inhaler,Patrician,Leather Jacket,Grey Gradient,Core,,1.5273704789833826
1892,vogu #1892,,10,Wrath,Patrician,Core,,Centurion,Industrial Sensor,Inhaler,Bypass,Leather Jacket,Black Graphic,Core,,1.5273704789833826
19,vogu #19,,11,34 Tauri,Kouwei,Core,Core,VRT,Centurion,Inhaler,Patrician,PBJ,Karen Jerzyk,APS,,1.5273704789833826
1904,vogu #1904,,9,Wrath,Patrician,Core,,VRT,Strobe,Inhaler,,Leather Jacket,Green Gradient,Core,,1.5273704789833826
1914,vogu #1914,,9,Wrath,Kouwei,Ongo,,Core,Industrial Sensor,Inhaler,,Graphic Tee,Purple Gradient,Core,,1.5273704789833826
1915,vogu #1915,,10,Navy,Core,Ongo,Core,Centurion,Industrial Sensor,Offender,,Graphic Tee,Purple Gradient,Kouwei,,1.5273704789833826
1926,vogu #1926,,10,Nova Blue,Small Cell,Core,,Centurion,Range Finder,Core,Patrician,Graphic Tee,Blue Gradient,Ongo,,1.5273704789833826
1927,vogu #1927,,9,Neptune,Kouwei,Core,Core,Recon,Industrial Sensor,Ongo,,Leather Jacket,Green Gradient,,,1.5273704789833826
1933,vogu #1933,,9,Echelon Grey,Centurion,Core,,VRT,Industrial Sensor,Kouwei,,Wind Breaker,Black Graphic,Core,,1.5273704789833826
1934,vogu #1934,,9,Pulsar White,Core,Core,Ongo,Governor,Emoji,,,Graphic Tee,Purple Gradient,Rabbit,,1.5273704789833826
1937,vogu #1937,,10,34 Tauri,Core,Runtime Meter,Core,VRT,Industrial Sensor,Inhaler,,Leather Jacket,Grey Gradient,Kouwei,,1.5273704789833826
1938,vogu #1938,,10,Neptune,Kouwei,Core,,Courier,Strobe,Inhaler,Bypass,Tactical,Purple Gradient,Core,,1.5273704789833826
1940,vogu #1940,,9,Snake,Core,Patrician,,Core,Echelon-3,Kouwei,,TUX,Tropical Virtual,Centurion,,1.5273704789833826
1943,vogu #1943,,9,Wrath,Core,Runtime Meter,Core,Centurion,Emoji,,,Wind Breaker,Glypsie,,Coffee,1.5273704789833826
1955,vogu #1955,,10,Snake,Kouwei,Core,Cat,Echelon-3,Transmission,Inhaler,,Centurion,Blue Gradient,Core,,1.5273704789833826
196,vogu #196,,9,Cotton Candy,Patrician,Core,Ongo,Core,Garsi,Inhaler,,Puff Jacket,Green Gradient,,,1.5273704789833826
1968,vogu #1968,,9,Snake,Core,Core,,Ongo,Transmission,Inhaler,,Centurion,Orange Gradient,Kouwei,,1.5273704789833826
1974,vogu #1974,,9,Echelon Grey,Small Cell,Core,Core,VRT,Industrial Sensor,Inhaler,,Tactical,Purple Gradient,,,1.5273704789833826
1977,vogu #1977,,11,Nebula Red,Kouwei,Core,Acoustic Array,VRT,Centurion,Inhaler,Bypass,Monk,Blue Gradient,Core,,1.5273704789833826
198,vogu #198,,10,Snake,Patrician,Core,Core,VRT,Strobe,Inhaler,Vogu,BDVXP,Grey Gradient,,,1.5273704789833826
1993,vogu #1993,,8,Pulsar White,Centurion,Ongo,,Graffiti,,Inhaler,,Core,Black Graphic,Core,,1.5273704789833826
1998,vogu #1998,,12,Titan,EMP Shields,Core,Acoustic Array,Recon,Core,Kouwei,Faction,Graphic Tee,Pink Gradient,Rabbit,Boba,1.5273704789833826
200,vogu #200,,10,Neptune,Kouwei,Runtime Meter,Core,Recon,Emoji,Offender,,Monk,Green Gradient,Core,,1.5273704789833826
201,vogu #201,,10,Cotton Candy,Patrician,Core,APS,VRT,Industrial Sensor,Inhaler,,Puff Jacket,Orange Gradient,Core,,1.5273704789833826
2012,vogu #2012,,9,Neptune,Patrician,Core,,VRT,Emoji,Kouwei,Formula-V,Core,Green Gradient,,,1.5273704789833826
2019,vogu #2019,,10,Pulsar White,Core,Runtime Meter,Core,EMO-LED,,Centurion,,Wind Breaker,Orange Gradient,Infrared,Coffee,1.5273704789833826
2020,vogu #2020,,8,Navy,Patrician,Core,,Ongo,Centurion,Inhaler,,Core,Black Graphic,,,1.5273704789833826
2024,vogu #2024,,10,Titan,Extended Range,Core,APS,Core,Ongo,Sticker,,Kouwei,Blue Gradient,,Gadget,1.5273704789833826
2025,vogu #2025,,8,Cotton Candy,Core,Core,,Centurion,Industrial Sensor,Kouwei,,Monk,Grey Gradient,,,1.5273704789833826
2034,vogu #2034,,10,Echelon Grey,Kouwei,Ongo,Core,Centurion,Industrial Sensor,Inhaler,,Tactical,Grey Day,Core,,1.5273704789833826
