TOKEN_ID,TOKEN_NAME,1/1,Skin,Background,Cloth,Mouth,Eyes,Hats
94,Chubby Kaiju #94-94,None,Power Black,Common,Football,Meh,Dizzy,Vacation
95,Chubby Kaiju #95-95,None,Music Red,Uncommon,Construction Vest,Confuse,Suspicious,Chef
96,Chubby Kaiju #96-96,None,Money Teal,Uncommon,Formal Suit,Tongue,Purple Eye,Kids
97,Chubby Kaiju #97-97,None,Money RainBow,Common,K,Meh,Lazy,Vacation
98,Chubby Kaiju #98-98,None,Money Orange,Epic,Morie,Bubblegum,Flame,Roman Helmet
99,Chubby Kaiju #99-99,None,Music Gold,Common,Shirt Tie,Confident,Curious,Unicorn
100,Chubby Kaiju #100-100,None,Music Gold,SOS,Dragon,SOS Covid Mask,Dragonball,Astronaut
101,Chubby Kaiju #101-101,None,Music Gold,Rare,Super Soldier,SmokingPipe,AlmostCry,Cowboy
102,Chubby Kaiju #102-102,None,Money RainBow,Common,Shirt,Joke,Lazy,Clown Hair
103,Chubby Kaiju #103-103,None,Money Teal,Common,Football,Normal,Guilty,Farmer
104,Chubby Kaiju #104-104,None,Power Wolf,Uncommon,Bathroom,Teeth,SuperLazy,HighTop
105,Chubby Kaiju #105-105,None,Music Green,Common,Arab,Normal,Angry,Unicorn
106,Chubby Kaiju #106-106,None,Music Gold,Common,Shirt,Meh,Lazy,Yarmulke
107,Chubby Kaiju #107-107,None,Music Red,Common,Nerdy,Normal,Friendly,Red Cap
108,Chubby Kaiju #108-108,None,Music Green,Common,Shirt Tie,Angry,Lazy,Vacation
109,Chubby Kaiju #109-109,None,Power Black,Uncommon,Formal Suit,Throw Up,Purple Eye,Leprechaun
110,Chubby Kaiju #110-110,None,Music Red,Epic,Fish,Bird,Flame,Roman Helmet
111,Chubby Kaiju #111-111,None,Music Green,Uncommon,SOS Sweater,Throw Up,SuperLazy,IceCream
112,Chubby Kaiju #112-112,None,Power Yellow,Rare,Seal Suit,Clown,Terrifying,Kong Hat
113,Chubby Kaiju #113-113,None,Power Black,Epic,Greece,Bubblegum,Derp,Pirate
114,Chubby Kaiju #114-114,None,Money RainBow,Rare,Seal Suit,Greedy,Sunglasses,Greek
115,Chubby Kaiju #115-115,None,Power Black,Common,Nerdy,Angry,Angry,Beanie
116,Chubby Kaiju #116-116,None,Music Red,SOS,Tentacles,SOS Covid Mask,SOS Gold Glasses,SOS Siren
117,Chubby Kaiju #117-117,None,Power Black,Common,TankTop,Confident,Lazy,Birthday
118,Chubby Kaiju #118-118,None,Power Yellow,Rare,Hoodie,Greedy,Sunglasses,Graduation
119,Chubby Kaiju #119-119,None,Power Black,Common,Shirt,Angry,Curious,Beanie
120,Chubby Kaiju #120-120,None,Music Gold,Common,Arab,Joke,Curious,Birthday
121,Chubby Kaiju #121-121,None,Money RainBow,SOS,Tentacles,Fish,Rainbow Glasses,SOS Siren
122,Chubby Kaiju #122-122,None,Music Gold,Epic,Racer,Bird,Cyclopes,Bunny Ears
123,Chubby Kaiju #123-123,None,Power Yellow,Epic,Soldier,Bird,Flame,Crocket Hat
124,Chubby Kaiju #124-124,None,Money Orange,Epic,Greece,Bubblegum,Beauty,Bunny Ears
125,Chubby Kaiju #125-125,None,Money Teal,Common,Sweater,Meh,Dizzy,Beanie
126,Chubby Kaiju #126-126,None,Power Yellow,Epic,Morie,Beard God,Cyclopes,Circuit Board
127,Chubby Kaiju #127-127,None,Power Black,Uncommon,Chinese,Throw Up,SuperLazy,IceCream
128,Chubby Kaiju #128-128,None,Money Teal,Common,Shirt Tie,Confident,Dizzy,Clown Hair
129,Chubby Kaiju #129-129,None,Power Black,Uncommon,Casual,Tongue,SuperLazy,Round Hat
130,Chubby Kaiju #130-130,None,Money Orange,Common,Nerdy,Sad,Lazy,Birthday
131,Chubby Kaiju #131-131,None,Power Black,Common,Football,Normal,Guilty,Halo
132,Chubby Kaiju #132-132,None,Music Green,Rare,Seal Suit,Rainbow,Bandit,Greek
133,Chubby Kaiju #133-133,None,Money Orange,Rare,Tuxedo,SmokingPipe,AlmostCry,Cowboy
134,Chubby Kaiju #6134-134,Chubby Mercury,Power Yellow,None,None,None,None,None
135,Chubby Kaiju #135-135,None,Power Black,Epic,Morie Gang,Flame,Puke,Bunny Ears
136,Chubby Kaiju #136-136,None,Money Orange,Uncommon,Chinese,Upset,Purple Eye,Military
137,Chubby Kaiju #137-137,None,Money Orange,Uncommon,SOS Sweater,Teeth,SuperLazy,HighTop
138,Chubby Kaiju #138-138,None,Power Black,Rare,Bubble Bomber,SmokingPipe,AlmostCry,Graduation
139,Chubby Kaiju #139-139,None,Power Yellow,Rare,Hoodie,SmokingPipe,AlmostCry,Arrow
140,Chubby Kaiju #140-140,None,Music Red,Uncommon,Graduation,Upset,Sad,Round Hat
141,Chubby Kaiju #141-141,None,Money Teal,Common,K,Angry,Lazy,Farmer
142,Chubby Kaiju #142-142,None,Power Yellow,Common,Arab,Joke,Friendly,Clown Hair
143,Chubby Kaiju #143,None,Money Teal,SOS,Dracula,Fish,Future Cyclopes,Electricity
144,Chubby Kaiju #144-144,None,Power Black,Rare,Bubble Bomber,Clown,Sunglasses,Safety Helmet
145,Chubby Kaiju #145-145,None,Money Orange,Common,Arab,Confident,Angry,Red Cap
146,Chubby Kaiju #146-146,None,Money Orange,Rare,Super Soldier,SmokingPipe,AlmostCry,Wizard Hat
147,Chubby Kaiju #147-147,None,Power Yellow,Rare,Purple Lover,Gangster,Bandit,Kong Hat
148,Chubby Kaiju #148-148,None,Power Black,Common,TankTop,Confident,Angry,Red Cap
149,Chubby Kaiju #149-149,None,Music Green,Rare,Super Soldier,Clown,Terrifying,Graduation
150,Chubby Kaiju #150-150,None,Music Red,Epic,Racer,Flame,Beauty,Bunny Ears
151,Chubby Kaiju #151-151,None,Power Yellow,SOS,Burger,Robot,Rainbow Glasses,Electricity
152,Chubby Kaiju #152-152,None,Money Orange,Uncommon,Graduation,Tongue,Suspicious,IceCream
153,Chubby Kaiju #153-153,None,Money Teal,Rare,YO,Rainbow,AlmostCry,Greek
154,Chubby Kaiju #154-154,None,Power Black,Uncommon,SOS Gold Sweater,Confuse,Tears,IceCream
155,Chubby Kaiju #155-155,None,Money Orange,Uncommon,Casual,Upset,Suspicious,Chef
156,Chubby Kaiju #156-156,None,Power Black,Common,Arab,Joke,Guilty,Yarmulke
157,Chubby Kaiju #157-157,None,Money Orange,Common,Arab,Meh,Curious,Farmer
158,Chubby Kaiju #158-158,None,Power Wolf,Rare,Hoodie,Rainbow,Sunglasses,Graduation
159,Chubby Kaiju #159-159,None,Music Green,Common,Arab,Joke,Angry,Unicorn
160,Chubby Kaiju #160-160,None,Music Red,Uncommon,SOS Gold Sweater,Teeth,Puke,Kids
161,Chubby Kaiju #161-161,None,Music Red,Common,Shirt,Angry,Guilty,Womans Turban
162,Chubby Kaiju #162-162,None,Music Green,Uncommon,SOS Sweater,Confuse,Tears,Chef
163,Chubby Kaiju #163-163,None,Money Teal,Rare,Clown,Clown,Sunglasses,Kong Hat
164,Chubby Kaiju #164-164,None,Money Orange,Common,Polo,Sad,Curious,Red Cap
165,Chubby Kaiju #165-165,None,Money Teal,Rare,Sheriff,Gangster,Derp,Arrow
166,Chubby Kaiju #166-166,None,Power Black,Common,Nerdy,Sad,Friendly,Vacation
167,Chubby Kaiju #167,None,Money Orange,SOS,T-rex,Fish,Dragonball,Electricity
168,Chubby Kaiju #168-168,None,Music Red,Common,Tshirt,Joke,Lazy,Halo
169,Chubby Kaiju #169-169,None,Music Green,Uncommon,Formal Suit,Confuse,SuperLazy,Bowhat
170,Chubby Kaiju #170-170,None,Money Orange,Uncommon,Chinese,Upset,Tears,Beret Hat
171,Chubby Kaiju #171-171,None,Money Orange,Rare,Purple Lover,SmokingPipe,Bandit,Artist
172,Chubby Kaiju #172-172,None,Money Teal,Uncommon,Chinese,Confuse,SuperLazy,HighTop
173,Chubby Kaiju #173-173,None,Money RainBow,Common,Sweater,Joke,Lazy,Farmer
174,Chubby Kaiju #174-174,None,Power Yellow,Common,Tshirt,Sad,Friendly,Bath
175,Chubby Kaiju #175-175,None,Power Wolf,Rare,Winter,Rainbow,Pirate,Safety Helmet
176,Chubby Kaiju #176-176,None,Power Wolf,Common,Sweater,Confident,Curious,Womans Turban
177,Chubby Kaiju #177-177,None,Power Black,Uncommon,SOS Sweater,Teeth,Tears,Bowhat
178,Chubby Kaiju #178-178,None,Music Red,Common,Arab,Confident,Friendly,Birthday
179,Chubby Kaiju #179-179,None,Power Yellow,Common,Polo,Angry,Curious,Womans Turban
180,Chubby Kaiju #180-180,None,Money Orange,Common,Shirt Tie,Normal,Curious,Red Cap
181,Chubby Kaiju #181-181,None,Power Yellow,Uncommon,Graduation,Tongue,Sad,Baseball Cap
182,Chubby Kaiju #182-182,None,Music Red,Common,TankTop,Angry,Lazy,Clown Hair
183,Chubby Kaiju #183-183,None,Money Teal,Uncommon,Graduation,Confuse,Purple Eye,Bowhat
184,Chubby Kaiju #184-184,None,Music Green,Common,TankTop,Joke,Friendly,Beanie
185,Chubby Kaiju #185-185,None,Music Green,Common,Football,Meh,Guilty,Bath
186,Chubby Kaiju #186-186,None,Money RainBow,Rare,Clown,SmokingPipe,AlmostCry,Detective
187,Chubby Kaiju #187-187,None,Power Yellow,Common,Shirt,Confident,Curious,Womans Turban
188,Chubby Kaiju #188-188,None,Power Black,Rare,Hoodie,SmokingPipe,Sunglasses,Artist
189,Chubby Kaiju #189-189,None,Power Black,Rare,Super Soldier,Rainbow,Pirate,Chonmage
190,Chubby Kaiju #190-190,None,Music Red,Uncommon,Construction Vest,Tongue,Sad,Kids
191,Chubby Kaiju #191-191,None,Music Red,Uncommon,Construction Vest,Tongue,Tears,Leprechaun
192,Chubby Kaiju #192-192,None,Money Orange,Uncommon,Formal Suit,Upset,SuperLazy,IceCream
193,Chubby Kaiju #193,None,Music Gold,Epic,Frog Suit,Flame,Flame,Hatch
194,Chubby Kaiju #194-194,None,Money Teal,Rare,YO,Greedy,Terrifying,Arrow
195,Chubby Kaiju #195-195,None,Power Yellow,Common,Nerdy,Joke,Lazy,Clown Hair
196,Chubby Kaiju #196-196,None,Music Gold,Uncommon,Chinese,Teeth,Puke,Bowhat
197,Chubby Kaiju #197-197,None,Power Black,Common,Shirt,Sad,Dizzy,Halo
198,Chubby Kaiju #198-198,None,Music Green,Common,TankTop,Angry,Friendly,Yarmulke
199,Chubby Kaiju #199-199,None,Power Wolf,Common,Sweater,Normal,Angry,Unicorn
200,Chubby Kaiju #200-200,None,Music Red,Common,Sweater,Normal,Curious,Womans Turban
201,Chubby Kaiju #201-201,None,Power Black,Uncommon,SOS Sweater,Confuse,Suspicious,IceCream
202,Chubby Kaiju #202-202,None,Money Orange,Common,Shirt Tie,Joke,Angry,Vacation
203,Chubby Kaiju #203-203,None,Money Teal,SOS,Ninja,SOS Gold Covid Mask,SOS Gold Glasses,Pirate
204,Chubby Kaiju #204-204,None,Money Teal,Uncommon,Formal Suit,Tongue,Suspicious,Bowhat
205,Chubby Kaiju #205-205,None,Music Red,Uncommon,Chinese,Teeth,Puke,Round Hat
206,Chubby Kaiju #206-206,None,Money Teal,Uncommon,Construction Vest,Teeth,Purple Eye,Kids
207,Chubby Kaiju #207-207,None,Money Orange,Uncommon,Formal Suit,Upset,Sad,Leprechaun
208,Chubby Kaiju #208-208,None,Power Black,Uncommon,SOS Sweater,Tongue,Purple Eye,Round Hat
209,Chubby Kaiju #209-209,None,Money Teal,Uncommon,Bathroom,Teeth,Purple Eye,Baseball Cap
210,Chubby Kaiju #210-210,None,Power Black,Rare,Super Soldier,Gangster,Sunglasses,Safety Helmet
211,Chubby Kaiju #211-211,None,Money Orange,Rare,Purple Lover,SmokingPipe,Sunglasses,Villager
212,Chubby Kaiju #212-212,None,Power Black,Common,Tshirt,Sad,Guilty,Womans Turban
213,Chubby Kaiju #213-213,None,Power Black,Common,TankTop,Confident,Angry,Bath
214,Chubby Kaiju #214-214,None,Music Red,Rare,YO,SmokingPipe,Bandit,Cowboy
215,Chubby Kaiju #215,None,Power Wolf,SOS,Burger,SOS Gold Covid Mask,SOS Glasses,Electricity
216,Chubby Kaiju #216-216,None,Power Yellow,Common,Shirt,Confident,Guilty,Farmer
217,Chubby Kaiju #217-217,None,Music Red,Rare,Bearish,Greedy,AlmostCry,Graduation
218,Chubby Kaiju #218-218,None,Money Orange,Rare,Bubble Bomber,Greedy,Derp,Safety Helmet
219,Chubby Kaiju #219-219,None,Music Green,Rare,Clown,Greedy,Pirate,Octopus
220,Chubby Kaiju #220-220,None,Money Teal,Uncommon,Casual,Upset,SuperLazy,Leprechaun
221,Chubby Kaiju #221,None,Power Yellow,Epic,Fish,Flame,Beauty,Pirate
222,Chubby Kaiju #222,None,Music Red,SOS,Ninja,Fish,SOS Glasses,Electricity
223,Chubby Kaiju #223-223,None,Money Teal,Uncommon,Construction Vest,Throw Up,SuperLazy,Baseball Cap
224,Chubby Kaiju #224-224,None,Music Red,Epic,Racer,Bird,Beauty,Crocket Hat
225,Chubby Kaiju #225-225,None,Music Green,Common,Arab,Sad,Guilty,Beanie
226,Chubby Kaiju #226-226,None,Music Red,Uncommon,Chinese,Confuse,Sad,Military
227,Chubby Kaiju #227-227,None,Music Red,Rare,Seal Suit,SmokingPipe,Sunglasses,Octopus
228,Chubby Kaiju #228-228,None,Power Black,Common,TankTop,Confident,Angry,Yarmulke
229,Chubby Kaiju #229-229,None,Power Black,SOS,Morie Lord,Robot,SOS Gold Glasses,Brain Glass
230,Chubby Kaiju #230-230,None,Money RainBow,Rare,Tuxedo,Clown,Terrifying,Arrow
231,Chubby Kaiju #231-231,None,Money Orange,SOS,Dragon,Fish,SOS Glasses,Cool Crown
232,Chubby Kaiju #232-232,None,Money RainBow,Common,K,Joke,Lazy,Red Cap
233,Chubby Kaiju #233-233,None,Money Orange,Common,Football,Angry,Curious,Farmer
234,Chubby Kaiju #234-234,None,Music Red,Common,Shirt Tie,Sad,Lazy,Red Cap
235,Chubby Kaiju #235-235,None,Money Teal,Common,TankTop,Meh,Friendly,Birthday
236,Chubby Kaiju #236-236,None,Money Orange,Epic,Soldier,Bubblegum,Flame,Hatch
237,Chubby Kaiju #237-237,None,Money Orange,Uncommon,SOS Sweater,Tongue,Puke,HighTop
238,Chubby Kaiju #238-238,None,Power Yellow,Uncommon,Formal Suit,Confuse,Suspicious,Round Hat
239,Chubby Kaiju #239-239,None,Money Orange,Uncommon,Chinese,Throw Up,SuperLazy,Kids
240,Chubby Kaiju #240-240,None,Music Green,Common,Nerdy,Sad,Friendly,Unicorn
241,Chubby Kaiju #241-241,None,Power Black,Rare,Seal Suit,Greedy,Sunglasses,Arrow
242,Chubby Kaiju #242-242,None,Power Yellow,Common,Football,Normal,Guilty,Farmer
243,Chubby Kaiju #243-243,None,Money Orange,Uncommon,SOS Sweater,Throw Up,Puke,Kids
244,Chubby Kaiju #244-244,None,Power Wolf,Common,Nerdy,Joke,Angry,Beanie
245,Chubby Kaiju #245-245,None,Money Teal,Rare,Tuxedo,Rainbow,Terrifying,Arrow
246,Chubby Kaiju #246-246,None,Power Yellow,Uncommon,SOS Gold Sweater,Teeth,Sad,Bowhat
247,Chubby Kaiju #247-247,None,Money RainBow,SOS,Armor,SOS Gold Covid Mask,SOS Gold Glasses,Brain Glass
248,Chubby Kaiju #248-248,None,Music Gold,Common,Tshirt,Sad,Guilty,Yarmulke
249,Chubby Kaiju #249-249,None,Music Green,Uncommon,Bathroom,Upset,Puke,Leprechaun
250,Chubby Kaiju #250-250,None,Money Orange,Common,Polo,Normal,Angry,Yarmulke
251,Chubby Kaiju #251-251,None,Music Gold,Common,Arab,Joke,Friendly,Bath
252,Chubby Kaiju #252-252,None,Music Red,Uncommon,Formal Suit,Teeth,Tears,Kids
253,Chubby Kaiju #253-253,None,Music Gold,Rare,Bubble Bomber,SmokingPipe,Derp,Kong Hat
254,Chubby Kaiju #254-254,None,Music Red,Common,K,Normal,Guilty,Birthday
255,Chubby Kaiju #255-255,None,Power Black,Epic,Greece,Bird,Beauty,Circuit Board
256,Chubby Kaiju #256-256,None,Money Orange,Common,Polo,Confident,Lazy,Yarmulke
257,Chubby Kaiju #257-257,None,Music Red,Rare,Fancy,Gangster,Derp,Octopus
258,Chubby Kaiju #258-258,None,Power Yellow,SOS,Armor,Fish,SOS Gold Glasses,Astronaut
259,Chubby Kaiju #259-259,None,Power Black,Common,K,Normal,Curious,Vacation
260,Chubby Kaiju #260-260,None,Money Teal,Uncommon,Bathroom,Throw Up,Purple Eye,Military
261,Chubby Kaiju #261-261,None,Money Orange,Rare,Super Soldier,Gangster,Derp,Graduation
262,Chubby Kaiju #262-262,None,Music Green,Uncommon,Graduation,Confuse,Purple Eye,HighTop
263,Chubby Kaiju #263-263,None,Power Black,Epic,Soldier,Beard God,Derp,Poor Crown
264,Chubby Kaiju #264-264,None,Money RainBow,Rare,Tuxedo,Greedy,Pirate,Chonmage
265,Chubby Kaiju #265-265,None,Music Green,Common,Polo,Meh,Guilty,Farmer
266,Chubby Kaiju #266-266,None,Power Black,Common,Sweater,Sad,Friendly,Clown Hair
267,Chubby Kaiju #267-267,None,Music Green,Uncommon,Construction Vest,Tongue,Puke,Round Hat
268,Chubby Kaiju #268-268,None,Power Wolf,Rare,Clown,Clown,AlmostCry,Greek
269,Chubby Kaiju #269-269,None,Music Gold,Uncommon,Graduation,Confuse,Puke,Round Hat
270,Chubby Kaiju #270-270,None,Music Gold,Rare,Super Soldier,Gangster,Terrifying,Artist
271,Chubby Kaiju #271-271,None,Power Black,Common,K,Joke,Friendly,Farmer
272,Chubby Kaiju #272-272,None,Music Green,Rare,YO,SmokingPipe,Derp,Greek
273,Chubby Kaiju #273-273,None,Money RainBow,Common,K,Joke,Guilty,Womans Turban
274,Chubby Kaiju #274-274,None,Power Black,Rare,Clown,SmokingPipe,Derp,Greek
275,Chubby Kaiju #275-275,None,Music Green,Uncommon,Casual,Teeth,Puke,IceCream
276,Chubby Kaiju #276-276,None,Power Yellow,Common,Sweater,Sad,Dizzy,Halo
277,Chubby Kaiju #277-277,None,Money RainBow,Common,TankTop,Meh,Angry,Clown Hair
278,Chubby Kaiju #278-278,None,Music Gold,Rare,Fancy,Clown,Terrifying,Cowboy
279,Chubby Kaiju #279-279,None,Music Red,Rare,Fancy,Gangster,Pirate,Detective
280,Chubby Kaiju #280-280,None,Money Teal,Common,Sweater,Confident,Guilty,Unicorn
