TOKEN_ID,TOKEN_NAME,Sex,Fur,Eyes,Eyewear,Top,Neck,Head,Mouth,Nose,Ears,Expression,Background,Music,Dance
12,,Male,Zebra,Reptile (White),,,Peace Necklace,Birthday Hat,Lollipop,Bull Ring,Steel Studs,Mouth Open (Left),Swamp,Electric Carrots,Subtle Nod
13,,Male,Cow,Green,Fake Eyelashes,,Bowtie (Red),,Party Horn,Gold Ring,,Mouth Open (Left),Beach,Disco Rabbit,Subtle Nod
14,,Male,Zombie (Red),Zombie,,,VIP lanyard,Beanie,Cigarette,,FLUF Tag,Mouth Open (Right),FLUF Haus Miami 2021,FLUF Ocean,Bob
15,,Male,Barney,Green,Sunglasses,FLUF Jacket,Bowtie (Red),Cowboy Hat,Pipe,,Steel Rings & Studs,Mouth Open (Right),Garden,Hop With Me,Side To Side
16,,Male,Darkness,Cat (Blue),,High Vis Vest,,,Lip Piercings,,Santa Hat,Smile,Gallery,Beyond the Gates,Side Nod
17,FOMO,Female,Black & White,Red,Shutter Glasses,Yellow Rabbit Singlet,,,,,FLUF Tag,Blank,Forest,Eating Carrots in the Dark,Groove
18,Jeff Bezos,Male,Peppermint,Yellow,,Camo Jacket,Bowtie (Gold),Bandana,Party Horn,Bone,Steel Rings,Mouth Open (Left) + Wink,Garden,Disco Rabbit,Subtle Nod
19,,Male,Sky,Thirties,,Boob Tube,,Army Helmet,,Steel Stud,Gold Rings,Wonder,Beach,Back in the Burrow,Subtle Nod
20,Ethereum,Female,Darkness,Thirties,,,Headphones,Flower Crown,,Bull Ring,Gold Studs,Blank,Mansion,Electric Carrots,Bob
21,🚨 Identity Thief Detected 🚨,Male,Candy Floss,Blue,,Flannel Jacket,Bone Necklace,Flower Crown,Cigarette,Bull Ring,,Mouth Open (Right),Beach,Ear Wobbler,Side Nod
22,,Male,Sky,Cat (Blue),,Flannel Jacket,VIP lanyard,Pirate Hat,Carrot,Steel Stud,Steel Rings & Studs,Mouth Open (Right),Forest,Follow You,Subtle Nod
23,,Male,Marshmellow,Cat (Brown),,High Vis Vest,Bowtie (Red),Conical Hat,,,,Grin + Wink,Markets,Hop With Me,Subtle Nod
24,,Male,Cow,Green,Sunglasses,Leather Vest,Bone Necklace,Afro (Base),,Steel Stud,Gold Studs,Smile + Wink,Swamp,Ear Wobbler,Big Nod
25,,Female,Peppermint,Purple,,High Vis Vest,,,,Steel Ring,Steel Studs,Blank,Garden,Dubhop,Side Nod
26,,Female,Candy Floss,Cat (Brown),,Voxel Rabbit Singlet,Glowstick Necklace,Mullet (Base),Lollipop,Gold Ring,Steel Rings,Anger,Tiki,Hop With Me,Groove
27,,Male,Darkness,Demon,Round Glasses,,Bone Necklace,Cowboy Hat,Carrot,Gold Stud,,Mouth Open (Right),Spaceship,Space Fluffle,Groove
28,,Female,Pheonix,Dollars,,,Collar (Black),Mohawk (Base),,,FLUF Tag,Smile + Wink,Heaven,Follow You,Bob
29,,Male,Tie Dye,Purple,,,Bowtie (Gold),,Joint,Diamond Stud,Steel Rings & Studs,Mouth Open (Right),Dunes,Follow You,Side Nod
30,,Male,Honeycomb,Thirties,,Voxel Rabbit Singlet,,Afro (Base),Pipe,,FLUF Tag,Mouth Open (Right),Tiki,Desert Digging,Side To Side
31,,Male,Peppermint,Blue,,Gold Jacket,Peace Necklace,,Lollipop,Diamond Stud,Gold Rings & Studs,Mouth Open (Left),Backalley,Desert Digging,Groove
32,Bootsy Collins,Male,Black & White,Glowing Red,Star Glasses,Camo Jacket,Bowtie (Gold),,Lip Piercings,Steel Ring,Gold Rings,Smile,The Front,Desert Digging,Big Nod
33,,Female,Barney,Heart (Red),,Tie Dye Singlet,Bowtie (Gold),Tuft (Black),Lollipop,,,Mouth Open (Left) + Wink,Dancing in the Shroomlight,Stardust,Side Nod
34,,Male,Marshmellow,Brown,Aviators,Pink Jacket,Dog Tags,Mohawk (Base),Joint,Steel Stud,Steel Rings,Mouth Open (Right),Garden,Coffee and Carrots,Side To Side
35,Dealer,Male,Blue Blood,Brown,Deal With It Glasses,,Collar (Black),Beanie,,Diamond Stud,,Grin,Garden,I Like to Party,Side To Side
36,,Male,Guernica,Green (Dilated),Designer Glasses,White Singlet,Bowtie (Red),Tuft (Black),,Bone,FLUF Tag,Blank,Gallery,Hop With Me,Side Nod
37,,Male,Camo,Scribble,,Flannel Jacket,,Tuft (Base),Joint,Gold Stud,,Mouth Open (Right),Markets,Reggae Rabbits,Groove
38,,Male,Orange,Red (Dilated),,,Collar (Black),Afro (Base),Lip Piercings,,Steel Studs,Smile,Dunes,Hop On By,Round
39,Peeps Bunny,Female,Black & White,Yellow,,,Collar (Black),,,Steel Stud,,Blank + Wink,Lambo,Hop With Me,Bob
40,,Female,Brown,Reptile (Cream),,Puffer Jacket,FLUF Logo Chain,,Party Horn,Bull Ring,Gold Rings & Studs,Mouth Open (Left),Backalley,Desert Digging,Bob
41,,Male,Orange,Thirties,,Puffer Jacket,,Halo,,Bull Ring,Gold Rings,Smile,Spaceship,Hop On By,Round
42,,Female,Avatar,Hypnotic,,,Headphones,,Cigarette,,Steel Studs,Mouth Open (Right),Backalley,Ear Wobbler,Groove
43,,Male,Hawk,Brown,,Tie Dye Singlet,Glowstick Necklace,Cowboy Hat,Lollipop,,Steel Studs,Mouth Open (Left),Dunes,Ear Wobbler,Side Nod
44,,Male,Darkness,Dead,Designer Glasses,Boob Tube,Bowtie (Red),Propeller Hat,,Bone,,Sad,Spaceship,Space Fluffle,Subtle Nod
45,Mister VIP,Male,Cow,Green,Deal With It Glasses,,VIP lanyard,Sombrero,,Bone,Steel Studs,Blank,Heaven,Follow You,Big Nod
46,,Male,Winter,Blue,Neon Glasses,Black FLUF Singlet,Glowstick Necklace,,,Gold Stud,Diamond Studs,Blank,Heaven,Electric Carrots,Groove
47,,Male,Winter,Yellow,,FLUF Jacket,Bowtie (Red),,Whistle,,FLUF Tag,Mouth Open (Middle),Lambo,Rabbiton,Bob
48,,Male,Ice Cream,Reptile (White),,,Bowtie (Red),Propeller Hat,,Diamond Stud,,Blank,Dunes,I Like to Party,Groove
49,,Male,Pheonix,Yellow,,Sign My Carrot Singlet,Bowtie (Gold),,,,,Blank,Swamp,Space Fluffle,Bob
50,,Female,Tie Dye,Heart (Red),Star Glasses,Flannel Jacket,,Bandana,,Gold Ring,Diamond Studs,Blank,Garden,Hop On By,Round
51,,Male,Black & White,Green,,Red Balloon Singlet,Collar (Black),Pirate Hat,,Steel Ring,,Sad,Backalley,What the FLUF,Side To Side
52,Wen Moon,Male,Retro,Thirties,,Yellow Rabbit Singlet,Bowtie (Black),Bandana,Party Horn,Steel Stud,Steel Rings & Studs,Mouth Open (Left) + Wink,Gallery,Back in the Burrow,Groove
53,,Male,Moody Blue,Cat (Blue),,Red Balloon Singlet,,Pirate Hat,Party Horn,Bull Ring,Steel Rings,Mouth Open (Left),Heaven,Rabbiton,Big Nod
54,,Female,Orange,Blue,Bug Eye Glasses,Gold Jacket,Bowtie (Red),Afro (Base),Pacifier,Steel Ring,Bit Ear,Mouth Open (Middle),Tiki,Floating or Flying,Round
55,,Female,Brown,Brown,,Digital Camo Singlet,Glowstick Necklace,Beanie,Medical Mask,,,Blank,Gallery,Back in the Burrow,Big Nod
56,,Male,Camo,Brown,,,Bowtie (Red),,,Steel Stud,,Smile + Wink,Lambo,FLUF You Up,Groove
57,,Female,Tie Dye,Cat (Blue),Star Glasses,Black FLUF Singlet,Bowtie (Gold),,,,,Smile + Wink,Gallery,Eating Carrots in the Dark,Bob
58,,Female,Honeycomb,Green,,Black FLUF Singlet,Glowstick Necklace,Cowboy Hat,,Bull Ring,Steel Studs,Smile + Wink,Forest,Back in the Burrow,Side To Side
59,,Female,Brown,Brown,Fake Eyelashes,,Collar (Pink),,Cigar,,Steel Rings,Mouth Open (Right),Markets,Space Fluffle,Groove
60,Dark heart them they,Male,Darkness,Heart (Red),,,FLUF Logo Chain,,Carrot,,Gold Studs,Mouth Open (Right),Heaven,Desert Digging,Side Nod
61,,Male,Smoothie,Blue,Aviators,FLUF Jacket,Peace Necklace,Afro (Base),Joint,Clown Nose,,Mouth Open (Right),Forest,Rabbiton,Side To Side
62,,Male,Brown,Cat (Brown),Fake Eyelashes,Tie Dye Singlet,,,,Steel Ring,,Blank,Dunes,Beyond the Gates,Big Nod
63,,Female,Winter,Blue,Round Glasses,White Singlet,Bowtie (Red),Mohawk (Base),Lip Piercings,,Steel Rings,Smile + Wink,Garden,Ear Wobbler,Subtle Nod
64,,Male,Barney,Purple,Designer Glasses,,,,,Steel Stud,Steel Rings,Blank,Dancing in the Shroomlight,Latin Fiesta,Groove
65,,Male,Sandy,Brown,Eye Patch,Digital Camo Singlet,,Beanie,Cigar,,,Mouth Open (Right),Tiki,Reggae Rabbits,Bob
66,,Male,Camo,Scribble,,White Singlet,FLUF Logo Chain,,Joint,Diamond Stud,Gold Studs,Mouth Open (Right),Garden,Dubhop,Subtle Nod
67,,Male,Sandy,Green (Dilated),Shutter Glasses,Yellow Rabbit Singlet,Peace Necklace,Mullet (Base),Cigarette,Steel Ring,Bandaged,Mouth Open (Right) + Wink,Backalley,Coffee and Carrots,Big Nod
68,,Female,Retro,Blue,,,Bowtie (Red),,Joint,,Diamond Studs,Mouth Open (Right),Mystic Valley,Coffee and Carrots,Bob
69,Lucy Fer 69,Female,Red,Green (Dilated),,Sign My Carrot Singlet,Bowtie (Black),Devil Horns,Carrot,Gold Stud,Red Ribbon,Mouth Open (Right),Lambo,Ear Wobbler,Big Nod
70,,Female,Grey,Green,Bug Eye Glasses,Voxel Rabbit Singlet,,Bandana,Lipstick,,,Sad,Markets,I Like to Party,Bob
71,Mary,Female,Darkness,Purple Rings,,,Collar (Pink),,Carrot,,,Mouth Open (Right),Spaceship,Ear Wobbler,Round
72,,Male,Brown,Brown,,,Clock Necklace,Afro (Black),Carrot,Clown Nose,Steel Rings & Studs,Mouth Open (Right),Beach,Run Rabbit,Subtle Nod
73,Fluf Diver,Male,Highlighter,Cat (Brown),Dive Goggles,Boob Tube,Dog Tags,,Carrot,Bull Ring,,Mouth Open (Right),Forest,Dubhop,Subtle Nod
74,,Female,Winter,Heart (Blue),,,FLUF Logo Chain,Tuft (Base),Cigarette,Clown Nose,Gold Rings,Mouth Open (Right) + Wink,Spaceship,Space Fluffle,Subtle Nod
75,,Female,Orange,Green (Dilated),Fake Eyelashes,,Collar (Pink),Mullet (Orange),Lollipop,,Gold Rings,Mouth Open (Left),Heaven,Follow You,Side To Side
76,,Male,Brown,Blue,Sunglasses,FLUF Jacket,Clock Necklace,Pirate Hat,,,Gold Studs,Smile + Wink,Gallery,Floating or Flying,Side Nod
77,,Male,Black & White,Green,,Flannel Jacket,,FLUF Cap,Lollipop,Bull Ring,Steel Rings,Anger,Forest,Hop On By,Side To Side
78,,Male,Sky,Red (Dilated),,Pink Jacket,,FLUF Cap,Joint,Bull Ring,Gold Rings,Mouth Open (Right),Forest,Ear Wobbler,Bob
79,,Male,Ice Cream,Red,,,Lei,,Lip Piercings,,Gold Rings & Studs,Smile,Dancing in the Shroomlight,Stardust,Subtle Nod
80,,Female,Winter,Blue,,,Tie,Flower Crown,Joint,Bull Ring,,Mouth Open (Right),Lambo,FLUF You Up,Groove
81,,Female,Red,Heart (Red),,,Peace Necklace,Pirate Hat,,Bone,Bandaged,Sad,Gallery,Let It Go,Big Nod
82,,Male,Darkness,Inverted,,,VIP lanyard,Army Helmet,,Diamond Stud,,Grin,Mansion,Floating or Flying,Round
83,Mark Cuban,Male,Orange,Brown,Round Glasses,Sign My Carrot Singlet,VIP lanyard,Mohawk (Base),Carrot,Bull Ring,Bandaged,Mouth Open (Right),Heaven,FLUF You Up,Side Nod
84,,Male,Tiger,Green (Dilated),Cyberpunk Glasses,Boob Tube,,Devil Horns,Whistle,,,Mouth Open (Middle) + Wink,Star Explorer,Higher,Round
85,,Male,Grinch,Cat (Blue),,Voxel Rabbit Singlet,Dog Tags,,,Steel Ring,Red Ribbon,Blank,Garden,Back in the Burrow,Side To Side
86,,Male,Guernica,Brown,Sunglasses,Tie Dye Singlet,,Afro (Base),Joint,Gold Ring,Gold Rings,Mouth Open (Right),Mansion,Dubhop,Groove
87,,Female,Orange,Cat (Brown),,,Glowstick Necklace,Afro (Ginger),Lollipop,,Steel Studs,Anger,Markets,Dubhop,Groove
88,,Male,Brown,Blue,Aviators,,Dog Tags,,,Steel Ring,Gold Rings,Blank,Forest,Run Rabbit,Bob
89,,Male,Peppermint,Blue,Sunglasses,,Bowtie (Black),Devil Horns,Cigarette,Steel Stud,Gold Bows,Mouth Open (Right) + Wink,Heaven,Ear Wobbler,Subtle Nod
90,,Male,Guernica,Brown,,Sign My Carrot Singlet,Collar (Black),Holographic Cap,,Bone,Steel Rings & Studs,Smile,Markets,Back in the Burrow,Subtle Nod
91,,Male,Red,Brown,Sunglasses,,Clock Necklace,Army Helmet,Cigarette,Steel Ring,Steel Rings & Studs,Mouth Open (Right),Beach,Desert Digging,Round
92,,Female,Guernica,Blast,,,Bowtie (Black),FLUF Cap,Cigarette,,,Mouth Open (Right),Markets,I Like to Party,Side Nod
93,,Male,Kandinsky,Purple,Eye Patch,,Collar (Pink),Sun Visor,,Clown Nose,Steel Rings,Blank,Spaceship,Electric Carrots,Side To Side
94,,Male,Orange,Cat (Blue),,High Vis Vest,Tie,Sun Visor,,Bloody,Steel Studs,Smile + Wink,Forest,FLUF You Up,Big Nod
95,Charlie Sheen,Male,Sandy,Hypnotic,,Voxel Rabbit Singlet,Lei,Conical Hat,,Bull Ring,,Blank,Dunes,Desert Digging,Bob
96,BLACK FLUF QUEEN,Female,Darkness,Inverted,,,,Mullet (Black),Lipstick,Gold Ring,Diamond Studs,Sad,Forest,Coffee and Carrots,Big Nod
97,,Female,Orange,Blue,,Red Balloon Singlet,Bowtie (Gold),Mohawk (Black),Lollipop,,Red Ribbon,Mouth Open (Left),Spaceship,Rabbiton,Groove
98,,Female,Sandy,Green (Dilated),,Red Balloon Singlet,,Tennis Hat,,,Gold Bows,Sad,Markets,Space Fluffle,Round
99,,Male,Hawk,Fire,,,Bowtie (Red),Afro (Ginger),Carrot,Bone,Steel Rings & Studs,Mouth Open (Right),Backalley,What the FLUF,Round
100,,Male,Raspberry Ripple,Blue,Deal With It Glasses,Red Balloon Singlet,Bowtie (Gold),,Cigarette,Steel Stud,Bandaged,Mouth Open (Right),Swamp,Desert Digging,Side Nod
101,Nancie Vicious,Female,Black & White,Red,Fake Eyelashes,Red Balloon Singlet,FLUF Logo Chain,Mullet (Black),,Gold Ring,Steel Studs,Blank,Dunes,Rabbiton,Subtle Nod
102,Valentina Zanotti,Female,Raspberry Ripple,Reptile (White),,Leather Vest,Collar (Pink),,Mooncrust Pizza,Steel Stud,,Mouth Open (Middle),Heaven,Reggae Rabbits,Groove
103,,Male,Raspberry Ripple,Green (Dilated),,,FLUF Logo Chain,Tuft (Base),,,Bandaged,Smile,Spaceship,Hop On By,Subtle Nod
104,,Female,Grey,Xs,,Tie Dye Singlet,Gold Dollar Chain,Tuft (Base),Cigarette,Steel Stud,Red Ribbon,Mouth Open (Right) + Wink,Beach,Disco Rabbit,Side To Side
105,,Male,Winter,Green,,Pink Jacket,,Mohawk (Base),Pipe,Steel Ring,Gold Bows,Mouth Open (Right),Spaceship,Back in the Burrow,Side Nod
106,,Male,Black & White,Blue,Sunglasses,Red Balloon Singlet,Collar (Pink),Pirate Hat,Whistle,Steel Ring,,Mouth Open (Middle),Mansion,I Like to Party,Bob
107,,Female,Cow,Green (Dilated),Dive Goggles,Red Balloon Singlet,,Halo,,Steel Ring,FLUF Tag,Grin,Markets,Electric Carrots,Bob
108,,Female,Zombie (Black),Inverted,,,Collar (Black),Beer Hat,,Steel Stud,Steel Rings,Grin + Wink,Lambo,Rabbiton,Subtle Nod
109,,Female,Sky,Red (Dilated),,,,,Lip Piercings,Steel Stud,Gold Rings,Smile,Swamp,Space Fluffle,Side Nod
110,Bunny Ranch,Female,Winter,Brown,Neon Glasses,,,Afro (Black),Lip Piercings,Diamond Stud,,Smile,Garden,Rabbiton,Side To Side
111,,Female,Marshmellow,Blue,Speed Glasses,Dress,,,Lip Piercings,Bone,,Smile + Wink,Spaceship,Ear Wobbler,Groove
112,,Female,Guernica,Green,Heart Glasses,,Peace Necklace,,,,,Blank,Mansion,Ear Wobbler,Round
113,Jalen Green,Male,Marshmellow,Brown,Bug Eye Glasses,,FLUF Logo Chain,,Party Horn,,,Mouth Open (Left),Gallery,FLUF You Up,Side Nod
114,Pink,Female,Marshmellow,Green,Sunglasses,,Gold Chain,Mohawk (Red),Pacifier,,,Mouth Open (Middle),Beach,FLUF You Up,Subtle Nod
115,Wassily Kandinsky,Male,Kandinsky,Cat (Blue),,,,Tennis Hat,Lip Piercings,Steel Stud,Gold Rings,Smile,FLUF Haus Miami 2021,Desert Digging,Bob
116,,Female,Brown,Blue,Bug Eye Glasses,Voxel Rabbit Singlet,Collar (Black),Bandana,,Gold Stud,Steel Rings & Studs,Blank,Forest,Follow You,Subtle Nod
117,,Male,Grey,Green (Dilated),,Leather Vest,,Crown,Joint,Bull Ring,Steel Studs,Mouth Open (Right),Lambo,Messiah,Side Nod
118,,Female,Red,Blue,,,Headphones,Propeller Hat,Cigarette,Gold Ring,Diamond Studs,Mouth Open (Right),Lambo,Run Rabbit,Side To Side
119,Jim Flufsey,Male,Smoothie,Cat (Brown),,Voxel Rabbit Singlet,,Mohawk (Base),Joint,Gold Stud,Steel Studs,Mouth Open (Right) + Wink,Heaven,Reggae Rabbits,Big Nod
120,,Female,Zebra,Cat (Brown),,,,Flower Crown,Lollipop,Gold Ring,Steel Studs,Anger,Mansion,Back in the Burrow,Groove
121,,Male,Zombie (Black),Zombie,Shutter Glasses,,,Tuft (Base),Cigar,,Gold Rings & Studs,Mouth Open (Right) + Wink,Beach,Coffee and Carrots,Subtle Nod
122,,Male,Moody Blue,Green,Star Glasses,Gold Jacket,Bone Necklace,Birthday Hat,Pipe,Bone,Steel Rings & Studs,Mouth Open (Right),Markets,Electric Carrots,Side Nod
123,,Male,Sandy,Glowing White,,Red Balloon Singlet,,Bandana,,,,Blank,Dunes,Disco Rabbit,Bob
124,,Female,Sandy,Heart (Blue),,Dress,Collar (Black),Tennis Hat,Medical Mask,,Steel Rings,Blank,Beach,Coffee and Carrots,Subtle Nod
125,,Female,Ice Cream,Blue,Heart Glasses,Pink Jacket,,,Cigarette,Bone,,Mouth Open (Right),Dancing in the Shroomlight,Higher,Subtle Nod
126,,Male,Red,Heart (Red),Fake Eyelashes,Tie Dye Singlet,Bowtie (Gold),Mullet (Black),Lollipop,,,Mouth Open (Left),Swamp,Beyond the Gates,Big Nod
127,,Female,Honeycomb,Yellow,,Sign My Carrot Singlet,,Flower Crown,Lipstick,,,Blank,Mystic Valley,Beyond the Gates,Subtle Nod
128,,Female,Brown,Cat (Blue),Star Glasses,,Lei,Birthday Hat,Lollipop,,,Anger,Markets,Follow You,Subtle Nod
129,,Female,Peppermint,Red (Dilated),Shutter Glasses,Camo Jacket,,Bandana,,Clown Nose,Diamond Studs,Grin + Wink,Lambo,Rabbiton,Bob
130,,Male,Black & White,Yellow,,White Singlet,Collar (Pink),Tennis Hat,,,Santa Hat,Anger,Backalley,Messiah,Bob
131,,Male,Red,Blue,,High Vis Vest,,Birthday Hat,,,,Blank + Wink,Markets,Floating or Flying,Side Nod
132,,Male,Camo,Scribble,Star Glasses,Flannel Jacket,,Mullet (Base),Carrot,,Steel Rings & Studs,Mouth Open (Right),Backalley,Floating or Flying,Bob
133,,Female,Darkness,Cat (Blue),,Black FLUF Singlet,,Conical Hat,Lip Piercings,Bull Ring,,Smile,Swamp,Desert Digging,Big Nod
134,,Female,Sandy,Brown,Designer Glasses,Digital Camo Singlet,,Conical Hat,,Gold Ring,FLUF Tag,Blank + Wink,Mansion,Run Rabbit,Subtle Nod
135,,Male,Raspberry Ripple,Cat (Brown),Shutter Glasses,,Bone Necklace,Propeller Hat,,Bone,Gold Bows,Blank + Wink,Swamp,Back in the Burrow,Groove
136,,Male,Candy Floss,Green,Aviators,Camo Jacket,,Tuft (Base),Whistle,Diamond Stud,,Mouth Open (Middle),The Front,Follow You,Groove
137,,Male,Darkness,Heart (Red),,High Vis Vest,,Tennis Hat,Cigar,Bull Ring,FLUF Tag,Mouth Open (Right),Dunes,Ear Wobbler,Groove
138,,Female,Black & White,Green,,Boob Tube,Bowtie (Red),Birthday Hat,Carrot,,Steel Studs,Mouth Open (Right),Swamp,Run Rabbit,Subtle Nod
139,,Female,Tiger,Brown,Heart Glasses,,Bowtie (Gold),,,Steel Ring,Bit Ear,Sad,Heaven,Dubhop,Side Nod
140,,Male,Sky,Cat (Brown),,Kimono,Headphones,FLUF Cap,,,Gold Rings,Blank,Markets,Follow You,Round
141,,Female,Honeycomb,Dollars,,Red Balloon Singlet,,Mullet (Base),Cigarette,Steel Ring,Gold Bows,Mouth Open (Right),Backalley,What the FLUF,Groove
142,,Male,Cheetah,Thirties,,,Gold Chain,,Tongue Out,Bull Ring,,Grin,Gallery,Rabbiton,Round
143,,Male,Darkness,Fire,,Yellow Rabbit Singlet,,,Cigar,Steel Ring,Steel Rings,Mouth Open (Right),Backalley,Electric Carrots,Side Nod
144,,Female,Grey,Green,Neon Glasses,,Gold Chain,,Cigarette,Steel Stud,Diamond Studs,Mouth Open (Right),Beach,I Like to Party,Big Nod
145,,Female,Guernica,Scribble,,Digital Camo Singlet,,Birthday Hat,Lollipop,Gold Stud,Gold Bows,Mouth Open (Left),Beach,Disco Rabbit,Groove
146,,Male,Black & White,Glowing White,Aviators,Tie Dye Singlet,Clock Necklace,Sombrero,,Bull Ring,,Sad,Heaven,Beyond the Gates,Round
147,,Female,Zombie (Green),Zombie (Inverted),,,,Gold Cap,Pacifier,Bull Ring,Diamond Studs,Mouth Open (Middle) + Wink,Gallery,Beyond the Gates,Groove
148,,Male,Black & White,Cat (Blue),Star Glasses,Camo Jacket,,,Lipstick,,Steel Rings & Studs,Grin,Beach,Desert Digging,Side To Side
149,,Male,Orange,Thirties,,FLUF Jacket,,Mohawk (Black),Carrot,Steel Stud,Red Ribbon,Mouth Open (Right),Markets,Coffee and Carrots,Round
150,,Male,Winter,Green,Shutter Glasses,Leather Vest,,Mohawk (Red),,,,Blank,Swamp,I Like to Party,Round
151,,Male,Winter,Blue,3D Glasses,Red Balloon Singlet,Clock Necklace,,Joint,Gold Ring,,Mouth Open (Right),Mansion,Eating Carrots in the Dark,Bob
152,,Male,Parrot,Brown,Bug Eye Glasses,,Bowtie (Red),Birthday Hat,Party Horn,Steel Ring,Gold Studs,Anger,Lambo,Follow You,Big Nod
153,,Female,Red,Purple,,Voxel Rabbit Singlet,Greenstone,,,,Gold Bows,Smile,Mansion,Disco Rabbit,Bob
154,,Female,Red,Brown,Bug Eye Glasses,,,,,Steel Stud,,Smile + Wink,Swamp,Back in the Burrow,Groove
155,Wimbledon,Female,Highlighter,Fire,,,Gold Chain,Mohawk (Black),Whistle,,Red Ribbon,Mouth Open (Middle),Mansion,Eating Carrots in the Dark,Subtle Nod
156,,Male,Peppermint,Purple,,Puffer Jacket,,Mullet (Black),Cigarette,Clown Nose,,Mouth Open (Right),Tiki,FLUF You Up,Side To Side
157,Jose Santa Maria,Male,Red,Hypnotic,,Digital Camo Singlet,Bowtie (Black),Sombrero,Joint,Steel Stud,,Mouth Open (Right),Gallery,Rabbiton,Subtle Nod
158,,Female,Silver,Silver,,,,,,Silver,,Blank + Wink,Mansion,Follow You,Turn
159,BERGHAIN,Female,Cheetah,Green,Sunglasses,Pink Jacket,,Birthday Hat,Lipstick,Gold Stud,Gold Rings,Anger,Forest,Space Fluffle,Groove
160,Rich Fluffa ,Male,Raspberry Ripple,Dollars,,Kimono,Bowtie (Black),,Joint,Steel Stud,Gold Studs,Mouth Open (Right) + Wink,Markets,Ear Wobbler,Big Nod
161,,Male,Brown,Brown,Shutter Glasses,,,Bandana,Lip Piercings,Gold Ring,,Smile + Wink,Garden,Coffee and Carrots,Subtle Nod
162,,Male,Grey,Dollars,,Puffer Vest,Gold Chain,,Joint,,Steel Studs,Mouth Open (Right),Forest,Electric Carrots,Side Nod
163,,Male,Sandy,Green,Fake Eyelashes,Red Balloon Singlet,Gold Chain,,,Diamond Stud,Red Ribbon,Grin + Wink,Forest,Hop With Me,Big Nod
164,,Female,Sky,Thirties,,,Headphones,,Demon Mask,,Gold Rings & Studs,Blank + Wink,Heaven,What the FLUF,Bob
165,,Male,Brown,Red (Dilated),Cyberpunk Glasses,Yellow Rabbit Singlet,,,,Bull Ring,Steel Studs,Blank,Spaceship,Ear Wobbler,Side To Side
166,,Female,Sky,Brown,Bug Eye Glasses,Pink Jacket,,Halo,,,Bandaged,Blank,Gallery,Run Rabbit,Groove
167,,Female,Guernica,Fire,,,FLUF Logo Chain,Afro (Black),Party Horn,,,Mouth Open (Left),Spaceship,What the FLUF,Big Nod
168,,Male,Retro,Brown,,White Singlet,,Afro (Ginger),Cigarette,Steel Ring,,Mouth Open (Right) + Wink,Beach,FLUF You Up,Groove
169,,Female,Cheetah,Brown,,,Bowtie (Black),,Joint,,Steel Rings,Mouth Open (Right),Mystic Valley,Shadows,Side Nod
170,,Male,Candy Floss,Green,Sunglasses,,,,,Gold Ring,Gold Rings & Studs,Smile + Wink,Swamp,Disco Rabbit,Subtle Nod
171,,Male,Zombie (Black),Demon,,,Collar (Black),Mullet (Base),Whistle,Bull Ring,Red Ribbon,Mouth Open (Middle),Lambo,Latin Fiesta,Subtle Nod
