TOKEN_ID,TOKEN_NAME,animation,hair,face accessory,eyes,earrings,horns,colour scheme,halo,other accessories
17,Imp #17,Float,,Drool,Normal Eyes,Flower earring,Medium horns,Spearmint Cherry,,Spear
18,Imp #18,Float,Flower tiara,Long beard,Panda,Stretcher,Double horns,Berry Blossom,,Pipe
19,Imp #19,Float,,Fire beard,Eyes closed,Top Piercings,Medium horns,Grape lipstick,Paper plane,
20,Imp #20,Look right,,Ring beard,Stubborn eyes,Smiley earrings,Medium horns,Grape lipstick,,Banana phone
21,Imp #21,Look right,Unicorn,Kunai,Normal Eyes,,Medium horns,Angry Flamingo,,Suit
22,Imp #22,Look right,Hood,Eye dots,Normal Eyes,Goth earrings,Tipped horns,Angry Flamingo,,Moon staff
23,Imp #23,Float,Flat cap,,Normal Eyes,Cyber earrings,Split horns,Neon Lantern,Rocket,Scythe
24,Imp #24,Look right,Geisha cut,Branch nose,Empty eyes,Diagonal piercings,Branch horns,Yin Yang,Demon,Royal mantle
25,Imp #25,Look left,Small beanie,Disco glasses,Fire pupils,Single earring,Small horns,Spearmint Cherry,Balloons,Ice cream
26,Imp #26,Look left,Bowl cut beanie,,Normal Eyes,Eth earring,Big horns,Ethereal Watermelon,Murder of crows,Ice cream
27,Imp #27,Look right,Tiara,Cheek arrow,Panda,Feather earrings,Slick horns,Spearmint sunset,,
28,Imp #28,Look right,Sapling,Pencil,Normal Eyes,,Medium horns,Spearmint sunset,Fez,Kawaii blocks
29,Imp #29,Look left,Small beanie,,Panda,Moon earrings,Small horns,Spearmint Cherry,,Surrender flag
30,Imp #30,Float,Hunter hat,,Eyelashes,Thick Piercings,Thin horns,Angry Flamingo,,Scarf
31,Imp #31,Look left,Vine crown,Cheek heart,Normal Eyes,Spike earring,Tipped horns,Spearmint Cherry,Paper plane,
32,Imp #32,Float,Watchers,,Cyclops,,Antlers,Cherry Tides,Rocket,Small wings
33,Imp #33,Float,Backwards cap,Face bandaid,Mascara,Feather earrings,Thin horns,Angry Flamingo,,Mime suit
34,Imp #34,Float,Desert hat,Disco glasses,Eyes closed,,Slick horns,Angry Flamingo,,Spear
35,Imp #35,Look left,,Disco glasses,Fire pupils,Cyber earrings,Tipped horns,Angry Flamingo,,Big wings
36,Imp #36,Look left,Bandana,Face stripes,Normal Eyes,Moon earrings,Small horns,Spearmint Cherry,,Scarf
37,Imp #37,Look left,Hood,Face bandaid,Eyes closed,,Medium horns,Spearmint sunset,Rocket,Peace hand
38,Imp #38,Look left,Quiff,Moustache,Eyes closed,,Medium horns,Spearmint sunset,UFO,Sushi
39,Imp #39,Look right,Skull headband,Cheek arrow,Normal Eyes,Spike earring,Tipped horns,Neon Juice,Halo,
40,Imp #40,Look right,Wizard cap,,Eyelashes,Flower earring,Big horns,Pink Forest,Top void,
41,Imp #41,Float,Small beanie,,Yokai eyes,Diagonal piercings,Tipped horns,Grape lipstick,Fez,Small chains
42,Imp #42,Float,Small beanie,Dragon moustache,Normal Eyes,,Thin horns,Neon Juice,Little Dragon,Lanterns
43,Imp #43,Look right,L-hand,Cheek O's,Normal Eyes,Single earring,Small horns,Grape lipstick,,Button Jacket
44,Imp #44,Float,,Tooth,Normal Eyes,Ofuda earrings,Medium horns,Pink Forest,,Scythe
45,Imp #45,Look right,Desert hat,Moustache,Normal Eyes,Cross earring,Medium horns,Angry Flamingo,,Turtleneck 2
46,Imp #46,Look right,Triple poof,Goatee,Panda,Cross earring,Small horns,Spearmint sunset,Moon,
47,Imp #47,Look right,Short dreads mesh,Cheek heart,VR,,Double horns,Neon Lantern,,Rattlesnake
48,Imp #48,Float,,Wayfarer shades,Stubborn eyes,Two earrings,Small horns,Spearmint sunset,Paper plane,Bell scarf
49,Imp #49,Look left,Candle,Tooth,Eyes closed,Goth earrings,Slick horns,Pink Forest,,Scythe
50,Imp #50,Look right,Bandana quiff,Goatee,Eyelashes,Cross earring,Spiral horns,Cherry Tides,Little Dragon,
51,Imp #51,Look left,Flat cap,Disco glasses,Yokai eyes,Flower earring,Branch horns 2,Ethereal Watermelon,,Royal mantle
52,Imp #52,Look left,Crew cut,,VR,Rose earring,Slick horns,Spearmint sunset,,Turtleneck
53,Imp #53,Look right,Fisherman beanie,Broken glasses,Normal Eyes,Key earring,Big horns,Grape lipstick,Love message,Ciggy
54,Imp #54,Look right,Flower tiara,Goatee,Stubborn eyes,Single earring,Medium horns,Grape lipstick,Halo,
55,Imp #55,Float,Hunter hat,Heart pill,Panda,,Slick horns,Pink Forest,UFO,Sai
56,Imp #56,Look left,Fisherman beanie,Long beard,Tired,,Antlers,Berry Blossom,Paper plane,
57,Imp #57,Look right,L-hand,,Yokai eyes,Eth earring,Double horns,Neon Juice,,Scroll
58,Imp #58,Look right,Wizard cap,,Normal Eyes,Cross earring,Small horns,Spearmint sunset,Halo,Suit
59,Imp #59,Look right,,Cheek O's,VR,Rose earring,Split horns,Pink Forest,,Stunt suit
60,Imp #60,Float,,Cheek arrow,Blindfold,Spike earring,Antlers,Neon Saphire,Paper plane,
61,Imp #61,Look left,Ninja bandana,Pencil,Fire pupils,Cross earring,Slick horns,Spearmint Cherry,,Turtleneck 2
62,Imp #62,Float,Crew cut,Fire beard,Stubborn eyes,Cross earring,Medium horns,Spearmint sunset,,
63,Imp #63,Float,Wanderer cut,Eye dots,Normal Eyes,,Small horns,Spearmint Cherry,,Imp Tail
64,Imp #64,Look left,Skater cut,Gas mask,Normal Eyes,Moon earrings,Small horns,Spearmint sunset,Moon,
65,Imp #65,Look right,Long hair beanie,Disco glasses,Normal Eyes,Single earring,Small horns,Spearmint Cherry,Moon,
66,Imp #66,Float,Double bandana,Branch nose,Normal Eyes,,Small horns,Spearmint sunset,Balloons,Hover rings
67,Imp #67,Float,Double bandana,,Eyelashes,Rose earring,Double horns,Grape lipstick,Paper plane,Butterfly wings
68,Imp #68,Look right,Bowl cut beanie,Aviator glasses,Tired,Antichrist earrings,Slick horns,Neon Saphire,Moon,Tag
69,Imp #69,Float,,Long beard,Eyelashes,Cyber earrings,Branch horns 2,Neon Lantern,Balloons,Egyptian Staff
70,Imp #70,Look right,Poof,Cute cheeks,Eyelashes,,Tipped horns,Berry Blossom,,Double chain
71,Imp #71,Look left,Candle,Cheek heart,Normal Eyes,Single earring,Small horns,Grape lipstick,Top ghost,Ice cream
72,Imp #72,Look right,Dual colored hair,,Cyclops,Spike earring,Big horns,Neon Lantern,,Kawaii blocks
73,Imp #73,Look left,Double poof,Cheek bolt,Normal Eyes,,Split horns,Neon Lantern,Little Dragon,Turtleneck
74,Imp #74,Look left,Fisherman beanie,Face stripes,Eyelashes,,Thin horns,Spearmint sunset,,Banana phone
75,Imp #75,Float,Punk,Face stripes,Normal Eyes,Spike earring,Medium horns,Pink Forest,,Imp Necklace
76,Imp #76,Look left,Captain hat,Disco glasses,Fire lashes,Diagonal piercings,Split horns,Neon Juice,,Small chains
77,Imp #77,Look left,Small beanie,Moustache,Mascara,Elf earrings,Big horns,Pink Forest,Halo,Axe
78,Imp #78,Float,Genie hair,,Eyes closed,,Small horns,Spearmint Cherry,Balloons,Button Jacket
79,Imp #79,Float,Forehead bandaid,Snake tongue,VR,Ofuda earrings,Double horns,Neon Juice,,Imp Tail
80,Imp #80,Look right,Hood,Goatee,Fire pupils,,Double horns,Neon Juice,Top void,Pipe
81,Imp #81,Look right,Double poof,Gas mask,Panda,Eth earring,Medium horns,Angry Flamingo,,Surrender flag
82,Imp #82,Look left,Bowl cut beanie,,VR,,Slick horns,Grape lipstick,,Katana
83,Imp #83,Look left,Small beanie,Broken glasses,Fire pupils,Flower earring,Small horns,Spearmint Cherry,,Scroll
84,Imp #84,Float,Candle,Kunai,Eyes closed,,Big horns,Berry Blossom,,Bottom Ghost
85,Imp #85,Look left,,Moustache,Stubborn eyes,Flower earring,Small horns,Spearmint Cherry,,Devil tail
86,Imp #86,Look left,Watchers,Tears,Panda,Single earring,Thin horns,Grape lipstick,,Rattlesnake
87,Imp #87,Look right,Backwards cap,,Fire lashes,,Double horns,Neon Lantern,,Big white wings
88,Imp #88,Float,Small beanie,Moustache,Eyelashes,Two earrings,Medium horns,Spearmint Cherry,,Imp Tail
89,Imp #89,Look left,Short dreads,Kunai,Eyelashes,,Small horns,Spearmint sunset,Fez,Surrender flag
90,Imp #90,Float,Samurai hair,Drool,Panda,Diagonal piercings,Medium horns,Pink Forest,,Lanterns
91,Imp #91,Float,Beanie,Disco glasses,Normal Eyes,Eth earring,Slick horns,Spearmint sunset,,Hands
92,Imp #92,Look right,,Cheek O's,Normal Eyes,Feather earrings,Medium horns,Spearmint sunset,,Turtleneck
93,Imp #93,Float,Wanderer cut,,Eyes closed,Diagonal piercings,Medium horns,Spearmint Cherry,,Turtleneck 2
94,Imp #94,Look right,Undercut,Pencil,Stubborn eyes,,Medium horns,Grape lipstick,,Small wings
95,Imp #95,Float,Double bandana,Snake tongue,Normal Eyes,,Small horns,Spearmint sunset,Rocket,Ice cream
96,Imp #96,Look right,Windy hair,Tooth,Tired,Smiley earrings,Small horns,Berry Blossom,,Captain vest
97,Imp #97,Look right,,Cheek arrow,Blindfold,Two earrings,Double horns,Grape lipstick,War flag,Kawaii blocks
98,Imp #98,Look left,Triple poof,Cheek bolt,Normal Eyes,Single earring,Thin horns,Neon Juice,Murder of crows,
99,Imp #99,Look right,,Eye dots,Normal Eyes,Stretcher,Small horns,Grape lipstick,,Windy scarf
100,Imp #100,Look right,Tiara,Grin,Stubborn eyes,,Tipped horns,Neon Saphire,,Royal mantle
101,Imp #101,Look right,Six dots,Ring beard,Fire lashes,,Split horns,Neon Saphire,Fez,Tag
102,Imp #102,Float,,Disco glasses,Fire pupils,Two earrings,Medium horns,Spearmint Cherry,,Laces
103,Imp #103,Look left,,Pencil,Eyelashes,Two earrings,Tipped horns,Neon Juice,Top ghost,Lanterns
104,Imp #104,Look right,Six dots,,Mask,Thick Piercings,Thin horns,Neon Lantern,,Small chains
105,Imp #105,Float,Crew cut,,Empty eyes,Moon earrings,Big horns,Ethereal Watermelon,,Captain vest
106,Imp #106,Look left,L-hand,War stripes,Eyes closed,,Medium horns,Pink Forest,Love message,Royal mantle
107,Imp #107,Float,Viking braids,Goatee,Blindfold,,Antlers,Berry Blossom,,Turtleneck
108,Imp #108,Look right,Punk,,Eyes closed,Antichrist earrings,Split horns,Grape lipstick,,Spear
109,Imp #109,Float,Sapling,,Mask,Elf earrings,Split horns,Berry Blossom,,Monk collar
110,Imp #110,Look left,Cyberhalo,Tears,Mascara,Single earring,Slick horns,Berry Blossom,,Banana phone
111,Imp #111,Look right,Ninja bandana,Cheek arrow,Tired,BTC earring,Antlers,Neon Saphire,Rocket,
112,Imp #112,Look right,Triple poof,Flower,Normal Eyes,Single earring,Medium horns,Spearmint sunset,,Turtleneck 2
113,Imp #113,Look left,Kitty,Freckles,Eyes closed,Goth earrings,Tipped horns,Spearmint sunset,,
114,Imp #114,Float,Hood,Flower,Panda,Top Piercings,Thin horns,Neon Lantern,Top hat,Hands
115,Imp #115,Look right,Bucket hat,Branch nose,Normal Eyes,Single earring,Split horns,Berry Blossom,Top void,Laces
116,Imp #116,Look left,Long curly hair,,Fire pupils,Stretcher,Big horns,Neon Saphire,Top hat,Kawaii blocks
117,Imp #117,Float,Forehead bandaid,War stripes,Fire pupils,,Split horns,Grape lipstick,UFO,Stunt suit
118,Imp #118,Look left,Rasta,Cheek arrow,Normal Eyes,Stripe earrings,Medium horns,Grape lipstick,,Surrender flag
119,Imp #119,Float,Triple poof,Cheek bolt,Normal Eyes,,Small horns,Spearmint Cherry,Moon,
120,Imp #120,Float,Poof,Tooth,Stubborn eyes,Top Piercings,Medium horns,Angry Flamingo,,
121,Imp #121,Look left,Antichrist,Popsicle,Normal Eyes,,Big horns,Grape lipstick,Paper plane,Imp Tail
122,Imp #122,Float,Soldier,Disco glasses,Eyes closed,Flower earring,Split horns,Neon Lantern,Kid,Monk collar
123,Imp #123,Look right,Buzzed Punk,Freckles,Eyelashes,Goth earrings,Small horns,Spearmint Cherry,Balloons,
124,Imp #124,Float,L-hand,Ring beard,Eyes closed,Two earrings,Medium horns,Angry Flamingo,,Imp Tail
125,Imp #125,Look right,Windy hair,Pencil,Eyelashes,Flower earring,Slick horns,Berry Blossom,Paper plane,Royal mantle
126,Imp #126,Float,,Nosering,Fire pupils,Stripe earrings,Small horns,Berry Blossom,,Hover rings
127,Imp #127,Float,,Tooth,Blindfold,Elf earrings,Tipped horns,Neon Saphire,,Hover rings
128,Imp #128,Look left,Samurai hair,,Normal Eyes,Top Piercings,Small horns,Spearmint sunset,,Bell scarf
129,Imp #129,Look right,Small beanie,,Eyepatch,Single earring,Slick horns,Spearmint sunset,Fez,Ciggy
130,Imp #130,Look left,Frou,Ace of spades,Cyclops,,Antlers,Cherry Tides,Top ghost,
131,Imp #131,Look right,Antichrist,,Mascara,Spike earring,Double horns,Neon Saphire,Balloons,Button Jacket
132,Imp #132,Float,Long hair beanie,Facemask,Eyes closed,Key earring,Split horns,Neon Lantern,Crown,
133,Imp #133,Float,,Goatee,Tired,,Small horns,Spearmint Cherry,,Captain vest
134,Imp #134,Look right,Wild hair,Round shades,Stubborn eyes,Single earring,Tipped horns,Pink Forest,UFO,Sushi
135,Imp #135,Look right,Double bandana,Round shades,Eyes closed,Cross earring,Big horns,Neon Saphire,Halo,Spear
136,Imp #136,Look right,T-rex,,Mascara,,Thin horns,Grape lipstick,Fez,Turtleneck
137,Imp #137,Float,Double poof,,Eyelashes,Spike earring,Small horns,Spearmint sunset,,Turtleneck 2
138,Imp #138,Float,Skater Cap,Broken glasses,Eyelashes,Piercings,Slick horns,Grape lipstick,,Scarf
139,Imp #139,Float,Undercut,Wayfarer shades,Mascara,,Small horns,Spearmint Cherry,,Captain vest
140,Imp #140,Float,Captain hat,Pencil,Mascara,Antichrist earrings,Medium horns,Neon Juice,,Recruitment
141,Imp #141,Look right,Undercut,Dragon moustache,Normal Eyes,Flower earring,Thin horns,Neon Juice,Top ghost,Small wings
142,Imp #142,Look left,Wild hair,Wayfarer shades,Eyes closed,Eth earring,Medium horns,Grape lipstick,UFO,
143,Imp #143,Look right,Bamboo hat,Tears,Normal Eyes,Single earring,Thin horns,Berry Blossom,Balloons,Imp Tail
144,Imp #144,Look left,,3D glasses,Eyes closed,Ofuda earrings,Tipped horns,Pink Forest,,Monk collar
145,Imp #145,Look left,Windy hair,Branch nose,Eyelashes,Moon earrings,Small horns,Spearmint Cherry,,
146,Imp #146,Look left,Flat cap,,VR,Diagonal piercings,Small horns,Spearmint sunset,,Scarf
147,Imp #147,Look right,Tiara,Cheek bolt,Panda,Single earring,Slick horns,Berry Blossom,,Imp Tail
148,Imp #148,Look left,Buzzed Punk,Grin,Blindfold,Feather earrings,Tipped horns,Neon Juice,,Turtleneck 2
149,Imp #149,Look right,Tiara,Moustache beard,Normal Eyes,Cross earring,Slick horns,Pink Forest,Rocket,
150,Imp #150,Float,Buzzed Punk,Ring beard,Eyelashes,Smiley earrings,Slick horns,Angry Flamingo,,Bell scarf
151,Imp #151,Look right,Viking braids,Freckles,Normal Eyes,,Slick horns,Spearmint sunset,Fez,Button Jacket
152,Imp #152,Float,Cyberhalo,Tooth,Normal Eyes,,Medium horns,Angry Flamingo,UFO,Laces
153,Imp #153,Float,Rasta,Specs,Eyes closed,Elf earrings,Slick horns,Spearmint Cherry,,Turtleneck 2
154,Imp #154,Look right,Bomb,Grin,Yokai eyes,Piercings,Spiral horns,Gold,Rocket,Recruitment
155,Imp #155,Look left,,Face stripes,Eyes closed,,Medium horns,Spearmint Cherry,,Surrender flag
156,Imp #156,Look left,Backwards cap,,Eyelashes,Rose earring,Thin horns,Spearmint sunset,Paper plane,Mime suit
157,Imp #157,Look right,Crew cut,,Normal Eyes,Cross earring,Thin horns,Spearmint sunset,,Big wings
158,Imp #158,Float,Double bandana,Disco glasses,Eyelashes,Piercings,Slick horns,Angry Flamingo,,Small chains
159,Imp #159,Look left,Forehead bandaid,Round shades,Normal Eyes,Goth earrings,Small horns,Grape lipstick,,Laces
160,Imp #160,Look right,Poof,Long beard,Tired,,Spiral horns,Cherry Tides,Little Dragon,
161,Imp #161,Float,Punk,Dragon moustache,Stubborn eyes,,Small horns,Spearmint Cherry,Paper plane,Ice cream
162,Imp #162,Look right,Frou,Wayfarer shades,Normal Eyes,Moon earrings,Tipped horns,Spearmint sunset,,Captain vest
163,Imp #163,Look left,Bandana quiff,Gamepad,Normal Eyes,,Thin horns,Angry Flamingo,,Mime suit
164,Imp #164,Look right,Cyberhalo,Goatee,Normal Eyes,,Antlers,Cherry Tides,Paper plane,Eye necklace
165,Imp #165,Float,,,VR,Two earrings,Slick horns,Pink Forest,Halo,Big white wings
166,Imp #166,Float,Mushrooms,Pencil,Tired,,Double horns,Ethereal Watermelon,,Laces
167,Imp #167,Float,Crew cut,Freckles,Stubborn eyes,,Slick horns,Spearmint Cherry,,
168,Imp #168,Float,Genie hair,,Normal Eyes,Key earring,Thin horns,Neon Saphire,Planets,Butterfly wings
169,Imp #169,Look right,Rasta,,Tired,Stretcher,Split horns,Neon Juice,Balloons,Devil tail
170,Imp #170,Float,Kitty,Branch nose,Eyes closed,Stripe earrings,Medium horns,Spearmint sunset,,Pipe
171,Imp #171,Look right,Undercut,Moustache beard,Tired,Two earrings,Slick horns,Grape lipstick,,Small wings
172,Imp #172,Float,Kitty,Goatee,Normal Eyes,,Medium horns,Spearmint Cherry,,Aux Cables
173,Imp #173,Look left,Pirate,,Eyes closed,,Small horns,Angry Flamingo,,Spear
174,Imp #174,Look left,Frou,Monocle,Fire pupils,,Medium horns,Spearmint sunset,,Red tie
175,Imp #175,Look left,,Tooth,Normal Eyes,Goth earrings,Slick horns,Angry Flamingo,Paper plane,Imp Tail
176,Imp #176,Float,Dual colored hair,,Eyes closed,Smiley earrings,Medium horns,Angry Flamingo,Paper plane,Hover rings
177,Imp #177,Float,Viking braids,,Mask,Single earring,Branch horns,Ethereal Watermelon,,Wing cloak
178,Imp #178,Float,Bomb,Broken glasses,Normal Eyes,Antichrist earrings,Tipped horns,Pink Forest,,Sushi
179,Imp #179,Float,Cowboy hat,,Panda,,Slick horns,Spearmint Cherry,UFO,Turtleneck
180,Imp #180,Float,Double bandana,,Normal Eyes,Smiley earrings,Slick horns,Spearmint Cherry,Fez,Tag
181,Imp #181,Look right,Geisha cut,Nosering,Eyepatch,Rose earring,Small horns,Spearmint Cherry,,
182,Imp #182,Look right,Six dots,Gamepad,Mascara,Goth earrings,Double horns,Grape lipstick,,
183,Imp #183,Float,,Kunai,Tired,Stripe earrings,Spiral horns,Neon Lantern,Balloons,Bottom void
184,Imp #184,Float,,Drool,Stubborn eyes,Single earring,Slick horns,Pink Forest,Top void,Surrender flag
185,Imp #185,Look left,Double poof,,Eyes closed,Cross earring,Thin horns,Spearmint Cherry,,Sword
186,Imp #186,Look right,Short dreads,Goatee,Eyes closed,,Slick horns,Angry Flamingo,,Mime suit
187,Imp #187,Float,Kitty,,Mascara,Two earrings,Double horns,Berry Blossom,,Ninja mask
188,Imp #188,Look left,,Facemask,Stubborn eyes,Stripe earrings,Split horns,Grape lipstick,Rocket,Laces
189,Imp #189,Float,Samurai hair,,Normal Eyes,Cross earring,Small horns,Spearmint Cherry,Balloons,Scarf
190,Imp #190,Look right,Pirate,Flower,Normal Eyes,Goth earrings,Thin horns,Pink Forest,Balloons,Peace hand
191,Imp #191,Look left,Beanie,Freckles,Normal Eyes,Stripe earrings,Medium horns,Spearmint Cherry,,Chain
192,Imp #192,Look right,Buzzed Punk,,Normal Eyes,,Small horns,Spearmint Cherry,Fez,Rattlesnake
193,Imp #193,Float,Crew cut,Cheek heart,Normal Eyes,BTC earring,Slick horns,Spearmint Cherry,,
194,Imp #194,Look left,Unicorn,Gamepad,Fire pupils,Diagonal piercings,Double horns,Neon Saphire,,Turtleneck
195,Imp #195,Float,Tiara,Face stripes,Eyelashes,Single earring,Slick horns,Spearmint Cherry,,Suit
196,Imp #196,Look left,Double poof,Long beard,Panda,Top Piercings,Tipped horns,Spearmint Cherry,,Banana phone
197,Imp #197,Look right,Double bandana,Lolly stick,Normal Eyes,,Slick horns,Berry Blossom,Balloons,Wing cloak
198,Imp #198,Look right,Buzzed Punk,,Eyes closed,Stretcher,Thin horns,Berry Blossom,Paper plane,Tag
199,Imp #199,Look right,Beanie,,Blindfold,Cyber earrings,Thin horns,Neon Lantern,Top ghost,Ice cream
200,Imp #200,Look right,Skater cut,Cheek heart,Eyes closed,Smiley earrings,Slick horns,Spearmint sunset,,Imp Tail
201,Imp #201,Look right,,Round shades,Stubborn eyes,Stretcher,Split horns,Berry Blossom,,Monk collar
202,Imp #202,Float,T-rex,,Empty eyes,Ofuda earrings,Split horns,Neon Lantern,Balloons,Kawaii blocks
203,Imp #203,Look right,Bandana quiff,,VR,,Small horns,Spearmint sunset,,Scarf
204,Imp #204,Look right,Flat cap,Cute cheeks,Normal Eyes,BTC earring,Slick horns,Pink Forest,,Surrender flag
205,Imp #205,Float,Flat cap,Lolly stick,Eyepatch,,Small horns,Angry Flamingo,,Aux Cables
206,Imp #206,Look left,Small beanie,Wayfarer shades,Normal Eyes,Two earrings,Tipped horns,Spearmint Cherry,Love message,Turtleneck 2
207,Imp #207,Look left,Goggles,,Blindfold,Moon earrings,Tipped horns,Neon Saphire,,Turtleneck
208,Imp #208,Look right,Six dots,Tooth,Stubborn eyes,,Slick horns,Spearmint sunset,,Turtleneck
209,Imp #209,Float,,Black shades,Normal Eyes,Diagonal piercings,Medium horns,Spearmint sunset,War flag,Spear
210,Imp #210,Look left,Tiara,Snake tongue,Normal Eyes,Top Piercings,Antlers,Berry Blossom,Paper plane,Moon staff
211,Imp #211,Float,Ninja bandana,Lolly stick,Normal Eyes,,Thin horns,Spearmint Cherry,Top hat,
212,Imp #212,Float,Wizard cap,Cute cheeks,Tired,Diagonal piercings,Double horns,Neon Saphire,Paper plane,Fantasy Sword
213,Imp #213,Look right,Antichrist,,Yokai eyes,,Big horns,Ethereal Watermelon,Top ghost,Hover rings
214,Imp #214,Look left,Sapling,Cheek arrow,Normal Eyes,Piercings,Small horns,Angry Flamingo,,Devil tail
215,Imp #215,Float,Rasta,Ofuda,Blindfold,Diagonal piercings,Thin horns,Grape lipstick,,Sushi
216,Imp #216,Look right,Small beanie,Cheek arrow,Eyes closed,BTC earring,Double horns,Grape lipstick,,Bottom Ghost
217,Imp #217,Look right,Frou,Snake tongue,Normal Eyes,Stretcher,Slick horns,Spearmint sunset,,Tag
218,Imp #218,Float,Cyborg samurai hair,Flower,Yokai eyes,Elf earrings,Double horns,Neon Juice,,
219,Imp #219,Float,Vine crown,Pencil,Normal Eyes,Stretcher,Slick horns,Spearmint Cherry,Planets,
220,Imp #220,Float,Three braids,Tears,Tired,Smiley earrings,Tipped horns,Neon Saphire,Top void,
221,Imp #221,Float,Triple poof,,Eyepatch,Elf earrings,Small horns,Angry Flamingo,,Captain vest
222,Imp #222,Look right,Backwards cap,Straw,Fire pupils,,Tipped horns,Neon Saphire,UFO,
223,Imp #223,Float,Punk,Cheek triangles,Eyes closed,Stripe earrings,Branch horns 2,Neon Saphire,Top hat,
224,Imp #224,Look right,Cowboy hat,Small freckles,Stubborn eyes,,Medium horns,Spearmint Cherry,,Ice cream
225,Imp #225,Look right,Double poof,,Stubborn eyes,Key earring,Slick horns,Pink Forest,Top void,Scroll
226,Imp #226,Look left,Crew cut,Wayfarer shades,Eyepatch,Flower earring,Tipped horns,Neon Juice,Top void,Banana phone
227,Imp #227,Float,,Round shades,Stubborn eyes,Single earring,Slick horns,Spearmint sunset,,Recruitment
228,Imp #228,Look left,Ninja bandana,Nosering,Eyelashes,Eth earring,Split horns,Neon Saphire,War flag,Decapitated
229,Imp #229,Look right,Flat cap,,Normal Eyes,Thick Piercings,Tipped horns,Grape lipstick,Planets,Laces
230,Imp #230,Look left,Three braids,Straw,Normal Eyes,,Slick horns,Spearmint sunset,Rocket,
231,Imp #231,Look left,,Cheek heart,Eyelashes,Ofuda earrings,Antlers,Cherry Tides,Kid,Royal mantle
232,Imp #232,Look right,Long curly hair,Aviator glasses,Eyes closed,Two earrings,Small horns,Spearmint sunset,,Banana phone
233,Imp #233,Float,Crew cut,Branch nose,Empty eyes,Feather earrings,Split horns,Neon Lantern,,Surrender flag
234,Imp #234,Float,Skater Cap,Face bandaid,Eyelashes,Feather earrings,Thin horns,Spearmint Cherry,,Pipe
235,Imp #235,Float,Wanderer cut,Face bandaid,Normal Eyes,Thick Piercings,Double horns,Neon Juice,Love message,Ice cream
236,Imp #236,Float,Triple poof,War stripes,Normal Eyes,Piercings,Slick horns,Spearmint Cherry,,Peace hand
237,Imp #237,Float,,Wayfarer shades,Fire pupils,Elf earrings,Slick horns,Berry Blossom,Rocket,
238,Imp #238,Look left,Captain hat,Monocle,Yokai eyes,Single earring,Big horns,Pink Forest,Halo,
239,Imp #239,Look right,Candle,,VR,Thick Piercings,Thin horns,Pink Forest,,Stars
240,Imp #240,Look left,Geisha cut,Rose,Mascara,,Split horns,Pink Forest,Fez,Chain
241,Imp #241,Look right,,Tongue,Eyes closed,Cross earring,Small horns,Spearmint sunset,Rocket,
242,Imp #242,Look left,Candle,Cheek arrow,Panda,,Split horns,Grape lipstick,Rocket,Small wings
243,Imp #243,Look right,Cowboy hat,Facemask,Eyelashes,,Double horns,Neon Lantern,Rocket,Imp Tail
244,Imp #244,Float,Double poof,,Yokai eyes,Ofuda earrings,Double horns,Berry Blossom,,Big wings
245,Imp #245,Look right,L-hand,Broken glasses,Eyes closed,Stripe earrings,Medium horns,Spearmint Cherry,,Double chain
246,Imp #246,Float,Three braids,Cheek arrow,Tired,Thick Piercings,Antlers,Grape lipstick,,Nunchucks
