TOKEN_ID,TOKEN_NAME,Background,Fur,Mouth,Eyes,Clothes,Hat,Power,Speed,Cuteness,Intelligence,Total skills
52,Panda #52,Teal,Red,Death Whistle,Red Noun,Red Bandana,Koi,60,37,28,45,170
53,Panda #53,Lavender,Black,Pyro,Jester,Joker,Bamboo Conical,76,40,95,18,229
54,Panda #54,Lavender,Brown,Surgical Mask,Mad,Pink Tuxedo,Bun,76,13,10,21,120
55,Panda #55,Violet,Black,Happy,Cyborg,Red Tuxedo,Kitsune,61,11,57,17,146
56,Panda #56,Banana,Brown,Pink Gum,Green Iris,Red Bandana,Squid,47,84,38,24,193
57,Panda #57,Banana,Black,Happy,Demonic,Night's Watch,Lotus Flower,32,52,1,5,90
58,Panda #58,Lavender,Black,Pai Mei,Orange Iris,Night's Watch,Purple Paper Crown,61,6,78,90,235
59,Panda #59,Vaporwave,Black,Banana,Mad,Red Bandana,Pink Paper Crown,67,69,13,14,163
60,Panda #60,Lavender,Brown,Bamboo,VR,Pirate,Celestial Dragon,66,54,23,29,172
61,Panda #61,Banana,Black,Rose,Blue Iris,Koi Tattoo,Pink Partyhat,95,100,82,92,369
62,Panda #62,Cerulean,Albino,Pai Mei,Green Iris,Red Bandana,Blue Beanie,18,70,21,84,193
63,Panda #63,Violet,Black,Surgical Mask,VR,Red Hoodie,Lotus Flower,65,62,6,80,213
64,Panda #64,Lime,Silver,Pai Mei,Green Shutter,Leather Jacket,Blue Beanie,39,9,52,83,183
65,Panda #65,Cerulean,Brown,Neutral,Orange Iris,Joker,Blue Beanie,23,42,64,64,193
66,Panda #66,Lavender,Albino,gm,Eyepatch,Blue Bandana,Bun,31,14,98,16,159
67,Panda #67,Banana,Albino,Ninja Mask,Orange Iris,Black Tuxedo,Bamboo Conical,54,41,20,83,198
68,Panda #68,Lime,Galaxy,Bamboo,Jester,Koi Tattoo,Squid,77,67,11,13,168
69,Panda #69,Cerulean,Black,Death Whistle,Eyepatch,Blue Bandana,Red Beanie,11,16,15,0,42
70,Panda #70,Cerulean,Purple,Vampire,Blue Iris,Pink Tuxedo,Blue Beanie,52,94,80,66,292
71,Panda #71,Banana,Silver,Gold Grill,Green Shutter,Royal,Black Conical,97,82,57,20,256
72,Panda #72,Banana,Red,Bamboo,Bitcoin,Koi Tattoo,Blue Beanie,94,99,90,12,295
73,Panda #73,Cerulean,Black,Trumpet,Sad,Black Hoodie,Bun,68,42,24,0,134
74,Panda #74,Coral,DMT,Pizza,Red Noun,Superpanda,Yellow Paper Crown,52,79,86,37,254
75,Panda #75,Banana,Black,Neutral,Bitcoin,Yin Yang Necklace,Red Beanie,61,93,78,39,271
76,Panda #76,Cerulean,Galaxy,Neutral,Jester,Yin Yang Necklace,Gold Laurel Wreath,98,69,65,100,332
77,Panda #77,Cotton Candy,Blue,Pyro,Glasses,Red Tuxedo,Wizard,39,82,46,21,188
78,Panda #78,Teal,Black,Neutral,Anime,Pink Tuxedo,Nogitsune,27,58,61,80,226
79,Panda #79,Azure,Pink,Surgical Mask,Blue Iris,Wizard Robe,Laurel Wreath,2,91,35,32,160
80,Panda #80,Lime,Red,Gold Grill,Green Iris,Red Tuxedo,Celestial Dragon,79,61,76,27,243
81,Panda #81,Lavender,Black,Joint,Blue Laser,Shakespear,Baby Panda,23,58,62,92,235
82,Panda #82,Banana,Black,Sad,Vaporwave,Panda Necklace,Laurel Wreath,96,41,95,27,259
83,Panda #83,Lime,Black,Happy,Mad,Red Tuxedo,Bamboo Conical,5,70,33,16,124
84,Panda #84,Rise,Blue,Pink Gum,Anime,Prisoner,Blue Paper Crown,41,24,35,63,163
85,Panda #85,Rise,Galaxy,Blue Gum,Anime,Prisoner,Baby Panda,21,90,75,52,238
86,Panda #86,Lavender,Mermaid,Neutral,Anime,Yin Yang Necklace,Baby Panda,30,87,24,63,204
87,Panda #87,Lavender,Rainbow,Banana,Cyborg,Yellow Tuxedo,Pirate,90,61,84,8,243
88,Panda #88,Banana,Red,Ninja Mask,Pink Shutter,Blue Hoodie,Squid,95,29,17,51,192
89,Panda #89,Banana,Silver,Happy,Glasses,Leather Jacket,Laurel Wreath,95,56,36,70,257
90,Panda #90,Lavender,Black,Pink Gum,Hearts,Pirate,Blue Beanie,96,86,96,14,292
91,Panda #91,Banana,Red,Ninja Mask,Superpanda,Black Hoodie,Jester,80,13,29,13,135
92,Panda #92,Lime,Black,Bamboo,Blue Iris,Blue Tuxedo,Celestial Dragon,91,7,94,90,282
93,Panda #93,Lime,Pink,Happy,Green Iris,Black Tuxedo,Blue Partyhat,68,64,35,3,170
94,Panda #94,Teal,Brown,Party Horn Yellow,Cyborg,Blue Hoodie,Lotus Flower,95,57,82,39,273
95,Panda #95,Banana,Brown,Pai Mei,Demonic,Red Bandana,Baby Panda,49,1,93,5,148
96,Panda #96,Coral,Galaxy,Surgical Mask,Blindfold,Santa,Kitsune,40,42,59,62,203
97,Panda #97,Cerulean,Red,Rainbow Grill,Sad,Shakespear,Lotus Flower,94,63,23,35,215
98,Panda #98,Cerulean,Blue,Pink Gum,Blue Iris,Gold Necklace,Koi,12,35,58,39,144
99,Panda #99,Banana,Blue,gm,Thug Life,Vampire,Koi,99,41,56,52,248
100,Panda #100,Vaporwave,Brown,Blue Gum,Bitcoin,Red Tuxedo,Bun,82,26,25,77,210
101,Panda #101,Lavender,Red,Surgical Mask,Jester,Wizard Robe,Bun,79,62,85,59,285
102,Panda #102,Banana,Brown,Jester,Demonic,Yin Yang Necklace,Laurel Wreath,73,63,18,3,157
103,Panda #103,Lime,Blue,Bamboo,Bitcoin,Greek Toga,Celestial Dragon,29,61,47,40,177
104,Panda #104,Violet,Brown,Neutral,Glasses,Yin Yang Necklace,Blue Paper Crown,34,91,63,62,250
105,Panda #105,Cerulean,Mermaid,Neutral,Hypno,Pirate,Pink Partyhat,89,47,98,75,309
106,Panda #106,Lavender,Black,Banana,Eyepatch,Yellow Tuxedo,Nogitsune,41,60,74,21,196
107,Panda #107,Banana,Black,Pai Mei,Hearts,Hawaiian,Jester,36,13,10,57,116
108,Panda #108,Teal,Mermaid,Rose,3D,Blue Bandana,Unicorn,2,0,26,34,62
109,Panda #109,Cerulean,Blue,Rose,Blindfold,Shakespear,Pirate,44,8,45,70,167
110,Panda #110,Cerulean,Black,Party Horn Red,Glasses,Koi Tattoo,Nogitsune,46,93,98,29,266
111,Panda #111,Lavender,Brown,Pai Mei,Demonic,Red Hoodie,Purple Paper Crown,72,31,72,57,232
112,Panda #112,Cerulean,Red,Cigarette,Cyber,Red Bandana,Pirate,49,67,55,25,196
113,Panda #113,Cerulean,Pink,Neutral,Cyborg,Black Hoodie,Bun,25,73,28,42,168
114,Panda #114,Violet,Pink,Party Horn Yellow,Green Iris,Koi Tattoo,Red Beanie,12,75,3,58,148
115,Panda #115,Cerulean,Black,Surgical Mask,Sad,Koi Tattoo,Red Beanie,10,79,29,89,207
116,Panda #116,Teal,Rainbow,Ninja Mask,Gradient Noun,Prisoner,Yellow Paper Crown,21,35,29,2,87
117,Panda #117,Banana,Brown,Bamboo,Red Noun,Red Tuxedo,Bun,54,51,21,43,169
118,Panda #118,Cerulean,Purple,Blue Gum,VR,Pink Tuxedo,Laurel Wreath,11,98,83,32,224
119,Panda #119,Coral,Brown,Cigarette,Hearts,Red Hoodie,Lotus Flower,54,69,7,71,201
120,Panda #120,Azure,Mermaid,Jester,Thug Life,Wizard Robe,Wizard,23,32,18,21,94
121,Panda #121,Dawn,Rainbow,Neutral,Eyepatch,Panda Necklace,Unicorn,94,38,66,40,238
122,Panda #122,Lime,Black,Bamboo,Orange Iris,Koi Tattoo,Baby Panda,86,90,43,70,289
123,Panda #123,Lime,Silver,Blue Gum,Anime,Gold Necklace,Bun,60,69,44,93,266
124,Panda #124,Dawn,Mermaid,Party Horn Yellow,Mad,Hawaiian,Earth Dragon,88,45,84,97,314
125,Panda #125,Violet,Black,Party Horn Red,Glasses,Pink Tuxedo,Bamboo Conical,49,50,68,60,227
126,Panda #126,Teal,Pink,Surgical Mask,Hearts,Koi Tattoo,Blue Partyhat,23,61,58,15,157
127,Panda #127,Coral,Pink,Bamboo,Superpanda,Pirate,Jester,46,58,87,23,214
128,Panda #128,Banana,Red,Mad,Anime,Red Tuxedo,Lotus Flower,92,65,48,90,295
129,Panda #129,Lavender,Black,Bamboo,Blue Iris,Gold Necklace,Earth Dragon,85,76,49,83,293
130,Panda #130,Cerulean,Black,Neutral,Orange Iris,Royal,Silver Crown,25,77,37,99,238
131,Panda #131,Teal,Red,Mad,Red Laser,Night's Watch,Bun,34,18,99,47,198
132,Panda #132,Neon Green,Pink,Joint,Green Shutter,Yin Yang Necklace,Lotus Flower,40,41,57,100,238
133,Panda #133,Goodnight,Purple,Blue Gum,Blue Iris,Kimono,Halo,43,56,63,14,176
134,Panda #134,Teal,Silver,Neutral,Green Shutter,Panda Necklace,Jester,97,22,76,83,278
135,Panda #135,Banana,Black,Happy,Green Iris,Leather Jacket,Koi,45,17,8,94,164
136,Panda #136,Violet,Black,Surgical Mask,Superpanda,Pandaball Z,Gold Laurel Wreath,91,32,16,75,214
137,Panda #137,Cerulean,Rainbow,Bamboo,Sad,Red Hoodie,Jester,35,39,100,10,184
138,Panda #138,Cerulean,Brown,Evil Cigarette,Holy,Gold Necklace,Red Beanie,30,72,85,71,258
139,Panda #139,Azure,Red,Bamboo,Pink Shutter,Blue Bandana,Blue Beanie,6,64,15,97,182
140,Panda #140,Lime,Brown,Cigarette,Jester,Yellow Tuxedo,Red Beanie,7,25,99,89,220
141,Panda #141,Teal,Purple,Ninja Mask,Demonic,Prisoner,Nogitsune,7,16,31,98,152
142,Panda #142,Cerulean,Albino,Bamboo,Hearts,Vampire,Bun,84,3,72,68,227
143,Panda #143,Cerulean,Purple,Neutral,Orange Iris,Blue Bandana,Bun,64,85,94,68,311
144,Panda #144,Cerulean,Red,Rose,Glasses,Kimono,Silver Crown,10,22,82,77,191
145,Panda #145,Cerulean,Purple,Pink Gum,Bitcoin,Red Bandana,Blue Beanie,7,2,46,82,137
146,Panda #146,Banana,Albino,Happy,Superpanda,Koi Tattoo,Pink Partyhat,71,84,43,62,260
147,Panda #147,Dawn,Red,Happy,Bitcoin,Koi Tattoo,Kitsune,47,30,88,45,210
148,Panda #148,Lime,Mermaid,Vampire,Sad,Koi Tattoo,Laurel Wreath,25,43,45,26,139
149,Panda #149,Teal,Camo,Neutral,Bitcoin,Black Tuxedo,Jester,32,93,34,4,163
150,Panda #150,Neon Green,Blue,Banana,Red Noun,Gold Necklace,Earth Dragon,8,26,3,87,124
151,Panda #151,Neon Green,Red,Blue Gum,Blue Iris,Black Tuxedo,Lotus Flower,30,30,17,21,98
152,Panda #152,Goodnight,Purple,Sad,Monocle,Yin Yang Necklace,Baby Panda,68,59,81,11,219
153,Panda #153,Cotton Candy,Pink,Pai Mei,Blue Iris,Kimono,Santa,21,9,58,7,95
154,Panda #154,Cerulean,Brown,Cigarette,Demonic,Santa,Silver Crown,39,9,79,61,188
155,Panda #155,Banana,Purple,Happy,Cyborg Laser,Blue Tuxedo,Lotus Flower,56,96,40,82,274
156,Panda #156,Cerulean,Brown,Bamboo,Bitcoin,Red Tuxedo,Squid,8,34,54,18,114
157,Panda #157,Cotton Candy,Black,Rose,Orange Iris,Leather Jacket,Koi,35,29,41,34,139
158,Panda #158,Teal,Blue,Neutral,Sad,Yin Yang Necklace,Santa,79,65,70,40,254
159,Panda #159,Banana,Brown,Neutral,Green Iris,Yin Yang Necklace,Red Beanie,98,1,71,79,249
160,Panda #160,Cerulean,Black,Pai Mei,Gradient Noun,Vampire,Bun,61,47,71,72,251
161,Panda #161,Dawn,Black,Neutral,Cyborg,Koi Tattoo,Squid,53,34,78,19,184
162,Panda #162,Goodnight,Purple,Party Horn Yellow,Demonic,Leather Jacket,Baby Panda,63,12,58,79,212
163,Panda #163,Cerulean,Red,Bamboo,Orange Iris,Night's Watch,Jester,77,74,28,68,247
164,Panda #164,Lavender,Black,Gold Grill,Sad,Red Tuxedo,Nogitsune,38,24,37,50,149
165,Panda #165,Banana,Black,Neutral,Orange Iris,Prisoner,Red Beanie,37,4,53,36,130
166,Panda #166,Banana,Silver,Rose,Orange Iris,Gold Necklace,Nogitsune,27,4,67,34,132
167,Panda #167,Lime,Black,Sad,Gradient Noun,Superpanda,Red Beanie,14,82,62,94,252
168,Panda #168,Lime,Blue,Joint,Green Iris,Yellow Tuxedo,Baby Panda,36,10,0,85,131
169,Panda #169,Violet,Brown,Neutral,Green Iris,Kimono,Wizard,9,41,15,41,106
170,Panda #170,Banana,Purple,Surgical Mask,Demonic,Greek Toga,Kitsune,35,85,16,97,233
171,Panda #171,Cerulean,Black,Joint,Hearts,Gold Necklace,Bun,89,74,14,8,185
172,Panda #172,Lime,Black,Rainbow Grill,Orange Iris,Joker,Unicorn,36,12,80,64,192
173,Panda #173,Gold,Black,gm,Eyepatch,Yin Yang Necklace,Koi,91,2,78,82,253
174,Panda #174,Teal,Purple,Party Horn Yellow,Sad,Gold Necklace,Gold Laurel Wreath,97,65,77,5,244
175,Panda #175,Banana,Pink,Blue Gum,Blue Iris,Gold Necklace,Lotus Flower,35,32,75,53,195
176,Panda #176,Lime,Blue,Jester,Sad,Kimono,Nogitsune,14,74,70,100,258
177,Panda #177,Master Po,Master Po,Master Po,Master Po,Master Po,Master Po,49,44,71,92,256
178,Panda #178,Lime,Galaxy,Bamboo,Orange Iris,Koi Tattoo,Lotus Flower,14,100,89,34,237
179,Panda #179,Lavender,Brown,Rose,Jester,Red Tuxedo,Lotus Flower,59,1,36,38,134
180,Panda #180,Neon Green,Brown,Blue Gum,Monocle,Yin Yang Necklace,Purple Paper Crown,87,55,39,20,201
181,Panda #181,Lime,Purple,Neutral,Blue Laser,Black Tuxedo,Yellow Paper Crown,38,32,64,30,164
182,Panda #182,Banana,Blue,Rose,Sad,Red Bandana,Blue Beanie,98,49,0,28,175
183,Panda #183,Violet,Black,Rose,Demonic,Wizard Robe,Pink Paper Crown,70,63,47,21,201
184,Panda #184,Cerulean,Red,Pink Gum,Monocle,Red Hoodie,Red Beanie,9,94,14,58,175
185,Panda #185,Cerulean,Black,Blue Gum,Red Noun,Pink Tuxedo,Pirate,40,13,65,82,200
186,Panda #186,Lime,Black,Surgical Mask,Glasses,Pirate,Bun,62,77,93,10,242
187,Panda #187,Geisha,Geisha,Geisha,Geisha,Geisha,Geisha,24,79,32,14,149
188,Panda #188,Cerulean,Mermaid,Neutral,Glasses,Blue Tuxedo,Santa,18,13,80,61,172
189,Panda #189,Lime,Purple,Surgical Mask,Vaporwave,Vampire,Koi,46,0,75,90,211
190,Panda #190,Rise,Mermaid,Neutral,Green Iris,Yin Yang Necklace,Bamboo Conical,50,72,81,1,204
191,Panda #191,Coral,Purple,Happy,Green Iris,Black Tuxedo,Bun,54,31,88,44,217
192,Panda #192,Banana,Black,Rose,Red Noun,Koi Tattoo,Blue Paper Crown,7,91,75,1,174
193,Panda #193,Teal,Galaxy,Banana,Glasses,Gold Necklace,Kitsune,45,53,100,94,292
194,Panda #194,Banana,Purple,Gold Grill,Cyber,Pirate,Baby Panda,90,55,91,30,266
195,Panda #195,Lime,Red,Rose,Blue Iris,Santa,Baby Panda,56,99,91,85,331
196,Panda #196,Lime,Pink,Cigarette,Demonic,Shakespear,Earth Dragon,64,94,46,51,255
197,Panda #197,Neon Green,Silver,gm,Glasses,Gold Necklace,Blue Beanie,47,30,88,97,262
198,Panda #198,Lavender,Red,Trumpet,Blue Iris,Holographic Jacket,Bamboo Conical,69,18,40,42,169
199,Panda #199,Cerulean,Blue,Trumpet,Orange Iris,Leather Jacket,Koi,31,29,35,55,150
200,Panda #200,Lime,DMT,Sad,Mad,Pirate,Kitsune,45,61,20,14,140
201,Panda #201,Violet,Black,Mad,Hypno,Black Hoodie,Squid,16,41,63,12,132
202,Panda #202,Cerulean,Black,Jester,Red Noun,Red Bandana,Koi,83,65,7,96,251
203,Panda #203,Cerulean,Black,Gold Grill,Anime,Red Tuxedo,Kitsune,70,66,94,40,270
204,Panda #204,Banana,Red,Death Whistle,Hypno,Panda Necklace,Kitsune,0,76,75,93,244
205,Panda #205,Azure,Albino,Happy,Eyepatch,Yin Yang Necklace,Halo,95,77,42,6,220
206,Panda #206,Lavender,Black,Banana,Orange Iris,Pink Tuxedo,Lotus Flower,17,2,26,91,136
207,Panda #207,Cerulean,Black,Neutral,Eyepatch,Black Hoodie,Lotus Flower,39,36,66,40,181
208,Panda #208,Lavender,Mermaid,Surgical Mask,Green Shutter,Vampire,Jester,38,58,88,4,188
209,Panda #209,Lime,Blue,Happy,Blindfold,Red Bandana,Bun,3,38,0,20,61
210,Panda #210,Lime,Black,Neutral,Red Noun,Koi Tattoo,Wizard,40,51,7,65,163
211,Panda #211,Cerulean,Black,Cigarette,Bitcoin,Vampire,Blue Paper Crown,54,85,62,79,280
212,Panda #212,Cerulean,Albino,gm,Vaporwave,Pink Tuxedo,Pink Partyhat,50,63,94,13,220
213,Panda #213,Cerulean,Brown,Rose,Bitcoin,Red Bandana,Samurai,2,65,58,64,189
214,Panda #214,Rise,Rainbow,Trumpet,Sad,Blue Bandana,Gold Crown,65,98,69,30,262
215,Panda #215,Lime,Black,Surgical Mask,Demonic,Yin Yang Necklace,Bun,98,70,58,31,257
216,Panda #216,Banana,Blue,Happy,Monocle,Red Hoodie,Lotus Flower,2,43,6,54,105
217,Panda #217,Cotton Candy,Blue,Jester,Orange Iris,Red Hoodie,Bun,4,89,14,22,129
218,Panda #218,Cerulean,Silver,Bamboo,Green Iris,Pink Tuxedo,Pink Paper Crown,63,0,97,93,253
219,Panda #219,Lavender,Red,Cigarette,Glasses,Angel Wings,Kitsune,75,10,2,2,89
220,Panda #220,Lavender,Rainbow,Ninja Mask,Green Shutter,Pink Tuxedo,Bamboo Conical,38,5,2,59,104
221,Panda #221,Violet,Albino,Cigarette,Holy,Blue Bandana,Wizard,3,3,24,20,50
222,Panda #222,Dawn,DMT,Sad,Monocle,Yin Yang Necklace,Jester,50,12,71,89,222
223,Panda #223,Lime,Purple,Sad,Blue Laser,Leather Jacket,Blue Paper Crown,12,23,63,27,125
224,Panda #224,Neon Green,Silver,Neutral,Sad,Hawaiian,Pirate,37,100,65,83,285
225,Panda #225,Lavender,Gold,Trumpet,Blue Iris,Koi Tattoo,Blue Paper Crown,70,93,26,69,258
226,Panda #226,Dawn,Brown,gm,Bitcoin,Blue Hoodie,Pink Paper Crown,10,1,47,77,135
227,Panda #227,Banana,Camo,Pizza,Demonic,Pink Tuxedo,Pirate,7,86,50,52,195
228,Panda #228,Teal,Pink,Trumpet,Hearts,Yin Yang Necklace,Black Conical,11,20,27,81,139
229,Panda #229,Lavender,Blue,Neutral,Anime,Prisoner,Koi,25,51,84,97,257
230,Panda #230,Banana,Red,Blue Gum,Orange Iris,Leather Jacket,Bamboo Conical,82,54,89,18,243
231,Panda #231,Cerulean,Purple,Rose,Mad,Gold Necklace,Lotus Flower,26,13,7,12,58
232,Panda #232,Teal,Albino,Sad,Demonic,Koi Tattoo,Samurai,50,46,86,92,274
233,Panda #233,Square,Square,Square,Square,Square,Square,81,98,2,36,217
234,Panda #234,Lime,Black,Pyro,VR,Blue Bandana,Bamboo Conical,18,5,46,87,156
235,Panda #235,Cerulean,Rainbow,Ninja Mask,Glasses,Red Tuxedo,Lotus Flower,60,26,72,0,158
236,Panda #236,Teal,Black,Gold Grill,Blue Laser,Red Bandana,Bamboo Conical,8,15,38,5,66
237,Panda #237,Banana,Blue,Pink Gum,Blue Iris,Panda Necklace,Blue Beanie,66,46,35,30,177
238,Panda #238,Nagato,Nagato,Nagato,Nagato,Nagato,Nagato,26,16,29,3,74
239,Panda #239,Violet,Pink,Bamboo,Gradient Noun,Gold Necklace,Jester,80,57,89,29,255
240,Panda #240,Teal,Gold,Death Whistle,Superpanda,Leather Jacket,Lotus Flower,13,40,52,31,136
241,Panda #241,Cerulean,Red,Ninja Mask,Mad,Pink Tuxedo,Halo,32,35,4,60,131
242,Panda #242,Lime,Black,Rose,Blue Iris,Angel Wings,Kitsune,92,63,28,85,268
243,Panda #243,Neon Green,Black,gm,Mad,Koi Tattoo,Blue Paper Crown,38,3,80,95,216
244,Panda #244,Cerulean,Albino,Joint,Jester,Pink Tuxedo,Wizard,40,49,8,2,99
245,Panda #245,Goodnight,Brown,Happy,Vaporwave,Red Bandana,Blue Paper Crown,81,27,32,43,183
246,Panda #246,Coral,Galaxy,Joint,Bitcoin,Blue Tuxedo,Nogitsune,23,80,42,16,161
247,Panda #247,Teal,Brown,Rose,Green Iris,Red Tuxedo,Laurel Wreath,33,26,51,53,163
248,Panda #248,Lime,Purple,Neutral,Red Noun,Red Hoodie,Pirate,28,13,39,93,173
249,Panda #249,Cotton Candy,Rainbow,Bamboo,Glasses,Yellow Tuxedo,Red Beanie,20,7,5,23,55
250,Panda #250,Cerulean,Black,Party Horn Yellow,Green Iris,Yellow Tuxedo,Nogitsune,76,57,98,11,242
251,Panda #251,Cerulean,Pink,Banana,Blindfold,Pink Tuxedo,Baby Panda,29,28,20,31,108
252,Panda #252,Teal,Black,Party Horn Red,Cyber,Gold Necklace,Santa,25,63,27,65,180
253,Panda #253,Teal,Black,Neutral,Jester,Gold Necklace,Blue Paper Crown,96,87,52,31,266
254,Panda #254,Cerulean,Black,Neutral,VR,Red Tuxedo,Red Beanie,25,6,47,31,109
255,Panda #255,Cotton Candy,Black,Neutral,Cyborg Laser,Prisoner,Red Beanie,36,16,35,48,135
256,Panda #256,Cerulean,Brown,Jester,Demonic,Yin Yang Necklace,Santa,96,2,53,45,196
257,Panda #257,Lime,Black,Mad,Cyber,Red Tuxedo,Blue Partyhat,8,30,24,45,107
258,Panda #258,Banana,Blue,Vampire,Hearts,Leather Jacket,Koi,28,29,7,52,116
259,Panda #259,Cerulean,Black,Surgical Mask,Orange Iris,Greek Toga,Kitsune,3,4,64,53,124
260,Panda #260,Cerulean,Black,Gold Grill,VR,Yin Yang Necklace,Nogitsune,47,98,28,13,186
261,Panda #261,Lime,Pink,Neutral,Blue Iris,Red Bandana,Celestial Dragon,44,86,3,67,200
