TOKEN_ID,TOKEN_NAME,Mouth,Armor,Nose,Helmet,Weapon,Eyes,Background,Character,Galactic Clout,Facial Hair,Round Table
33,Knights of Degen #33,Pizza,Kings Armor - Other,Normal,Knights Helmet - Other,Space Dog,Normal,Red,Robot,,,
34,Knights of Degen #34,Vape,Torn Tee,Normal,Space Helmet - Silver,Potion,Bloodshot,Pink,Human,,,
35,Knights of Degen #35,Smile,Kings Armor - Gold,Nose Ring,Spartan Helmet - Other,Hot Dog,Brown,Blue,Human,,,
36,Knights of Degen #36,Grin,Kings Guard Armor - Other,Nose Ring,Spartan Helmet - Silver,Baseball Bat,Eyeblack,Blue,Human,,Sweet Stache - Other,
37,Knights of Degen #37,Smile,Kings Armor - Silver,Nose Ring,Cloak - Other,None,Normal,Blue,Robot,,,
38,Knights of Degen #38,Smile,Chainmail - Silver,Normal,Headphones On - Other,None,Bloodshot,Purple,Alien,,,
39,Knights of Degen #39,Grin,Jester,Normal,Crown - Other,Mightier Than,Normal,Purple,Robot,,Sweet Stache - Other,
40,Knights of Degen #40,Deadass,Basketball Jersey,Normal,Valkyrie Helmet - Other,None,Purple,Blue,Human,,,
41,Knights of Degen #41,Deadass,Chainmail - Other,Normal,Fedora - Other,None,Brown,Purple,Human,,Beard - Other,
42,Knights of Degen #42,Cigar,Emperors Armor - Silver,None,Space Helmet - Other,Space Dog,Tired AF,Blue,Robot,Legendary,,
43,Knights of Degen #43,Smile,Emperors Armor - Silver,Normal,Spartan Helmet - Silver,None,Bloodshot,Teal,Robot,,,
44,Knights of Degen #44,Tongue Out,Knights Armor - Silver,Normal,Sweatband - Other,Sword - Emerald,Brown,Red,Human,,,
45,Knights of Degen #45,Grin,Knights Armor - Silver,Normal,Cloak - Other,Sword - Silver,Glasses,Teal,Human,,Sweet Stache - Other,
46,Knights of Degen #46,Laser Mouth,Torn Tee,Nose Ring,Cloak - Other,Notebook,Bloodshot,Teal,Alien,,,
47,Knights of Degen #47,Deadass,Chainmail - Other,Normal,Knights Helmet - Other,Cash,Tired AF,Blue,Human,,Mustache - Other,
48,Knights of Degen #48,Deadass,Chainmail - Silver,Nose Ring,Valkyrie Helmet - Silver,Cash,Brown,Yellow,Human,,Beard - Other,
49,Knights of Degen #49,Wizard Beard - Other,Chainmail - Other,Normal,Valkyrie Helmet - Other,None,Normal,Yellow,Alien,,,
50,Knights of Degen #50,Smile,Chainmail - Other,Normal,Spartan Helmet - Other,None,Heart Glasses,Purple,Robot,,Beard - Other,
51,Knights of Degen #51,Pizza,Suit - Business,Nose Ring,Cowboy Hat - Party,Notebook,Eyeblack,Yellow,Human,,,
52,Knights of Degen #52,Smile,Knights Armor - Silver,Normal,Guardian Helmet - Silver,None,3D Glasses,Blue,Human,,,
53,Knights of Degen #53,Pizza,Chainmail - Silver,Normal,Knights Helmet - Silver,None,Normal,Teal,Robot,,,
54,Knights of Degen #54,Grin,Kings Guard Armor - Gold,Normal,Space Helmet - Silver,Sword - Gold,Brown,Green,Human,,Sweet Stache - Other,
55,Knights of Degen #55,Smile,Basketball Jersey,Nose Ring,Baseball Cap - Other,Sword - Platinum,Normal,Blue,Robot,,,
56,Knights of Degen #56,Deadass,Chainmail - Silver,Normal,Valkyrie Helmet - Other,Beer,Blue,Purple,Human,,,
57,Knights of Degen #57,Deadass,Suit - Business,Nose Ring,Spartan Helmet - Silver,Mightier Than,Brown,Teal,Human,,Beard - Other,
58,Knights of Degen #58,Wizard Beard - Other,Chainmail - Silver,Nose Ring,Valkyrie Helmet - Other,None,Normal,Green,Alien,,,
59,Knights of Degen #59,Deadass,Overalls,Normal,Cloak - Other,None,Normal,Blue,Robot,,,
60,Knights of Degen #60,Pizza,Queens Armor - Silver,Normal,Knights Helmet - Other,None,Normal,Blue,Alien,,,
61,Knights of Degen #61,Smile,Leather Jacket,Nose Ring,Guardian Helmet - Other,None,Brown,Green,Human,,,
62,Knights of Degen #62,Deadass,Chainmail - Gold,Normal,Cloak - Other,None,Tired AF,Purple,Robot,,,
63,Knights of Degen #63,Smile,Queens Guard - Other,Normal,Knights Helmet - Silver,None,Green,Purple,Human,,,
64,Knights of Degen #64,Grin,Knights Armor - Other,Nose Ring,Jester Cap,Phone,Eyeblack,Yellow,Human,,,
65,Knights of Degen #65,Deadass,Kings Armor - Silver,Nose Ring,Valkyrie Helmet - Other,None,Eyeblack,Red,Robot,,,
66,Knights of Degen #66,Tongue Out,Queens Guard - Gold,Normal,Crown - Other,Phone,Heart Glasses,Teal,Human,,,
67,Knights of Degen #67,Smile,Chainmail - Other,Normal,Knights Helmet - Gold,None,Bloodshot,Green,Robot,,Beard - Other,
68,Knights of Degen #68,Smile,Chainmail - Other,Normal,Valkyrie Helmet - Other,None,Tired AF,Teal,Robot,,,
69,Knights of Degen #69,Grin,Basketball Jersey,Normal,Cloak - Gold,Potion,Tired AF,Teal,Human,,,
70,Knights of Degen #70,Grin,Space Suit - Other,Normal,Valkyrie Helmet - Other,Basketball,Bloodshot,Red,Alien,,,
71,Knights of Degen #71,Smile,Chainmail - Gold,Normal,Cowboy Hat - Other,Liquid Courage,Green,Teal,Human,Legendary,,
72,Knights of Degen #72,Smile,Emperors Armor - Silver,Normal,Cloak - Other,Sword - Neon,Normal,Yellow,Robot,,Mustache - Other,
73,Knights of Degen #73,Cigar,Kings Guard Armor - Other,Nose Ring,Sweatband - Hair,Phone,Blue,Teal,Human,,,
74,Knights of Degen #74,Deadass,Chainmail - Silver,Normal,Fedora - Other,Soccer Ball,Brown,Red,Human,Legendary,,
75,Knights of Degen #75,Cigar,Torn Tee,Nose Ring,Space Helmet - Silver,Mightier Than,Blue,Yellow,Human,,,
76,Knights of Degen #76,Vape,Chainmail - Other,Nose Ring,Cloak - Other,None,3D Glasses,Blue,Human,,,
77,Knights of Degen #77,Bubblegum,Chainmail - Other,Nose Ring,Valkyrie Helmet - Silver,Soccer Ball,Blue,Yellow,Human,,,
78,Knights of Degen #78,Smile,Basketball Jersey,Normal,Spartan Helmet - Other,Football - Other,Normal,Blue,Robot,,,
79,Knights of Degen #79,Cigar,Referee,Normal,Guardian Helmet - Other,Basketball,Bloodshot,Pink,Human,,,
80,Knights of Degen #80,Grin,Chainmail - Silver,Nose Ring,Baseball Cap - Other,Baseball Bat,3D Glasses,Green,Human,,Sweet Stache - Other,
81,Knights of Degen #81,Deadass,Chainmail - Other,Normal,Baseball Cap - Backwards - Other,Phone,Purple,Blue,Human,,,
82,Knights of Degen #82,Grin,Knights Armor - Silver,Normal,Valkyrie Helmet - Other,None,Wink,Teal,Human,,,
83,Knights of Degen #83,Pizza,Emperors Armor - Silver,Normal,Knights Helmet - Other,None,Tired AF,Green,Robot,,Beard - Other,
84,Knights of Degen #84,Smile,Knights Armor - Other,Normal,Knights Helmet - Silver,None,Tired AF,Blue,Robot,,Beard - Other,
85,Knights of Degen #85,Joint,Referee,Normal,Jester Cap,None,Heart Glasses,Purple,Human,,,
86,Knights of Degen #86,Grin,Suit - Business,Nose Ring,Cloak - Other,None,Blue,Yellow,Human,,,
87,Knights of Degen #87,Grin,Chainmail - Other,Normal,Headphones Off - Other,None,Wink,Yellow,Human,,,
88,Knights of Degen #88,Deadass,Chainmail - Other,Nose Ring,Cloak - Other,None,3D Glasses,Teal,Human,,Beard - Other,
89,Knights of Degen #89,Pizza,Chainmail - Gold,None,Headphones Off - Other,None,Bloodshot,Green,Robot,,,
90,Knights of Degen #90,Deadass,Chainmail - Silver,Normal,Knights Helmet - Silver,Sword - Platinum,Normal,Red,Robot,,,
91,Knights of Degen #91,Laser Mouth,Chainmail - Gold,Normal,Knights Helmet - Silver,Phone,Heart Glasses,Blue,Alien,,Mustache - Other,
92,Knights of Degen #92,Deadass,Kings Guard Armor - Other,Normal,Crown - Silver,None,Green,Blue,Human,Legendary,Mustache - Other,
93,Knights of Degen #93,Pizza,Chainmail - Silver,Normal,Knights Helmet - Other,Notebook,Wink,Teal,Human,,,
94,Knights of Degen #94,Tongue Out,Knights Armor - Silver,Normal,Crown - Other,Beer,Blue,Teal,Human,,,
95,Knights of Degen #95,Smile,Referee,Nose Ring,Valkyrie Helmet - Other,Sword - Silver,Bloodshot,Green,Human,,,
96,Knights of Degen #96,Smile,Kings Guard Armor - Gold,Nose Ring,Knights Helmet - Other,None,Bloodshot,Teal,Human,,,
97,Knights of Degen #97,Grin,Torn Tee,Normal,Knights Helmet - Silver,None,Tired AF,Red,Human,,,
98,Knights of Degen #98,Grin,Leather Jacket,Normal,Cloak - Other,None,Tired AF,Purple,Human,,,
99,Knights of Degen #99,Smile,Knights Armor - Other,Normal,Cloak - Gold,None,Normal,Red,Robot,,Scruff,
100,Knights of Degen #100,Bubblegum,Chainmail - Gold,Normal,Guardian Helmet - Silver,None,Brown,Green,Human,,,
101,Knights of Degen #101,Smile,Chainmail - Other,Nose Ring,Guardian Helmet - Other,None,Blue,Green,Human,,,
102,Knights of Degen #102,Grin,Emperors Armor - Silver,Normal,Knights Helmet - Other,Sword - Neon,Normal,Teal,Robot,Legendary,,
103,Knights of Degen #103,Smile,Torn Tee,Normal,Headphones Off - Other,Sword - Neon,Normal,Blue,Robot,,,
104,Knights of Degen #104,Grin,Chainmail - Silver,Normal,Knights Helmet - Silver,None,Tired AF,Blue,Robot,,,
105,Knights of Degen #105,Vape,Kings Guard Armor - Other,Normal,Cloak - Other,None,Bloodshot,Red,Human,,,
106,Knights of Degen #106,Bubblegum,Chainmail - Other,Nose Ring,Cloak - Other,None,Eyeblack,Pink,Human,,,
107,Knights of Degen #107,Smile,Referee,Normal,Knights Helmet - Gold,None,Normal,Yellow,Alien,,,
108,Knights of Degen #108,Smile,Knights Armor - Other,Normal,Cloak - Other,None,Normal,Blue,Alien,,Beard - Other,
109,Knights of Degen #109,Pizza,Chainmail - Gold,Normal,Guardian Helmet - Other,None,Brown,Red,Human,,,
110,Knights of Degen #110,Cigar,Knights Armor - Other,Nose Ring,Cloak - Other,Baseball Bat,Bloodshot,Pink,Human,Legendary,,
111,Knights of Degen #111,Deadass,Knights Armor - Other,Normal,Cloak - Gold,None,Eyeblack,Yellow,Human,,,
112,Knights of Degen #112,Cigarette,Knights Armor - Other,Nose Ring,Headphones On - Other,None,Green,Red,Human,,,
113,Knights of Degen #113,Smile,Knights Armor - Other,Normal,Cloak - Other,None,Brown,Purple,Human,,,
114,Knights of Degen #114,Tongue Out,Chainmail - Other,Nose Ring,Guardian Helmet - Silver,Baseball Bat,Eyeblack,Teal,Human,,,
115,Knights of Degen #115,Smile,Kings Armor - Silver,Normal,Knights Helmet - Other,None,Bloodshot,Green,Human,,,
116,Knights of Degen #116,Cigarette,Apothecary,Normal,Headphones On - Silver,None,Wink,Blue,Human,,,
117,Knights of Degen #117,Grin,Chainmail - Other,Normal,Cloak - Other,None,Tired AF,Pink,Human,,Sweet Stache - Red,
118,Knights of Degen #118,Grin,Kings Armor - Silver,Normal,Space Helmet - Silver,Notebook,3D Glasses,Teal,Human,,,
119,Knights of Degen #119,Deadass,Knights Armor - Other,Normal,Baseball Cap - Other,None,Brown,Yellow,Human,,,
120,Knights of Degen #120,Wizard Beard - Other,Chainmail - Other,Normal,Knights Helmet - Silver,None,Normal,Blue,Alien,,,
121,Knights of Degen #121,Tongue Out,Queens Guard - Silver,Normal,Guardian Helmet - Other,None,Blue,Blue,Human,,,
122,Knights of Degen #122,Bubblegum,Chainmail - Other,Nose Ring,Jester Cap,None,Bloodshot,Blue,Human,,,
123,Knights of Degen #123,Smile,Kings Armor - Silver,Normal,Knights Helmet - Other,Sword - Silver,Laser Eyes - Other,Teal,Human,,,
124,Knights of Degen #124,Deadass,Chainmail - Silver,Normal,Space Helmet - Silver,Boxing Gloves,Blue,Pink,Human,,Mustache - Other,
125,Knights of Degen #125,Pizza,Suit - Business,Normal,Guardian Helmet - Gold,None,Blue,Red,Human,,,
126,Knights of Degen #126,Deadass,Queens Guard - Gold,Normal,Baseball Cap - Backwards - Other,None,Wink,Blue,Human,,,
127,Knights of Degen #127,Smile,Chainmail - Silver,Normal,Space Helmet - Other,Space Dog,Normal,Teal,Robot,,Sweet Stache - Other,
128,Knights of Degen #128,Tongue Out,Knights Armor - Other,Normal,Headphones On - Other,None,Eyeblack,Green,Human,,,
129,Knights of Degen #129,Deadass,Chainmail - Silver,Normal,Crown - Gold,None,Normal,Purple,Robot,,,
130,Knights of Degen #130,Bubblegum,Knights Armor - Silver,Nose Ring,Headphones On - Silver,Soccer Ball,Bloodshot,Teal,Human,,,
131,Knights of Degen #131,Deadass,Kings Armor - Gold,Normal,Cloak - Gold,Sword - Neon,Tired AF,Blue,Robot,,Sweet Stache - Other,
132,Knights of Degen #132,Grin,Overalls,Normal,Knights Helmet - Other,None,Normal,Purple,Alien,,,
133,Knights of Degen #133,Grin,Chainmail - Gold,Normal,Valkyrie Helmet - Other,None,Wink,Teal,Human,,,
134,Knights of Degen #134,Grin,Queens Guard - Other,Normal,Cloak - Other,None,Blue,Green,Human,,,
135,Knights of Degen #135,Bubblegum,Knights Armor - Other,Normal,Beanie - Other,Diamond Hands,VR Headset - Other,Blue,Human,,,
136,Knights of Degen #136,Grin,Kings Armor - Other,Normal,Space Helmet - Silver,Space Dog,Normal,Blue,Robot,,Beard - Other,
137,Knights of Degen #137,Smile,Chainmail - Other,Normal,Cloak - Other,None,Brown,Blue,Human,,,
138,Knights of Degen #138,Smile,Knights Armor - Silver,Nose Ring,Knights Helmet - Silver,Sword - Emerald,Glasses,Teal,Human,,,
139,Knights of Degen #139,Smile,Chainmail - Silver,Nose Ring,Cloak - Other,None,Blue,Teal,Human,,,
140,Knights of Degen #140,Deadass,Apothecary,Normal,Knights Helmet - Silver,Phone,Brown,Blue,Human,,Mustache - Red,
141,Knights of Degen #141,Cigarette,Apothecary,Nose Ring,Valkyrie Helmet - Silver,None,Blue,Red,Human,,,
142,Knights of Degen #142,Tongue Out,Chainmail - Other,Normal,Guardian Helmet - Silver,None,Purple,Teal,Human,,,
143,Knights of Degen #143,Cigar,Knights Armor - Other,Normal,Knights Helmet - Silver,None,Green,Green,Human,Legendary,,
144,Knights of Degen #144,Smile,Chainmail - Other,Nose Ring,Valkyrie Helmet - Other,None,Green,Red,Human,,,
145,Knights of Degen #145,Grin,Kings Armor - Silver,Normal,Spartan Helmet - Other,None,Bloodshot,Teal,Human,,Sweet Stache - Other,
146,Knights of Degen #146,Smile,Emperors Armor - Gold,Normal,Knights Helmet - Silver,None,Normal,Blue,Robot,,,
147,Knights of Degen #147,Grin,Apothecary,Normal,Guardian Helmet - Silver,None,Green,Blue,Human,,,
148,Knights of Degen #148,Cigarette,Leather Jacket,Nose Ring,Baseball Cap - Backwards - Other,None,Blue,Pink,Human,,,
149,Knights of Degen #149,Smile,Overalls,Normal,Crown - Other,Phone,Normal,Purple,Robot,Legendary,Beard - Other,
150,Knights of Degen #150,Smile,Chainmail - Other,Normal,Space Helmet - Silver,Space Dog,Normal,Pink,Robot,,Scruff,
151,Knights of Degen #151,Bubblegum,Kings Guard Armor - Other,Normal,Crown - Silver,Mightier Than,Green,Teal,Human,,,
152,Knights of Degen #152,Bubblegum,Knights Armor - Gold,Normal,Fedora - Other,None,Heart Glasses,Blue,Human,,,
153,Knights of Degen #153,Cigar,Basketball Jersey,Nose Ring,Valkyrie Helmet - Silver,Notebook,3D Glasses,Green,Human,,,
154,Knights of Degen #154,Bubblegum,Chainmail - Gold,Normal,Fedora - Other,Sword - Silver,Wink,Yellow,Human,,,
155,Knights of Degen #155,Smile,Chainmail - Other,Normal,Cowboy Hat - Other,None,Eyeblack,Purple,Human,,,
156,Knights of Degen #156,Cigarette,Knights Armor - Silver,Normal,Headphones On - Other,Sword - Emerald,Green,Green,Human,Legendary,,
157,Knights of Degen #157,Grin,Chainmail - Silver,Normal,Spartan Helmet - Silver,None,Laser Eyes - Other,Red,Alien,,,
158,Knights of Degen #158,Smile,Chainmail - Silver,Normal,Baseball Cap - Other,Potion,Wink,Red,Human,,,
159,Knights of Degen #159,Pizza,Basketball Jersey,Normal,Cloak - Other,None,Green,Red,Human,,,
160,Knights of Degen #160,Cigar,Chainmail - Silver,Normal,Knights Helmet - Silver,None,Tired AF,Green,Human,,,
161,Knights of Degen #161,Deadass,Knights Armor - Silver,Normal,Sweatband - Gold,None,Normal,Red,Robot,,Sweet Stache - Other,
162,Knights of Degen #162,Smile,Chainmail - Silver,Normal,Cloak - Other,None,Wink,Teal,Human,,,
163,Knights of Degen #163,Grin,Knights Armor - Other,Normal,Spartan Helmet - Other,Notebook,Green,Blue,Human,,,
164,Knights of Degen #164,Deadass,Referee,Nose Ring,Cloak - Other,None,Glasses,Purple,Human,,Beard - Other,
165,Knights of Degen #165,Smile,Referee,Nose Ring,Spartan Helmet - Silver,Notebook,Normal,Pink,Alien,,,
166,Knights of Degen #166,Grin,Chainmail - Other,Normal,Knights Helmet - Silver,None,Normal,Pink,Robot,,,
167,Knights of Degen #167,Cigar,Knights Armor - Other,Nose Ring,Crown - Silver,None,Heart Glasses,Teal,Human,,,
168,Knights of Degen #168,Tongue Out,Queens Guard - Other,Normal,Baseball Cap - Other,Potion,Tired AF,Purple,Human,,,
169,Knights of Degen #169,Tongue Out,Knights Armor - Silver,Normal,Fedora - Party,None,Wink,Pink,Human,,,
170,Knights of Degen #170,Grin,Chainmail - Silver,Normal,Valkyrie Helmet - Other,None,Eyeblack,Purple,Human,,,
171,Knights of Degen #171,Smile,Torn Tee,Normal,Spartan Helmet - Gold,None,Normal,Teal,Alien,,,
172,Knights of Degen #172,Pizza,Knights Armor - Silver,Normal,Valkyrie Helmet - Gold,Space Dog,Normal,Yellow,Robot,,,
173,Knights of Degen #173,Cigar,Chainmail - Other,Normal,Fedora - Other,None,Blue,Red,Human,,,
174,Knights of Degen #174,Vape,Kings Guard Armor - Other,Nose Ring,Fedora - Other,Mightier Than,Brown,Pink,Human,,,
175,Knights of Degen #175,Smile,Chainmail - Silver,Normal,Headphones Off - Other,Hot Dog,Blue,Teal,Human,,,
176,Knights of Degen #176,Bubblegum,Queens Armor - Other,Normal,Baseball Cap - Other,None,VR Headset - Other,Pink,Alien,,Sweet Stache - Other,
177,Knights of Degen #177,Smile,Knights Armor - Silver,Normal,Spartan Helmet - Other,Mightier Than,Normal,Blue,Alien,,,
178,Knights of Degen #178,Smile,Queens Guard - Silver,Normal,Guardian Helmet - Other,None,Bloodshot,Yellow,Human,Legendary,,
179,Knights of Degen #179,Vape,Knights Armor - Silver,Nose Ring,Knights Helmet - Other,Boxing Gloves,3D Glasses,Teal,Human,Legendary,,
180,Knights of Degen #180,Grin,Chainmail - Gold,Normal,Headphones On - Other,None,Eyeblack,Green,Alien,,,
181,Knights of Degen #181,Grin,Apothecary,Normal,Knights Helmet - Silver,Liquid Courage,3D Glasses,Yellow,Human,,,
182,Knights of Degen #182,Deadass,Kings Armor - Other,Normal,Sweatband - Other,Mightier Than,Normal,Green,Robot,,,
183,Knights of Degen #183,Deadass,Chainmail - Other,Normal,Guardian Helmet - Silver,None,Laser Eyes - Other,Blue,Human,,,
184,Knights of Degen #184,Deadass,Chainmail - Other,None,Spartan Helmet - Other,Sword - Platinum,Normal,Purple,Robot,,,
185,Knights of Degen #185,Grin,Chainmail - Gold,Normal,Guardian Helmet - Other,Notebook,Eyeblack,Blue,Human,,,
186,Knights of Degen #186,Grin,Chainmail - Silver,Normal,Baseball Cap - Backwards - Other,None,Wink,Purple,Human,,,
187,Knights of Degen #187,Cigarette,HODL Tee,Nose Ring,Knights Helmet - Silver,Hot Dog,Eyeblack,Pink,Human,,,
188,Knights of Degen #188,Bubblegum,Chainmail - Silver,Normal,Valkyrie Helmet - Other,None,Heart Glasses,Teal,Robot,,Sweet Stache - Other,
189,Knights of Degen #189,Pizza,Kings Guard Armor - Silver,Nose Ring,Cloak - Other,None,Glasses,Teal,Human,,,
190,Knights of Degen #190,Grin,Chainmail - Other,Nose Ring,Valkyrie Helmet - Silver,Sword - Silver,Blue,Red,Human,,,
191,Knights of Degen #191,Tongue Out,Knights Armor - Other,Normal,Valkyrie Helmet - Other,Mightier Than,Green,Purple,Human,,,
192,Knights of Degen #192,Smile,Queens Guard - Other,Normal,Cowboy Hat - Other,Sword - Gold,Green,Purple,Human,,,
193,Knights of Degen #193,Smile,Chainmail - Gold,Normal,Fedora - Party,None,Brown,Blue,Human,,,
194,Knights of Degen #194,Pizza,Knights Armor - Silver,Nose Ring,Space Helmet - Other,Phone,Blue,Purple,Human,,,
195,Knights of Degen #195,Pizza,Queens Guard - Silver,Normal,Guardian Helmet - Silver,None,Wink,Pink,Human,,,
196,Knights of Degen #196,Grin,Basketball Jersey,Nose Ring,Space Helmet - Other,Soccer Ball,Green,Red,Human,Legendary,Sweet Stache - Other,
197,Knights of Degen #197,Grin,Referee,Nose Ring,Crown - Other,Basketball,Normal,Teal,Alien,,,
198,Knights of Degen #198,Deadass,Chainmail - Other,Normal,Baseball Cap - Other,None,3D Glasses,Yellow,Human,,,
199,Knights of Degen #199,Pizza,Queens Guard - Other,Normal,Cowboy Hat - Other,None,Green,Blue,Human,,,
200,Knights of Degen #200,Grin,Chainmail - Other,Normal,Valkyrie Helmet - Other,Beer,Blue,Purple,Human,,,
201,Knights of Degen #201,Cigar,Chainmail - Other,Nose Ring,Knights Helmet - Other,Notebook,Glasses,Red,Human,,,
202,Knights of Degen #202,Cigar,Chainmail - Other,Normal,Beanie - Other,Phone,Bloodshot,Blue,Human,,,
203,Knights of Degen #203,Pizza,Basketball Jersey,Normal,Knights Helmet - Silver,Sword - Emerald,Blue,Purple,Human,,,
204,Knights of Degen #204,Deadass,Chainmail - Other,Normal,Knights Helmet - Silver,Beer,Tired AF,Teal,Human,Legendary,Beard - Other,
205,Knights of Degen #205,Smile,Basketball Jersey,Normal,Baseball Cap - Backwards - Other,None,Tired AF,Yellow,Robot,,,
206,Knights of Degen #206,Cigar,Knights Armor - Other,Nose Ring,Spartan Helmet - Silver,None,Eyeblack,Green,Human,Legendary,,
207,Knights of Degen #207,Grin,Lazy Robe,Nose Ring,Spartan Helmet - Silver,None,Glasses,Yellow,Human,,,
208,Knights of Degen #208,Cigar,Chainmail - Silver,Normal,Baseball Cap - Backwards - Other,None,Green,Purple,Human,,,
209,Knights of Degen #209,Smile,Leather Jacket,Normal,Knights Helmet - Other,None,Eyeblack,Pink,Human,,,
210,Knights of Degen #210,Deadass,Torn Tee,Nose Ring,Knights Helmet - Other,Potion,Eyeblack,Teal,Human,,Mustache - Other,
211,Knights of Degen #211,Bubblegum,Knights Armor - Silver,Nose Ring,Knights Helmet - Silver,Phone,Blue,Pink,Human,,,
212,Knights of Degen #212,Vape,Kings Armor - Silver,Normal,Sweatband - Hair,None,Green,Purple,Human,,,
213,Knights of Degen #213,Smile,Chainmail - Gold,Normal,Cowboy Hat - Other,None,Brown,Yellow,Human,,,
214,Knights of Degen #214,Smile,Suit - Business,Normal,Knights Helmet - Other,Basketball,Tired AF,Red,Human,,,
215,Knights of Degen #215,Grin,Suit - Business,Nose Ring,Spartan Helmet - Silver,Baseball Bat,Tired AF,Green,Human,,Sweet Stache - Red,
216,Knights of Degen #216,Smile,Chainmail - Other,Normal,Knights Helmet - Silver,Diamond Hands,Wink,Red,Human,Legendary,,
217,Knights of Degen #217,Smile,Basketball Jersey,Normal,Headphones On - Other,None,3D Glasses,Teal,Human,,,
218,Knights of Degen #218,Cigar,Jester,Normal,Space Helmet - Other,None,Wink,Yellow,Human,,,
