TOKEN_ID,TOKEN_NAME,Background,Fur,Jersey,Eyes,Mouth,Earring,Hat
60,NBAYC #60,Blue,Cheetah,New Yape K,Blindfold,Jovial,Silver Hoops,Spinner Hat
61,NBAYC #61,Purple,Brown,Bapeston Celts,Regular,Mouth 5,Silver Cross,Spinner Hat
62,NBAYC #62,Gray,Blue,Whapington Wizz,Eyepatch,Cigar,Silver Hoops,None
63,NBAYC #63,Red,Pink,Milwaping Buc ,Sunglasses,Grin,Silver Stud,Horns
64,NBAYC #64,Violet,Cream,New Apeleans Pelics,Sunglasses,Jovial,Gold Hoop,Red Bandana
65,NBAYC #65,Blue,Tan,Utape Jazzy,Eyepatch,Tongue Out,Diamond Stud,
66,NBAYC #66,Violet,Blue,Chic bullish,Eyepatch,Grin,Silver Hoops,Captain Hat
67,NBAYC #67,Red,Cream,Hapeston Rockapes,Eyepatch,Grin,Diamond Stud,Drake
68,NBAYC #68,Red,Gray,Philape 76,Eyepatch,Angry,Silver Cross,Drake
69,NBAYC #69,Purple,White,Indianape Papcers,Regular,Gold Grin Grill,None,Drake
70,NBAYC #70,Purple,Dark Brown,L-APE Lapers,Eyepatch,Mouth 5,Silver Hoops,Beanie
71,NBAYC #71,Yellow,Tan,Indianape Papcers,3D Glasses,Grin,Diamond Stud,Spinner Hat
72,NBAYC #72,Orange,Brown,Milwaping Buc ,Regular,Grin,Silver Hoops,Spinner Hat
73,NBAYC #73,Gray,Blue,New Apeleans Pelics,Eyepatch,Angry,Diamond Stud,Spinner Hat
74,NBAYC #74,Blue,Dark Brown,New Apeleans Pelics,Eyepatch,Mouth 5,None,Captain Hat
75,NBAYC #75,Red,Pink,Minnesotape Wolves,Blindfold,Tongue Out,Gold Hoop,Faux Hawk
76,NBAYC #76,Violet,White,T-Raptorapes,Regular,Bubblegum,Silver Hoops,Spinner Hat
77,NBAYC #77,Purple,Gold,Portlape Blaz ,Laser,Bubblegum,Diamond Stud,
78,NBAYC #78,Gray,Black,Hapeston Rockapes,Eyepatch,Tongue Out,None,Red Bandana
79,NBAYC #79,Yellow,White,Dapetroit Pistapes,Sunglasses,Cigar,Diamond Stud,Cap
80,NBAYC #80,Violet,Tan,Meme Bears ,Sunglasses,Mouth 5,Silver Hoops,Cap
81,NBAYC #81,Purple,Dark Brown,Brook Napes,Eyepatch,Tongue Out,None,Faux Hawk
82,NBAYC #82,Gray,Dark Brown,Dappas Mavs,Regular,Angry,None,Red Bandana
83,NBAYC #83,Red,Gray,New Apeleans Pelics,Laser,Cigar,None,Horns
84,NBAYC #84,Purple,Gray,Sacramentape Crowned,Laser,Jovial,Silver Hoops,
85,NBAYC #85,Blue,Gray,Indianape Papcers,Sunglasses,Bubblegum,Silver Stud,Spinner Hat
86,NBAYC #86,Violet,Golden Brown,L-APE Lapers,Eyepatch,Tongue Out,Diamond Stud,Spinner Hat
87,NBAYC #87,Blue,Pink,Philape 76,Sunglasses,Bubblegum,Silver Hoops,
88,NBAYC #88,Orange,Blue,L-APE Clipps,3D Glasses,Mouth 5,Gold Hoop,Beanie
89,NBAYC #89,Violet,Cream,L-APE Lapers,Regular,Grin,Silver Stud,
90,NBAYC #90,Purple,Pink,Meme Bears ,Regular,Grin,Gold Hoop,Beanie
91,NBAYC #91,Aquamarine,Red,L-APE Clipps,Sunglasses,Angry,Diamond Stud,Faux Hawk
92,NBAYC #92,Orange,Golden Brown,Minnesotape Wolves,Sunglasses,Angry,Diamond Stud,Captain Hat
93,NBAYC #93,Gray,Cheetah,Bapeston Celts,Blindfold,Mouth 5,Silver Hoops,Beanie
94,NBAYC #94,Blue,Cheetah,San-Apetonio Apes,Regular,Gold Grin Grill,Gold Stud,Space Jam Bunny
95,NBAYC #95,Orange,Brown,Philape 76,3D Glasses,Gold Grin Grill,Gold Stud,Halo
96,NBAYC #96,Gray,Dark Brown,Chic bullish,Blindfold,Mouth 5,None,Space Jam Bunny
97,NBAYC #97,Yellow,Blue,Milwaping Buc ,Laser,Bubblegum,Silver Stud,Spinner Hat
98,NBAYC #98,Violet,Cream,San-Apetonio Apes,Eyepatch,Jovial,Diamond Stud,Faux Hawk
99,NBAYC #99,Blue,White,Dapetroit Pistapes,Regular,Bubblegum,Silver Hoops,Cap
100,NBAYC #100,Yellow,Cheetah,Philape 76,Laser,Gold Grin Grill,Silver Hoops,Drake
101,NBAYC #101,Orange,Blue,Dapetroit Pistapes,Blindfold,Jovial,Silver Stud,Spinner Hat
102,NBAYC #102,Orange,Golden Brown,Clevelape Cavalape,Regular,Gold Grin Grill,Gold Stud,Spinner Hat
103,NBAYC #103,Aquamarine,White,Portlape Blaz ,3D Glasses,Jovial,Silver Hoops,None
104,NBAYC #104,Violet,Cheetah,Minnesotape Wolves,Laser,Jovial,Diamond Stud,Cap
105,NBAYC #105,Orange,Cream,Sacramentape Crowned,3D Glasses,Tongue Out,Silver Hoops,Captain Hat
106,NBAYC #106,Blue,Gray,Charlape Hornape,Eyepatch,Grin,None,Halo
107,NBAYC #107,Yellow,Cream,Hapeston Rockapes,Sunglasses,Tongue Out,Gold Hoop,Red Bandana
108,NBAYC #108,Aquamarine,Tan,Chic bullish,3D Glasses,Gold Grin Grill,Diamond Stud,Horns
109,NBAYC #109,Yellow,Brown,San-Apetonio Apes,Regular,Gold Grin Grill,Silver Stud,Faux Hawk
110,NBAYC #110,Gray,Cream,Clevelape Cavalape,Sunglasses,Angry,Silver Cross,Drake
111,NBAYC #111,Gray,Blue,Meme Bears ,Sunglasses,Tongue Out,Gold Stud,None
112,NBAYC #112,Red,Cheetah,L-APE Lapers,Blindfold,Jovial,Gold Hoop,Space Jam Bunny
113,NBAYC #113,Violet,Gold,Miaping fire,Laser,Angry,Silver Hoops,Space Jam Bunny
114,NBAYC #114,Violet,Blue,Bapeston Celts,Sunglasses,Mouth 5,Silver Stud,Halo
115,NBAYC #115,Orange,Blue,Meme Bears ,Laser,Angry,Gold Hoop,Spinner Hat
116,NBAYC #116,Purple,Red,Miaping fire,Blindfold,Mouth 5,Silver Hoops,Halo
117,NBAYC #117,Purple,Red,Dappas Mavs,3D Glasses,Gold Grin Grill,Gold Stud,Space Jam Bunny
118,NBAYC #118,Purple,Black,L-APE Lapers,3D Glasses,Mouth 5,Gold Stud,Captain Hat
119,NBAYC #119,Blue,Red,Oklahomapes,Blindfold,Bubblegum,Silver Stud,Horns
120,NBAYC #120,Orange,Gray,Utape Jazzy,Regular,Grin,Silver Cross,Beanie
121,NBAYC #121,Gray,Cream,T-Raptorapes,Sunglasses,Mouth 5,Silver Stud,None
122,NBAYC #122,Blue,White,Milwaping Buc ,Blindfold,Bubblegum,None,Red Bandana
123,NBAYC #123,Red,Gold,Indianape Papcers,Regular,Grin,Silver Hoops,Cap
124,NBAYC #124,Violet,Gray,Milwaping Buc ,Regular,Angry,Silver Cross,Space Jam Bunny
125,NBAYC #125,Gray,Cream,Minnesotape Wolves,3D Glasses,Gold Grin Grill,Gold Stud,Drake
126,NBAYC #126,Violet,Brown,Meme Bears ,Laser,Gold Grin Grill,Silver Hoops,None
127,NBAYC #127,Red,White,Brook Napes,Blindfold,Bubblegum,Silver Stud,Cap
128,NBAYC #128,Red,Gray,Clevelape Cavalape,Laser,Cigar,Silver Hoops,Faux Hawk
129,NBAYC #129,Yellow,Gold,Meme Bears ,Eyepatch,Jovial,Silver Cross,None
130,NBAYC #130,Blue,Cream,L-APE Lapers,Sunglasses,Jovial,Diamond Stud,Cap
131,NBAYC #131,Red,Dark Brown,Bapeston Celts,Sunglasses,Bubblegum,Gold Hoop,Beanie
132,NBAYC #132,Gray,Gold,Phaping Sunny,Laser,Bubblegum,Silver Hoops,Horns
133,NBAYC #133,Blue,Dark Brown,New Yape K,Laser,Gold Grin Grill,Gold Hoop,Cap
134,NBAYC #134,Aquamarine,Golden Brown,Minnesotape Wolves,Sunglasses,Grin,Silver Cross,Halo
135,NBAYC #135,Violet,Tan,Whapington Wizz,Sunglasses,Cigar,None,Halo
136,NBAYC #136,Purple,Gold,Whapington Wizz,3D Glasses,Bubblegum,None,Red Bandana
137,NBAYC #137,Yellow,Cream,Oklahomapes,Laser,Cigar,Silver Stud,Beanie
138,NBAYC #138,Blue,Black,Hapeston Rockapes,Blindfold,Cigar,Gold Hoop,
139,NBAYC #139,Blue,Gray,Portlape Blaz ,3D Glasses,Cigar,Gold Stud,Cap
140,NBAYC #140,Red,Dark Brown,Utape Jazzy,Eyepatch,Angry,Gold Stud,Red Bandana
141,NBAYC #141,Violet,Pink,T-Raptorapes,Sunglasses,Cigar,Diamond Stud,Cap
142,NBAYC #142,Violet,Brown,Hapeston Rockapes,Regular,Gold Grin Grill,Gold Hoop,Halo
143,NBAYC #143,Violet,Gray,Meme Bears ,Blindfold,Mouth 5,None,Faux Hawk
144,NBAYC #144,Yellow,Tan,Dappas Mavs,Regular,Jovial,None,Horns
145,NBAYC #145,Orange,Cheetah,Chic bullish,Regular,Angry,Diamond Stud,None
146,NBAYC #146,Yellow,Blue,Bapeston Celts,Blindfold,Cigar,Gold Stud,Halo
147,NBAYC #147,Aquamarine,Brown,New Apeleans Pelics,3D Glasses,Bubblegum,Gold Hoop,Captain Hat
148,NBAYC #148,Orange,Gray,Hapeston Rockapes,Regular,Cigar,Gold Hoop,Captain Hat
149,NBAYC #149,Red,Pink,Miaping fire,Eyepatch,Mouth 5,Silver Cross,Spinner Hat
150,NBAYC #150,Red,Cheetah,L-APE Lapers,Blindfold,Bubblegum,Silver Hoops,Space Jam Bunny
151,NBAYC #151,Yellow,Blue,Minnesotape Wolves,3D Glasses,Gold Grin Grill,Gold Hoop,Beanie
152,NBAYC #152,Yellow,Brown,Meme Bears ,Blindfold,Grin,Silver Cross,Drake
153,NBAYC #153,Violet,Tan,Brook Napes,Regular,Mouth 5,Silver Stud,Horns
154,NBAYC #154,Gray,White,Milwaping Buc ,Sunglasses,Grin,Silver Cross,Captain Hat
155,NBAYC #155,Blue,Cheetah,Portlape Blaz ,Sunglasses,Angry,Silver Hoops,Spinner Hat
156,NBAYC #156,Gray,Black,Milwaping Buc ,3D Glasses,Gold Grin Grill,Silver Hoops,Beanie
157,NBAYC #157,Violet,Black,Dapetroit Pistapes,Laser,Bubblegum,Silver Cross,Horns
158,NBAYC #158,Red,Pink,L-APE Clipps,Laser,Bubblegum,Gold Hoop,None
159,NBAYC #159,Yellow,Dark Brown,Dappas Mavs,Laser,Gold Grin Grill,Silver Hoops,Drake
160,NBAYC #160,Aquamarine,White,Minnesotape Wolves,Blindfold,Gold Grin Grill,Silver Stud,Faux Hawk
161,NBAYC #161,Violet,Tan,Whapington Wizz,3D Glasses,Jovial,Silver Hoops,Red Bandana
162,NBAYC #162,Yellow,Cream,Atlantape Eagles ,Laser,Tongue Out,Diamond Stud,None
163,NBAYC #163,Red,Red,Bapeston Celts,Eyepatch,Jovial,Silver Hoops,Drake
164,NBAYC #164,Violet,Blue,Philape 76,Laser,Tongue Out,Gold Hoop,Beanie
165,NBAYC #165,Violet,Cream,Hapeston Rockapes,Laser,Bubblegum,None,Red Bandana
166,NBAYC #166,Purple,Brown,Oklahomapes,3D Glasses,Tongue Out,None,Captain Hat
167,NBAYC #167,Blue,Cheetah,New Apeleans Pelics,3D Glasses,Gold Grin Grill,Silver Hoops,None
168,NBAYC #168,Violet,Cheetah,Sacramentape Crowned,Laser,Cigar,Gold Stud,Halo
169,NBAYC #169,Aquamarine,Tan,New Apeleans Pelics,Regular,Cigar,Silver Stud,Cap
170,NBAYC #170,Red,Golden Brown,Minnesotape Wolves,Sunglasses,Angry,None,Red Bandana
171,NBAYC #171,Aquamarine,Cream,Indianape Papcers,Laser,Gold Grin Grill,None,Faux Hawk
172,NBAYC #172,Violet,Cream,Bapeston Celts,Eyepatch,Gold Grin Grill,Silver Cross,Horns
173,NBAYC #173,Aquamarine,Cream,Clevelape Cavalape,Regular,Grin,Silver Hoops,Captain Hat
174,NBAYC #174,Violet,Golden Brown,Phaping Sunny,Eyepatch,Gold Grin Grill,Silver Stud,Halo
175,NBAYC #175,Orange,Tan,L-APE Clipps,Sunglasses,Mouth 5,Gold Hoop,Space Jam Bunny
176,NBAYC #176,Gray,Blue,Whapington Wizz,Sunglasses,Tongue Out,Silver Hoops,Horns
177,NBAYC #177,Purple,Gold,Dappas Mavs,Laser,Cigar,None,Halo
178,NBAYC #178,Gray,Gray,Minnesotape Wolves,Sunglasses,Mouth 5,Silver Stud,Beanie
179,NBAYC #179,Orange,Tan,Utape Jazzy,3D Glasses,Tongue Out,Diamond Stud,Horns
180,NBAYC #180,Yellow,Cheetah,Clevelape Cavalape,Regular,Cigar,Diamond Stud,Spinner Hat
181,NBAYC #181,Orange,Cheetah,New Apeleans Pelics,Eyepatch,Mouth 5,Silver Cross,Faux Hawk
182,NBAYC #182,Orange,Black,T-Raptorapes,Laser,Mouth 5,Gold Hoop,Beanie
183,NBAYC #183,Gray,Dark Brown,Indianape Papcers,Blindfold,Jovial,Silver Stud,Space Jam Bunny
184,NBAYC #184,Aquamarine,Brown,Meme Bears ,Blindfold,Angry,Gold Hoop,
185,NBAYC #185,Gray,Brown,Dapetroit Pistapes,Sunglasses,Grin,None,None
186,NBAYC #186,Yellow,Pink,T-Raptorapes,Laser,Mouth 5,Diamond Stud,None
187,NBAYC #187,Aquamarine,Gray,Minnesotape Wolves,Laser,Cigar,Silver Cross,Captain Hat
188,NBAYC #188,Aquamarine,Red,Meme Bears ,Regular,Mouth 5,None,Space Jam Bunny
189,NBAYC #189,Orange,Tan,Indianape Papcers,Laser,Angry,Gold Stud,Captain Hat
190,NBAYC #190,Gray,Cheetah,Minnesotape Wolves,Laser,Cigar,Gold Stud,Captain Hat
191,NBAYC #191,Orange,White,Miaping fire,Regular,Angry,Gold Hoop,Space Jam Bunny
192,NBAYC #192,Aquamarine,Gray,Milwaping Buc ,Blindfold,Grin,Silver Cross,Beanie
193,NBAYC #193,Orange,Golden Brown,Philape 76,3D Glasses,Mouth 5,Gold Hoop,Red Bandana
194,NBAYC #194,Purple,Blue,Whapington Wizz,Eyepatch,Jovial,Silver Cross,Spinner Hat
195,NBAYC #195,Purple,Dark Brown,L-APE Lapers,3D Glasses,Jovial,Gold Stud,Beanie
196,NBAYC #196,Aquamarine,Black,Minnesotape Wolves,Eyepatch,Angry,Silver Hoops,Space Jam Bunny
197,NBAYC #197,Aquamarine,Black,Chic bullish,Eyepatch,Cigar,Gold Stud,Halo
198,NBAYC #198,Yellow,Red,New Apeleans Pelics,Sunglasses,Gold Grin Grill,None,Spinner Hat
199,NBAYC #199,Aquamarine,Cream,Oklahomapes,3D Glasses,Angry,Silver Stud,Drake
200,NBAYC #200,Red,Pink,Bapeston Celts,Laser,Angry,Gold Stud,Beanie
201,NBAYC #201,Red,Tan,T-Raptorapes,Eyepatch,Mouth 5,Silver Stud,Beanie
202,NBAYC #202,Violet,Golden Brown,Meme Bears ,Sunglasses,Tongue Out,Silver Stud,Red Bandana
203,NBAYC #203,Purple,Cream,San-Apetonio Apes,Sunglasses,Bubblegum,None,Beanie
204,NBAYC #204,Gray,Black,San-Apetonio Apes,Blindfold,Tongue Out,Gold Stud,Halo
205,NBAYC #205,Orange,Brown,Indianape Papcers,3D Glasses,Bubblegum,Gold Hoop,Drake
206,NBAYC #206,Yellow,Dark Brown,Oklahomapes,Regular,Gold Grin Grill,Gold Hoop,Beanie
207,NBAYC #207,Blue,Gray,Meme Bears ,Laser,Bubblegum,Silver Cross,Beanie
208,NBAYC #208,Gray,Tan,New Yape K,Regular,Bubblegum,Silver Cross,Drake
209,NBAYC #209,Yellow,Tan,Portlape Blaz ,Eyepatch,Bubblegum,Silver Stud,Faux Hawk
210,NBAYC #210,Purple,White,Bapeston Celts,3D Glasses,Angry,Silver Hoops,
211,NBAYC #211,Aquamarine,Gray,Brook Napes,Regular,Tongue Out,Diamond Stud,Red Bandana
212,NBAYC #212,Purple,Brown,Meme Bears ,Laser,Jovial,Silver Stud,
213,NBAYC #213,Gray,Gray,New Apeleans Pelics,Laser,Grin,Silver Cross,Drake
214,NBAYC #214,Purple,White,Dappas Mavs,Blindfold,Cigar,Diamond Stud,Cap
215,NBAYC #215,Violet,Cream,New Apeleans Pelics,Blindfold,Grin,Silver Stud,Captain Hat
216,NBAYC #216,Yellow,Gold,Milwaping Buc ,Eyepatch,Mouth 5,Diamond Stud,
217,NBAYC #217,Gray,Gray,Dappas Mavs,Regular,Grin,Gold Stud,Space Jam Bunny
218,NBAYC #218,Red,White,Minnesotape Wolves,Regular,Mouth 5,Silver Cross,Cap
219,NBAYC #219,Orange,Pink,L-APE Lapers,Sunglasses,Angry,Gold Hoop,Halo
220,NBAYC #220,Red,Golden Brown,Whapington Wizz,Eyepatch,Jovial,Diamond Stud,Cap
221,NBAYC #221,Orange,Red,Dappas Mavs,Sunglasses,Angry,Silver Cross,Faux Hawk
222,NBAYC #222,Blue,White,Utape Jazzy,Laser,Angry,None,Horns
223,NBAYC #223,Red,Blue,Phaping Sunny,3D Glasses,Mouth 5,Silver Cross,Drake
224,NBAYC #224,Gray,Gray,Oklahomapes,Blindfold,Grin,Silver Hoops,Faux Hawk
225,NBAYC #225,Red,Red,Hapeston Rockapes,Sunglasses,Angry,Silver Hoops,Beanie
226,NBAYC #226,Blue,Cheetah,Oklahomapes,Laser,Gold Grin Grill,Gold Hoop,Cap
227,NBAYC #227,Violet,Cheetah,Bapeston Celts,Eyepatch,Gold Grin Grill,Silver Stud,Faux Hawk
228,NBAYC #228,Purple,Cream,Whapington Wizz,3D Glasses,Jovial,Gold Stud,Beanie
229,NBAYC #229,Gray,Brown,Sacramentape Crowned,3D Glasses,Tongue Out,Gold Hoop,Horns
230,NBAYC #230,Purple,Cheetah,Charlape Hornape,Sunglasses,Bubblegum,Gold Stud,Captain Hat
231,NBAYC #231,Purple,Cream,Bapeston Celts,Eyepatch,Mouth 5,Diamond Stud,Spinner Hat
232,NBAYC #232,Red,Red,Hapeston Rockapes,Regular,Jovial,Silver Cross,Captain Hat
233,NBAYC #233,Red,Gray,Charlape Hornape,Eyepatch,Cigar,Silver Hoops,Space Jam Bunny
234,NBAYC #234,Orange,Black,L-APE Clipps,Sunglasses,Cigar,Silver Stud,Drake
235,NBAYC #235,Violet,Cream,Chic bullish,Regular,Gold Grin Grill,None,Halo
236,NBAYC #236,Yellow,Blue,Chic bullish,Regular,Bubblegum,Silver Cross,Horns
237,NBAYC #237,Orange,Cheetah,Whapington Wizz,3D Glasses,Mouth 5,Diamond Stud,Space Jam Bunny
238,NBAYC #238,Red,Gray,Whapington Wizz,Blindfold,Jovial,Silver Stud,Faux Hawk
239,NBAYC #239,Violet,Tan,Dappas Mavs,3D Glasses,Cigar,None,Faux Hawk
240,NBAYC #240,Orange,Blue,Sacramentape Crowned,Laser,Angry,Silver Stud,Faux Hawk
241,NBAYC #241,Purple,Pink,Dappas Mavs,Eyepatch,Gold Grin Grill,Silver Hoops,Spinner Hat
242,NBAYC #242,Aquamarine,Black,Hapeston Rockapes,Laser,Gold Grin Grill,Silver Hoops,Space Jam Bunny
243,NBAYC #243,Purple,Black,New Yape K,Sunglasses,Mouth 5,Diamond Stud,None
244,NBAYC #244,Red,Blue,Philape 76,Regular,Mouth 5,Diamond Stud,Red Bandana
245,NBAYC #245,Aquamarine,Cheetah,Miaping fire,Eyepatch,Gold Grin Grill,None,Drake
246,NBAYC #246,Blue,Golden Brown,Bapeston Celts,Sunglasses,Jovial,Silver Hoops,Halo
247,NBAYC #247,Purple,Black,Phaping Sunny,Sunglasses,Tongue Out,None,Space Jam Bunny
248,NBAYC #248,Violet,Brown,Chic bullish,Blindfold,Mouth 5,Gold Hoop,Beanie
249,NBAYC #249,Gray,Cheetah,Portlape Blaz ,Sunglasses,Bubblegum,Diamond Stud,Spinner Hat
250,NBAYC #250,Violet,Cream,Phaping Sunny,Laser,Cigar,Diamond Stud,None
251,NBAYC #251,Blue,Pink,Minnesotape Wolves,Eyepatch,Jovial,Gold Hoop,Space Jam Bunny
252,NBAYC #252,Orange,Black,Milwaping Buc ,Sunglasses,Mouth 5,Silver Stud,Captain Hat
254,NBAYC #254,Yellow,Dark Brown,L-APE Lapers,Regular,Jovial,Silver Cross,Captain Hat
255,NBAYC #255,Yellow,Blue,Charlape Hornape,Sunglasses,Angry,Silver Stud,Red Bandana
256,NBAYC #256,Yellow,Pink,Miaping fire,3D Glasses,Cigar,None,Halo
257,NBAYC #257,Violet,Gray,Portlape Blaz ,Sunglasses,Mouth 5,Silver Cross,Cap
258,NBAYC #258,Yellow,Cream,Bapeston Celts,Regular,Jovial,Diamond Stud,Red Bandana
259,NBAYC #259,Purple,Gray,T-Raptorapes,Regular,Grin,Gold Stud,Halo
260,NBAYC #260,Red,Black,Portlape Blaz ,Regular,Bubblegum,Silver Stud,Cap
261,NBAYC #261,Yellow,Red,Sacramentape Crowned,Laser,Angry,Silver Hoops,Horns
262,NBAYC #262,Orange,White,Utape Jazzy,Sunglasses,Angry,Diamond Stud,Spinner Hat
263,NBAYC #263,Blue,Gray,Miaping fire,Eyepatch,Tongue Out,Silver Cross,Horns
264,NBAYC #264,Gray,Gray,Phaping Sunny,3D Glasses,Gold Grin Grill,Diamond Stud,Captain Hat
265,NBAYC #265,Yellow,Brown,Charlape Hornape,Sunglasses,Bubblegum,Diamond Stud,Faux Hawk
266,NBAYC #266,Gray,Black,L-APE Clipps,Blindfold,Tongue Out,Diamond Stud,
267,NBAYC #267,Orange,Golden Brown,T-Raptorapes,Regular,Angry,Gold Stud,Red Bandana
